,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,25500,23800,25000,25000,1906,25000
1,22/11/2022,24400,24000,24000,24400,3400,24400
2,23/11/2022,24400,24400,24400,24400,1000,24400
3,24/11/2022,24100,23300,24100,23900,49600,23900
4,25/11/2022,24000,24000,24000,24000,1500,24000
5,28/11/2022,24000,23300,24000,24000,2778,24000
6,29/11/2022,23900,23400,23400,23900,5600,23900
7,30/11/2022,23400,23000,23400,23000,4017,23000
8,01/12/2022,24000,22800,22800,24000,4400,24000
9,02/12/2022,24500,22900,23300,24500,7600,24500
10,05/12/2022,24500,24000,24000,24000,2000,24000
11,06/12/2022,23100,23100,23100,23100,1510,23100
12,07/12/2022,24500,24500,24500,24500,1502,24500
13,08/12/2022,24500,23400,24300,24500,3002500,24500
14,09/12/2022,24500,24500,24500,24500,2262777,24500
15,12/12/2022,24500,24500,24500,24500,1500,24500
16,13/12/2022,24500,24000,24000,24500,1900,24500
17,14/12/2022,24400,23500,23500,24400,1300,24400
18,15/12/2022,24400,23600,24000,24400,3519,24400
19,16/12/2022,24400,24400,24400,24400,-,24400
20,19/12/2022,24400,24000,24300,24400,901600,24400
21,20/12/2022,24400,24400,24400,24400,-,24400
22,21/12/2022,24400,24400,24400,24400,-,24400
23,22/12/2022,24200,23500,23500,24200,1302000,24200
24,23/12/2022,24200,24200,24200,24200,60000,24200
25,26/12/2022,24200,23500,24200,24200,860900,24200
26,27/12/2022,24100,23500,23600,24100,7271800,24100
27,28/12/2022,23900,23900,23900,23900,400,23900
28,29/12/2022,23900,23900,23900,23900,-,23900
29,30/12/2022,24000,24000,24000,24000,800,24000
30,03/01/2023,24000,24000,24000,24000,561,24000
31,04/01/2023,24000,23000,23300,24000,4600,24000
32,05/01/2023,24000,23200,23200,24000,1800,24000
33,06/01/2023,23800,23800,23800,23800,1401500,23800
34,09/01/2023,23700,23700,23700,23700,1002500,23700
35,10/01/2023,23700,23700,23700,23700,2863377,23700
36,11/01/2023,23700,23200,23200,23700,1300,23700
37,12/01/2023,23700,23200,23200,23700,4302191,23700
38,13/01/2023,23700,23600,23700,23600,400,23600
39,16/01/2023,23600,23600,23600,23600,-,23600
40,17/01/2023,23600,23400,23600,23600,1800,23600
41,18/01/2023,24000,23200,24000,23600,1500,23600
42,19/01/2023,23200,23200,23200,23200,450,23200
43,27/01/2023,24000,23600,23600,24000,400,24000
44,30/01/2023,23800,23800,23800,23800,600,23800
45,31/01/2023,23800,23800,23800,23800,30000,23800
46,01/02/2023,23400,23400,23400,23400,200,23400
47,02/02/2023,23900,22800,23900,23900,30663,23900
48,03/02/2023,23900,22500,22800,23900,800,23900
49,06/02/2023,23700,22800,23700,23700,2100,23700
50,07/02/2023,23700,23700,23700,23700,600,23700
51,08/02/2023,23700,23700,23700,23700,-,23700
52,09/02/2023,23700,23400,23400,23700,800,23700
53,10/02/2023,23700,23000,23200,23700,1710553,23700
54,13/02/2023,23800,23000,23000,23800,3410,23800
55,14/02/2023,23800,23000,23200,23800,3100,23800
56,15/02/2023,23500,23000,23000,23500,4000,23500
57,16/02/2023,23500,22800,23000,23500,6100,23500
58,17/02/2023,23500,23500,23500,23500,2000,23500
59,20/02/2023,23500,22500,23000,23500,9500,23500
60,21/02/2023,23700,23700,23700,23700,3708410,23700
61,22/02/2023,23500,22800,23200,23500,646200,23500
62,23/02/2023,23400,23000,23400,23000,1700,23000
63,24/02/2023,23500,23000,23000,23500,1200,23500
64,27/02/2023,23500,23300,23300,23500,1700,23500
65,28/02/2023,23400,23300,23400,23400,1400,23400
66,01/03/2023,23300,22800,23000,23300,1100,23300
67,02/03/2023,24500,22800,22800,24500,6201,24500
68,03/03/2023,24300,22800,24300,23200,2800,23200
69,06/03/2023,23200,23000,23000,23200,859500,23200
70,07/03/2023,24500,24500,24500,24500,1600,24500
71,08/03/2023,24300,22800,23300,24300,714,24300
72,09/03/2023,23200,23000,23200,23000,1000,23000
73,10/03/2023,23500,23500,23500,23500,200,23500
74,13/03/2023,24000,24000,24000,24000,400,24000
75,14/03/2023,24000,24000,24000,24000,-,24000
76,15/03/2023,24000,24000,24000,24000,870100,24000
77,16/03/2023,24000,24000,24000,24000,-,24000
78,17/03/2023,23900,23500,23500,23900,700,23900
79,20/03/2023,23500,23500,23500,23500,100,23500
80,21/03/2023,23500,23500,23500,23500,100,23500
81,22/03/2023,23800,23100,23100,23800,2517300,23800
82,23/03/2023,23700,23700,23700,23700,500,23700
83,24/03/2023,23100,23100,23100,23100,200,23100
84,27/03/2023,23500,22500,22900,23500,3838,23500
85,28/03/2023,23500,23500,23500,23500,399300,23500
86,29/03/2023,23300,23000,23300,23300,727900,23300
87,30/03/2023,23300,23300,23300,23300,170020,23300
88,31/03/2023,23100,23000,23100,23000,2800,23000
89,03/04/2023,23500,22800,22800,23500,4712,23500
90,04/04/2023,23500,23500,23500,23500,2,23500
91,05/04/2023,23400,22800,23000,23000,62801,23000
92,06/04/2023,23000,22700,22700,23000,62008,23000
93,07/04/2023,23000,23000,23000,23000,2,23000
94,10/04/2023,23000,23000,23000,23000,1401,23000
95,11/04/2023,23000,22600,22600,23000,401,23000
96,12/04/2023,23000,22800,22900,23000,1986,23000
97,13/04/2023,23000,22900,22900,23000,2500,23000
98,14/04/2023,22900,21700,21700,22900,201,22900
99,17/04/2023,24000,24000,24000,24000,400567,24000
100,18/04/2023,23800,23700,23800,23800,800,23800
101,19/04/2023,23800,23800,23800,23800,300,23800
102,20/04/2023,23800,23800,23800,23800,30,23800
103,21/04/2023,23800,23800,23800,23800,717878,23800
104,24/04/2023,23800,23800,23800,23800,-,23800
105,25/04/2023,23500,23500,23500,23500,673700,23500
106,26/04/2023,23400,23400,23400,23400,674801,23400
107,27/04/2023,23300,23000,23300,23300,500,23300
108,28/04/2023,23300,23300,23300,23300,-,23300
109,04/05/2023,23300,23300,23300,23300,-,23300
110,05/05/2023,22800,22800,22800,22800,500100,22800
111,08/05/2023,23300,23300,23300,23300,106,23300
112,09/05/2023,23300,22500,22500,23300,600,23300
113,10/05/2023,23200,23000,23000,23200,600,23200
114,11/05/2023,23200,23200,23200,23200,4774642,23200
115,12/05/2023,23200,23200,23200,23200,8,23200
116,15/05/2023,23300,22900,22900,23300,201,23300
117,16/05/2023,23300,23300,23300,23300,-,23300
118,17/05/2023,23300,23300,23300,23300,300,23300
119,18/05/2023,23700,23700,23700,23700,100,23700
120,19/05/2023,24100,24100,24100,24100,100,24100
121,22/05/2023,23900,22900,22900,23900,700,23900
122,23/05/2023,23800,22000,22900,23800,2083,23800
123,24/05/2023,23600,23600,23600,23600,200,23600
124,25/05/2023,23200,22600,22600,23200,900,23200
125,26/05/2023,23200,23200,23200,23200,6076546,23200
126,29/05/2023,23200,23200,23200,23200,2546040,23200
127,30/05/2023,23200,22900,22900,23200,1400,23200
128,31/05/2023,23200,23200,23200,23200,585200,23200
129,01/06/2023,23200,23200,23200,23200,510,23200
130,02/06/2023,23200,23200,23200,23200,-,23200
131,05/06/2023,23500,22800,22800,23500,532,23500
132,06/06/2023,23300,23300,23300,23300,200,23300
133,07/06/2023,23300,23300,23300,23300,1000805,23300
134,08/06/2023,23300,23300,23300,23300,2175839,23300
135,09/06/2023,23200,22900,22900,23200,1000610,23200
136,12/06/2023,23200,22900,22900,23200,605,23200
137,13/06/2023,23100,22800,22900,23100,1900,23100
138,14/06/2023,23200,23000,23000,23200,700,23200
139,15/06/2023,23200,23200,23200,23200,1005,23200
140,16/06/2023,23000,22800,22800,23000,600,23000
