,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4400,4100,4400,4300,6700,4300
1,22/11/2022,4700,4300,4300,4700,152000,4700
2,23/11/2022,5100,4800,4800,5100,373400,5100
3,24/11/2022,5600,4700,5400,4800,84402,4800
4,25/11/2022,5000,4400,4800,4400,72900,4400
5,28/11/2022,4800,4600,4600,4800,24900,4800
6,29/11/2022,5100,4600,4600,4700,133914,4700
7,30/11/2022,5100,5000,5000,5100,132700,5100
8,01/12/2022,5200,5000,5200,5000,6700,5000
9,02/12/2022,4900,4800,4900,4900,23600,4900
10,05/12/2022,5100,4800,4800,5100,4824,5100
11,06/12/2022,5000,4700,4800,5000,15600,5000
12,07/12/2022,5500,4500,5000,4500,252400,4500
13,08/12/2022,4900,4800,4800,4900,6100,4900
14,09/12/2022,5300,4900,4900,4900,93900,4900
15,12/12/2022,5300,5000,5000,5000,62501,5000
16,13/12/2022,5500,5100,5100,5100,70000,5100
17,14/12/2022,5600,5200,5200,5200,46900,5200
18,15/12/2022,5200,5200,5200,5200,-,5200
19,16/12/2022,5200,5100,5100,5200,5500,5200
20,19/12/2022,5200,5200,5200,5200,1300,5200
21,20/12/2022,5200,5000,5200,5000,1300,5000
22,21/12/2022,5000,4900,4900,5000,4100,5000
23,22/12/2022,4900,4500,4900,4900,2000,4900
24,23/12/2022,4800,4700,4800,4700,3000,4700
25,26/12/2022,4600,4600,4600,4600,400,4600
26,27/12/2022,4200,4200,4200,4200,400,4200
27,28/12/2022,4600,4600,4600,4600,100,4600
28,29/12/2022,5000,4800,5000,4800,6300,4800
29,30/12/2022,4800,4800,4800,4800,-,4800
30,03/01/2023,4800,4800,4800,4800,1000,4800
31,04/01/2023,4800,4800,4800,4800,2000,4800
32,05/01/2023,4800,4800,4800,4800,-,4800
33,06/01/2023,4800,4800,4800,4800,1300,4800
34,09/01/2023,5000,4800,5000,4800,2300,4800
35,10/01/2023,4800,4800,4800,4800,-,4800
36,11/01/2023,4800,4700,4700,4800,5000,4800
37,12/01/2023,4800,4800,4800,4800,-,4800
38,13/01/2023,4800,4600,4800,4600,6900,4600
39,16/01/2023,5000,5000,5000,5000,3400,5000
40,17/01/2023,5100,4600,4600,5100,4300,5100
41,18/01/2023,5400,4800,4800,4800,134800,4800
42,19/01/2023,5200,5100,5100,5200,1100,5200
43,27/01/2023,5200,4700,5200,4800,8400,4800
44,30/01/2023,5000,4700,4800,4800,3700,4800
45,31/01/2023,4900,4600,4600,4900,500,4900
46,01/02/2023,4900,4600,4900,4900,4100,4900
47,02/02/2023,4900,4900,4900,4900,200,4900
48,03/02/2023,4800,4700,4800,4700,151810,4700
49,06/02/2023,4500,4500,4500,4500,1500,4500
50,07/02/2023,4700,4500,4500,4700,2100,4700
51,08/02/2023,4700,4600,4600,4600,1013700,4600
52,09/02/2023,4800,4500,4600,4800,400,4800
53,10/02/2023,4900,4800,4800,4900,2700,4900
54,13/02/2023,5300,4800,4800,5300,912210,5300
55,14/02/2023,5800,4800,5800,5000,13200,5000
56,15/02/2023,5000,4700,5000,4700,5100,4700
57,16/02/2023,5000,4500,4500,5000,700,5000
58,17/02/2023,5000,4800,4800,5000,900,5000
59,20/02/2023,5200,5000,5000,5200,62000,5200
60,21/02/2023,4900,4900,4900,4900,1000,4900
61,22/02/2023,5200,4500,4700,4900,23500,4900
62,23/02/2023,5000,4500,4500,5000,4200,5000
63,24/02/2023,5000,5000,5000,5000,100,5000
64,27/02/2023,4900,4900,4900,4900,300,4900
65,28/02/2023,5100,4900,4900,5100,276000,5100
66,01/03/2023,5300,5100,5200,5300,27200,5300
67,02/03/2023,5000,5000,5000,5000,2900,5000
68,03/03/2023,5000,5000,5000,5000,200,5000
69,06/03/2023,5300,5000,5200,5300,11200,5300
70,07/03/2023,5300,5200,5200,5300,15800,5300
71,08/03/2023,5300,5300,5300,5300,6000,5300
72,09/03/2023,5600,5300,5300,5600,39300,5600
73,10/03/2023,5500,5200,5500,5200,7500,5200
74,13/03/2023,5700,5100,5500,5100,65602,5100
75,14/03/2023,5600,5200,5500,5600,32000,5600
76,15/03/2023,5800,5200,5200,5400,37010,5400
77,16/03/2023,5700,5400,5500,5700,15500,5700
78,17/03/2023,5200,5200,5200,5200,100,5200
79,20/03/2023,5500,4800,5300,4800,27408,4800
80,21/03/2023,5200,5100,5100,5200,8900,5200
81,22/03/2023,5200,5000,5200,5200,15300,5200
82,23/03/2023,5700,5200,5200,5700,90600,5700
83,24/03/2023,6100,5600,6100,5600,19200,5600
84,27/03/2023,5900,5300,5900,5300,5400,5300
85,28/03/2023,5400,5400,5400,5400,2000,5400
86,29/03/2023,5500,5500,5500,5500,1300,5500
87,30/03/2023,5500,5500,5500,5500,700,5500
88,31/03/2023,5800,5400,5500,5500,2500,5500
89,03/04/2023,5500,5500,5500,5500,1110,5500
90,04/04/2023,5800,5100,5600,5300,8905,5300
91,05/04/2023,5800,5500,5800,5500,10400,5500
92,06/04/2023,6000,5800,6000,5900,2800,5900
93,07/04/2023,6400,5600,6400,6000,4400,6000
94,10/04/2023,6000,5400,5900,6000,16800,6000
95,11/04/2023,6000,5500,6000,5500,500,5500
96,12/04/2023,6000,5700,6000,5800,1500,5800
97,13/04/2023,5800,5400,5800,5800,3700,5800
98,14/04/2023,5900,5300,5600,5400,17200,5400
99,17/04/2023,5500,5500,5500,5500,100,5500
100,18/04/2023,5800,5600,5600,5800,2600,5800
101,19/04/2023,5800,5400,5400,5400,700,5400
102,20/04/2023,5600,5200,5600,5200,2000,5200
103,21/04/2023,5600,5000,5200,5600,15800,5600
104,24/04/2023,6100,5500,6100,5600,6600,5600
105,25/04/2023,5600,5600,5600,5600,4900,5600
106,26/04/2023,5700,5600,5600,5600,18200,5600
107,27/04/2023,5500,5500,5500,5500,4700,5500
108,28/04/2023,5700,5400,5500,5700,21900,5700
109,04/05/2023,5700,5700,5700,5700,1100,5700
110,05/05/2023,5900,5500,5900,5500,2700,5500
111,08/05/2023,5700,5400,5500,5400,8200,5400
112,09/05/2023,5500,5500,5500,5500,18700,5500
113,10/05/2023,5500,5500,5500,5500,1700,5500
114,11/05/2023,5900,5400,5900,5400,13003,5400
115,12/05/2023,5500,5400,5500,5400,13500,5400
116,15/05/2023,5500,5300,5300,5400,28302,5400
