,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11300,10500,10500,11000,310991,9600
1,22/11/2022,12100,10700,11000,12000,719237,10500
2,23/11/2022,12300,11900,11900,12000,295093,10500
3,24/11/2022,12000,11600,11900,12000,166013,10500
4,25/11/2022,12600,12200,12200,12500,156204,10900
5,28/11/2022,13700,12100,12500,13700,401257,11900
6,29/11/2022,14700,12400,13200,14100,257965,12300
7,30/11/2022,14400,13500,13500,14000,252664,12200
8,01/12/2022,15400,13900,14000,14400,649798,12500
9,02/12/2022,15100,13700,14200,14600,363539,12700
10,05/12/2022,15100,14200,14700,14400,232412,12500
11,06/12/2022,14300,13000,14200,13000,441647,11300
12,07/12/2022,13900,12000,12800,12000,343074,10500
13,08/12/2022,13200,11600,11700,13200,169913,11500
14,09/12/2022,13900,12500,13200,13200,186367,11500
15,12/12/2022,13700,12700,12800,12700,193326,11100
16,13/12/2022,13500,12000,12000,13500,160749,11800
17,14/12/2022,13800,13400,13600,13700,93587,11900
18,15/12/2022,13900,12900,13600,13500,254244,11800
19,16/12/2022,13900,13000,13500,13600,119656,11900
20,19/12/2022,13700,12700,13300,12900,252694,11200
21,20/12/2022,13000,12200,12800,12600,236613,11000
22,21/12/2022,12800,11800,12700,12400,211065,10800
23,22/12/2022,12800,11800,12500,12100,258894,10500
24,23/12/2022,12400,12000,12100,12200,103549,10600
25,26/12/2022,12900,11400,12200,11400,287049,9900
26,27/12/2022,11900,10300,11000,11900,203773,10400
27,28/12/2022,12300,10800,10800,11800,194393,10300
28,29/12/2022,12100,11400,12000,11400,86550,9900
29,30/12/2022,11900,10900,11700,10900,446943,9500
30,03/01/2023,11900,11000,11200,11900,364043,10400
31,04/01/2023,13000,11900,12000,12800,421682,11200
32,05/01/2023,13300,12500,12500,12900,265636,11200
33,06/01/2023,13500,12400,13000,12600,276409,11000
34,09/01/2023,13000,12200,12500,12500,222479,10900
35,10/01/2023,12700,12100,12600,12500,134426,10900
36,11/01/2023,13200,12200,12400,12700,254300,11100
37,12/01/2023,13400,12500,12700,13200,414783,11500
38,13/01/2023,13600,13000,13300,13200,406821,11500
39,16/01/2023,13500,12900,13000,13000,134760,11300
40,17/01/2023,13400,13000,13000,13300,342220,11600
41,18/01/2023,13400,13000,13300,13200,348363,11500
42,19/01/2023,14300,13400,13400,14100,998423,12300
43,27/01/2023,14700,13900,14100,14100,323322,12300
44,30/01/2023,14700,14000,14100,14200,614973,12400
45,31/01/2023,14400,13900,14300,14400,428202,12500
46,01/02/2023,14900,13500,14600,13700,763438,11900
47,02/02/2023,14000,13100,13600,13100,348921,11400
48,03/02/2023,14000,12900,13100,13300,316418,11600
49,06/02/2023,13700,12900,13300,13700,614333,11900
50,07/02/2023,13800,13100,13700,13100,343532,11400
51,08/02/2023,13600,12600,13100,12900,523652,11200
52,09/02/2023,13200,12500,12700,12800,391183,11200
53,10/02/2023,12900,12400,12800,12400,153623,10800
54,13/02/2023,12400,11500,12000,11900,458303,10400
55,14/02/2023,12100,11600,11900,12100,172947,10500
56,15/02/2023,12700,11900,12100,12600,361005,11000
57,16/02/2023,12900,12500,12800,12600,146798,11000
58,17/02/2023,13100,12600,12700,12900,344216,11200
59,20/02/2023,13400,12800,12900,13400,168451,11700
60,21/02/2023,13800,13200,13400,13400,203870,11700
61,22/02/2023,13800,12500,13600,12700,367685,11100
62,23/02/2023,12800,12200,12600,12800,199641,11200
63,24/02/2023,13000,12300,12900,12500,128111,10900
64,27/02/2023,12600,12200,12600,12200,205421,10600
65,28/02/2023,12600,12100,12100,12300,167290,10700
66,01/03/2023,12800,12000,12300,12800,222498,11200
67,02/03/2023,12800,12500,12800,12500,64179,10900
68,03/03/2023,12700,12500,12700,12700,63400,11100
69,06/03/2023,13100,12300,12400,12900,291390,11200
70,07/03/2023,12900,12700,12900,12900,66138,11200
71,08/03/2023,13000,12700,12800,13000,144200,11300
72,09/03/2023,13400,13000,13000,13400,332587,11700
73,10/03/2023,13400,13100,13300,13200,203604,11500
74,13/03/2023,13100,12900,13000,13000,157208,11300
75,14/03/2023,13700,12600,13000,13200,535804,11500
76,15/03/2023,14200,13300,13300,14200,741473,12400
77,16/03/2023,14500,13900,14100,14100,426250,12300
78,17/03/2023,14200,13800,14100,13800,190209,12000
79,20/03/2023,14200,13600,13900,13700,223923,11900
80,21/03/2023,13800,13400,13700,13800,259481,12000
81,22/03/2023,14000,13700,14000,13900,139005,12100
82,23/03/2023,15200,13600,13600,15200,852568,13200
83,24/03/2023,15800,15000,15200,15500,558896,13500
84,27/03/2023,16400,15500,15500,15900,441469,13900
85,28/03/2023,16200,15600,15900,15800,227515,13800
86,29/03/2023,16600,15400,15600,16600,491005,14500
87,30/03/2023,17000,16400,16800,16600,295839,14500
88,31/03/2023,16700,16200,16600,16400,383299,14300
89,03/04/2023,17700,16400,16400,17700,529047,15400
90,04/04/2023,17900,17200,17700,17700,183709,15400
91,05/04/2023,17900,17200,17700,17400,293447,15200
92,06/04/2023,17400,16700,17400,16800,421214,14600
93,07/04/2023,17100,16200,16800,16600,438908,14500
94,10/04/2023,17400,15000,15000,16200,856438,14100
95,11/04/2023,16400,15700,16100,16400,437945,14300
96,12/04/2023,16800,16200,16300,16400,443927,14300
97,13/04/2023,17100,16300,16500,16500,534900,14400
98,14/04/2023,16700,15800,16600,15800,253003,13800
99,17/04/2023,16100,15500,15800,15800,232168,13800
100,18/04/2023,17300,15600,16000,17300,812341,15100
101,19/04/2023,17900,16800,17300,17000,412971,14800
102,20/04/2023,17400,16700,16700,17000,421989,14800
103,21/04/2023,17200,17000,17000,17000,692708,14800
104,24/04/2023,17000,16300,17000,16300,560044,14200
105,25/04/2023,16700,15400,16300,16000,944179,13900
106,26/04/2023,16500,15600,16000,16500,176492,14400
107,27/04/2023,17700,15700,16600,16500,433031,14400
108,28/04/2023,18100,16400,16900,18100,1215836,15800
109,04/05/2023,19900,19500,19900,19900,901977,17300
110,05/05/2023,21400,20000,20700,20600,937354,18000
