,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12000,11000,12000,11800,885100,7400
1,22/11/2022,11800,11300,11500,11800,123400,7400
2,23/11/2022,12000,11100,11600,12000,1312300,7500
3,24/11/2022,12000,11200,11800,11400,63567,7100
4,25/11/2022,11800,11000,11300,11800,112328,7400
5,28/11/2022,12600,11600,11800,12600,267450,7900
6,29/11/2022,13500,12300,12500,13500,932100,8400
7,30/11/2022,13800,12300,13800,12800,205863,8000
8,01/12/2022,13400,12800,13000,13300,248719,8300
9,02/12/2022,13400,12700,13300,13000,155100,8100
10,05/12/2022,14100,13000,13000,13900,279343,8700
11,06/12/2022,13900,13000,13900,13000,233000,8100
12,07/12/2022,13100,11700,13000,12100,186500,7600
13,08/12/2022,13000,12000,12300,12400,205600,7800
14,09/12/2022,12600,11800,12600,11800,78100,7400
15,12/12/2022,12100,10900,11800,11500,157100,7200
16,13/12/2022,11500,10800,11500,11500,60300,7200
17,14/12/2022,12000,11200,11600,11500,97200,7200
18,15/12/2022,11900,11300,11700,11600,77900,7300
19,16/12/2022,11800,11100,11800,11100,213300,6900
20,19/12/2022,11600,11200,11200,11200,151300,7000
21,20/12/2022,11500,10600,11200,11000,110100,6900
22,21/12/2022,11200,9900,9900,10300,74400,6400
23,22/12/2022,11300,10300,10300,11300,180100,7100
24,23/12/2022,12400,11100,11300,12400,292200,7800
25,26/12/2022,13600,12400,12500,13300,260400,8300
26,27/12/2022,13600,12200,13200,13400,302400,8400
27,28/12/2022,13400,12400,13400,13100,104400,8200
28,29/12/2022,14000,12700,13000,14000,206300,8800
29,30/12/2022,14000,12600,14000,12600,293400,7900
30,03/01/2023,12300,11700,12300,11900,251400,7400
31,04/01/2023,12400,11800,11900,12400,147200,7800
32,05/01/2023,12400,11700,12400,11700,324200,7300
33,06/01/2023,11900,11200,11900,11200,214700,7000
34,09/01/2023,11700,11200,11200,11300,89300,7100
35,10/01/2023,11600,10800,11000,11100,77900,6900
36,11/01/2023,11500,10900,11500,11100,84800,6900
37,12/01/2023,11100,10800,11100,11000,55010,6900
38,13/01/2023,11200,10800,10800,11000,55100,6900
39,16/01/2023,11000,10700,10900,10900,38400,6800
40,17/01/2023,11100,10900,11100,11100,53200,6900
41,18/01/2023,11300,10900,11300,11300,43000,7100
42,19/01/2023,11500,11100,11300,11300,28500,7100
43,27/01/2023,11600,11200,11400,11200,50000,7000
44,30/01/2023,11500,11000,11200,11400,63600,7100
45,31/01/2023,11500,11200,11400,11500,33900,7200
46,01/02/2023,12600,11600,11600,11800,364395,7400
47,02/02/2023,12300,11600,12200,12100,77900,7600
48,03/02/2023,12300,11300,12300,11400,94800,7100
49,06/02/2023,11400,11100,11400,11400,78400,7100
50,07/02/2023,11600,10800,11500,11000,87605,6900
51,08/02/2023,11300,10700,11300,10900,66000,6800
52,09/02/2023,11100,10700,11000,11000,29700,6900
53,10/02/2023,11000,10500,11000,10700,45900,6700
54,13/02/2023,10600,9700,10400,9700,134600,6100
55,14/02/2023,10000,8800,9800,9300,337131,5800
56,15/02/2023,9700,9300,9300,9600,40200,6000
57,16/02/2023,9700,9300,9600,9600,110800,6000
58,17/02/2023,9700,9200,9700,9300,302070,5800
59,20/02/2023,10200,9300,9400,9800,78800,6100
60,21/02/2023,10200,9800,10200,9900,66569,6200
61,22/02/2023,10100,9400,9900,9600,82900,6000
62,23/02/2023,9600,9100,9600,9400,78100,5900
63,24/02/2023,9700,9200,9600,9300,125700,5800
64,27/02/2023,9300,8700,9300,8700,55800,5400
65,28/02/2023,9200,8600,8700,8900,564200,5600
66,01/03/2023,9200,8800,8800,9000,42700,5600
67,02/03/2023,9200,8800,9000,9000,138700,5600
68,03/03/2023,9200,8700,9100,9000,19100,5600
69,06/03/2023,9100,8800,8800,8800,40700,5500
70,07/03/2023,9000,8800,9000,9000,12800,5600
71,08/03/2023,9000,8700,8800,9000,36300,5600
72,09/03/2023,9100,8900,8900,9100,24701,5700
73,10/03/2023,9100,8800,9100,8900,38204,5600
74,13/03/2023,9000,8600,8600,9000,12700,5600
75,14/03/2023,9000,8600,9000,8600,42300,5400
76,15/03/2023,9100,8700,8700,9000,48400,5600
