,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15400,15000,15400,15000,2000,14100
1,22/11/2022,14900,14600,14700,14900,2134,14000
2,23/11/2022,14900,14900,14900,14900,500,14000
3,24/11/2022,14900,14900,14900,14900,1000,14000
4,25/11/2022,14900,14900,14900,14900,-,14000
5,28/11/2022,14900,14900,14900,14900,1400,14000
6,29/11/2022,14900,14900,14900,14900,500,14000
7,30/11/2022,14600,14300,14600,14400,4100,13500
8,01/12/2022,14900,14500,14900,14900,5600,14000
9,02/12/2022,14900,14900,14900,14900,300,14000
10,05/12/2022,15200,14800,14900,14900,8300,14000
11,06/12/2022,15000,14900,15000,14900,1500,14000
12,07/12/2022,14800,14800,14800,14800,700,13900
13,08/12/2022,14900,14800,14800,14900,1200,14000
14,09/12/2022,14900,14900,14900,14900,2015,14000
15,12/12/2022,15000,15000,15000,15000,2005,14100
16,13/12/2022,15000,15000,15000,15000,-,14100
17,14/12/2022,15200,15200,15200,15200,1600,14200
18,15/12/2022,15500,15000,15500,15500,2400,14500
19,16/12/2022,15500,15500,15500,15500,-,14500
20,19/12/2022,15500,15500,15500,15500,-,14500
21,20/12/2022,15000,15000,15000,15000,1100,14100
22,21/12/2022,15000,15000,15000,15000,500,14100
23,22/12/2022,15100,15000,15000,15000,2500,14100
24,23/12/2022,15100,15000,15100,15000,2000,14100
25,26/12/2022,15000,15000,15000,15000,-,14100
26,27/12/2022,15000,15000,15000,15000,-,14100
27,28/12/2022,15000,15000,15000,15000,-,14100
28,29/12/2022,15100,15000,15100,15000,3400,14100
29,30/12/2022,14800,14800,14800,14800,200,13900
30,03/01/2023,14800,14800,14800,14800,200,13900
31,04/01/2023,15000,14800,14800,15000,500,14100
32,05/01/2023,15000,15000,15000,15000,-,14100
33,06/01/2023,15100,15100,15100,15100,300,14200
34,09/01/2023,15100,15100,15100,15100,-,14200
35,10/01/2023,15800,15500,15500,15800,8000,14800
36,11/01/2023,16600,16000,16000,16600,4100,15600
37,12/01/2023,16600,16600,16600,16600,3000,15600
38,13/01/2023,16500,16500,16500,16500,3000,15500
39,16/01/2023,16500,16400,16500,16400,2000,15400
40,17/01/2023,16400,16400,16400,16400,-,15400
41,18/01/2023,16400,16400,16400,16400,-,15400
42,19/01/2023,16400,16400,16400,16400,-,15400
43,27/01/2023,16400,16400,16400,16400,-,15400
44,30/01/2023,16400,16000,16400,16000,5600,15000
45,31/01/2023,16400,15500,16400,15500,200,14500
46,01/02/2023,15500,15500,15500,15500,-,14500
47,02/02/2023,15700,15700,15700,15700,5500,14700
48,03/02/2023,15800,15700,15700,15700,900,14700
49,06/02/2023,16100,15700,15700,16100,3100,15100
50,07/02/2023,16100,16100,16100,16100,-,15100
51,08/02/2023,16100,16100,16100,16100,600,15100
52,09/02/2023,16100,16100,16100,16100,-,15100
53,10/02/2023,16900,16500,16900,16500,1100,15500
54,13/02/2023,16500,16500,16500,16500,-,15500
55,14/02/2023,16000,16000,16000,16000,2200,15000
56,15/02/2023,16000,15700,16000,15700,1100,14700
57,16/02/2023,15800,15700,15800,15700,7800,14700
58,17/02/2023,16000,16000,16000,16000,400,15000
59,20/02/2023,16000,16000,16000,16000,400,15000
60,21/02/2023,16000,16000,16000,16000,-,15000
61,22/02/2023,16000,16000,16000,16000,-,15000
62,23/02/2023,16000,16000,16000,16000,-,15000
63,24/02/2023,16000,16000,16000,16000,-,15000
64,27/02/2023,16000,16000,16000,16000,1200,15000
65,28/02/2023,16000,16000,16000,16000,-,15000
66,01/03/2023,16000,16000,16000,16000,1500,15000
67,02/03/2023,16000,16000,16000,16000,700,15000
68,03/03/2023,16000,16000,16000,16000,1100,15000
69,06/03/2023,16000,16000,16000,16000,1000,15000
70,07/03/2023,16000,16000,16000,16000,-,15000
71,08/03/2023,16000,16000,16000,16000,10,15000
72,09/03/2023,16000,16000,16000,16000,200,15000
73,10/03/2023,16000,16000,16000,16000,200,15000
74,13/03/2023,16000,16000,16000,16000,-,15000
75,14/03/2023,16000,16000,16000,16000,-,15000
76,15/03/2023,16000,16000,16000,16000,-,15000
77,16/03/2023,16000,16000,16000,16000,-,15000
78,17/03/2023,16100,15800,15800,16100,200,15100
79,20/03/2023,16100,16100,16100,16100,-,15100
80,21/03/2023,16100,16100,16100,16100,-,15100
81,22/03/2023,16200,15700,16200,15700,4000,14700
82,23/03/2023,15600,15600,15600,15600,100,14600
83,24/03/2023,16500,16000,16000,16400,400,15400
84,27/03/2023,16400,16400,16400,16400,-,15400
85,28/03/2023,16400,16400,16400,16400,-,15400
86,29/03/2023,16400,16400,16400,16400,-,15400
87,30/03/2023,16400,16400,16400,16400,-,15400
88,31/03/2023,15100,15100,15100,15100,1000,14200
89,03/04/2023,15200,15200,15200,15200,1100,14200
90,04/04/2023,15200,15200,15200,15200,-,14200
91,05/04/2023,16000,16000,16000,16000,100,15000
92,06/04/2023,16000,16000,16000,16000,-,15000
93,07/04/2023,16000,16000,16000,16000,300,15000
94,10/04/2023,16000,16000,16000,16000,85,15000
95,11/04/2023,16000,16000,16000,16000,-,15000
96,12/04/2023,16200,16000,16200,16100,801,15100
97,13/04/2023,16100,16100,16100,16100,17,15100
98,14/04/2023,16100,16100,16100,16100,-,15100
99,17/04/2023,15000,15000,15000,15000,100,14100
100,18/04/2023,15600,15600,15600,15600,1000,14600
101,19/04/2023,15600,15600,15600,15600,-,14600
102,20/04/2023,15600,15600,15600,15600,-,14600
103,21/04/2023,15700,15700,15700,15700,100,14700
104,24/04/2023,16300,16000,16000,16000,12300,15000
105,25/04/2023,16000,16000,16000,16000,-,15000
106,26/04/2023,16000,16000,16000,16000,-,15000
107,27/04/2023,16000,16000,16000,16000,-,15000
