,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5000,4700,5000,5000,29300,5000
1,22/11/2022,5100,4800,4900,4800,31000,4800
2,23/11/2022,4900,4600,4900,4800,30203,4800
3,24/11/2022,4700,4600,4600,4700,5521,4700
4,25/11/2022,5100,4800,4800,5100,82358,5100
5,28/11/2022,5600,5500,5600,5600,193901,5600
6,29/11/2022,6100,5300,6000,5600,94627,5600
7,30/11/2022,5600,5300,5500,5600,81000,5600
8,01/12/2022,6100,5600,5600,5700,174905,5700
9,02/12/2022,5800,5400,5700,5800,63300,5800
10,05/12/2022,6300,5900,6300,6100,59100,6100
11,06/12/2022,6000,5500,5900,5600,125350,5600
12,07/12/2022,5700,5300,5300,5300,15400,5300
13,08/12/2022,5700,4900,5000,5500,24900,5500
14,09/12/2022,5800,5300,5500,5500,59800,5500
15,12/12/2022,5600,5100,5600,5300,5840500,5300
16,13/12/2022,5500,5200,5300,5500,49600,5500
17,14/12/2022,5800,5500,5600,5600,46710,5600
18,15/12/2022,5700,5100,5700,5500,16300,5500
19,16/12/2022,5700,5500,5500,5500,50101,5500
20,19/12/2022,5600,5400,5400,5400,39800,5400
21,20/12/2022,5500,4900,5500,5300,5036900,5300
22,21/12/2022,5500,5200,5300,5300,13601,5300
23,22/12/2022,5300,5200,5200,5300,10900,5300
24,23/12/2022,5400,5100,5400,5300,20034,5300
25,26/12/2022,5300,5100,5300,5200,17300,5200
26,27/12/2022,5500,4900,5000,5500,88719,5500
27,28/12/2022,5500,5100,5500,5300,10201,5300
28,29/12/2022,5200,5000,5200,5100,35400,5100
29,30/12/2022,5300,5000,5100,5300,42300,5300
30,03/01/2023,5400,5000,5000,5400,17020,5400
31,04/01/2023,5500,5300,5400,5300,72200,5300
32,05/01/2023,5400,5200,5400,5200,9100,5200
33,06/01/2023,5300,4800,5100,5000,92300,5000
34,09/01/2023,5100,5000,5100,5000,12100,5000
35,10/01/2023,5100,4500,4500,5100,38620,5100
36,11/01/2023,5200,5000,5100,5000,15451,5000
37,12/01/2023,5100,5000,5000,5100,5400,5100
38,13/01/2023,5300,5000,5100,5000,19501,5000
39,16/01/2023,5000,4900,5000,4900,16106,4900
40,17/01/2023,5100,4900,4900,5100,39000,5100
41,18/01/2023,5200,5100,5100,5200,30200,5200
42,19/01/2023,5300,5100,5200,5200,22219,5200
43,27/01/2023,5300,5200,5200,5200,21700,5200
44,30/01/2023,5500,5100,5200,5300,66506,5300
45,31/01/2023,5500,5200,5500,5400,23624,5400
46,01/02/2023,5600,5100,5600,5100,75900,5100
47,02/02/2023,5200,5100,5100,5200,19400,5200
48,03/02/2023,5600,5300,5400,5500,85605,5500
49,06/02/2023,5700,5400,5700,5600,47100,5600
50,07/02/2023,5700,5500,5600,5600,79700,5600
51,08/02/2023,6100,5400,6100,5700,14500,5700
52,09/02/2023,5900,5400,5900,5600,23100,5600
53,10/02/2023,6100,5400,6100,5600,14100,5600
54,13/02/2023,5600,5300,5600,5400,14027,5400
55,14/02/2023,5700,5200,5700,5500,15000,5500
56,15/02/2023,5600,5400,5600,5400,14700,5400
57,16/02/2023,5700,5400,5700,5400,12900,5400
58,17/02/2023,5800,5300,5300,5800,28233,5800
59,20/02/2023,5800,5500,5700,5700,53222,5700
60,21/02/2023,6000,5500,6000,5700,30500,5700
61,22/02/2023,5700,5500,5500,5500,47900,5500
62,23/02/2023,5600,5300,5400,5400,26300,5400
63,24/02/2023,5400,5300,5400,5400,12601,5400
64,27/02/2023,5300,5200,5300,5300,12700,5300
65,28/02/2023,5400,5000,5000,5300,12000,5300
66,01/03/2023,5300,5200,5300,5300,10700,5300
67,02/03/2023,5400,5200,5400,5200,8800,5200
68,03/03/2023,5300,5100,5300,5100,4000,5100
69,06/03/2023,5200,5200,5200,5200,1500,5200
70,07/03/2023,5200,5100,5200,5200,3600,5200
71,08/03/2023,5200,5000,5100,5200,5300,5200
72,09/03/2023,5400,5200,5200,5400,19500,5400
73,10/03/2023,5500,5200,5400,5400,7100,5400
74,13/03/2023,5400,5100,5200,5100,1400,5100
75,14/03/2023,5100,5100,5100,5100,10300,5100
76,15/03/2023,5300,5100,5100,5200,8500,5200
77,16/03/2023,5300,5100,5200,5100,3500,5100
78,17/03/2023,5300,4700,5100,5000,21800,5000
79,20/03/2023,5200,4800,4900,5000,10900,5000
80,21/03/2023,5100,4800,4800,5100,9500,5100
81,22/03/2023,5100,5000,5100,5100,5300,5100
82,23/03/2023,5200,5000,5100,5200,3600,5200
83,24/03/2023,5300,5000,5200,5100,15000,5100
84,27/03/2023,5200,5000,5000,5200,4300,5200
85,28/03/2023,5300,5100,5300,5100,18000,5100
86,29/03/2023,5200,5000,5000,5200,7900,5200
87,30/03/2023,5200,5100,5100,5100,17800,5100
