,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8600,8500,8600,8500,38900,7500
1,22/11/2022,8500,8500,8500,8500,22000,7500
2,23/11/2022,8500,8500,8500,8500,18400,7500
3,24/11/2022,8800,8500,8800,8800,3788,7800
4,25/11/2022,8900,8900,8900,8900,900,7800
5,28/11/2022,9300,9300,9300,9300,1100,8200
6,29/11/2022,9500,9000,9000,9500,300,8400
7,30/11/2022,9500,9500,9500,9500,-,8400
8,01/12/2022,9100,9000,9000,9000,1108,7900
9,02/12/2022,9200,9100,9100,9200,700,8100
10,05/12/2022,9200,9200,9200,9200,-,8100
11,06/12/2022,9200,9200,9200,9200,2000,8100
12,07/12/2022,9300,9200,9300,9200,8610,8100
13,08/12/2022,9300,9200,9300,9200,2710,8100
14,09/12/2022,9200,9200,9200,9200,100,8100
15,12/12/2022,9200,9200,9200,9200,1,8100
16,13/12/2022,9200,9200,9200,9200,-,8100
17,14/12/2022,9200,9200,9200,9200,-,8100
18,15/12/2022,9500,9500,9500,9500,522,8400
19,16/12/2022,9500,9500,9500,9500,-,8400
20,19/12/2022,9500,9500,9500,9500,-,8400
21,20/12/2022,9500,9500,9500,9500,-,8400
22,21/12/2022,9500,9500,9500,9500,1,8400
23,22/12/2022,9500,9500,9500,9500,-,8400
24,23/12/2022,9500,9500,9500,9500,-,8400
25,26/12/2022,9500,9500,9500,9500,-,8400
26,27/12/2022,9500,9500,9500,9500,-,8400
27,28/12/2022,9200,9200,9200,9200,2000,8100
28,29/12/2022,9200,9200,9200,9200,-,8100
29,30/12/2022,9200,9200,9200,9200,-,8100
30,03/01/2023,9200,9200,9200,9200,-,8100
31,04/01/2023,9200,9200,9200,9200,84,8100
32,05/01/2023,9200,9200,9200,9200,-,8100
33,06/01/2023,9600,9500,9500,9600,4015,8500
34,09/01/2023,9700,9700,9700,9700,1000,8600
35,10/01/2023,10000,10000,10000,10000,500,8800
36,11/01/2023,10000,10000,10000,10000,632,8800
37,12/01/2023,9900,9900,9900,9900,505,8700
38,13/01/2023,9900,9900,9900,9900,-,8700
39,16/01/2023,9900,9900,9900,9900,-,8700
40,17/01/2023,9900,9900,9900,9900,-,8700
41,18/01/2023,9900,9900,9900,9900,-,8700
42,19/01/2023,9900,9900,9900,9900,100,8700
43,27/01/2023,10500,10500,10500,10500,100,9300
44,30/01/2023,10500,10500,10500,10500,-,9300
45,31/01/2023,10300,10200,10300,10300,4100,9100
46,01/02/2023,10200,10200,10200,10200,360,9000
47,02/02/2023,10000,10000,10000,10000,3100,8800
48,03/02/2023,9900,9900,9900,9900,3000,8700
49,06/02/2023,10000,9800,9800,9900,5400,8700
50,07/02/2023,10000,9500,9500,10000,2900,8800
51,08/02/2023,10000,10000,10000,10000,-,8800
52,09/02/2023,10000,9600,9600,10000,700,8800
53,10/02/2023,10000,10000,10000,10000,200,8800
54,13/02/2023,9400,9400,9400,9400,100,8300
55,14/02/2023,9400,9400,9400,9400,5,8300
56,15/02/2023,10000,10000,10000,10000,100,8800
57,16/02/2023,10000,10000,10000,10000,-,8800
58,17/02/2023,10000,10000,10000,10000,-,8800
59,20/02/2023,10000,10000,10000,10000,-,8800
60,21/02/2023,10000,10000,10000,10000,100,8800
61,22/02/2023,10100,10000,10000,10100,3600,8900
62,23/02/2023,10000,10000,10000,10000,100,8800
63,24/02/2023,10000,10000,10000,10000,5407,8800
64,27/02/2023,10000,10000,10000,10000,-,8800
65,28/02/2023,9900,9500,9500,9900,2700,8700
66,01/03/2023,9800,9800,9800,9800,300,8600
67,02/03/2023,9800,9800,9800,9800,7,8600
68,03/03/2023,10200,10200,10200,10200,100,9000
69,06/03/2023,10200,10200,10200,10200,-,9000
70,07/03/2023,10200,10200,10200,10200,-,9000
71,08/03/2023,10200,10200,10200,10200,-,9000
72,09/03/2023,10200,10200,10200,10200,500,9000
73,10/03/2023,10200,10200,10200,10200,-,9000
74,13/03/2023,10200,10200,10200,10200,-,9000
75,14/03/2023,10300,10300,10300,10300,200,9100
76,15/03/2023,10300,10300,10300,10300,-,9100
77,16/03/2023,10300,10300,10300,10300,-,9100
78,17/03/2023,10000,10000,10000,10000,500,8800
79,20/03/2023,10000,10000,10000,10000,-,8800
80,21/03/2023,10100,10100,10100,10100,600,8900
81,22/03/2023,10100,10100,10100,10100,-,8900
82,23/03/2023,10100,10100,10100,10100,-,8900
83,24/03/2023,10100,10100,10100,10100,-,8900
84,27/03/2023,10000,10000,10000,10000,500,8800
85,28/03/2023,10900,10500,10500,10900,200,9600
86,29/03/2023,10900,10900,10900,10900,-,9600
87,30/03/2023,10900,10900,10900,10900,-,9600
88,31/03/2023,10900,10900,10900,10900,-,9600
89,03/04/2023,10900,10900,10900,10900,-,9600
90,04/04/2023,11000,11000,11000,11000,100,9700
91,05/04/2023,11000,11000,11000,11000,-,9700
92,06/04/2023,11000,11000,11000,11000,-,9700
93,07/04/2023,11000,11000,11000,11000,-,9700
94,10/04/2023,10000,10000,10000,10000,2000,8800
95,11/04/2023,10000,10000,10000,10000,-,8800
96,12/04/2023,10000,10000,10000,10000,-,8800
97,13/04/2023,10000,10000,10000,10000,-,8800
98,14/04/2023,10000,10000,10000,10000,-,8800
99,17/04/2023,10000,10000,10000,10000,-,8800
100,18/04/2023,10000,10000,10000,10000,-,8800
101,19/04/2023,10000,10000,10000,10000,-,8800
102,20/04/2023,9500,9500,9500,9500,400,8400
103,21/04/2023,9500,9500,9500,9500,-,8400
104,24/04/2023,10300,9800,10000,10000,1468,8800
105,25/04/2023,10500,10400,10500,10500,4800,9300
106,26/04/2023,10500,10500,10500,10500,70,9300
107,27/04/2023,11000,10500,10600,11000,800,9700
108,28/04/2023,11000,11000,11000,11000,100,9700
109,04/05/2023,11000,11000,11000,11000,200,9700
110,05/05/2023,11000,11000,11000,11000,16,9700
111,08/05/2023,10200,10200,10200,10200,5401,9000
112,09/05/2023,10200,10200,10200,10200,-,9000
113,10/05/2023,10900,10200,10900,10500,2000,9300
114,11/05/2023,10500,10500,10500,10500,-,9300
115,12/05/2023,10800,10800,10800,10800,500,9500
116,15/05/2023,11000,10900,10900,11000,2101,9700
117,16/05/2023,11000,11000,11000,11000,-,9700
118,17/05/2023,11000,11000,11000,11000,-,9700
119,18/05/2023,11000,11000,11000,11000,20,9700
120,19/05/2023,10900,10900,10900,10900,200,9600
121,22/05/2023,10900,10900,10900,10900,-,9600
122,23/05/2023,10900,10900,10900,10900,-,9600
123,24/05/2023,11000,10900,11000,10900,600,9600
124,25/05/2023,11000,11000,11000,11000,1091,9700
125,26/05/2023,11000,11000,11000,11000,-,9700
126,29/05/2023,11100,11100,11100,11100,700,9800
127,30/05/2023,12200,11800,11800,12200,2500,10800
128,31/05/2023,12200,12200,12200,12200,10,10800
129,01/06/2023,12000,12000,12000,12000,2000,10600
130,02/06/2023,12800,12000,12000,12800,200,11300
131,05/06/2023,12000,12000,12000,12000,320,10600
132,06/06/2023,12000,12000,12000,12000,-,10600
133,07/06/2023,11800,11800,11800,11800,100,10400
134,08/06/2023,12000,11800,12000,11800,1200,10400
135,09/06/2023,12000,11900,11900,11900,4400,10500
136,12/06/2023,11900,11900,11900,11900,-,10500
137,13/06/2023,11900,11900,11900,11900,-,10500
138,14/06/2023,11900,11900,11900,11900,1,10500
139,15/06/2023,11500,11400,11500,11400,500,10100
140,16/06/2023,12000,11600,12000,11600,2100,10200
141,19/06/2023,11600,11600,11600,11600,-,10200
142,20/06/2023,11800,11700,11800,11700,800,10300
143,21/06/2023,11700,11700,11700,11700,1085,10300
144,22/06/2023,11900,11600,11900,11600,3500,10200
145,23/06/2023,11400,11200,11200,11300,2120,10000
146,26/06/2023,12000,12000,12000,12000,6400,10600
147,27/06/2023,11500,11300,11300,11500,4300,10100
148,28/06/2023,11700,11700,11700,11700,11000,10300
149,29/06/2023,11900,11700,11800,11700,8500,10300
150,30/06/2023,11700,11700,11700,11700,1000,10300
151,03/07/2023,11700,11700,11700,11700,-,10300
152,04/07/2023,11700,11700,11700,11700,1300,10300
153,05/07/2023,11700,11700,11700,11700,768,10300
154,06/07/2023,11600,11500,11600,11600,7500,10200
155,07/07/2023,11700,11700,11700,11700,100,10300
156,10/07/2023,12000,11900,12000,11900,1409,10500
157,11/07/2023,11900,11900,11900,11900,-,10500
158,12/07/2023,11700,11600,11600,11700,3000,10300
159,13/07/2023,11800,11800,11800,11800,107,10400
160,14/07/2023,11800,11800,11800,11800,700,10400
161,17/07/2023,11500,11200,11500,11500,4700,10100
162,18/07/2023,11600,11000,11600,11500,23900,10100
163,19/07/2023,11500,11300,11300,11500,3610,10100
164,20/07/2023,11500,11000,11500,11300,17816,10000
165,21/07/2023,11600,11400,11500,11600,28615,10200
166,24/07/2023,11800,11600,11600,11800,7006,10400
167,25/07/2023,12000,11800,11800,11900,3600,10500
168,26/07/2023,11900,11900,11900,11900,800,10500
169,27/07/2023,11900,11800,11800,11800,4500,10400
170,28/07/2023,11900,11900,11900,11900,200,10500
171,31/07/2023,12000,11900,11900,12000,9700,10600
172,01/08/2023,11900,11900,11900,11900,3000,10500
173,02/08/2023,11900,11900,11900,11900,-,10500
174,03/08/2023,12000,11900,11900,12000,5001,10600
175,04/08/2023,12000,12000,12000,12000,101,10600
176,07/08/2023,12000,12000,12000,12000,400,10600
177,08/08/2023,12000,12000,12000,12000,-,10600
178,09/08/2023,11900,11900,11900,11900,10000,10500
179,10/08/2023,11800,11700,11800,11700,7600,10300
180,11/08/2023,11700,11600,11700,11700,6700,10300
