,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5900,5500,5800,5500,209202,4300
1,22/11/2022,5900,5600,5700,5800,169926,4500
2,23/11/2022,5900,5500,5700,5500,71412,4300
3,24/11/2022,5500,5300,5300,5400,40600,4200
4,25/11/2022,5900,5600,5600,5900,123900,4600
5,28/11/2022,6400,6100,6100,6400,88200,5000
6,29/11/2022,7000,6500,6700,6900,194800,5400
7,30/11/2022,7500,6800,7200,7500,201400,5800
8,01/12/2022,8200,7900,8000,8200,91400,6400
9,02/12/2022,8300,7900,7900,8300,91700,6500
10,05/12/2022,8500,7900,8400,8500,166800,6600
11,06/12/2022,8400,7900,8200,8200,76202,6400
12,07/12/2022,8200,7800,8200,7900,163800,6100
13,08/12/2022,8300,7900,7900,8100,176700,6300
14,09/12/2022,6600,6200,6300,6200,55500,6200
15,12/12/2022,6400,5900,6100,6300,35200,6300
16,13/12/2022,6400,5900,6400,6100,85900,6100
17,14/12/2022,6200,6000,6200,6200,6400,6200
18,15/12/2022,6200,5700,6200,6000,40460,6000
19,16/12/2022,6000,5500,5500,5800,18700,5800
20,19/12/2022,6000,5800,5800,5800,38000,5800
21,20/12/2022,5800,5500,5800,5700,52220,5700
22,21/12/2022,5900,5500,5700,5900,26770,5900
23,22/12/2022,5900,5700,5900,5700,35700,5700
24,23/12/2022,5800,5500,5800,5700,22800,5700
25,26/12/2022,5700,5200,5700,5500,28885,5500
26,27/12/2022,5600,5100,5600,5500,40200,5500
27,28/12/2022,5500,5300,5300,5500,79300,5500
28,29/12/2022,5500,5200,5500,5200,31600,5200
29,30/12/2022,5500,5300,5500,5500,24410,5500
30,03/01/2023,5700,5200,5200,5700,64000,5700
31,04/01/2023,5800,5400,5500,5700,16900,5700
32,05/01/2023,5800,5700,5700,5800,9800,5800
33,06/01/2023,5800,5500,5800,5500,30800,5500
34,09/01/2023,5700,5500,5700,5500,8400,5500
35,10/01/2023,5600,5500,5500,5500,6000,5500
36,11/01/2023,5600,5000,5600,5500,18200,5500
37,12/01/2023,5500,5400,5500,5500,22700,5500
38,13/01/2023,5600,5300,5500,5500,50160,5500
39,16/01/2023,5500,5200,5500,5500,7600,5500
40,17/01/2023,5600,5500,5500,5600,45700,5600
41,18/01/2023,5800,5400,5500,5700,25960,5700
42,19/01/2023,5800,5400,5700,5800,44213,5800
43,27/01/2023,6300,5800,5900,6000,57708,6000
44,30/01/2023,6000,5800,5800,5900,14520,5900
45,31/01/2023,5900,5600,5800,5900,9040,5900
46,01/02/2023,5900,5600,5800,5900,116041,5900
47,02/02/2023,5700,5500,5600,5500,32700,5500
48,03/02/2023,5500,5300,5400,5400,16100,5400
49,06/02/2023,5700,5300,5500,5700,11100,5700
50,07/02/2023,5600,5400,5600,5500,9340,5500
51,08/02/2023,5500,5300,5300,5300,15000,5300
52,09/02/2023,5500,5100,5500,5100,51500,5100
53,10/02/2023,5400,5100,5300,5300,32800,5300
54,13/02/2023,5500,5000,5200,5500,39101,5500
55,14/02/2023,5500,5200,5500,5300,10710,5300
56,15/02/2023,5400,5200,5400,5200,7800,5200
57,16/02/2023,5300,5100,5200,5100,6000,5100
58,17/02/2023,5200,5000,5200,5000,29900,5000
59,20/02/2023,5300,5100,5200,5300,98000,5300
60,21/02/2023,5400,5100,5300,5200,57236,5200
61,22/02/2023,5200,5000,5000,5000,103874,5000
62,23/02/2023,5100,4900,5100,4900,49980,4900
63,24/02/2023,5000,4800,5000,4800,38700,4800
64,27/02/2023,4900,4800,4800,4800,13200,4800
65,28/02/2023,4900,4700,4800,4700,34580,4700
66,01/03/2023,4800,4700,4700,4700,33310,4700
67,02/03/2023,4900,4800,4800,4800,17913,4800
68,03/03/2023,4900,4600,4900,4800,13340,4800
69,06/03/2023,5000,4700,4800,4900,63900,4900
70,07/03/2023,5000,4800,4900,5000,74001,5000
71,08/03/2023,5000,4800,5000,5000,27700,5000
72,09/03/2023,5100,4900,4900,5100,137120,5100
73,10/03/2023,5000,4900,5000,4900,21500,4900
74,13/03/2023,4900,4800,4900,4900,94560,4900
75,14/03/2023,5000,4800,5000,4900,21600,4900
76,15/03/2023,5000,4800,4900,5000,30305,5000
