,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,24500,20600,20600,23600,12902,22600
1,22/11/2022,25900,22900,22900,25500,52100,24500
2,23/11/2022,26000,25000,26000,25000,14130,24000
3,24/11/2022,25500,25000,25400,25200,7900,24200
4,25/11/2022,27600,26400,26400,27600,9700,26500
5,28/11/2022,30300,28900,28900,30300,31037,29100
6,29/11/2022,33300,30000,31400,31500,16400,30200
7,30/11/2022,33300,30000,31500,31500,14700,30200
8,01/12/2022,33300,31300,32500,31500,33800,30200
9,02/12/2022,31500,28400,30600,31500,27700,30200
10,05/12/2022,31500,29700,30600,30300,9707,29100
11,06/12/2022,30300,27300,29500,27300,24300,26200
12,07/12/2022,28400,24700,28400,24700,13600,23700
13,08/12/2022,27100,24700,24800,26900,42107,25800
14,09/12/2022,28300,26400,26400,27900,1600,26800
15,12/12/2022,28500,27500,27900,28000,6600,26900
16,13/12/2022,28900,27000,28400,28900,12000,27700
17,14/12/2022,31700,29200,29600,30000,16700,28800
18,15/12/2022,31000,29800,30000,30900,7100,29600
19,16/12/2022,31000,29000,30000,30700,15700,29400
20,19/12/2022,31000,29800,30500,29800,5500,28600
21,20/12/2022,29800,27600,29800,28500,17900,27300
22,21/12/2022,29000,27800,28500,27900,5300,26800
23,22/12/2022,28900,28000,28500,28800,5302,27600
24,23/12/2022,29400,29000,29000,29300,8500,28100
25,26/12/2022,30000,28100,30000,28100,43600,27000
26,27/12/2022,29400,28300,29000,29400,6815,28200
27,28/12/2022,29400,28900,29400,28900,800,28900
28,29/12/2022,29600,28800,29000,29000,3200,29000
29,30/12/2022,29000,28600,29000,28600,1640,28600
30,03/01/2023,29300,28200,28600,29000,6700,29000
31,04/01/2023,29900,28500,29000,29300,12900,29300
32,05/01/2023,29900,29200,29500,29800,6400,29800
33,06/01/2023,29900,28600,29800,29700,7900,29700
34,09/01/2023,29600,28500,29200,28800,22200,28800
35,10/01/2023,28600,27000,28500,27900,20900,27900
36,11/01/2023,28500,27600,28000,28500,22700,28500
37,12/01/2023,28500,27200,27900,27200,11500,27200
38,13/01/2023,29000,27400,27400,27800,22100,27800
39,16/01/2023,27800,27200,27700,27800,4103,27800
40,17/01/2023,28200,27800,28000,27800,14400,27800
41,18/01/2023,28500,27800,27900,28500,23400,28500
42,19/01/2023,28600,28100,28200,28100,5300,28100
43,27/01/2023,29000,28100,28100,28500,5100,28500
44,30/01/2023,28800,27100,28800,28000,33600,28000
45,31/01/2023,28200,27200,28000,27700,12300,27700
46,01/02/2023,28900,27300,28900,27500,16100,27500
47,02/02/2023,27500,26100,27500,26900,12501,26900
48,03/02/2023,26900,26300,26900,26400,5100,26400
49,06/02/2023,26500,26300,26400,26300,8300,26300
50,07/02/2023,26300,25500,26300,26300,17600,26300
51,08/02/2023,26300,25600,26300,26200,7800,26200
52,09/02/2023,26500,25400,26300,26200,5400,26200
53,10/02/2023,26200,25000,26000,25000,12900,25000
54,13/02/2023,25700,24800,25600,25100,8200,25100
55,14/02/2023,25600,25000,25600,25200,1400,25200
56,15/02/2023,25900,25200,25200,25800,4000,25800
57,16/02/2023,26000,25800,25900,26000,2800,26000
58,17/02/2023,28500,25000,26000,27800,53200,27800
59,20/02/2023,28900,27800,27800,28200,27600,28200
60,21/02/2023,28200,27700,28200,28100,9400,28100
61,22/02/2023,28000,27500,27600,27600,7200,27600
62,23/02/2023,27600,26600,27600,27000,12700,27000
63,24/02/2023,27000,26000,26600,26500,2900,26500
64,27/02/2023,26600,25800,26500,25800,8200,25800
65,28/02/2023,25800,25200,25800,25800,3600,25800
66,01/03/2023,26000,23600,25000,25500,7800,25500
67,02/03/2023,26100,25100,25500,26100,1700,26100
68,03/03/2023,26000,25500,25500,25500,4600,25500
69,06/03/2023,27000,25500,25500,26400,2000,26400
70,07/03/2023,26400,24800,26400,24800,3100,24800
71,08/03/2023,26000,25500,25500,26000,5400,26000
72,09/03/2023,27000,25400,25600,26100,6460,26100
73,10/03/2023,26200,25700,25700,25800,10700,25800
74,13/03/2023,26500,25800,26300,25800,1200,25800
75,14/03/2023,26000,25300,26000,25900,700,25900
76,15/03/2023,26700,25900,25900,26500,12100,26500
77,16/03/2023,26000,25900,26000,25900,2900,25900
78,17/03/2023,26600,25800,26000,26000,10800,26000
79,20/03/2023,26000,25700,26000,25700,9600,25700
80,21/03/2023,26000,25600,26000,26000,9238,26000
81,22/03/2023,26600,25900,26500,26600,19200,26600
82,23/03/2023,26500,25600,26000,26500,1400,26500
83,24/03/2023,27000,26000,26000,27000,12500,27000
84,27/03/2023,27400,26800,26900,27400,5804,27400
85,28/03/2023,27500,26800,27500,27400,2100,27400
86,29/03/2023,27200,27000,27000,27100,1928,27100
87,30/03/2023,27500,26200,27100,27400,8600,27400
88,31/03/2023,27200,26700,27000,27200,500,27200
89,03/04/2023,28500,26500,27400,28500,32603,28500
90,04/04/2023,28400,27800,28400,27800,14738,27800
91,05/04/2023,28000,27100,27900,28000,28654,28000
92,06/04/2023,29000,28000,28000,28300,43100,28300
93,07/04/2023,29000,28000,28000,28900,25600,28900
94,10/04/2023,31500,29000,29000,30900,74100,30900
95,11/04/2023,31500,30000,30900,31000,16000,31000
96,12/04/2023,31700,31000,31700,31200,20404,31200
97,13/04/2023,31200,30600,31000,31000,14709,31000
98,14/04/2023,31500,30400,31500,31000,43003,31000
99,17/04/2023,31500,30700,31000,31500,6800,31500
100,18/04/2023,33200,31000,31500,33200,21800,33200
101,19/04/2023,33400,32600,33400,32800,17304,32800
102,20/04/2023,33000,32600,32800,33000,16800,33000
103,21/04/2023,33500,32800,33000,33000,25500,33000
104,24/04/2023,34000,33000,33000,33800,15304,33800
105,25/04/2023,35500,33000,33800,34700,24200,34700
106,26/04/2023,35000,34000,34400,34200,7800,34200
107,27/04/2023,34700,33600,33600,34500,13000,34500
108,28/04/2023,37000,34000,34100,35600,34805,35600
109,04/05/2023,37200,35800,35800,36400,34100,36400
110,05/05/2023,37000,36400,36400,36800,16000,36800
111,08/05/2023,37200,36500,37000,37200,26500,37200
112,09/05/2023,36600,36500,36600,36500,12103,36500
113,10/05/2023,37000,35800,36500,37000,23400,37000
114,11/05/2023,37000,36600,36900,37000,11500,37000
115,12/05/2023,36800,36400,36800,36600,16100,36600
116,15/05/2023,36600,35100,36600,36600,19900,36600
117,16/05/2023,36700,36000,36600,36700,25600,36700
118,17/05/2023,36700,35300,36700,35600,6600,35600
119,18/05/2023,36500,35300,36500,36200,600,36200
120,19/05/2023,36200,35900,36100,36000,14200,36000
121,22/05/2023,36400,35900,36200,36400,6200,36400
122,23/05/2023,36700,36200,36400,36600,11103,36600
123,24/05/2023,37500,36500,36800,36600,30500,36600
124,25/05/2023,36900,36000,36600,36000,23015,36000
125,26/05/2023,36500,36200,36500,36300,8600,36300
126,29/05/2023,37000,36300,36500,36500,17117,36500
127,30/05/2023,36500,35900,36500,36400,8300,36400
128,31/05/2023,36500,36200,36500,36500,5800,36500
129,01/06/2023,36500,36200,36200,36300,2900,36300
130,02/06/2023,36600,36300,36500,36600,9905,36600
131,05/06/2023,36700,36000,36600,36200,12400,36200
132,06/06/2023,36500,36000,36500,36400,1710,36400
133,07/06/2023,40000,36000,37100,36200,23903,36200
134,08/06/2023,36200,35800,36200,35800,12000,35800
135,09/06/2023,36400,35600,35800,36400,2400,36400
136,12/06/2023,36300,35300,36300,35600,12900,35600
137,13/06/2023,36000,35000,35700,35600,8801,35600
138,14/06/2023,35500,34000,35500,34500,14400,34500
139,15/06/2023,35000,33500,34100,34000,8100,34000
140,16/06/2023,34900,33400,33400,33600,9600,33600
141,19/06/2023,34900,33300,33400,33900,7301,33900
142,20/06/2023,34400,33700,33900,34400,6600,34400
143,21/06/2023,35000,33700,35000,33800,20300,33800
144,22/06/2023,34900,33900,34100,34500,7500,34500
145,23/06/2023,34100,33300,34100,33600,13400,33600
146,26/06/2023,33500,31000,33100,31200,48500,31200
147,27/06/2023,31400,30000,31400,30000,19700,30000
148,28/06/2023,31000,29700,30200,30000,19500,30000
149,29/06/2023,30800,29800,30000,30000,38100,30000
150,30/06/2023,30500,29500,29500,30000,39400,30000
151,03/07/2023,30900,30000,30000,30000,28000,30000
152,04/07/2023,30100,29900,30000,30100,10500,30100
153,05/07/2023,31100,30300,30400,30500,24200,30500
154,06/07/2023,30800,30000,30800,30200,20800,30200
155,07/07/2023,30500,30000,30400,30200,33100,30200
156,10/07/2023,30400,29900,30000,30300,44700,30300
157,11/07/2023,30300,29700,30300,30000,50100,30000
158,12/07/2023,30200,29500,30000,30000,21500,30000
159,13/07/2023,30100,29900,30100,30000,35600,30000
160,14/07/2023,30700,30000,30700,30400,14003,30400
161,17/07/2023,32900,30400,30400,32200,54122,32200
162,18/07/2023,32200,31000,32100,31200,26600,31200
163,19/07/2023,32600,31400,31400,32200,36000,32200
164,20/07/2023,33000,31100,32000,32200,30711,32200
165,21/07/2023,32400,31000,31600,32400,33400,32400
