,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10400,10200,10400,10200,800,10200
1,22/11/2022,10600,10000,10000,10600,8743,10600
2,23/11/2022,10600,10400,10600,10500,3554,10500
3,24/11/2022,10400,10400,10400,10400,3000,10400
4,25/11/2022,10400,10200,10200,10400,2500,10400
5,28/11/2022,10400,9500,9500,10100,13800,10100
6,29/11/2022,10400,9300,9300,10400,315,10400
7,30/11/2022,10300,10200,10300,10200,639,10200
8,01/12/2022,10200,9300,9300,9800,219811,9800
9,02/12/2022,10700,10000,10000,10700,16613,10700
10,05/12/2022,11500,11200,11500,11200,2241,11200
11,06/12/2022,11000,10900,11000,10900,1700,10900
12,07/12/2022,10900,10800,10900,10800,2320,10800
13,08/12/2022,11800,10900,10900,11800,513,11800
14,09/12/2022,11600,11300,11600,11600,1200,11600
15,12/12/2022,11600,11600,11600,11600,-,11600
16,13/12/2022,11900,10800,10900,11900,10600,11900
17,14/12/2022,12000,11800,12000,11800,5300,11800
18,15/12/2022,12000,12000,12000,12000,100,12000
19,16/12/2022,12000,11900,11900,12000,6100,12000
20,19/12/2022,12000,12000,12000,12000,-,12000
21,20/12/2022,12700,12700,12700,12700,100,12700
22,21/12/2022,12700,12700,12700,12700,-,12700
23,22/12/2022,12700,12700,12700,12700,-,12700
24,23/12/2022,12700,12700,12700,12700,-,12700
25,26/12/2022,11700,11700,11700,11700,200,11700
26,27/12/2022,11600,11600,11600,11600,500,11600
27,28/12/2022,11600,11600,11600,11600,256000,11600
28,29/12/2022,11600,11600,11600,11600,-,11600
29,30/12/2022,11600,11600,11600,11600,-,11600
30,03/01/2023,11600,11600,11600,11600,-,11600
31,04/01/2023,11600,11600,11600,11600,9,11600
32,05/01/2023,11600,11600,11600,11600,700,11600
33,06/01/2023,11600,11600,11600,11600,808,11600
34,09/01/2023,11700,11600,11700,11600,300,11600
35,10/01/2023,12100,12100,12100,12100,100,12100
36,11/01/2023,12100,12100,12100,12100,46,12100
37,12/01/2023,12100,12100,12100,12100,-,12100
38,13/01/2023,12100,12100,12100,12100,100,12100
39,16/01/2023,12100,12100,12100,12100,200,12100
40,17/01/2023,12100,12100,12100,12100,400,12100
41,18/01/2023,12000,11700,12000,11700,1020,11700
42,19/01/2023,12200,12200,12200,12200,200,12200
43,27/01/2023,13400,11700,11700,13400,2600,13400
44,30/01/2023,14000,13800,14000,13800,200,13800
45,31/01/2023,13800,13800,13800,13800,-,13800
46,01/02/2023,13800,13800,13800,13800,-,13800
47,02/02/2023,13800,13800,13800,13800,-,13800
48,03/02/2023,14100,12600,14100,12600,200,12600
49,06/02/2023,13800,11400,12600,13800,21800,13800
50,07/02/2023,14000,12500,14000,12500,600,12500
51,08/02/2023,11600,11300,11600,11400,352,11400
52,09/02/2023,12500,12000,12400,12000,3300,12000
53,10/02/2023,12000,10800,12000,10800,5900,10800
54,13/02/2023,10800,10800,10800,10800,-,10800
55,14/02/2023,11200,9800,10100,11200,1500,11200
56,15/02/2023,11300,11200,11200,11300,200,11300
57,16/02/2023,11300,10200,11300,10500,2200,10500
58,17/02/2023,10500,9500,9500,10500,1000,10500
59,20/02/2023,10900,10600,10600,10700,3100,10700
60,21/02/2023,10600,10600,10600,10600,100,10600
61,22/02/2023,10800,10800,10800,10800,100,10800
62,23/02/2023,10800,10800,10800,10800,100,10800
