,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6700,6100,6700,6200,1100,5400
1,22/11/2022,6700,6300,6700,6400,5200,5600
2,23/11/2022,6600,6200,6600,6500,3802,5700
3,24/11/2022,6500,6500,6500,6500,-,5700
4,25/11/2022,6900,6900,6900,6900,100,6100
5,28/11/2022,7400,6300,7400,7100,12801,6200
6,29/11/2022,7600,6600,7600,7000,20500,6100
7,30/11/2022,7300,6500,7300,6900,22686,6100
8,01/12/2022,7300,6600,6600,7300,19700,6400
9,02/12/2022,7200,6800,6800,7200,16200,6300
10,05/12/2022,7500,6700,7200,7000,15500,6100
11,06/12/2022,6900,6800,6800,6900,13800,6100
12,07/12/2022,6900,6900,6900,6900,-,6100
13,08/12/2022,7000,6800,6800,6900,17400,6100
14,09/12/2022,6800,6700,6800,6800,17100,6000
15,12/12/2022,6800,6700,6800,6800,12501,6000
16,13/12/2022,6900,6500,6600,6900,5200,6100
17,14/12/2022,7000,6800,6800,7000,5900,6100
18,15/12/2022,7000,6800,6800,6800,4000,6000
19,16/12/2022,7200,6600,6600,6900,1200,6100
20,19/12/2022,6900,6600,6800,6600,22300,5800
21,20/12/2022,6600,6600,6600,6600,3000,5800
22,21/12/2022,7000,6600,6700,6600,21700,5800
23,22/12/2022,6900,6500,6800,6700,10200,5900
24,23/12/2022,6700,6700,6700,6700,917,5900
25,26/12/2022,6700,6500,6700,6700,8100,5900
26,27/12/2022,6600,6400,6400,6600,500,5800
27,28/12/2022,6600,6400,6400,6600,5100,5800
28,29/12/2022,6400,6400,6400,6400,5400,5600
29,30/12/2022,6500,6300,6500,6400,8200,5600
30,03/01/2023,6700,6400,6400,6700,6300,5900
31,04/01/2023,6800,6700,6700,6800,7500,6000
32,05/01/2023,6800,6700,6800,6800,1700,6000
33,06/01/2023,6800,6500,6600,6800,3200,6000
34,09/01/2023,6800,6800,6800,6800,100,6000
35,10/01/2023,6800,6800,6800,6800,-,6000
36,11/01/2023,6800,6700,6700,6800,1200,6000
37,12/01/2023,6800,6700,6700,6800,1500,6000
38,13/01/2023,6800,6700,6700,6800,5200,6000
39,16/01/2023,7000,6800,6800,7000,8700,6100
40,17/01/2023,6900,6800,6800,6900,2400,6100
41,18/01/2023,7200,6800,6800,7200,1000,6300
42,19/01/2023,6900,6500,6600,6900,24200,6100
43,27/01/2023,7000,6900,6900,7000,2100,6100
44,30/01/2023,6900,6500,6500,6900,15900,6100
45,31/01/2023,6600,6600,6600,6600,300,5800
46,01/02/2023,6800,6600,6700,6600,29700,5800
47,02/02/2023,6800,6800,6800,6800,100,6000
48,03/02/2023,6800,6800,6800,6800,1000,6000
49,06/02/2023,6700,6600,6600,6700,3100,5900
50,07/02/2023,6700,6500,6700,6500,5600,5700
51,08/02/2023,6700,6500,6700,6500,2000,5700
52,09/02/2023,6700,6600,6600,6700,500,5900
53,10/02/2023,6700,6700,6700,6700,-,5900
54,13/02/2023,7300,6900,6900,7300,58000,6400
55,14/02/2023,8000,8000,8000,8000,6900,7000
56,15/02/2023,8800,8800,8800,8800,19700,7700
57,16/02/2023,9600,8300,9400,8400,64850,7400
58,17/02/2023,8800,8600,8600,8800,22000,7700
59,20/02/2023,9000,8800,8800,9000,24800,7900
60,21/02/2023,9400,8800,9100,8800,20700,7700
61,22/02/2023,9400,8700,8800,9300,53400,8200
62,23/02/2023,9300,9000,9200,9300,28000,8200
63,24/02/2023,9500,9000,9400,9000,10950,7900
64,27/02/2023,9400,8900,9400,9000,50900,7900
65,28/02/2023,9200,9000,9200,9000,18700,7900
66,01/03/2023,9000,8800,9000,9000,13700,7900
67,02/03/2023,9400,8900,9000,9000,68000,7900
68,03/03/2023,8300,7900,8300,8000,11900,8000
69,06/03/2023,8000,7700,8000,7900,17000,7900
70,07/03/2023,7900,7200,7900,7200,46608,7200
71,08/03/2023,7600,7100,7200,7400,5900,7400
72,09/03/2023,7400,6900,7400,7200,30901,7200
73,10/03/2023,7200,7100,7200,7200,3000,7200
74,13/03/2023,6900,6700,6800,6800,10429,6800
75,14/03/2023,6900,6500,6900,6700,10200,6700
76,15/03/2023,7100,6800,6800,7100,5700,7100
77,16/03/2023,7100,6800,7100,6800,4000,6800
78,17/03/2023,7000,6500,7000,6900,3800,6900
79,20/03/2023,6900,6900,6900,6900,1100,6900
80,21/03/2023,6900,6700,6700,6800,6800,6800
81,22/03/2023,6900,6800,6900,6800,2100,6800
82,23/03/2023,7100,6900,6900,7100,12710,7100
83,24/03/2023,7400,7100,7100,7400,8700,7400
84,27/03/2023,7400,7100,7400,7100,9600,7100
85,28/03/2023,7300,7200,7300,7200,5715,7200
86,29/03/2023,7300,7200,7200,7200,4700,7200
87,30/03/2023,7300,7000,7300,7000,4600,7000
