,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,44500,42900,43000,43400,143700,43400
1,22/11/2022,42800,42500,42800,42500,86320,42500
2,23/11/2022,46700,38300,46700,41500,333334,41500
3,24/11/2022,41900,40000,41900,41300,182400,41300
4,25/11/2022,41000,40000,41000,41000,107905,41000
5,28/11/2022,40900,39000,40900,39000,114600,39000
6,29/11/2022,40000,38700,38700,40000,86500,40000
7,30/11/2022,39900,38000,39800,39600,24500,39600
8,01/12/2022,43500,35700,39800,43500,186158,43500
9,02/12/2022,43500,41000,43500,41900,10900,41900
10,05/12/2022,42900,39800,42800,39800,333780,39800
11,06/12/2022,41000,37000,39500,41000,13000,41000
12,07/12/2022,42800,40500,42800,41500,64100,41500
13,08/12/2022,42800,37400,41500,37400,48400,37400
14,09/12/2022,41000,37400,37400,41000,2158500,41000
15,12/12/2022,41000,36900,39900,36900,90100,36900
16,13/12/2022,36900,36900,36900,36900,358200,36900
17,14/12/2022,34500,34000,34500,34000,161800,34000
18,15/12/2022,36000,36000,36000,36000,100,36000
19,16/12/2022,34500,32400,34500,32400,2104,32400
20,19/12/2022,30900,29200,29200,30900,2900,30900
21,20/12/2022,32500,32500,32500,32500,200,32500
22,21/12/2022,34000,34000,34000,34000,137500,34000
23,22/12/2022,34000,34000,34000,34000,-,34000
24,23/12/2022,34000,34000,34000,34000,135700,34000
25,26/12/2022,34000,34000,34000,34000,-,34000
26,27/12/2022,33700,33700,33700,33700,1200,33700
27,28/12/2022,33700,33700,33700,33700,420000,33700
28,29/12/2022,35400,30400,30400,35400,230900,35400
29,30/12/2022,37400,35300,35300,37400,1067200,37400
30,03/01/2023,36900,36900,36900,36900,100,36900
31,04/01/2023,36900,36900,36900,36900,-,36900
32,05/01/2023,40000,37400,37400,40000,153600,40000
33,06/01/2023,40000,40000,40000,40000,-,40000
34,09/01/2023,40000,40000,40000,40000,172600,40000
35,10/01/2023,40000,40000,40000,40000,-,40000
36,11/01/2023,40000,40000,40000,40000,660000,40000
37,12/01/2023,40000,40000,40000,40000,-,40000
38,13/01/2023,39900,38000,38000,39900,68500,39900
39,16/01/2023,39900,39900,39900,39900,51000,39900
40,17/01/2023,39900,39900,39900,39900,-,39900
41,18/01/2023,39900,39900,39900,39900,-,39900
42,19/01/2023,39900,39900,39900,39900,-,39900
43,27/01/2023,39900,39900,39900,39900,-,39900
44,30/01/2023,39900,39900,39900,39900,-,39900
45,31/01/2023,39900,39900,39900,39900,-,39900
46,01/02/2023,39900,39900,39900,39900,-,39900
47,02/02/2023,39900,39900,39900,39900,164000,39900
48,03/02/2023,39900,39900,39900,39900,210000,39900
49,06/02/2023,39900,39900,39900,39900,-,39900
50,07/02/2023,39900,39900,39900,39900,-,39900
51,08/02/2023,39900,36000,36000,39900,136200,39900
52,09/02/2023,39900,39900,39900,39900,-,39900
53,10/02/2023,39900,39900,39900,39900,-,39900
54,13/02/2023,39900,39900,39900,39900,-,39900
55,14/02/2023,39900,39900,39900,39900,-,39900
56,15/02/2023,39900,39900,39900,39900,-,39900
57,16/02/2023,39900,39900,39900,39900,718000,39900
58,17/02/2023,39900,39900,39900,39900,-,39900
59,20/02/2023,39900,39900,39900,39900,-,39900
60,21/02/2023,39400,39000,39000,39300,126600,39300
61,22/02/2023,39300,39300,39300,39300,-,39300
62,23/02/2023,39300,39300,39300,39300,-,39300
63,24/02/2023,39300,39300,39300,39300,-,39300
64,27/02/2023,38800,38500,38500,38500,1474000,38500
65,28/02/2023,38500,38500,38500,38500,294500,38500
66,01/03/2023,38500,38500,38500,38500,396000,38500
67,02/03/2023,38500,38500,38500,38500,756000,38500
68,03/03/2023,39800,34700,34700,39600,1430200,39600
69,06/03/2023,39600,39600,39600,39600,-,39600
70,07/03/2023,39600,39600,39600,39600,-,39600
71,08/03/2023,39600,39600,39600,39600,3000000,39600
72,09/03/2023,39600,39600,39600,39600,-,39600
73,10/03/2023,39600,39600,39600,39600,-,39600
74,13/03/2023,39400,39100,39400,39100,350000,39100
75,14/03/2023,39400,38800,39000,39400,360880,39400
76,15/03/2023,39400,38000,39400,39100,110000,39100
77,16/03/2023,39000,35500,37500,39000,55120,39000
78,17/03/2023,39100,39000,39100,39100,121200,39100
79,20/03/2023,39400,38900,39000,39400,410001,39400
80,21/03/2023,40000,40000,40000,40000,15800,40000
81,22/03/2023,40500,40500,40500,40500,461304,40500
82,23/03/2023,40800,40800,40800,40800,324600,40800
83,24/03/2023,40900,40900,40900,40900,123500,40900
84,27/03/2023,40700,40700,40700,40700,153300,40700
85,28/03/2023,40600,37800,39900,40600,75400,40600
86,29/03/2023,40800,40000,40500,40000,25900,40000
87,30/03/2023,40800,40500,40500,40500,51703,40500
88,31/03/2023,42500,39900,39900,41600,62173,41600
89,03/04/2023,41900,40500,41600,41800,50900,41800
90,04/04/2023,41700,41000,41700,41300,46630,41300
91,05/04/2023,41500,40500,41500,41000,455100,41000
92,06/04/2023,41000,39200,41000,40500,281003,40500
93,07/04/2023,40800,40500,40500,40600,57900,40600
94,10/04/2023,40400,38000,40400,40300,147200,40300
95,11/04/2023,40400,37900,39900,40400,707300,40400
96,12/04/2023,40600,37200,40300,40600,111700,40600
97,13/04/2023,40700,40100,40600,40600,16600,40600
98,14/04/2023,40800,39800,40200,40800,18600,40800
99,17/04/2023,40500,40500,40500,40500,5000,40500
100,18/04/2023,40400,37600,40400,39000,16900,39000
101,19/04/2023,39000,35100,38500,39000,20200,39000
102,20/04/2023,39000,35100,36100,39000,10500,39000
103,21/04/2023,39000,38900,39000,38900,3600,38900
