,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9900,9900,9900,9900,-,9900
1,22/11/2022,9900,9900,9900,9900,-,9900
2,23/11/2022,9900,9900,9900,9900,-,9900
3,24/11/2022,9900,9900,9900,9900,-,9900
4,25/11/2022,9900,9900,9900,9900,-,9900
5,28/11/2022,9900,9900,9900,9900,-,9900
6,29/11/2022,9900,9900,9900,9900,-,9900
7,30/11/2022,9900,9900,9900,9900,-,9900
8,01/12/2022,9900,9900,9900,9900,-,9900
9,02/12/2022,9900,9900,9900,9900,-,9900
10,05/12/2022,9900,9900,9900,9900,-,9900
11,06/12/2022,9900,9900,9900,9900,-,9900
12,07/12/2022,9900,9900,9900,9900,-,9900
13,08/12/2022,9900,9900,9900,9900,-,9900
14,09/12/2022,9900,9900,9900,9900,-,9900
15,12/12/2022,9900,9900,9900,9900,-,9900
16,13/12/2022,9900,9900,9900,9900,-,9900
17,14/12/2022,9900,9900,9900,9900,-,9900
18,15/12/2022,9900,9900,9900,9900,-,9900
19,16/12/2022,9900,9900,9900,9900,-,9900
20,19/12/2022,9900,9900,9900,9900,-,9900
21,20/12/2022,9900,9900,9900,9900,-,9900
22,21/12/2022,9900,9900,9900,9900,-,9900
23,22/12/2022,9900,9900,9900,9900,-,9900
24,23/12/2022,9900,9900,9900,9900,-,9900
25,26/12/2022,9900,9900,9900,9900,-,9900
26,27/12/2022,9900,9900,9900,9900,-,9900
27,28/12/2022,9900,9900,9900,9900,-,9900
28,29/12/2022,9900,9900,9900,9900,-,9900
29,30/12/2022,9900,9900,9900,9900,-,9900
30,03/01/2023,9900,9900,9900,9900,-,9900
31,04/01/2023,9900,9900,9900,9900,-,9900
32,05/01/2023,9900,9900,9900,9900,-,9900
33,06/01/2023,9900,9900,9900,9900,-,9900
34,09/01/2023,9900,9900,9900,9900,-,9900
35,10/01/2023,9900,9900,9900,9900,-,9900
36,11/01/2023,9900,9900,9900,9900,-,9900
37,12/01/2023,9900,9900,9900,9900,-,9900
38,13/01/2023,9900,9900,9900,9900,-,9900
39,16/01/2023,9900,9900,9900,9900,-,9900
40,17/01/2023,9900,9900,9900,9900,-,9900
41,18/01/2023,9900,9900,9900,9900,-,9900
42,19/01/2023,9900,9900,9900,9900,-,9900
43,27/01/2023,9900,9900,9900,9900,-,9900
44,30/01/2023,9900,9900,9900,9900,-,9900
45,31/01/2023,9900,9900,9900,9900,-,9900
46,01/02/2023,9900,9900,9900,9900,-,9900
47,02/02/2023,9900,9900,9900,9900,-,9900
48,03/02/2023,9900,9900,9900,9900,-,9900
49,06/02/2023,9900,9900,9900,9900,-,9900
50,07/02/2023,9900,9900,9900,9900,-,9900
51,08/02/2023,9900,9900,9900,9900,-,9900
52,09/02/2023,9900,9900,9900,9900,-,9900
53,10/02/2023,9900,9900,9900,9900,-,9900
54,13/02/2023,9900,9900,9900,9900,-,9900
55,14/02/2023,9900,9900,9900,9900,-,9900
56,15/02/2023,9900,9900,9900,9900,-,9900
57,16/02/2023,9900,9900,9900,9900,-,9900
58,17/02/2023,9900,9900,9900,9900,-,9900
59,20/02/2023,9900,9900,9900,9900,-,9900
60,21/02/2023,9900,9900,9900,9900,-,9900
61,22/02/2023,9900,9900,9900,9900,-,9900
62,23/02/2023,9900,9900,9900,9900,-,9900
63,24/02/2023,9900,9900,9900,9900,-,9900
64,27/02/2023,9900,9900,9900,9900,-,9900
65,28/02/2023,9900,9900,9900,9900,-,9900
66,01/03/2023,9900,9900,9900,9900,-,9900
67,02/03/2023,9900,9900,9900,9900,-,9900
68,03/03/2023,9900,9900,9900,9900,-,9900
69,06/03/2023,9900,9900,9900,9900,-,9900
70,07/03/2023,9900,9900,9900,9900,-,9900
71,08/03/2023,9900,9900,9900,9900,-,9900
72,09/03/2023,9900,9900,9900,9900,-,9900
73,10/03/2023,9900,9900,9900,9900,-,9900
74,13/03/2023,10800,9000,10800,9100,269200,9100
75,14/03/2023,10000,9000,9000,9200,60900,9200
76,15/03/2023,10100,9300,9800,10100,81583,10100
77,16/03/2023,11100,9600,10500,11100,34700,11100
78,17/03/2023,12200,12100,12200,12200,42000,12200
79,20/03/2023,13400,13400,13400,13400,52701,13400
80,21/03/2023,14700,14700,14700,14700,36183,14700
81,22/03/2023,16100,13300,16100,15700,328701,15700
82,23/03/2023,17200,15700,15800,16300,203310,16300
83,24/03/2023,17700,16000,17700,16100,84300,16100
84,27/03/2023,17000,16100,16200,16100,125301,16100
85,28/03/2023,16400,15300,15400,15600,48603,15600
86,29/03/2023,15500,14700,15500,14900,81500,14900
87,30/03/2023,15000,14500,15000,14500,62200,14500
88,31/03/2023,15000,13600,14500,13600,87501,13600
89,03/04/2023,14300,12800,13600,13900,63815,13900
90,04/04/2023,14000,13600,13900,14000,64100,14000
91,05/04/2023,14200,13500,13500,13900,46300,13900
92,06/04/2023,15200,13500,13600,15200,82621,15200
93,07/04/2023,16600,15200,16600,15400,78900,15400
94,10/04/2023,16000,14600,16000,14700,24200,14700
95,11/04/2023,15000,14300,14700,14700,34603,14700
96,12/04/2023,15000,14500,14700,14700,20100,14700
