,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5300,5300,5300,5300,-,5300
1,22/11/2022,5300,5300,5300,5300,-,5300
2,23/11/2022,5300,5300,5300,5300,-,5300
3,24/11/2022,5300,5300,5300,5300,-,5300
4,25/11/2022,5800,5800,5800,5800,300,5800
5,28/11/2022,6300,6300,6300,6300,100,6300
6,29/11/2022,6900,6900,6900,6900,20182,6900
7,30/11/2022,7500,6900,7500,7000,12700,7000
8,01/12/2022,7000,7000,7000,7000,-,7000
9,02/12/2022,7000,6300,6300,7000,415,7000
10,05/12/2022,7000,7000,7000,7000,100,7000
11,06/12/2022,7000,7000,7000,7000,-,7000
12,07/12/2022,7700,7000,7700,7000,500,7000
13,08/12/2022,7000,7000,7000,7000,-,7000
14,09/12/2022,7000,7000,7000,7000,-,7000
15,12/12/2022,7000,7000,7000,7000,1,7000
16,13/12/2022,7000,7000,7000,7000,-,7000
17,14/12/2022,7000,7000,7000,7000,-,7000
18,15/12/2022,7000,7000,7000,7000,-,7000
19,16/12/2022,7000,7000,7000,7000,-,7000
20,19/12/2022,7000,7000,7000,7000,-,7000
21,20/12/2022,7000,7000,7000,7000,-,7000
22,21/12/2022,6300,6300,6300,6300,400,6300
23,22/12/2022,5700,5700,5700,5700,1200,5700
24,23/12/2022,5300,5300,5300,5300,300,5300
25,26/12/2022,5300,5300,5300,5300,-,5300
26,27/12/2022,5300,4800,4800,5300,300,5300
27,28/12/2022,5300,5300,5300,5300,-,5300
28,29/12/2022,5300,5300,5300,5300,-,5300
29,30/12/2022,5300,5300,5300,5300,-,5300
30,03/01/2023,5800,5300,5800,5300,300,5300
31,04/01/2023,5300,5300,5300,5300,-,5300
32,05/01/2023,5500,5000,5000,5500,600,5500
33,06/01/2023,5500,5500,5500,5500,-,5500
34,09/01/2023,5500,5500,5500,5500,-,5500
35,10/01/2023,6000,6000,6000,6000,100,6000
36,11/01/2023,6000,6000,6000,6000,-,6000
37,12/01/2023,6000,6000,6000,6000,-,6000
38,13/01/2023,6000,6000,6000,6000,-,6000
39,16/01/2023,5400,5400,5400,5400,600,5400
40,17/01/2023,5400,5400,5400,5400,-,5400
41,18/01/2023,5400,5400,5400,5400,-,5400
42,19/01/2023,5400,5400,5400,5400,-,5400
43,27/01/2023,5400,5400,5400,5400,-,5400
44,30/01/2023,5400,5400,5400,5400,-,5400
45,31/01/2023,5400,5400,5400,5400,100,5400
46,01/02/2023,5400,5400,5400,5400,-,5400
47,02/02/2023,5400,5400,5400,5400,-,5400
48,03/02/2023,5400,5400,5400,5400,-,5400
49,06/02/2023,5400,5400,5400,5400,-,5400
50,07/02/2023,5400,5400,5400,5400,-,5400
51,08/02/2023,5400,5400,5400,5400,-,5400
52,09/02/2023,5400,5400,5400,5400,-,5400
53,10/02/2023,5400,5400,5400,5400,-,5400
54,13/02/2023,5400,5400,5400,5400,-,5400
55,14/02/2023,5400,5400,5400,5400,-,5400
56,15/02/2023,5400,5400,5400,5400,-,5400
57,16/02/2023,5400,5400,5400,5400,-,5400
58,17/02/2023,5000,4900,5000,4900,500,4900
59,20/02/2023,4900,4900,4900,4900,-,4900
60,21/02/2023,4900,4900,4900,4900,-,4900
61,22/02/2023,5300,4500,4500,4900,1100,4900
62,23/02/2023,4900,4900,4900,4900,-,4900
63,24/02/2023,4900,4900,4900,4900,-,4900
64,27/02/2023,4900,4900,4900,4900,-,4900
65,28/02/2023,4900,4900,4900,4900,-,4900
66,01/03/2023,4900,4900,4900,4900,-,4900
67,02/03/2023,4900,4900,4900,4900,-,4900
68,03/03/2023,4900,4900,4900,4900,-,4900
69,06/03/2023,4900,4900,4900,4900,-,4900
70,07/03/2023,4900,4900,4900,4900,-,4900
