,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7500,7500,7500,7500,-,6900
1,22/11/2022,7500,7500,7500,7500,3000,6900
2,23/11/2022,7500,7500,7500,7500,-,6900
3,24/11/2022,7600,7600,7600,7600,2100,6900
4,25/11/2022,7600,7600,7600,7600,4,6900
5,28/11/2022,7700,7600,7600,7700,4900,7000
6,29/11/2022,7600,7500,7500,7600,1200,6900
7,30/11/2022,7600,7600,7600,7600,1482,6900
8,01/12/2022,7600,7600,7600,7600,-,6900
9,02/12/2022,7600,7600,7600,7600,1900,6900
10,05/12/2022,7600,7600,7600,7600,27600,6900
11,06/12/2022,7600,7600,7600,7600,1100,6900
12,07/12/2022,7600,7500,7500,7600,4500,6900
13,08/12/2022,7600,7600,7600,7600,100,6900
14,09/12/2022,7600,7600,7600,7600,-,6900
15,12/12/2022,7800,7700,7700,7700,500,7000
16,13/12/2022,7700,7700,7700,7700,-,7000
17,14/12/2022,7800,7800,7800,7800,400,7100
18,15/12/2022,7600,7600,7600,7600,100,6900
19,16/12/2022,7600,7600,7600,7600,-,6900
20,19/12/2022,7600,7600,7600,7600,-,6900
21,20/12/2022,7600,7600,7600,7600,-,6900
22,21/12/2022,7600,7600,7600,7600,-,6900
23,22/12/2022,7800,7800,7800,7800,100,7100
24,23/12/2022,7800,7800,7800,7800,1,7100
25,26/12/2022,7800,7800,7800,7800,-,7100
26,27/12/2022,7800,7800,7800,7800,-,7100
27,28/12/2022,7800,7800,7800,7800,100,7100
28,29/12/2022,7800,7800,7800,7800,-,7100
29,30/12/2022,7800,7800,7800,7800,700,7100
30,03/01/2023,7800,7800,7800,7800,5,7100
31,04/01/2023,7800,7800,7800,7800,-,7100
32,05/01/2023,7800,7800,7800,7800,5,7100
33,06/01/2023,7900,7900,7900,7900,329,7200
34,09/01/2023,8000,7900,7900,8000,1000,7300
35,10/01/2023,8000,8000,8000,8000,-,7300
36,11/01/2023,8000,8000,8000,8000,-,7300
37,12/01/2023,8000,8000,8000,8000,-,7300
38,13/01/2023,8000,8000,8000,8000,-,7300
39,16/01/2023,7900,7900,7900,7900,100,7200
40,17/01/2023,7900,7900,7900,7900,-,7200
41,18/01/2023,7900,7900,7900,7900,-,7200
42,19/01/2023,7900,7900,7900,7900,21,7200
43,27/01/2023,7900,7900,7900,7900,10,7200
44,30/01/2023,8000,8000,8000,8000,300,7300
45,31/01/2023,7900,7600,7600,7600,1310,6900
