,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9500,9500,9500,9500,-,9200
1,22/11/2022,9500,9500,9500,9500,-,9200
2,23/11/2022,9500,9500,9500,9500,-,9200
3,24/11/2022,9500,9500,9500,9500,-,9200
4,25/11/2022,9500,9500,9500,9500,-,9200
5,28/11/2022,9500,9500,9500,9500,-,9200
6,29/11/2022,9500,9500,9500,9500,-,9200
7,30/11/2022,9500,9500,9500,9500,-,9200
8,01/12/2022,9500,9500,9500,9500,-,9200
9,02/12/2022,10400,10400,10400,10400,100,10100
10,05/12/2022,11000,11000,11000,11000,100,10700
11,06/12/2022,11000,11000,11000,11000,-,10700
12,07/12/2022,11000,11000,11000,11000,-,10700
13,08/12/2022,11000,11000,11000,11000,-,10700
14,09/12/2022,11000,11000,11000,11000,-,10700
15,12/12/2022,11000,11000,11000,11000,-,10700
16,13/12/2022,11000,11000,11000,11000,-,10700
17,14/12/2022,11000,11000,11000,11000,-,10700
18,15/12/2022,11000,11000,11000,11000,-,10700
19,16/12/2022,11000,11000,11000,11000,-,10700
20,19/12/2022,11000,11000,11000,11000,-,10700
21,20/12/2022,11000,11000,11000,11000,-,10700
22,21/12/2022,11000,11000,11000,11000,-,10700
23,22/12/2022,11000,11000,11000,11000,-,10700
24,23/12/2022,11000,11000,11000,11000,-,10700
25,26/12/2022,11000,11000,11000,11000,-,10700
26,27/12/2022,11000,11000,11000,11000,-,10700
27,28/12/2022,11000,11000,11000,11000,-,10700
28,29/12/2022,11000,11000,11000,11000,-,10700
29,30/12/2022,11000,11000,11000,11000,-,10700
30,03/01/2023,11000,11000,11000,11000,-,10700
31,04/01/2023,11000,11000,11000,11000,-,10700
32,05/01/2023,11000,11000,11000,11000,-,10700
33,06/01/2023,11000,11000,11000,11000,-,10700
34,09/01/2023,11000,11000,11000,11000,-,10700
35,10/01/2023,11000,11000,11000,11000,-,10700
36,11/01/2023,11000,11000,11000,11000,-,10700
37,12/01/2023,11000,11000,11000,11000,-,10700
38,13/01/2023,11000,11000,11000,11000,-,10700
39,16/01/2023,11000,11000,11000,11000,-,10700
40,17/01/2023,12100,12100,12100,12100,100,11800
41,18/01/2023,12100,12100,12100,12100,-,11800
42,19/01/2023,12100,12100,12100,12100,-,11800
43,27/01/2023,12100,12100,12100,12100,-,11800
44,30/01/2023,12100,12100,12100,12100,-,11800
45,31/01/2023,12100,12100,12100,12100,-,11800
46,01/02/2023,12100,12100,12100,12100,-,11800
47,02/02/2023,12100,12100,12100,12100,-,11800
48,03/02/2023,12100,12100,12100,12100,-,11800
49,06/02/2023,12100,12100,12100,12100,-,11800
50,07/02/2023,12100,12100,12100,12100,-,11800
51,08/02/2023,12100,12100,12100,12100,-,11800
52,09/02/2023,12100,12100,12100,12100,-,11800
53,10/02/2023,13300,12000,12100,12000,400,11700
