,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7000,6400,6500,7000,257310,6800
1,22/11/2022,7700,7000,7200,7200,304618,7000
2,23/11/2022,7500,7000,7400,7000,239736,6800
3,24/11/2022,7100,6600,7100,6900,86053,6700
4,25/11/2022,7200,7000,7000,7200,136511,7000
5,28/11/2022,7900,7300,7300,7900,220416,7700
6,29/11/2022,8600,7800,8100,8400,263884,8200
7,30/11/2022,8500,8000,8500,8200,222991,8000
8,01/12/2022,8700,8000,8400,8100,422637,7900
9,02/12/2022,8300,7700,8000,8300,216866,8100
10,05/12/2022,8700,8200,8500,8300,192664,8100
11,06/12/2022,8500,7900,8500,7900,336490,7700
12,07/12/2022,8000,7400,7900,7400,175298,7200
13,08/12/2022,8100,7400,7400,7900,170704,7700
14,09/12/2022,8000,7700,8000,7800,67651,7600
15,12/12/2022,8200,7800,7900,7900,185405,7700
16,13/12/2022,8000,7200,7400,7900,58302,7700
17,14/12/2022,8200,7900,8100,8000,145485,7800
18,15/12/2022,8100,7900,8000,8000,48031,7800
19,16/12/2022,8800,7900,8000,8800,366673,8600
20,19/12/2022,9600,9000,9000,9500,437212,9300
21,20/12/2022,9500,8600,9500,8600,386561,8400
22,21/12/2022,8800,7900,8800,8200,209506,8000
23,22/12/2022,8400,7600,8200,7900,99892,7700
24,23/12/2022,8400,7900,8000,8200,69162,8000
25,26/12/2022,8300,7400,8200,7500,222171,7300
26,27/12/2022,7800,7200,7300,7600,119717,7400
27,28/12/2022,7900,7700,7700,7800,79470,7600
28,29/12/2022,7900,7500,7800,7700,82101,7500
29,30/12/2022,7900,7700,7800,7800,32707,7600
30,03/01/2023,8500,7500,7800,8400,175650,8200
31,04/01/2023,8500,8100,8400,8200,124987,8000
32,05/01/2023,8500,8100,8200,8500,149750,8300
33,06/01/2023,8600,8300,8500,8500,168560,8300
34,09/01/2023,8600,7700,7700,8300,32507,8100
35,10/01/2023,8500,8000,8200,8300,116100,8100
36,11/01/2023,8600,8100,8300,8100,79060,7900
37,12/01/2023,8400,8100,8300,8200,45347,8000
38,13/01/2023,8500,8200,8300,8200,34900,8000
39,16/01/2023,8300,8100,8200,8200,64517,8000
40,17/01/2023,8400,8100,8200,8400,77767,8200
41,18/01/2023,9100,8200,8200,8900,306370,8700
42,19/01/2023,9700,8900,9000,9700,824645,9500
43,27/01/2023,10600,10500,10500,10600,258322,10400
44,30/01/2023,11600,11200,11600,11600,279648,11300
45,31/01/2023,12600,11200,12600,11800,875587,11500
46,01/02/2023,12000,10700,11800,10700,450796,10500
47,02/02/2023,11600,10000,10600,11400,609504,11100
48,03/02/2023,11800,10800,11500,11200,175084,10900
49,06/02/2023,11600,10400,11600,10800,197573,10600
50,07/02/2023,10900,10200,10800,10200,229575,10000
51,08/02/2023,11200,10100,10100,11200,593700,10900
52,09/02/2023,11800,11300,11500,11600,250540,11300
53,10/02/2023,11500,10500,11500,10600,347397,10400
54,13/02/2023,11000,10300,10500,10900,248645,10700
55,14/02/2023,11400,10800,11000,10800,241751,10600
56,15/02/2023,11300,10700,10800,10800,195350,10600
57,16/02/2023,11700,10900,11000,11400,321550,11100
58,17/02/2023,11700,11000,11700,11200,184322,10900
59,20/02/2023,11600,11000,11000,11500,475850,11200
60,21/02/2023,12100,11500,11600,12100,603746,11800
61,22/02/2023,12900,11800,11800,12000,713993,11700
62,23/02/2023,12400,11000,11800,11900,500638,11600
63,24/02/2023,11900,11200,11900,11400,242958,11100
64,27/02/2023,11500,10800,10800,11100,265200,10800
65,28/02/2023,11400,10500,11400,10500,241214,10300
66,01/03/2023,11000,10500,10500,11000,153945,10800
67,02/03/2023,11200,10700,11000,10700,109400,10500
68,03/03/2023,11200,10600,10800,10800,145310,10600
69,06/03/2023,11100,10600,10600,10800,89700,10600
70,07/03/2023,11000,10700,10800,10900,150510,10700
71,08/03/2023,11000,10700,10900,11000,162450,10800
72,09/03/2023,11300,10900,11000,11100,116578,10800
73,10/03/2023,11100,10700,11100,10800,156515,10600
74,13/03/2023,10800,10600,10800,10700,73327,10500
75,14/03/2023,10800,10300,10700,10500,189420,10300
76,15/03/2023,10900,10600,10700,10900,143310,10700
77,16/03/2023,10800,10500,10700,10800,127601,10600
78,17/03/2023,11000,10600,10900,10700,101700,10500
79,20/03/2023,10700,10400,10600,10600,89111,10400
80,21/03/2023,10700,10300,10400,10600,61279,10400
81,22/03/2023,10600,10500,10500,10600,81238,10400
82,23/03/2023,10600,10400,10500,10600,56500,10400
83,24/03/2023,11600,10600,10600,11500,657328,11200
84,27/03/2023,11800,11200,11500,11200,194833,10900
85,28/03/2023,11700,10900,11300,10900,242520,10700
86,29/03/2023,11100,10800,11000,10900,152314,10700
87,30/03/2023,11300,10900,11000,10900,96924,10700
88,31/03/2023,11100,10700,11100,10900,142750,10700
89,03/04/2023,11200,10900,11000,11000,184237,10800
90,04/04/2023,11600,11200,11200,11300,257452,11000
91,05/04/2023,11800,11300,11500,11500,444979,11200
92,06/04/2023,12100,11400,11700,11500,560229,11200
93,07/04/2023,11500,11000,11400,11200,182319,10900
94,10/04/2023,11400,11000,11200,11200,218495,10900
95,11/04/2023,11300,11100,11200,11200,121604,10900
96,12/04/2023,11600,11300,11500,11600,365244,11300
97,13/04/2023,11700,11300,11700,11400,167714,11100
98,14/04/2023,11500,11100,11300,11100,149950,10800
99,17/04/2023,11400,11200,11200,11400,123880,11100
100,18/04/2023,12100,11500,11500,11600,368036,11300
101,19/04/2023,12700,11400,11600,12500,1060102,12200
102,20/04/2023,13100,12000,12200,12700,338015,12400
103,21/04/2023,12700,11600,12700,11800,507402,11500
104,24/04/2023,11900,11500,11800,11600,161549,11300
105,25/04/2023,11900,11200,11600,11200,235100,10900
106,26/04/2023,11500,11100,11200,11400,213152,11100
107,27/04/2023,11500,11300,11400,11400,121600,11100
108,28/04/2023,11800,11300,11300,11500,247426,11200
109,04/05/2023,11500,11300,11300,11400,149914,11100
110,05/05/2023,11600,11300,11400,11600,153800,11300
111,08/05/2023,12000,11600,11600,11900,293008,11600
112,09/05/2023,12100,11700,11900,11900,134757,11600
113,10/05/2023,12000,11600,12000,11700,268274,11400
114,11/05/2023,11800,11500,11600,11800,309986,11500
115,12/05/2023,12600,11800,11800,12200,527301,11900
116,15/05/2023,12500,11700,12200,11700,332303,11400
117,16/05/2023,12000,11700,11700,11800,300305,11500
118,17/05/2023,12000,11700,11800,11900,274669,11600
119,18/05/2023,12200,11800,11900,11800,166000,11500
120,19/05/2023,12900,11900,11900,12500,1026897,12200
121,22/05/2023,12900,12500,12600,12700,468413,12400
122,23/05/2023,12700,12100,12500,12400,462145,12100
123,24/05/2023,12600,12100,12400,12300,185497,12000
124,25/05/2023,12600,12200,12300,12400,198716,12100
125,26/05/2023,12700,12300,12500,12400,184251,12100
126,29/05/2023,12600,12200,12500,12400,483879,12100
127,30/05/2023,12500,12200,12500,12300,290405,12000
128,31/05/2023,13200,12300,12300,12700,612897,12400
129,01/06/2023,12800,12300,12800,12600,255367,12300
130,02/06/2023,12800,12500,12600,12800,377161,12500
131,05/06/2023,13900,12900,12900,13200,507261,12900
132,06/06/2023,13400,12700,12700,13100,236080,12800
133,07/06/2023,13200,12800,13200,12900,394403,12600
134,08/06/2023,13100,12800,13000,13000,418882,12700
135,09/06/2023,13000,12800,13000,13000,314036,12700
136,12/06/2023,13700,13100,13100,13300,468917,13000
137,13/06/2023,13500,13100,13400,13300,225050,13000
138,14/06/2023,13100,12600,13100,12600,228571,12600
139,15/06/2023,12900,12600,12600,12600,203309,12600
140,16/06/2023,12900,12500,12900,12500,229850,12500
141,19/06/2023,12600,12100,12500,12200,288214,12200
142,20/06/2023,12400,12100,12200,12200,175822,12200
143,21/06/2023,12500,12200,12400,12500,171233,12500
144,22/06/2023,12600,12300,12600,12500,186618,12500
145,23/06/2023,12500,12100,12500,12200,251705,12200
146,26/06/2023,12400,12000,12300,12400,261555,12400
147,27/06/2023,12700,12400,12500,12500,189342,12500
148,28/06/2023,12800,12400,12500,12500,228801,12500
149,29/06/2023,12600,12300,12500,12300,131200,12300
150,30/06/2023,12300,12100,12300,12200,115243,12200
151,03/07/2023,12200,12000,12100,12100,118517,12100
152,04/07/2023,12400,12200,12300,12300,77400,12300
153,05/07/2023,12400,12200,12300,12300,151900,12300
154,06/07/2023,12400,11500,11500,12100,150914,12100
155,07/07/2023,12200,11900,12000,12200,107701,12200
156,10/07/2023,12400,12000,12300,12400,219972,12400
157,11/07/2023,12500,12300,12500,12400,192710,12400
158,12/07/2023,12500,12200,12400,12300,129613,12300
159,13/07/2023,12700,12300,12300,12600,425580,12600
160,14/07/2023,12800,12400,12700,12600,389130,12600
161,17/07/2023,12700,12500,12700,12500,350022,12500
162,18/07/2023,12900,12600,12600,12900,574900,12900
163,19/07/2023,13200,12800,13000,12800,438000,12800
164,20/07/2023,13900,12800,12800,13600,1005985,13600
165,21/07/2023,13700,13100,13600,13200,439400,13200
166,24/07/2023,13500,12800,13300,13000,659351,13000
167,25/07/2023,13300,12800,13000,12800,335548,12800
168,26/07/2023,13300,12800,12900,13100,471476,13100
169,27/07/2023,13200,12800,13200,13000,233378,13000
170,28/07/2023,13100,12800,13000,12800,310900,12800
171,31/07/2023,12900,12700,12900,12800,324575,12800
172,01/08/2023,13300,12800,12900,13000,546170,13000
173,02/08/2023,13000,12800,12800,12900,166609,12900
174,03/08/2023,13100,12700,12900,12700,379602,12700
175,04/08/2023,12900,12700,12700,12800,202740,12800
176,07/08/2023,13000,12700,12900,12900,339721,12900
177,08/08/2023,13700,12900,13000,13400,972732,13400
178,09/08/2023,13600,13200,13600,13200,350905,13200
179,10/08/2023,13500,13000,13200,13100,570022,13100
180,11/08/2023,13100,12800,13000,13000,211092,13000
181,14/08/2023,13100,12900,13000,13000,282722,13000
182,15/08/2023,13000,12800,13000,12900,232881,12900
183,16/08/2023,13100,12800,12900,13100,293650,13100
184,17/08/2023,13100,12800,13100,12800,156700,12800
185,18/08/2023,12800,11700,12800,11800,553929,11800
186,21/08/2023,12100,10700,12100,11600,169708,11600
187,22/08/2023,11600,11100,11600,11300,169800,11300
188,23/08/2023,11600,11300,11500,11400,123350,11400
189,24/08/2023,11700,11400,11400,11600,101600,11600
190,25/08/2023,11700,11400,11600,11500,108029,11500
