,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7600,7200,7300,7600,329408,7600
1,22/11/2022,7200,6900,6900,6900,377354,6900
2,23/11/2022,7400,6400,6400,7000,38558,7000
3,24/11/2022,7200,6700,6900,7200,115500,7200
4,25/11/2022,7200,6700,7000,7100,88200,7100
5,28/11/2022,7500,6600,7000,6900,368370,6900
6,29/11/2022,7200,6900,7100,7100,40101,7100
7,30/11/2022,7300,6700,7200,7100,189122,7100
8,01/12/2022,7700,7000,7100,7500,273084,7500
9,02/12/2022,7800,7400,7600,7500,103947,7500
10,05/12/2022,7500,7200,7500,7500,184400,7500
11,06/12/2022,7500,6900,7500,6900,94500,6900
12,07/12/2022,7000,6600,6800,6600,37592,6600
13,08/12/2022,7200,6800,6800,7200,81605,7200
14,09/12/2022,7400,6900,7200,7000,61000,7000
15,12/12/2022,7400,6900,6900,7400,101800,7400
16,13/12/2022,7400,7200,7300,7300,40285,7300
17,14/12/2022,7500,7200,7300,7500,62364,7500
18,15/12/2022,7500,7200,7500,7400,84098,7400
19,16/12/2022,7400,7300,7300,7400,18800,7400
20,19/12/2022,7300,7000,7100,7300,38501,7300
21,20/12/2022,7200,6800,7000,7200,18501,7200
22,21/12/2022,7200,6900,7100,7200,27910,7200
23,22/12/2022,7500,7200,7200,7500,31540,7500
24,23/12/2022,7500,7200,7400,7500,23800,7500
25,26/12/2022,7300,7000,7300,7300,14500,7300
26,27/12/2022,7300,7100,7200,7300,1000,7300
27,28/12/2022,7300,7100,7200,7300,8811,7300
28,29/12/2022,7200,7100,7200,7200,7200,7200
29,30/12/2022,7400,7300,7300,7400,32771,7400
30,03/01/2023,7500,7400,7400,7400,14780,7400
31,04/01/2023,7500,7300,7400,7500,13100,7500
32,05/01/2023,7500,7400,7500,7500,8300,7500
33,06/01/2023,7400,7300,7400,7300,6011,7300
34,09/01/2023,7300,7100,7200,7300,8084,7300
35,10/01/2023,7300,7100,7100,7300,6361,7300
36,11/01/2023,7200,7000,7100,7200,10024,7200
37,12/01/2023,7300,7100,7100,7200,2850,7200
38,13/01/2023,7300,7300,7300,7300,544,7300
39,16/01/2023,7300,7200,7300,7200,8500,7200
40,17/01/2023,7300,7200,7200,7300,6600,7300
41,18/01/2023,7600,7300,7300,7500,478620,7500
42,19/01/2023,7500,7400,7500,7400,1432,7400
43,27/01/2023,7900,7500,7500,7500,23501,7500
44,30/01/2023,7900,7600,7800,7800,31748,7800
45,31/01/2023,8200,7800,7800,8100,214446,8100
46,01/02/2023,8300,8000,8200,8000,30034,8000
47,02/02/2023,8100,7800,8000,7800,23500,7800
48,03/02/2023,8000,7800,7900,7900,52002,7900
49,06/02/2023,8000,7700,7900,8000,13823,8000
50,07/02/2023,7900,7700,7800,7900,17000,7900
51,08/02/2023,7900,7700,7800,7900,12302,7900
52,09/02/2023,7900,7700,7700,7900,3800,7900
53,10/02/2023,7900,7700,7800,7900,16224,7900
54,13/02/2023,7800,7700,7800,7700,13200,7700
55,14/02/2023,7800,7700,7800,7700,6521,7700
56,15/02/2023,7800,7700,7700,7700,15501,7700
57,16/02/2023,7800,7000,7700,7800,65604,7800
58,17/02/2023,7800,7400,7400,7700,7800,7700
59,20/02/2023,7800,7400,7800,7700,9524,7700
60,21/02/2023,7700,7400,7700,7600,10500,7600
61,22/02/2023,7600,7500,7600,7600,2955,7600
62,23/02/2023,7600,7400,7600,7500,11020,7500
63,24/02/2023,7500,7400,7400,7500,6400,7500
64,27/02/2023,7400,7400,7400,7400,48500,7400
65,28/02/2023,7500,7300,7400,7500,9115,7500
66,01/03/2023,7500,7100,7400,7400,68220,7400
67,02/03/2023,7500,7500,7500,7500,600,7500
68,03/03/2023,7600,7400,7400,7600,41310,7600
69,06/03/2023,7600,7400,7400,7600,230505,7600
70,07/03/2023,7700,7600,7600,7700,53000,7700
71,08/03/2023,7800,7600,7700,7800,23708,7800
72,09/03/2023,7900,7500,7800,7800,85410,7800
73,10/03/2023,7800,7600,7800,7800,65100,7800
74,13/03/2023,7700,7600,7700,7700,61200,7700
75,14/03/2023,7700,7600,7600,7600,44813,7600
76,15/03/2023,7800,7500,7500,7800,54300,7800
77,16/03/2023,7800,7700,7700,7800,38300,7800
78,17/03/2023,7800,7700,7700,7800,20924,7800
79,20/03/2023,7800,7600,7700,7600,20700,7600
80,21/03/2023,7700,7600,7600,7700,54800,7700
81,22/03/2023,7800,7600,7600,7800,49000,7800
82,23/03/2023,7700,7600,7700,7700,23543,7700
83,24/03/2023,7800,7600,7700,7700,22600,7700
84,27/03/2023,7700,7500,7600,7700,27506,7700
85,28/03/2023,7700,7600,7600,7700,38336,7700
86,29/03/2023,7700,7500,7600,7600,34400,7600
87,30/03/2023,7700,7600,7600,7700,44530,7700
88,31/03/2023,7700,7600,7600,7700,52500,7700
89,03/04/2023,7800,7700,7700,7800,54410,7800
90,04/04/2023,7900,7700,7800,7900,55300,7900
91,05/04/2023,8600,7800,7800,8600,65699,8600
92,06/04/2023,8700,8300,8500,8600,65427,8600
93,07/04/2023,8600,8300,8500,8600,63417,8600
94,10/04/2023,8700,8500,8600,8700,54449,8700
95,11/04/2023,8800,8500,8600,8800,53101,8800
96,12/04/2023,9100,8700,8800,9100,50600,9100
97,13/04/2023,9200,8800,8900,9100,57386,9100
98,14/04/2023,9200,8600,8900,8800,53138,8800
99,17/04/2023,8800,8500,8700,8700,60972,8700
100,18/04/2023,8700,8500,8600,8600,52112,8600
101,19/04/2023,9200,8100,8500,9200,72054,9200
102,20/04/2023,9200,8600,9100,8900,54600,8900
103,21/04/2023,8900,8100,8600,8600,64939,8600
104,24/04/2023,8700,8000,8500,8500,55913,8500
105,25/04/2023,8500,8000,8500,8400,53113,8400
106,26/04/2023,8600,8100,8100,8500,65900,8500
107,27/04/2023,8800,7700,8400,7700,85000,7700
108,28/04/2023,8300,7700,7700,8300,56418,8300
109,04/05/2023,8300,7900,8200,8000,53500,8000
110,05/05/2023,8100,7700,8000,7700,53889,7700
111,08/05/2023,8000,7700,7700,8000,55264,8000
112,09/05/2023,8300,7800,7900,8300,62538,8300
113,10/05/2023,8300,8000,8100,8300,62536,8300
114,11/05/2023,8300,8000,8200,8100,51464,8100
115,12/05/2023,8200,7900,7900,8200,61510,8200
116,15/05/2023,9000,8000,8000,8800,109549,8800
117,16/05/2023,8900,8300,8300,8600,65910,8600
118,17/05/2023,8700,8400,8500,8600,66173,8600
119,18/05/2023,8600,8400,8500,8600,58000,8600
120,19/05/2023,8600,8400,8500,8600,63500,8600
121,22/05/2023,8600,8500,8500,8500,61300,8500
122,23/05/2023,8600,8400,8500,8600,60260,8600
123,24/05/2023,8700,8500,8600,8700,52600,8700
124,25/05/2023,8700,8600,8600,8600,57400,8600
125,26/05/2023,8700,8500,8600,8600,61600,8600
126,29/05/2023,8800,8500,8600,8800,59400,8800
127,30/05/2023,8900,8700,8800,8900,62800,8900
128,31/05/2023,9000,8800,8800,9000,63300,9000
129,01/06/2023,9200,8900,8900,9200,77723,9200
130,02/06/2023,9300,8800,9100,9000,63800,9000
131,05/06/2023,9200,8700,8900,9200,68200,9200
132,06/06/2023,9200,8800,8900,9200,57428,9200
133,07/06/2023,9200,9000,9100,9100,53401,9100
134,08/06/2023,9100,8700,9100,8800,53816,8800
135,09/06/2023,9000,8800,8800,8900,52601,8900
136,12/06/2023,8900,8600,8900,8900,57400,8900
137,13/06/2023,9200,8800,8800,9200,68019,9200
138,14/06/2023,9200,8800,9000,9000,53350,9000
139,15/06/2023,9000,8800,8900,9000,70519,9000
140,16/06/2023,9000,8800,8900,8800,55208,8800
141,19/06/2023,8900,8700,8800,8800,53301,8800
142,20/06/2023,8900,8800,8800,8900,54800,8900
143,21/06/2023,9000,8800,8900,9000,57304,9000
144,22/06/2023,9000,8500,8700,9000,57200,9000
145,23/06/2023,9000,8800,8900,8900,61300,8900
146,26/06/2023,9000,8800,8900,8900,54600,8900
147,27/06/2023,8900,8600,8800,8700,54317,8700
148,28/06/2023,9000,8700,8700,9000,59625,9000
149,29/06/2023,9000,8700,8900,9000,60400,9000
150,30/06/2023,9000,8800,8900,9000,56301,9000
151,03/07/2023,9000,8800,8900,8900,50312,8900
152,04/07/2023,8900,8700,8900,8800,56300,8800
153,05/07/2023,9000,8800,8800,9000,81200,9000
154,06/07/2023,9000,8800,8900,8900,58900,8900
155,07/07/2023,8900,8700,8800,8900,61800,8900
156,10/07/2023,9000,8800,8800,9000,54700,9000
157,11/07/2023,9000,8800,8900,9000,60400,9000
158,12/07/2023,9000,8800,8900,9000,64811,9000
159,13/07/2023,9000,8800,8800,9000,55701,9000
160,14/07/2023,9000,8800,8900,9000,59511,9000
161,17/07/2023,9000,8800,9000,8900,55090,8900
162,18/07/2023,8900,8800,8900,8800,38712,8800
163,19/07/2023,8900,8700,8800,8800,55780,8800
164,20/07/2023,8900,8800,8800,8900,55700,8900
165,21/07/2023,8900,8600,8900,8700,49552,8700
166,24/07/2023,8800,8400,8700,8600,58600,8600
167,25/07/2023,8700,8400,8600,8600,66031,8600
168,26/07/2023,8700,8500,8600,8600,57000,8600
169,27/07/2023,8600,8500,8600,8600,54800,8600
170,28/07/2023,8600,8400,8600,8600,46662,8600
171,31/07/2023,9100,8500,8500,9100,54530,9100
172,01/08/2023,9100,8700,9100,8800,63300,8800
173,02/08/2023,9000,8700,8700,9000,56500,9000
174,03/08/2023,9000,8800,8900,8900,54433,8900
175,04/08/2023,9000,8700,8800,9000,59601,9000
176,07/08/2023,9000,8700,8800,8900,42174,8900
177,08/08/2023,9100,8700,8800,9000,50100,9000
178,09/08/2023,9100,8800,8900,9000,64736,9000
179,10/08/2023,9100,8800,8900,9000,53114,9000
180,11/08/2023,9000,8700,8900,8800,55900,8800
181,14/08/2023,8900,8700,8800,8700,57442,8700
182,15/08/2023,8800,8700,8700,8800,56000,8800
183,16/08/2023,8800,8700,8700,8800,54400,8800
184,17/08/2023,8800,8600,8800,8800,52900,8800
185,18/08/2023,8700,8200,8700,8200,55400,8200
186,21/08/2023,8300,8100,8200,8200,29600,8200
187,22/08/2023,8200,8100,8200,8200,25200,8200
188,23/08/2023,8300,8100,8200,8200,15000,8200
189,24/08/2023,8500,8200,8200,8500,18500,8500
190,25/08/2023,8400,8300,8300,8400,12461,8400
191,28/08/2023,8400,8000,8400,8300,18100,8300
192,29/08/2023,8300,8200,8300,8300,15200,8300
193,30/08/2023,8300,8200,8200,8300,18300,8300
194,31/08/2023,8300,8100,8200,8200,37600,8200
195,05/09/2023,8500,8200,8200,8400,40723,8400
196,06/09/2023,8300,8200,8200,8300,11500,8300
197,07/09/2023,8300,8200,8300,8300,8064,8300
198,08/09/2023,8400,8200,8300,8200,3800,8200
199,11/09/2023,8300,8200,8300,8200,8100,8200
200,12/09/2023,8300,8000,8200,8100,7229,8100
201,13/09/2023,8200,8000,8100,8200,4100,8200
202,14/09/2023,8300,8000,8300,8200,23300,8200
203,15/09/2023,8200,8200,8200,8200,1900,8200
204,18/09/2023,8200,8200,8200,8200,5600,8200
205,19/09/2023,8200,8100,8100,8200,3000,8200
206,20/09/2023,8200,8200,8200,8200,100,8200
207,21/09/2023,8300,8300,8300,8300,1038,8300
208,22/09/2023,8400,7800,8000,8400,21650,8400
209,25/09/2023,8400,8000,8400,8300,2735,8300
210,26/09/2023,8200,8000,8000,8200,23900,8200
211,27/09/2023,8200,7900,7900,8200,10000,8200
212,28/09/2023,8200,8200,8200,8200,4600,8200
213,29/09/2023,8200,8200,8200,8200,400,8200
214,02/10/2023,8300,8000,8000,8300,4300,8300
215,03/10/2023,8200,7900,8000,8200,6700,8200
216,04/10/2023,8100,8000,8000,8100,1144,8100
217,05/10/2023,8000,8000,8000,8000,1998,8000
218,06/10/2023,8000,8000,8000,8000,100,8000
219,09/10/2023,8000,7700,8000,8000,2800,8000
220,10/10/2023,8000,8000,8000,8000,200,8000
221,11/10/2023,8000,8000,8000,8000,229200,8000
222,12/10/2023,8000,7900,7900,8000,300,8000
223,13/10/2023,8000,7800,8000,7800,5200,7800
224,16/10/2023,8100,7900,7900,8000,3372,8000
225,17/10/2023,8000,7800,7800,8000,6700,8000
226,18/10/2023,7800,7700,7800,7700,5200,7700
227,19/10/2023,7900,7800,7800,7800,3200,7800
228,20/10/2023,7800,7800,7800,7800,13200,7800
229,23/10/2023,8000,7800,7800,8000,5700,8000
230,24/10/2023,8000,8000,8000,8000,-,8000
231,25/10/2023,8000,8000,8000,8000,-,8000
232,26/10/2023,8000,7300,7700,8000,9700,8000
233,27/10/2023,8000,7400,7600,8000,2400,8000
234,30/10/2023,7800,7400,7500,7500,2611,7500
235,31/10/2023,7900,7900,7900,7900,300,7900
