,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,17000,15200,16900,15200,10800,13100
1,22/11/2022,16600,15300,16400,16400,600,14100
2,23/11/2022,16400,16400,16400,16400,-,14100
3,24/11/2022,16800,16800,16800,16800,100,14500
4,25/11/2022,16800,16800,16800,16800,-,14500
5,28/11/2022,17000,16600,16600,17000,6308,14700
6,29/11/2022,17400,16900,17400,16900,5700,14600
7,30/11/2022,18500,18000,18100,18300,1700,15800
8,01/12/2022,20100,19600,19600,20100,200,17300
9,02/12/2022,18100,18100,18100,18100,2700,15600
10,05/12/2022,18100,17400,18100,17500,2700,15100
11,06/12/2022,18800,18500,18800,18600,600,16000
12,07/12/2022,18300,18300,18300,18300,400,16600
13,08/12/2022,18700,18700,18700,18700,212,16900
14,09/12/2022,18700,18700,18700,18700,-,16900
15,12/12/2022,18200,18200,18200,18200,400,16500
16,13/12/2022,20000,18000,18000,19000,40200,17200
17,14/12/2022,19700,18800,18800,19700,9900,17800
18,15/12/2022,19700,19700,19700,19700,-,17800
19,16/12/2022,19700,19700,19700,19700,-,17800
20,19/12/2022,19700,19700,19700,19700,-,17800
21,20/12/2022,19700,19700,19700,19700,-,17800
22,21/12/2022,19200,18000,18000,19200,1000,17400
23,22/12/2022,19200,19200,19200,19200,-,17400
24,23/12/2022,21000,17300,17400,21000,43500,19000
25,26/12/2022,19000,18900,19000,18900,12900,17100
26,27/12/2022,17900,17100,17100,17700,4700,16000
27,28/12/2022,17700,17700,17700,17700,-,16000
28,29/12/2022,19300,17700,17700,19300,23400,17500
29,30/12/2022,19000,17600,17600,18700,11300,16900
30,03/01/2023,17300,17000,17000,17300,200,15700
31,04/01/2023,17400,17400,17400,17400,4000,15800
32,05/01/2023,17000,17000,17000,17000,500,15400
33,06/01/2023,18400,17900,18400,17900,2700,16200
34,09/01/2023,17500,17500,17500,17500,3000,15800
35,10/01/2023,19200,16100,16100,17900,2900,16200
36,11/01/2023,19000,17600,17600,19000,5100,17200
37,12/01/2023,19000,19000,19000,19000,-,17200
38,13/01/2023,19000,19000,19000,19000,-,17200
39,16/01/2023,19000,17200,17200,19000,200,17200
40,17/01/2023,19000,17100,17100,19000,800,17200
41,18/01/2023,17200,17200,17200,17200,100,15600
42,19/01/2023,18400,18000,18400,18100,700,16400
43,27/01/2023,19000,19000,19000,19000,100,17200
44,30/01/2023,18900,18300,18900,18300,1400,16600
45,31/01/2023,18300,18300,18300,18300,5,16600
46,01/02/2023,18300,18300,18300,18300,500,16600
47,02/02/2023,18500,18500,18500,18500,100,16800
48,03/02/2023,18600,18500,18600,18500,2100,16800
49,06/02/2023,19600,19600,19600,19600,100,17800
50,07/02/2023,19600,19600,19600,19600,-,17800
51,08/02/2023,19600,19600,19600,19600,-,17800
52,09/02/2023,19600,19600,19600,19600,-,17800
53,10/02/2023,18000,18000,18000,18000,500,16300
54,13/02/2023,18000,18000,18000,18000,-,16300
55,14/02/2023,19800,16200,16200,16600,2410,15000
56,15/02/2023,18200,18200,18200,18200,100,16500
57,16/02/2023,18100,16500,16500,18100,200,16400
58,17/02/2023,18000,16500,16600,18000,1100,16300
59,20/02/2023,18700,16700,16700,18700,700,16900
60,21/02/2023,19500,17400,17400,18600,818,16800
61,22/02/2023,19300,17100,17100,18200,800,16500
62,23/02/2023,18400,16800,16800,18400,200,16700
63,24/02/2023,18400,18000,18000,18400,300,16700
64,27/02/2023,18000,17300,17300,17300,300,15700
65,28/02/2023,19000,16600,19000,16600,200,15000
66,01/03/2023,17000,16900,17000,16900,1300,15300
67,02/03/2023,16900,16900,16900,16900,-,15300
68,03/03/2023,18500,17400,17400,18500,300,16800
69,06/03/2023,18200,17100,17100,18200,200,16500
70,07/03/2023,17000,17000,17000,17000,100,15400
71,08/03/2023,17000,17000,17000,17000,-,15400
72,09/03/2023,18700,17900,18300,17900,300,16200
73,10/03/2023,17100,17000,17000,17000,25400,15400
74,13/03/2023,17000,17000,17000,17000,-,15400
75,14/03/2023,18000,17900,18000,17900,400,16200
76,15/03/2023,17700,16600,16600,17200,2700,15600
77,16/03/2023,17200,17000,17000,17200,800,15600
78,17/03/2023,18000,17000,18000,17000,400,15400
79,20/03/2023,17300,17000,17300,17100,1500,16000
80,21/03/2023,17900,17500,17900,17500,500,16300
81,22/03/2023,18200,17900,18200,17900,610,16700
82,23/03/2023,17900,17900,17900,17900,300,16700
83,24/03/2023,17900,17900,17900,17900,-,16700
84,27/03/2023,17900,17900,17900,17900,11,16700
85,28/03/2023,17900,17900,17900,17900,-,16700
86,29/03/2023,17000,17000,17000,17000,100,15900
87,30/03/2023,17900,17000,17000,17000,5200,15900
88,31/03/2023,17000,17000,17000,17000,-,15900
89,03/04/2023,17000,16900,16900,17000,1305,15900
90,04/04/2023,17000,16000,16500,17000,400,15900
91,05/04/2023,17500,16800,17000,17500,2900,16300
92,06/04/2023,17300,17000,17000,17300,4000,16100
93,07/04/2023,17000,17000,17000,17000,1600,15900
