,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5000,4700,4700,5000,47410,5000
1,22/11/2022,5400,5000,5400,5200,35414,5200
2,23/11/2022,5400,4700,5400,4700,41100,4700
3,24/11/2022,5000,4300,5000,4400,61400,4400
4,25/11/2022,4800,4400,4400,4800,86209,4800
5,28/11/2022,5200,5000,5200,5200,189445,5200
6,29/11/2022,5700,5100,5300,5600,131043,5600
7,30/11/2022,5900,5300,5600,5900,130304,5900
8,01/12/2022,6300,5900,5900,6100,146166,6100
9,02/12/2022,6300,5800,6100,6300,137400,6300
10,05/12/2022,6900,6400,6500,6600,134129,6600
11,06/12/2022,7100,6000,7100,6000,132425,6000
12,07/12/2022,6000,5500,6000,5900,58315,5900
13,08/12/2022,6400,5900,5900,6300,57859,6300
14,09/12/2022,6300,6000,6300,6200,37502,6200
15,12/12/2022,6300,5700,6200,5800,106491,5800
16,13/12/2022,6100,5600,5800,6000,67913,6000
17,14/12/2022,6400,6000,6100,6100,70950,6100
18,15/12/2022,6200,5900,6100,6000,40317,6000
19,16/12/2022,6100,5700,5900,6100,139189,6100
20,19/12/2022,6700,6100,6200,6100,40200,6100
21,20/12/2022,6000,5500,6000,5800,51052,5800
22,21/12/2022,5800,5300,5800,5500,51100,5500
23,22/12/2022,6000,5400,5700,5500,18250,5500
24,23/12/2022,5600,5200,5600,5400,21010,5400
25,26/12/2022,5900,5300,5800,5300,24823,5300
26,27/12/2022,5500,5200,5200,5500,29600,5500
27,28/12/2022,5500,5400,5500,5400,21114,5400
28,29/12/2022,5500,5200,5400,5500,22000,5500
29,30/12/2022,5700,5300,5500,5500,2700,5500
30,03/01/2023,6000,5400,5400,5900,40830,5900
31,04/01/2023,6100,5800,5900,5900,45225,5900
32,05/01/2023,6200,5600,5600,6000,30613,6000
33,06/01/2023,6000,5800,6000,5800,19000,5800
34,09/01/2023,5900,5600,5800,5800,13500,5800
35,10/01/2023,5800,5600,5800,5800,12600,5800
36,11/01/2023,5900,5600,5800,5600,29918,5600
37,12/01/2023,5800,5500,5600,5700,11101,5700
38,13/01/2023,5800,5600,5700,5700,29700,5700
39,16/01/2023,5800,5500,5700,5700,16900,5700
40,17/01/2023,5800,5700,5700,5800,98510,5800
41,18/01/2023,6000,5700,5800,6000,13000,6000
42,19/01/2023,6100,5700,5800,6000,78300,6000
43,27/01/2023,6600,5800,6000,6000,46675,6000
44,30/01/2023,6200,5900,5900,6100,38100,6100
45,31/01/2023,6100,5900,6100,6000,39200,6000
46,01/02/2023,6200,5900,6200,5900,139600,5900
47,02/02/2023,6000,5700,6000,5900,28100,5900
48,03/02/2023,5900,5800,5900,5800,13351,5800
49,06/02/2023,6000,5600,5800,6000,23919,6000
50,07/02/2023,6200,5700,6100,6000,17590,6000
51,08/02/2023,6000,5700,5800,6000,37000,6000
52,09/02/2023,6000,5700,6000,5900,7120,5900
53,10/02/2023,6000,5700,5800,5900,6400,5900
54,13/02/2023,5900,5500,5800,5500,25100,5500
55,14/02/2023,5600,5400,5500,5500,30202,5500
56,15/02/2023,5900,5400,5400,5800,11389,5800
57,16/02/2023,5900,5400,5900,5800,13110,5800
58,17/02/2023,5800,5500,5800,5700,6131,5700
59,20/02/2023,5900,5700,5800,5800,20800,5800
60,21/02/2023,5900,5700,5800,5800,68800,5800
61,22/02/2023,5800,5600,5800,5600,30400,5600
62,23/02/2023,5700,5300,5600,5700,30100,5700
63,24/02/2023,5700,5400,5700,5600,8100,5600
64,27/02/2023,5600,5300,5600,5300,22600,5300
65,28/02/2023,5500,5200,5300,5200,23400,5200
66,01/03/2023,5300,5000,5200,5200,75900,5200
67,02/03/2023,5500,5200,5200,5400,27200,5400
68,03/03/2023,5500,5200,5200,5300,13116,5300
69,06/03/2023,5500,5300,5400,5400,11600,5400
70,07/03/2023,5300,5300,5300,5300,2400,5300
71,08/03/2023,5400,5200,5300,5400,23200,5400
72,09/03/2023,5500,5400,5400,5500,30550,5500
73,10/03/2023,5500,5300,5500,5500,10100,5500
74,13/03/2023,5500,5300,5400,5400,16300,5400
75,14/03/2023,5400,5200,5400,5200,20300,5200
76,15/03/2023,5600,5300,5400,5600,42900,5600
77,16/03/2023,5500,5400,5500,5400,23825,5400
78,17/03/2023,5500,5200,5500,5200,27013,5200
79,20/03/2023,5500,5000,5200,5500,28000,5500
80,21/03/2023,5300,5200,5300,5300,19000,5300
81,22/03/2023,5400,5200,5400,5300,29525,5300
82,23/03/2023,5300,5200,5200,5300,14100,5300
83,24/03/2023,5400,5200,5200,5300,21300,5300
84,27/03/2023,5400,5100,5200,5300,39700,5300
85,28/03/2023,5700,5300,5300,5600,121191,5600
86,29/03/2023,5600,5400,5500,5500,7900,5500
87,30/03/2023,5700,5400,5700,5500,59636,5500
88,31/03/2023,5600,5300,5300,5600,33807,5600
89,03/04/2023,5900,5600,5600,5800,99434,5800
90,04/04/2023,6300,5800,5900,6300,280500,6300
91,05/04/2023,6700,6300,6300,6400,146006,6400
92,06/04/2023,6600,6200,6400,6200,70700,6200
93,07/04/2023,6300,5900,6200,6300,99800,6300
94,10/04/2023,6700,6300,6400,6300,139900,6300
95,11/04/2023,6600,6200,6300,6400,52100,6400
96,12/04/2023,6600,6100,6600,6300,44900,6300
97,13/04/2023,6300,6100,6300,6100,72400,6100
98,14/04/2023,6300,6100,6200,6300,55309,6300
99,17/04/2023,6200,5800,6200,5800,106900,5800
100,18/04/2023,6300,5800,5900,6300,90400,6300
101,19/04/2023,6300,6000,6300,6100,33928,6100
102,20/04/2023,6300,5900,6200,6200,26500,6200
103,21/04/2023,6600,6100,6100,6500,335800,6500
104,24/04/2023,7100,6500,6500,7000,297143,7000
105,25/04/2023,7300,6800,7000,6800,144800,6800
106,26/04/2023,7100,6600,6800,6800,188339,6800
107,27/04/2023,7000,6600,6800,6800,72725,6800
108,28/04/2023,7000,6800,6800,7000,136625,7000
109,04/05/2023,7100,6800,6900,7100,116603,7100
110,05/05/2023,7200,7000,7000,7000,202800,7000
111,08/05/2023,7500,7000,7000,7500,340757,7500
112,09/05/2023,7500,7200,7500,7500,84941,7500
113,10/05/2023,8000,7400,7500,7500,148651,7500
114,11/05/2023,7600,7200,7600,7300,163600,7300
115,12/05/2023,7500,7300,7400,7500,78441,7500
116,15/05/2023,7700,7400,7600,7400,157329,7400
117,16/05/2023,7500,7300,7300,7300,44703,7300
118,17/05/2023,7500,7100,7500,7100,117301,7100
119,18/05/2023,7400,7100,7200,7300,121065,7300
120,19/05/2023,7400,7200,7400,7200,61411,7200
121,22/05/2023,7400,7100,7300,7300,50041,7300
122,23/05/2023,7600,7200,7300,7400,234018,7400
123,24/05/2023,7600,7400,7600,7500,109130,7500
124,25/05/2023,7400,7200,7400,7300,99115,7300
125,26/05/2023,7500,7200,7300,7400,74515,7400
126,29/05/2023,7800,7300,7400,7800,201655,7800
127,30/05/2023,7900,7700,7800,7900,247365,7900
128,31/05/2023,7900,7600,7900,7800,92409,7800
129,01/06/2023,7900,7600,7800,7800,145500,7800
130,02/06/2023,8000,7600,7800,7800,226143,7800
131,05/06/2023,8200,7900,7900,7900,177125,7900
132,06/06/2023,8100,7700,7900,8100,219043,8100
133,07/06/2023,8100,8000,8100,8100,59625,8100
134,08/06/2023,8400,8100,8200,8100,385500,8100
135,09/06/2023,8300,7900,8100,8200,169149,8200
136,12/06/2023,8500,8200,8300,8500,224974,8500
137,13/06/2023,9300,8500,8500,8900,267301,8900
138,14/06/2023,9100,8800,8900,8800,289065,8800
139,15/06/2023,9000,8500,8700,8700,199000,8700
140,16/06/2023,9200,8700,8700,8800,346275,8800
141,19/06/2023,8900,8500,8800,8500,114852,8500
142,20/06/2023,8700,8400,8500,8700,97426,8700
143,21/06/2023,9000,8700,8800,9000,153100,9000
144,22/06/2023,9100,8800,9000,9000,119559,9000
145,23/06/2023,9000,8700,9000,8900,159104,8900
146,26/06/2023,8800,8500,8800,8700,221915,8700
147,27/06/2023,8700,8600,8700,8700,121239,8700
148,28/06/2023,8800,8600,8700,8700,58864,8700
149,29/06/2023,8600,8400,8600,8400,123138,8400
150,30/06/2023,8400,8300,8400,8400,122800,8400
151,03/07/2023,8500,8300,8300,8500,40304,8500
152,04/07/2023,8800,8400,8500,8600,183039,8600
153,05/07/2023,8700,8500,8700,8600,91001,8600
154,06/07/2023,8600,8400,8600,8500,98901,8500
155,07/07/2023,8600,8300,8400,8600,40317,8600
156,10/07/2023,8700,8000,8600,8600,116633,8600
157,11/07/2023,8800,8600,8700,8700,113216,8700
158,12/07/2023,9000,8700,8700,8900,318788,8900
159,13/07/2023,9100,8800,8900,9000,135320,9000
160,14/07/2023,9100,8700,9100,8900,89902,8900
161,17/07/2023,9000,8700,9000,8800,113400,8800
162,18/07/2023,9000,8800,8800,9000,233982,9000
163,19/07/2023,9200,8900,9000,8900,130353,8900
164,20/07/2023,9000,8700,9000,8800,110800,8800
165,21/07/2023,9000,8800,8800,9000,91900,9000
166,24/07/2023,9100,8900,9100,8900,97934,8900
167,25/07/2023,8900,8700,8900,8800,140000,8800
168,26/07/2023,9000,8700,9000,8700,74800,8700
169,27/07/2023,8800,8500,8700,8700,153548,8700
170,28/07/2023,8900,8600,8700,8900,256000,8900
171,31/07/2023,9100,8900,9000,8900,160409,8900
172,01/08/2023,9000,8700,8900,8800,149399,8800
173,02/08/2023,8900,8700,8700,8900,56490,8900
174,03/08/2023,8900,8700,8800,8800,94866,8800
175,04/08/2023,9100,8700,8700,9000,323924,9000
176,07/08/2023,9700,9100,9100,9700,450215,9700
177,08/08/2023,9900,9700,9800,9800,254449,9800
178,09/08/2023,9800,9500,9700,9700,120927,9700
179,10/08/2023,9600,9200,9600,9600,391023,9600
180,11/08/2023,9500,9300,9500,9400,163902,9400
