,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9900,9900,9900,9900,100,9200
1,22/11/2022,9900,9900,9900,9900,200,9200
2,23/11/2022,9900,9900,9900,9900,200,9200
3,24/11/2022,9900,9900,9900,9900,274,9200
4,25/11/2022,9900,9900,9900,9900,-,9200
5,28/11/2022,10000,9400,9900,9900,1600,9200
6,29/11/2022,9900,9600,9600,9900,800,9200
7,30/11/2022,9900,9500,9600,9900,5200,9200
8,01/12/2022,9900,9500,9500,9800,3800,9100
9,02/12/2022,9700,9500,9500,9700,3000,9000
10,05/12/2022,9700,9600,9600,9700,300,9000
11,06/12/2022,9700,9500,9500,9700,800,9000
12,07/12/2022,9500,9500,9500,9500,100,8800
13,08/12/2022,9900,9800,9900,9800,740,9100
14,09/12/2022,9800,9800,9800,9800,200,9100
15,12/12/2022,10000,10000,10000,10000,200,9300
16,13/12/2022,9900,9900,9900,9900,200,9200
17,14/12/2022,9900,9900,9900,9900,-,9200
18,15/12/2022,9900,9900,9900,9900,200,9200
19,16/12/2022,9900,9900,9900,9900,200,9200
20,19/12/2022,9900,9900,9900,9900,-,9200
21,20/12/2022,9900,9100,9100,9900,4500,9200
22,21/12/2022,9800,9200,9200,9800,10900,9100
23,22/12/2022,9800,9800,9800,9800,-,9100
24,23/12/2022,9800,9800,9800,9800,-,9100
25,26/12/2022,9800,9200,9200,9800,300,9100
26,27/12/2022,9800,9800,9800,9800,200,9100
27,28/12/2022,9800,9800,9800,9800,-,9100
28,29/12/2022,9800,9800,9800,9800,-,9100
29,30/12/2022,9800,9800,9800,9800,200,9100
30,03/01/2023,9800,9600,9600,9800,1400,9100
31,04/01/2023,9900,9800,9800,9900,3100,9200
32,05/01/2023,10000,9900,9900,10000,10720,9300
33,06/01/2023,10000,9900,10000,10000,1000,9300
34,09/01/2023,10000,10000,10000,10000,-,9300
35,10/01/2023,10000,10000,10000,10000,-,9300
36,11/01/2023,9900,9800,9800,9900,7500,9200
37,12/01/2023,10000,10000,10000,10000,160,9300
38,13/01/2023,10000,9800,9800,10000,6100,9300
39,16/01/2023,10000,10000,10000,10000,-,9300
40,17/01/2023,10000,10000,10000,10000,-,9300
41,18/01/2023,9900,9800,9800,9900,500,9200
42,19/01/2023,9900,9900,9900,9900,400,9200
43,27/01/2023,10000,9700,9700,10000,200,9300
44,30/01/2023,10600,9900,10000,10600,16609,9800
45,31/01/2023,10600,10600,10600,10600,-,9800
46,01/02/2023,10400,9800,10400,10000,5300,9300
47,02/02/2023,10100,9400,9400,10000,300,9300
48,03/02/2023,9500,9500,9500,9500,200,8800
49,06/02/2023,9500,9500,9500,9500,200,8800
50,07/02/2023,10000,10000,10000,10000,100,9300
51,08/02/2023,10000,10000,10000,10000,200,9300
52,09/02/2023,9900,9900,9900,9900,400,9200
53,10/02/2023,9900,9100,9600,9800,900,9100
54,13/02/2023,9800,9700,9800,9700,2000,9000
55,14/02/2023,9900,9300,9500,9900,8300,9200
56,15/02/2023,10000,9600,9900,10000,5500,9300
57,16/02/2023,10000,10000,10000,10000,1900,9300
58,17/02/2023,10400,9900,9900,10400,700,9600
59,20/02/2023,10700,10400,10400,10700,2300,9900
60,21/02/2023,10700,10700,10700,10700,-,9900
61,22/02/2023,10700,10700,10700,10700,-,9900
62,23/02/2023,10700,10700,10700,10700,-,9900
63,24/02/2023,10600,9800,10000,10600,3700,9800
64,27/02/2023,10500,9700,9700,10500,1000,9700
65,28/02/2023,10300,9700,10000,10200,7500,9400
66,01/03/2023,10400,9600,9600,10400,300,9600
67,02/03/2023,10500,9700,9700,10500,6000,9700
68,03/03/2023,10500,10500,10500,10500,-,9700
69,06/03/2023,10400,9500,9500,10100,6900,9400
70,07/03/2023,10500,9500,10500,9500,1100,8800
71,08/03/2023,10200,9600,9600,9900,2700,9200
72,09/03/2023,10000,10000,10000,10000,100,9300
73,10/03/2023,10000,10000,10000,10000,11200,9300
74,13/03/2023,10000,10000,10000,10000,-,9300
75,14/03/2023,10000,10000,10000,10000,-,9300
76,15/03/2023,10000,10000,10000,10000,500,9300
77,16/03/2023,10000,10000,10000,10000,-,9300
78,17/03/2023,10000,10000,10000,10000,-,9300
79,20/03/2023,10000,10000,10000,10000,20,9300
80,21/03/2023,10000,10000,10000,10000,-,9300
81,22/03/2023,10000,9500,9500,10000,1600,9300
82,23/03/2023,10000,10000,10000,10000,-,9300
83,24/03/2023,10200,9100,9100,10200,1200,9400
84,27/03/2023,10200,10200,10200,10200,-,9400
85,28/03/2023,10200,10200,10200,10200,-,9400
86,29/03/2023,10200,10200,10200,10200,-,9400
87,30/03/2023,10200,10200,10200,10200,-,9400
88,31/03/2023,10200,10200,10200,10200,1,9400
89,03/04/2023,10200,10200,10200,10200,-,9400
90,04/04/2023,10200,10100,10100,10200,1200,9400
91,05/04/2023,10200,10200,10200,10200,-,9400
92,06/04/2023,10100,10100,10100,10100,400,9400
93,07/04/2023,10100,10100,10100,10100,2000,9400
94,10/04/2023,10400,10000,10000,10100,4500,9400
95,11/04/2023,10100,10100,10100,10100,-,9400
96,12/04/2023,10500,10000,10000,10500,2900,9700
97,13/04/2023,10400,10000,10200,10400,4800,9600
98,14/04/2023,10300,10300,10300,10300,3100,9500
99,17/04/2023,10800,10000,10000,10800,2100,10000
100,18/04/2023,10200,9900,10000,10200,4300,9400
101,19/04/2023,10200,10200,10200,10200,-,9400
102,20/04/2023,10000,9500,9700,10000,2500,9300
103,21/04/2023,10000,10000,10000,10000,-,9300
104,24/04/2023,9900,9400,9600,9900,9200,9200
105,25/04/2023,10000,9600,9900,10000,2100,9300
106,26/04/2023,10000,9200,9300,10000,2080,9300
107,27/04/2023,10000,10000,10000,10000,-,9300
108,28/04/2023,10200,9900,10000,10000,401,9300
109,04/05/2023,10000,9700,9700,10000,2500,9300
110,05/05/2023,10200,9700,9700,10200,600,9400
111,08/05/2023,10200,9700,10200,10100,5851,9400
112,09/05/2023,10100,10100,10100,10100,-,9400
113,10/05/2023,10000,9500,9600,10000,6700,9300
114,11/05/2023,10700,9900,9900,10700,700,9900
115,12/05/2023,10400,10000,10000,10200,2478,9400
116,15/05/2023,10200,9800,9800,10200,1200,9400
117,16/05/2023,10200,9600,9600,10200,200,9400
118,17/05/2023,10200,10200,10200,10200,1,9400
119,18/05/2023,10200,9900,9900,10200,1100,9400
120,19/05/2023,9900,9900,9900,9900,1723,9200
121,22/05/2023,10000,9900,9900,10000,1000,9300
122,23/05/2023,10000,9900,10000,9900,1720,9200
123,24/05/2023,10100,9900,9900,9900,6900,9200
124,25/05/2023,10000,9900,9900,9900,5200,9200
125,26/05/2023,10100,10000,10000,10100,2800,9400
126,29/05/2023,10200,10100,10200,10100,2903,9400
127,30/05/2023,10100,10000,10000,10100,12300,9400
128,31/05/2023,10100,10000,10100,10100,34102,9400
129,01/06/2023,10100,10100,10100,10100,1800,9400
130,02/06/2023,9900,9900,9900,9900,100,9200
131,05/06/2023,10100,9900,9900,10100,11000,9400
132,06/06/2023,10100,10100,10100,10100,3300,9400
133,07/06/2023,10000,10000,10000,10000,3300,9300
134,08/06/2023,10000,10000,10000,10000,41800,9300
135,09/06/2023,10000,9900,10000,10000,3200,9300
136,12/06/2023,10000,9900,10000,10000,2400,9300
137,13/06/2023,10000,9900,9900,9900,11101,9200
138,14/06/2023,10000,9900,9900,10000,4207,9300
139,15/06/2023,9900,9800,9900,9900,1700,9200
140,16/06/2023,10000,9900,9900,9900,3000,9200
141,19/06/2023,10000,9900,10000,9900,1200,9200
142,20/06/2023,10000,9900,10000,9900,3200,9200
143,21/06/2023,9900,9800,9800,9900,700,9200
144,22/06/2023,9900,9900,9900,9900,7900,9200
145,23/06/2023,10000,10000,10000,10000,400,9300
146,26/06/2023,11000,10200,10200,11000,81406,10200
147,27/06/2023,11800,10600,11800,10600,8700,9800
148,28/06/2023,10600,10000,10600,10000,51947,9300
149,29/06/2023,10400,10200,10400,10200,2100,9400
150,30/06/2023,10100,10100,10100,10100,2000,9400
151,03/07/2023,10200,10200,10200,10200,1000,9400
152,04/07/2023,10000,9900,9900,10000,900,9300
153,05/07/2023,10100,10100,10100,10100,420,9400
154,06/07/2023,10100,10100,10100,10100,1600,9400
155,07/07/2023,10100,9800,9800,10100,1800,9400
156,10/07/2023,10100,10100,10100,10100,1800,9400
157,11/07/2023,11000,9800,9800,11000,1200,10200
158,12/07/2023,10200,10200,10200,10200,601,9400
159,13/07/2023,10200,10200,10200,10200,200,9400
160,14/07/2023,10200,10200,10200,10200,800,9400
161,17/07/2023,10200,10200,10200,10200,1000,9400
162,18/07/2023,10100,10000,10100,10000,3000,9300
163,19/07/2023,10200,10000,10200,10000,3000,9300
164,20/07/2023,10200,10100,10100,10200,500,9400
165,21/07/2023,10200,10200,10200,10200,-,9400
166,24/07/2023,10500,10400,10500,10400,1106,9600
167,25/07/2023,10200,9900,10000,10000,27700,9300
168,26/07/2023,10000,9900,10000,9900,7000,9200
169,27/07/2023,10000,9800,10000,9800,5200,9100
170,28/07/2023,9900,9800,9800,9900,3400,9200
171,31/07/2023,10500,9900,10500,10200,800,9400
172,01/08/2023,10000,10000,10000,10000,6400,9300
173,02/08/2023,10000,9800,9800,10000,7300,9300
174,03/08/2023,10100,10100,10100,10100,1000,9400
175,04/08/2023,10400,10000,10000,10400,17301,9600
176,07/08/2023,10600,10500,10500,10500,1314,9700
177,08/08/2023,10900,10500,10500,10800,51960,10000
178,09/08/2023,10800,10500,10800,10700,40606,9900
179,10/08/2023,10800,10600,10600,10800,4106,10000
180,11/08/2023,10800,10600,10600,10800,9150,10000
181,14/08/2023,10800,10700,10700,10700,10946,9900
182,15/08/2023,10900,10700,10700,10900,9045,10100
183,16/08/2023,10800,10600,10800,10800,23314,10000
184,17/08/2023,10600,9800,10000,9800,2902,9800
185,18/08/2023,9700,9000,9700,9200,27600,9200
186,21/08/2023,9200,8800,9200,8900,13200,8900
187,22/08/2023,9600,8900,9200,8900,4000,8900
188,23/08/2023,9500,9000,9100,9100,2200,9100
189,24/08/2023,9000,9000,9000,9000,100,9000
190,25/08/2023,9600,9000,9000,9600,2300,9600
191,28/08/2023,9600,9600,9600,9600,1,9600
192,29/08/2023,9600,9000,9600,9400,2240,9400
193,30/08/2023,9500,9100,9100,9500,3000,9500
194,31/08/2023,9500,9100,9500,9100,2301,9100
195,05/09/2023,9300,9000,9100,9300,2900,9300
196,06/09/2023,9300,9000,9200,9300,1500,9300
197,07/09/2023,9300,9300,9300,9300,-,9300
198,08/09/2023,9400,9300,9400,9300,2700,9300
199,11/09/2023,9400,9100,9400,9100,4622,9100
200,12/09/2023,9100,9100,9100,9100,60,9100
201,13/09/2023,9300,9200,9200,9200,2200,9200
202,14/09/2023,9200,9200,9200,9200,100,9200
203,15/09/2023,9200,9100,9100,9200,3700,9200
204,18/09/2023,9200,9000,9200,9200,1465,9200
205,19/09/2023,9200,9100,9100,9200,1800,9200
206,20/09/2023,9300,9300,9300,9300,100,9300
207,21/09/2023,9300,9300,9300,9300,100,9300
208,22/09/2023,9500,9100,9100,9100,4100,9100
209,25/09/2023,9200,9100,9100,9200,4700,9200
210,26/09/2023,9200,9200,9200,9200,1,9200
211,27/09/2023,9000,9000,9000,9000,800,9000
212,28/09/2023,9500,9500,9500,9500,1000,9500
213,29/09/2023,9500,9500,9500,9500,2100,9500
214,02/10/2023,9500,9500,9500,9500,-,9500
215,03/10/2023,9100,9000,9000,9100,2000,9100
216,04/10/2023,9100,9100,9100,9100,-,9100
217,05/10/2023,9100,9100,9100,9100,-,9100
218,06/10/2023,9500,9500,9500,9500,101,9500
219,09/10/2023,9500,9400,9500,9400,800,9400
220,10/10/2023,9000,9000,9000,9000,1002,9000
221,11/10/2023,9500,9500,9500,9500,1600,9500
222,12/10/2023,9500,9500,9500,9500,2,9500
223,13/10/2023,9400,9400,9400,9400,1500,9400
224,16/10/2023,9400,9400,9400,9400,-,9400
225,17/10/2023,9400,8600,8600,9200,61000,9200
226,18/10/2023,9200,9200,9200,9200,-,9200
227,19/10/2023,8500,8500,8500,8500,100,8500
228,20/10/2023,8900,8400,8400,8900,402,8900
229,23/10/2023,8900,8900,8900,8900,500,8900
230,24/10/2023,8900,8800,8900,8900,3000,8900
