,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,10300,9400,9700,9900,1153246,7400
1,22/11/2022,10800,9100,9100,10800,2572354,8100
2,23/11/2022,11400,10300,11200,10300,1100803,7700
3,24/11/2022,10400,9400,10300,9800,1340431,7300
4,25/11/2022,10600,10000,10100,10600,991628,7900
5,28/11/2022,11500,10600,10600,11400,1914085,8500
6,29/11/2022,12500,11000,11600,12500,3084150,9300
7,30/11/2022,13200,12500,12500,13100,1816780,9800
8,01/12/2022,13800,12000,13500,12000,3188531,9000
9,02/12/2022,13200,11900,12000,13200,2008661,9900
10,05/12/2022,14500,13500,13500,13900,2137435,10400
11,06/12/2022,14400,13200,13900,13200,3853064,9900
12,07/12/2022,13600,11700,11700,12900,1276683,9800
13,08/12/2022,13600,12700,13000,13000,1888643,9900
14,09/12/2022,13100,12500,13000,12900,1065390,9800
15,12/12/2022,13600,12400,12900,12400,1711821,9400
16,13/12/2022,12900,12000,12600,12800,1129785,9700
17,14/12/2022,13600,11600,11600,13200,1820512,10000
18,15/12/2022,14000,13200,13200,13500,2518553,10200
19,16/12/2022,13900,12800,13300,13500,1386299,10200
20,19/12/2022,13800,12800,13500,12800,1945801,9700
21,20/12/2022,13100,11800,12700,12200,2373219,9300
22,21/12/2022,12700,11600,12500,12400,1262021,9400
23,22/12/2022,12900,12200,12600,12600,789700,9600
24,23/12/2022,12900,12200,12600,12700,1147070,9600
25,26/12/2022,13300,12300,12900,12500,1728751,9500
26,27/12/2022,12900,11300,12000,12500,1284170,9500
27,28/12/2022,12800,12400,12400,12400,885867,9400
28,29/12/2022,12500,12000,12400,12000,752192,9100
29,30/12/2022,12200,12000,12000,12000,467350,9100
30,03/01/2023,13000,12200,12200,12800,1573360,9700
31,04/01/2023,14000,12500,12700,14000,4334284,10600
32,05/01/2023,14400,13500,14300,14100,1699372,10700
33,06/01/2023,14500,13600,14200,13600,2357455,10300
34,09/01/2023,14000,13500,13600,13800,1604780,10500
35,10/01/2023,14400,13600,13900,14100,1852693,10700
36,11/01/2023,14500,13700,14100,13700,1982566,10400
37,12/01/2023,15000,13800,13800,15000,4336566,11400
38,13/01/2023,15400,14500,15000,14800,1511228,11200
39,16/01/2023,15100,14600,14900,14800,1270516,11200
40,17/01/2023,15400,14700,14800,15200,2264171,11500
41,18/01/2023,16000,15200,15500,15200,1783318,11500
