,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,36500,36500,36500,36500,-,34600
1,22/11/2022,36500,36500,36500,36500,96,34600
2,23/11/2022,36500,36500,36500,36500,-,34600
3,24/11/2022,36500,36500,36500,36500,-,34600
4,25/11/2022,36500,36500,36500,36500,-,34600
5,28/11/2022,36500,36500,36500,36500,-,34600
6,29/11/2022,36500,36500,36500,36500,-,34600
7,30/11/2022,36500,36500,36500,36500,-,34600
8,01/12/2022,36500,36500,36500,36500,-,34600
9,02/12/2022,36500,36500,36500,36500,-,34600
10,05/12/2022,36500,36500,36500,36500,-,34600
11,06/12/2022,36500,36500,36500,36500,200,34600
12,07/12/2022,36500,36500,36500,36500,-,34600
13,08/12/2022,36500,36500,36500,36500,-,34600
14,09/12/2022,36500,36500,36500,36500,-,34600
15,12/12/2022,36500,36500,36500,36500,-,34600
16,13/12/2022,36500,36500,36500,36500,-,34600
17,14/12/2022,36500,36500,36500,36500,-,34600
18,15/12/2022,36500,36500,36500,36500,3,34600
19,16/12/2022,36500,36500,36500,36500,-,34600
20,19/12/2022,36500,36500,36500,36500,5,34600
21,20/12/2022,36500,36500,36500,36500,-,34600
22,21/12/2022,38400,38400,38400,38400,35006,36400
23,22/12/2022,38400,38400,38400,38400,-,36400
24,23/12/2022,38400,38400,38400,38400,2,36400
25,26/12/2022,36400,36400,36400,36400,-,36400
26,27/12/2022,36400,36400,36400,36400,-,36400
27,28/12/2022,36400,36400,36400,36400,-,36400
28,29/12/2022,36400,36400,36400,36400,-,36400
29,30/12/2022,36400,36400,36400,38400,2,36400
30,03/01/2023,36400,36400,36400,36400,-,36400
31,04/01/2023,36400,36400,36400,36400,-,36400
32,05/01/2023,36400,36400,36400,36400,-,36400
33,06/01/2023,36400,36400,36400,36400,-,36400
34,09/01/2023,36500,36500,36500,36500,100,36500
35,10/01/2023,36500,36500,36500,36500,-,36500
36,11/01/2023,36500,36500,36500,36500,-,36500
37,12/01/2023,36500,36500,36500,36500,1,36500
38,13/01/2023,36500,36500,36500,36500,-,36500
39,16/01/2023,36500,36500,36500,36500,-,36500
40,17/01/2023,36500,36500,36500,36500,-,36500
41,18/01/2023,36500,36500,36500,36500,-,36500
42,19/01/2023,36500,36500,36500,36500,-,36500
43,27/01/2023,36500,36500,36500,36500,-,36500
44,30/01/2023,36500,36500,36500,36500,-,36500
45,31/01/2023,36500,36500,36500,36500,-,36500
46,01/02/2023,36500,36500,36500,36500,-,36500
47,02/02/2023,36500,36500,36500,36500,-,36500
48,03/02/2023,36500,36500,36500,36500,-,36500
49,06/02/2023,36500,36500,36500,36500,-,36500
50,07/02/2023,36500,36500,36500,36500,-,36500
51,08/02/2023,36500,36500,36500,36500,-,36500
52,09/02/2023,36500,36500,36500,36500,-,36500
53,10/02/2023,36500,36500,36500,36500,-,36500
54,13/02/2023,36500,36500,36500,36500,-,36500
55,14/02/2023,36500,36500,36500,36500,-,36500
56,15/02/2023,36500,36500,36500,36500,77,36500
57,16/02/2023,36500,36500,36500,36500,-,36500
58,17/02/2023,36500,36500,36500,36500,-,36500
59,20/02/2023,36500,36500,36500,36500,-,36500
60,21/02/2023,36500,36500,36500,36500,10,36500
61,22/02/2023,36500,36500,36500,36500,-,36500
62,23/02/2023,33300,32900,33000,32900,1000,32900
63,24/02/2023,32900,32900,32900,32900,-,32900
64,27/02/2023,32900,32900,32900,32900,-,32900
65,28/02/2023,36100,36100,36100,36100,5100,36100
66,01/03/2023,36100,36100,36100,36100,-,36100
67,02/03/2023,36100,36100,36100,36100,-,36100
68,03/03/2023,36100,36100,36100,36100,-,36100
69,06/03/2023,36100,36100,36100,36100,-,36100
70,07/03/2023,36100,36100,36100,36100,-,36100
71,08/03/2023,36100,36100,36100,36100,-,36100
72,09/03/2023,36100,36100,36100,36100,-,36100
73,10/03/2023,36100,36100,36100,36100,-,36100
74,13/03/2023,36100,36100,36100,36100,-,36100
75,14/03/2023,36100,36100,36100,36100,-,36100
76,15/03/2023,36100,36100,36100,36100,-,36100
77,16/03/2023,36100,36100,36100,36100,-,36100
78,17/03/2023,36100,36100,36100,36100,-,36100
79,20/03/2023,36100,36100,36100,36100,-,36100
80,21/03/2023,36100,36100,36100,36100,-,36100
81,22/03/2023,36100,36100,36100,36100,-,36100
82,23/03/2023,36100,36100,36100,36100,-,36100
83,24/03/2023,36100,36100,36100,36100,-,36100
84,27/03/2023,33400,32700,32700,33400,200,33400
85,28/03/2023,33400,33400,33400,33400,-,33400
86,29/03/2023,33400,33400,33400,33400,-,33400
87,30/03/2023,36700,36700,36700,36700,11000,36700
88,31/03/2023,36700,36700,36700,36700,-,36700
89,03/04/2023,36700,36700,36700,36700,-,36700
90,04/04/2023,36700,36700,36700,36700,-,36700
91,05/04/2023,36700,36700,36700,36700,-,36700
92,06/04/2023,36700,36700,36700,36700,-,36700
93,07/04/2023,36700,36700,36700,36700,-,36700
94,10/04/2023,36700,36700,36700,36700,-,36700
95,11/04/2023,36700,36700,36700,36700,-,36700
96,12/04/2023,36700,36700,36700,36700,-,36700
97,13/04/2023,36700,36700,36700,36700,-,36700
98,14/04/2023,36700,36700,36700,36700,-,36700
99,17/04/2023,36700,36700,36700,36700,-,36700
100,18/04/2023,36700,36700,36700,36700,-,36700
101,19/04/2023,36700,36700,36700,36700,-,36700
102,20/04/2023,36700,36700,36700,36700,-,36700
103,21/04/2023,36700,36700,36700,36700,87,36700
104,24/04/2023,36700,36700,36700,36700,4,36700
105,25/04/2023,36700,36700,36700,36700,80,36700
106,26/04/2023,36700,36700,36700,36700,-,36700
107,27/04/2023,36700,36700,36700,36700,7,36700
108,28/04/2023,36700,36700,36700,36700,-,36700
109,04/05/2023,36700,36700,36700,36700,-,36700
110,05/05/2023,36700,36700,36700,36700,-,36700
111,08/05/2023,36700,36700,36700,36700,-,36700
112,09/05/2023,36700,36700,36700,36700,-,36700
113,10/05/2023,36700,36700,36700,36700,-,36700
114,11/05/2023,36700,36700,36700,36700,-,36700
115,12/05/2023,36700,36700,36700,36700,-,36700
116,15/05/2023,36700,36700,36700,36700,-,36700
117,16/05/2023,36700,36700,36700,36700,-,36700
118,17/05/2023,36700,36700,36700,36700,-,36700
119,18/05/2023,36700,36700,36700,36700,-,36700
120,19/05/2023,36700,36700,36700,36700,-,36700
121,22/05/2023,36700,36700,36700,36700,-,36700
122,23/05/2023,36700,36700,36700,36700,-,36700
123,24/05/2023,36700,36700,36700,36700,-,36700
124,25/05/2023,36700,36700,36700,36700,-,36700
125,26/05/2023,36700,36700,36700,36700,-,36700
126,29/05/2023,36700,36700,36700,36700,-,36700
127,30/05/2023,36700,36700,36700,36700,-,36700
128,31/05/2023,37000,36000,36000,37000,400,37000
129,01/06/2023,37000,37000,37000,37000,-,37000
130,02/06/2023,37000,37000,37000,37000,-,37000
