,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7000,6300,6300,6800,14100,6200
1,22/11/2022,7300,6800,6900,6800,88601,6200
2,23/11/2022,7200,6700,7200,6700,19400,6100
3,24/11/2022,6900,6400,6900,6600,52548,6000
4,25/11/2022,6800,6700,6700,6800,14000,6200
5,28/11/2022,7200,6900,6900,7200,61821,6600
6,29/11/2022,7300,7100,7300,7200,73100,6600
7,30/11/2022,7500,7200,7200,7400,43710,6800
8,01/12/2022,7700,7300,7400,7500,13390,6900
9,02/12/2022,8200,7300,7800,7600,4000,7000
10,05/12/2022,8000,7600,8000,7700,14000,7100
11,06/12/2022,7700,7400,7700,7500,39900,6900
12,07/12/2022,7400,7000,7100,7400,83300,6800
13,08/12/2022,7600,7400,7500,7500,24112,6900
14,09/12/2022,7500,7500,7500,7500,6907,6900
15,12/12/2022,7600,7400,7500,7600,4500,7000
16,13/12/2022,7600,7300,7500,7600,6600,7000
17,14/12/2022,7600,7500,7600,7500,7100,6900
18,15/12/2022,7500,7500,7500,7500,100,6900
19,16/12/2022,7600,7300,7300,7600,7900,7000
20,19/12/2022,7700,7600,7600,7700,5000,7100
21,20/12/2022,7700,7400,7400,7600,500,7000
22,21/12/2022,7300,7200,7300,7300,7700,6700
23,22/12/2022,7400,7400,7400,7400,100,6800
24,23/12/2022,7400,7100,7200,7400,1500,6800
25,26/12/2022,7400,7300,7400,7300,3000,6700
26,27/12/2022,7300,7300,7300,7300,-,6700
27,28/12/2022,7300,7300,7300,7300,-,6700
28,29/12/2022,7300,7100,7100,7300,700,6700
29,30/12/2022,7300,7100,7300,7300,4700,6700
30,03/01/2023,7800,7100,7200,7300,19900,6700
31,04/01/2023,7500,7300,7300,7400,11700,6800
32,05/01/2023,7500,7300,7400,7500,3600,6900
33,06/01/2023,7500,7300,7300,7500,1400,6900
34,09/01/2023,7500,7500,7500,7500,1000,6900
35,10/01/2023,7500,7300,7300,7500,7600,6900
36,11/01/2023,7500,7500,7500,7500,200,6900
37,12/01/2023,7400,7300,7300,7400,4710,6800
38,13/01/2023,7500,7300,7500,7400,1900,6800
39,16/01/2023,7500,7300,7400,7300,7000,6700
40,17/01/2023,7400,7100,7400,7400,8200,6800
41,18/01/2023,7500,7300,7400,7500,15810,6900
42,19/01/2023,7900,7400,7400,7800,31800,7100
43,27/01/2023,8200,7900,7900,8100,39700,7400
44,30/01/2023,8200,7800,7900,8100,46200,7400
45,31/01/2023,8100,7800,8100,8100,38210,7400
46,01/02/2023,8000,7800,7900,8000,55200,7300
47,02/02/2023,8000,7800,7800,7900,21100,7200
48,03/02/2023,8000,7800,7800,8000,62610,7300
49,06/02/2023,8400,7900,8000,8400,213932,7700
50,07/02/2023,8700,8200,8200,8300,105600,7600
51,08/02/2023,7700,7400,7500,7400,41416,7400
52,09/02/2023,7500,7400,7400,7400,1300,7400
53,10/02/2023,7500,7300,7500,7400,1100,7400
54,13/02/2023,7200,6800,7100,7200,4000,7200
55,14/02/2023,7200,6600,7200,6800,800,6800
56,15/02/2023,7000,6800,7000,6800,13000,6800
57,16/02/2023,7000,6800,6900,6800,14101,6800
58,17/02/2023,7000,6800,7000,6800,21907,6800
59,20/02/2023,7000,6800,6900,7000,28210,7000
60,21/02/2023,7100,6800,6900,7100,27200,7100
61,22/02/2023,7100,6800,6800,7100,4800,7100
62,23/02/2023,7100,6600,7100,7000,15600,7000
63,24/02/2023,7100,6800,7100,7000,8600,7000
64,27/02/2023,7000,6700,6900,7000,11207,7000
65,28/02/2023,7000,6700,6700,6900,12500,6900
66,01/03/2023,7000,6800,7000,6900,2200,6900
67,02/03/2023,7000,6800,6900,6800,3503,6800
68,03/03/2023,6900,6700,6900,6700,7300,6700
69,06/03/2023,7000,6900,6900,7000,1600,7000
70,07/03/2023,7000,6900,6900,6900,11213,6900
71,08/03/2023,7000,7000,7000,7000,700,7000
72,09/03/2023,7000,7000,7000,7000,3000,7000
73,10/03/2023,7100,6900,7100,6900,700,6900
74,13/03/2023,6900,6700,6800,6900,6300,6900
75,14/03/2023,6800,6600,6700,6700,10400,6700
76,15/03/2023,7000,6800,6900,6800,6000,6800
77,16/03/2023,6800,6800,6800,6800,10900,6800
78,17/03/2023,6900,6700,6900,6700,700,6700
79,20/03/2023,6800,6700,6800,6800,2200,6800
80,21/03/2023,6900,6700,6700,6800,2408,6800
81,22/03/2023,6900,6400,6900,6900,6000,6900
82,23/03/2023,6900,6700,6700,6900,200,6900
83,24/03/2023,6900,6300,6700,6800,109200,6800
84,27/03/2023,6800,6400,6800,6600,10600,6600
85,28/03/2023,6700,6500,6600,6500,3010,6500
86,29/03/2023,6600,6500,6600,6500,1800,6500
87,30/03/2023,6700,6600,6600,6600,2400,6600
88,31/03/2023,6600,6500,6500,6600,5800,6600
89,03/04/2023,6700,6500,6700,6600,9900,6600
90,04/04/2023,6800,6600,6700,6600,6700,6600
91,05/04/2023,6700,6600,6600,6700,6710,6700
92,06/04/2023,6900,6600,6700,6900,15400,6900
93,07/04/2023,6900,6900,6900,6900,-,6900
94,10/04/2023,6800,6700,6700,6800,600,6800
95,11/04/2023,6800,6600,6700,6600,6900,6600
96,12/04/2023,6700,6400,6700,6700,7300,6700
97,13/04/2023,6800,6700,6700,6800,5900,6800
98,14/04/2023,6800,6500,6500,6800,9300,6800
99,17/04/2023,6700,6600,6700,6700,2100,6700
100,18/04/2023,6800,6700,6700,6800,6400,6800
101,19/04/2023,6800,6800,6800,6800,-,6800
