,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,27000,27000,27000,27000,-,25600
1,22/11/2022,27000,27000,27000,27000,-,25600
2,23/11/2022,27000,27000,27000,27000,-,25600
3,24/11/2022,27000,27000,27000,27000,-,25600
4,25/11/2022,27000,27000,27000,27000,-,25600
5,28/11/2022,27000,27000,27000,27000,-,25600
6,29/11/2022,27000,27000,27000,27000,-,25600
7,30/11/2022,27000,27000,27000,27000,-,25600
8,01/12/2022,27000,27000,27000,27000,-,25600
9,02/12/2022,27000,27000,27000,27000,-,25600
10,05/12/2022,27000,27000,27000,27000,-,25600
11,06/12/2022,27000,27000,27000,27000,-,25600
12,07/12/2022,27000,27000,27000,27000,-,25600
13,08/12/2022,27000,27000,27000,27000,-,25600
14,09/12/2022,27000,27000,27000,27000,-,25600
15,12/12/2022,27000,27000,27000,27000,-,25600
16,13/12/2022,27000,27000,27000,27000,-,25600
17,14/12/2022,27000,27000,27000,27000,-,25600
18,15/12/2022,27000,27000,27000,27000,-,25600
19,16/12/2022,27000,27000,27000,27000,-,25600
20,19/12/2022,27000,27000,27000,27000,-,25600
21,20/12/2022,27000,27000,27000,27000,10,25600
22,21/12/2022,27000,27000,27000,27000,-,25600
23,22/12/2022,27000,27000,27000,27000,-,25600
24,23/12/2022,27000,27000,27000,27000,-,25600
25,26/12/2022,27000,27000,27000,27000,-,25600
26,27/12/2022,27000,27000,27000,27000,-,25600
27,28/12/2022,27000,27000,27000,27000,-,25600
28,29/12/2022,29600,24300,26900,24300,300,23100
29,30/12/2022,24300,24300,24300,24300,-,23100
30,03/01/2023,24300,24300,24300,24300,-,23100
31,04/01/2023,24300,24300,24300,24300,-,23100
32,05/01/2023,24300,24300,24300,24300,-,23100
33,06/01/2023,24300,24300,24300,24300,-,23100
34,09/01/2023,24300,24300,24300,24300,-,23100
35,10/01/2023,24300,24300,24300,24300,-,23100
36,11/01/2023,24300,24300,24300,24300,-,23100
37,12/01/2023,24300,24300,24300,24300,-,23100
38,13/01/2023,24300,24300,24300,24300,-,23100
39,16/01/2023,24300,24300,24300,24300,-,23100
40,17/01/2023,24300,24300,24300,24300,-,23100
41,18/01/2023,24300,24300,24300,24300,-,23100
42,19/01/2023,24300,24300,24300,24300,-,23100
43,27/01/2023,24300,24300,24300,24300,-,23100
44,30/01/2023,24300,24300,24300,24300,-,23100
45,31/01/2023,24300,24300,24300,24300,-,23100
46,01/02/2023,24300,24300,24300,24300,-,23100
47,02/02/2023,24300,24300,24300,24300,-,23100
48,03/02/2023,24300,24300,24300,24300,-,23100
49,06/02/2023,24300,24300,24300,24300,-,23100
50,07/02/2023,24300,24300,24300,24300,-,23100
51,08/02/2023,24300,24300,24300,24300,-,23100
52,09/02/2023,24300,24300,24300,24300,-,23100
53,10/02/2023,24300,24300,24300,24300,-,23100
54,13/02/2023,24300,24300,24300,24300,-,23100
55,14/02/2023,24300,24300,24300,24300,-,23100
56,15/02/2023,24300,24300,24300,24300,-,23100
57,16/02/2023,24300,24300,24300,24300,-,23100
58,17/02/2023,24300,24300,24300,24300,-,23100
59,20/02/2023,24300,24300,24300,24300,-,23100
60,21/02/2023,24300,24300,24300,24300,-,23100
61,22/02/2023,24300,24300,24300,24300,-,23100
62,23/02/2023,24300,24300,24300,24300,-,23100
63,24/02/2023,24300,24300,24300,24300,-,23100
64,27/02/2023,24300,24300,24300,24300,-,23100
65,28/02/2023,24300,24300,24300,24300,-,23100
66,01/03/2023,24300,24300,24300,24300,-,23100
67,02/03/2023,24300,24300,24300,24300,-,23100
68,03/03/2023,24300,24300,24300,24300,-,23100
69,06/03/2023,24300,24300,24300,24300,-,23100
70,07/03/2023,24300,24300,24300,24300,-,23100
71,08/03/2023,24300,24300,24300,24300,-,23100
72,09/03/2023,24300,24300,24300,24300,-,23100
73,10/03/2023,24300,24300,24300,24300,-,23100
74,13/03/2023,24300,24300,24300,24300,-,23100
75,14/03/2023,24300,24300,24300,24300,-,23100
76,15/03/2023,24300,24300,24300,24300,-,23100
77,16/03/2023,24300,24300,24300,24300,-,23100
78,17/03/2023,24300,24300,24300,24300,-,23100
79,20/03/2023,24300,24300,24300,24300,-,23100
80,21/03/2023,24300,24300,24300,24300,-,23100
81,22/03/2023,24300,24300,24300,24300,-,23100
82,23/03/2023,24300,24300,24300,24300,-,23100
83,24/03/2023,24300,24300,24300,24300,-,23100
84,27/03/2023,24300,24300,24300,24300,-,23100
85,28/03/2023,24300,24300,24300,24300,-,23100
86,29/03/2023,21900,21900,21900,21900,100,20800
87,30/03/2023,19800,19800,19800,19800,800,18800
88,31/03/2023,21600,21600,21600,21600,100,20500
89,03/04/2023,21600,21600,21600,21600,-,20500
90,04/04/2023,23700,23600,23700,23600,200,22400
91,05/04/2023,23600,23600,23600,23600,-,22400
92,06/04/2023,23600,23600,23600,23600,-,22400
93,07/04/2023,23600,23600,23600,23600,-,22400
94,10/04/2023,23600,23600,23600,23600,-,22400
95,11/04/2023,23600,23600,23600,23600,-,22400
96,12/04/2023,23600,23600,23600,23600,-,22400
97,13/04/2023,23600,23600,23600,23600,-,22400
98,14/04/2023,23600,23600,23600,23600,-,22400
99,17/04/2023,23600,23600,23600,23600,-,22400
100,18/04/2023,23600,23600,23600,23600,-,22400
101,19/04/2023,23600,23600,23600,23600,-,22400
102,20/04/2023,23600,23600,23600,23600,-,22400
103,21/04/2023,23600,23600,23600,23600,-,22400
104,24/04/2023,21300,21300,21300,21300,102,20200
105,25/04/2023,21300,21300,21300,21300,1,20200
106,26/04/2023,21300,21300,21300,21300,1,20200
107,27/04/2023,21300,21300,21300,21300,1,20200
108,28/04/2023,21300,21300,21300,21300,2,20200
109,04/05/2023,23000,23000,23000,23000,190,21800
110,05/05/2023,25200,25200,25200,25200,100,23900
111,08/05/2023,25200,25200,25200,25200,-,23900
112,09/05/2023,27600,27600,27600,27600,102,26200
113,10/05/2023,28700,28700,28700,28700,100,27200
114,11/05/2023,28700,28700,28700,28700,1,27200
115,12/05/2023,28700,28700,28700,28700,-,27200
116,15/05/2023,31000,31000,31000,31000,100,29400
117,16/05/2023,31000,31000,31000,31000,-,29400
118,17/05/2023,31000,31000,31000,31000,-,29400
119,18/05/2023,31000,31000,31000,31000,-,29400
120,19/05/2023,31000,31000,31000,31000,-,29400
121,22/05/2023,31000,31000,31000,31000,-,29400
122,23/05/2023,31000,31000,31000,31000,-,29400
123,24/05/2023,31000,31000,31000,31000,-,29400
124,25/05/2023,31000,31000,31000,31000,-,29400
125,26/05/2023,31000,31000,31000,31000,-,29400
126,29/05/2023,31000,31000,31000,31000,-,29400
127,30/05/2023,31000,31000,31000,31000,-,29400
128,31/05/2023,31000,31000,31000,31000,-,29400
129,01/06/2023,31000,31000,31000,31000,-,29400
130,02/06/2023,31000,31000,31000,31000,-,29400
131,05/06/2023,31000,31000,31000,31000,-,29400
132,06/06/2023,31000,31000,31000,31000,1,29400
133,07/06/2023,31000,31000,31000,31000,-,29400
134,08/06/2023,34100,27900,27900,27900,7000,26500
135,09/06/2023,30600,28000,28000,30600,11000,29000
136,12/06/2023,33600,27600,33600,33600,32700,31900
137,13/06/2023,36900,30300,30300,36900,6500,35000
138,14/06/2023,39900,36900,39900,39800,17500,37800
139,15/06/2023,35900,35900,35900,35900,101,34100
140,16/06/2023,35900,35900,35900,35900,-,34100
141,19/06/2023,35900,35900,35900,35900,-,34100
142,20/06/2023,35900,35900,35900,35900,-,34100
143,21/06/2023,35900,35900,35900,35900,-,34100
144,22/06/2023,35900,35900,35900,35900,-,34100
145,23/06/2023,35900,35900,35900,35900,-,34100
146,26/06/2023,35900,35900,35900,35900,-,34100
147,27/06/2023,35900,35900,35900,35900,-,34100
148,28/06/2023,35900,35900,35900,35900,-,34100
149,29/06/2023,35900,35900,35900,35900,-,34100
150,30/06/2023,35900,35900,35900,35900,-,34100
151,03/07/2023,35900,35900,35900,35900,-,34100
152,04/07/2023,35900,35900,35900,35900,-,34100
153,05/07/2023,32400,32400,32400,32400,100,30800
154,06/07/2023,32400,32400,32400,32400,-,30800
155,07/07/2023,32400,32400,32400,32400,-,30800
156,10/07/2023,32400,32400,32400,32400,-,30800
157,11/07/2023,35000,29200,35000,29200,200,27700
158,12/07/2023,26300,26300,26300,26300,700,25000
159,13/07/2023,23700,23700,23700,23700,100,22500
160,14/07/2023,21400,21400,21400,21400,1118,20300
161,17/07/2023,21400,19300,21400,19300,16800,18300
162,18/07/2023,17600,17400,17500,17400,6700,16500
163,19/07/2023,17400,16800,16800,17400,3900,16500
164,20/07/2023,17800,17400,17400,17600,8200,16700
165,21/07/2023,19300,17600,17600,19300,2300,18300
166,24/07/2023,21200,21000,21000,21200,600,20100
167,25/07/2023,23300,23300,23300,23300,100,22100
168,26/07/2023,25600,21100,23300,21100,24800,20000
169,27/07/2023,21100,19200,21100,21100,1600,20000
170,28/07/2023,19300,19100,19300,19100,10400,18100
171,31/07/2023,19100,19100,19100,19100,250,18100
172,01/08/2023,19200,18500,18500,19200,1632,18200
173,02/08/2023,19200,19200,19200,19200,18,18200
174,03/08/2023,19400,19400,19400,19400,100,18400
175,04/08/2023,19400,19400,19400,19400,-,18400
176,07/08/2023,19500,18000,18100,19500,2100,18500
177,08/08/2023,19500,19500,19500,19500,210,18500
178,09/08/2023,19000,19000,19000,19000,112,18000
179,10/08/2023,18900,18900,18900,18900,100,17900
180,11/08/2023,18900,18900,18900,18900,600,17900
181,14/08/2023,19000,18900,19000,19000,1700,18000
182,15/08/2023,19200,19000,19000,19200,8100,18200
183,16/08/2023,19700,19200,19200,19700,5910,18700
184,17/08/2023,18700,18700,18700,18700,4000,18700
185,18/08/2023,18700,17700,18700,18700,8200,18700
186,21/08/2023,20300,20300,20300,20300,100,20300
187,22/08/2023,20300,20300,20300,20300,-,20300
188,23/08/2023,20300,20300,20300,20300,-,20300
189,24/08/2023,21900,21500,21900,21500,200,21500
190,25/08/2023,21500,21500,21500,21500,-,21500
191,28/08/2023,21500,21500,21500,21500,3,21500
192,29/08/2023,21500,21500,21500,21500,-,21500
193,30/08/2023,21500,21500,21500,21500,-,21500
194,31/08/2023,21500,21500,21500,21500,-,21500
195,05/09/2023,19400,19400,19400,19400,500,19400
196,06/09/2023,18000,17900,18000,17900,5900,17900
197,07/09/2023,17900,17900,17900,17900,3,17900
198,08/09/2023,19600,19600,19600,19600,106,19600
199,11/09/2023,19900,17800,18100,19900,1005,19900
200,12/09/2023,19900,19900,19900,19900,-,19900
201,13/09/2023,21400,21400,21400,21400,100,21400
202,14/09/2023,20000,20000,20000,20000,100,20000
203,15/09/2023,20000,20000,20000,20000,-,20000
204,18/09/2023,20000,20000,20000,20000,-,20000
205,19/09/2023,20000,20000,20000,20000,-,20000
206,20/09/2023,18100,18100,18100,18100,400,18100
207,21/09/2023,18100,18100,18100,18100,5,18100
208,22/09/2023,18100,18100,18100,18100,-,18100
209,25/09/2023,18100,18100,18100,18100,-,18100
210,26/09/2023,18100,18100,18100,18100,-,18100
211,27/09/2023,18100,18100,18100,18100,1,18100
212,28/09/2023,19300,19300,19300,19300,100,19300
213,29/09/2023,19300,17400,19300,19200,1100,19200
214,02/10/2023,19200,19200,19200,19200,1,19200
215,03/10/2023,19200,19200,19200,19200,-,19200
216,04/10/2023,19200,19200,19200,19200,-,19200
217,05/10/2023,19200,19200,19200,19200,-,19200
218,06/10/2023,19200,19200,19200,19200,20,19200
219,09/10/2023,19200,19200,19200,19200,-,19200
220,10/10/2023,19200,19200,19200,19200,-,19200
221,11/10/2023,19200,19200,19200,19200,-,19200
222,12/10/2023,19200,19200,19200,19200,-,19200
223,13/10/2023,19200,19200,19200,19200,-,19200
224,16/10/2023,19200,19200,19200,19200,-,19200
225,17/10/2023,19200,19200,19200,19200,-,19200
226,18/10/2023,19200,19200,19200,19200,-,19200
227,19/10/2023,19200,19200,19200,19200,-,19200
228,20/10/2023,19200,19200,19200,19200,-,19200
229,23/10/2023,19200,19200,19200,19200,-,19200
230,24/10/2023,19200,19200,19200,19200,-,19200
231,25/10/2023,19200,19200,19200,19200,1,19200
232,26/10/2023,19200,19200,19200,19200,-,19200
233,27/10/2023,19200,19200,19200,19200,-,19200
234,30/10/2023,19200,19200,19200,19200,-,19200
235,31/10/2023,19200,19200,19200,19200,-,19200
236,01/11/2023,19200,19200,19200,19200,-,19200
237,02/11/2023,19200,19200,19200,19200,-,19200
238,03/11/2023,19200,19200,19200,19200,-,19200
