,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7300,6700,6700,7200,10019318,7200
1,22/11/2022,7800,7000,7200,7200,19286839,7200
2,23/11/2022,7300,6800,7300,6800,9048784,6800
3,24/11/2022,7100,6500,6700,7100,11134554,7100
4,25/11/2022,7800,6800,6800,7800,16452274,7800
5,28/11/2022,8500,7400,8100,8500,24442184,8500
6,29/11/2022,9200,8200,8600,8800,25533521,8800
7,30/11/2022,9000,8300,8300,8800,25255061,8800
8,01/12/2022,9300,8300,8900,8500,32906310,8500
9,02/12/2022,9300,8200,8500,9300,34398038,9300
10,05/12/2022,10200,9600,9900,9900,37379433,9900
11,06/12/2022,10100,9000,10000,9000,49679023,9000
12,07/12/2022,9300,8400,9000,8600,24925731,8600
13,08/12/2022,9400,8300,8400,9400,33720691,9400
14,09/12/2022,9700,9100,9500,9300,31995650,9300
15,12/12/2022,9900,8600,9300,8600,36699680,8600
16,13/12/2022,9400,8500,8600,9400,25411086,9400
17,14/12/2022,10000,9300,9300,9400,22787168,9400
18,15/12/2022,9700,9200,9400,9500,17600909,9500
19,16/12/2022,10000,9200,9400,9900,35073361,9900
20,19/12/2022,10600,9600,9600,9800,32062877,9800
21,20/12/2022,9900,8900,8900,9500,36728851,9500
22,21/12/2022,9700,8700,9400,9100,22237838,9100
23,22/12/2022,9400,8200,8200,8900,16935561,8900
24,23/12/2022,9000,8700,8900,8800,11690652,8800
25,26/12/2022,8900,8000,8800,8000,26740931,8000
26,27/12/2022,8800,7700,7900,8800,16691215,8800
27,28/12/2022,9000,8600,8800,8700,9948222,8700
28,29/12/2022,8800,8400,8700,8500,8025647,8500
29,30/12/2022,8700,8400,8500,8400,7070356,8400
30,03/01/2023,9200,8200,8200,9200,23729640,9200
31,04/01/2023,9500,9000,9200,9000,13458730,9000
32,05/01/2023,9200,8800,9000,9000,11921636,9000
33,06/01/2023,9300,8100,8100,8900,16013553,8900
34,09/01/2023,9200,8800,8900,8900,7698521,8900
35,10/01/2023,9100,8600,8900,8900,10440421,8900
36,11/01/2023,9400,8900,8900,9100,16664950,9100
37,12/01/2023,9200,8800,9100,9000,8686022,9000
38,13/01/2023,9400,9000,9000,9100,19069467,9100
39,16/01/2023,9300,8900,9100,9100,9631047,9100
40,17/01/2023,9600,9100,9100,9600,22152180,9600
41,18/01/2023,9700,9400,9600,9500,16056347,9500
42,19/01/2023,10000,9400,9600,9900,18472266,9900
43,27/01/2023,10200,9600,9900,9700,16809342,9700
44,30/01/2023,10200,9500,9500,9700,25255730,9700
45,31/01/2023,10000,9600,9800,10000,18937114,10000
46,01/02/2023,10300,9100,10200,9300,34263819,9300
47,02/02/2023,9500,9000,9300,9100,22021454,9100
48,03/02/2023,9300,8800,9200,9000,12500865,9000
49,06/02/2023,9100,8800,9000,9000,10358905,9000
50,07/02/2023,9200,8600,9000,8600,15183456,8600
51,08/02/2023,8900,8400,8600,8700,14753675,8700
52,09/02/2023,8800,8600,8800,8600,6105330,8600
53,10/02/2023,8700,8400,8600,8500,8234854,8500
54,13/02/2023,8500,7800,8500,8000,19189489,8000
55,14/02/2023,8300,8000,8000,8100,5862145,8100
56,15/02/2023,8500,8000,8100,8400,10168075,8400
57,16/02/2023,8600,8300,8500,8600,7978055,8600
58,17/02/2023,8700,8400,8600,8400,6581333,8400
59,20/02/2023,9100,8400,8500,9100,16045089,9100
60,21/02/2023,9300,8900,9100,8900,10565118,8900
61,22/02/2023,8900,8500,8900,8500,16069441,8500
62,23/02/2023,8600,8200,8500,8600,12495627,8600
63,24/02/2023,8700,8300,8600,8300,5918090,8300
64,27/02/2023,8400,8000,8300,8100,11508403,8100
65,28/02/2023,8300,8100,8100,8100,5579366,8100
66,01/03/2023,8500,8000,8100,8500,7689845,8500
67,02/03/2023,8600,8300,8500,8300,3768956,8300
68,03/03/2023,8500,8100,8400,8100,6023490,8100
69,06/03/2023,8600,8200,8200,8300,8948856,8300
70,07/03/2023,8500,7500,7500,8500,7055715,8500
71,08/03/2023,8800,8300,8400,8700,15017869,8700
72,09/03/2023,8800,7900,7900,8700,11477906,8700
73,10/03/2023,8800,8500,8700,8700,13146973,8700
74,13/03/2023,8700,8400,8500,8500,8726446,8500
75,14/03/2023,8600,8100,8600,8200,14828765,8200
76,15/03/2023,9000,8300,8300,9000,29685914,9000
77,16/03/2023,9100,8600,8900,8700,12240850,8700
78,17/03/2023,9000,8600,8700,8800,11243077,8800
79,20/03/2023,8800,8400,8700,8400,11828828,8400
80,21/03/2023,8600,8100,8100,8500,8161695,8500
81,22/03/2023,8700,8500,8600,8500,5969395,8500
82,23/03/2023,8800,8400,8500,8800,12346231,8800
83,24/03/2023,9100,8800,8800,8900,20864989,8900
84,27/03/2023,9200,8800,9000,9100,22869437,9100
85,28/03/2023,9200,8800,9100,8900,17162678,8900
86,29/03/2023,9000,8700,8900,8900,15325815,8900
87,30/03/2023,9300,8900,9000,9000,23471417,9000
88,31/03/2023,9300,8900,9000,9200,27351777,9200
89,03/04/2023,9700,9300,9400,9500,22497876,9500
90,04/04/2023,9700,9400,9600,9600,24838395,9600
91,05/04/2023,9700,9500,9600,9700,17868663,9700
92,06/04/2023,10000,9300,10000,9300,30228463,9300
93,07/04/2023,9600,9200,9300,9500,26711893,9500
94,10/04/2023,10400,9500,9600,10400,69945219,10400
95,11/04/2023,10600,10100,10400,10600,30408259,10600
96,12/04/2023,11000,10400,10600,10500,35843298,10500
97,13/04/2023,10600,10300,10600,10300,21603293,10300
98,14/04/2023,10600,10100,10300,10100,35068820,10100
99,17/04/2023,10200,10000,10100,10100,17090001,10100
100,18/04/2023,10400,10000,10000,10400,42844938,10400
101,19/04/2023,10500,10100,10500,10100,16412975,10100
102,20/04/2023,10200,10000,10200,10200,11246558,10200
103,21/04/2023,10600,10100,10200,10200,26895852,10200
104,24/04/2023,10400,10100,10200,10200,12317372,10200
105,25/04/2023,10300,9800,10200,9800,24805238,9800
106,26/04/2023,9900,9600,9800,9900,16924621,9900
107,27/04/2023,10000,9800,10000,9900,8412841,9900
108,28/04/2023,10200,9800,10000,10100,14960012,10100
109,04/05/2023,10400,10000,10100,10200,17373091,10200
110,05/05/2023,10400,10100,10300,10200,13461135,10200
111,08/05/2023,10800,10200,10200,10800,38471527,10800
112,09/05/2023,10900,10600,10900,10800,12368777,10800
113,10/05/2023,11300,10700,10800,11100,41364177,11100
114,11/05/2023,11200,11000,11200,11000,24187653,11000
115,12/05/2023,11400,10700,10900,11300,24660161,11300
116,15/05/2023,11600,10900,11400,10900,20208886,10900
117,16/05/2023,11100,10800,10900,11000,16799877,11000
118,17/05/2023,11100,10700,11000,10700,28274650,10700
119,18/05/2023,11200,10600,10800,10800,25791087,10800
120,19/05/2023,11100,10800,10800,11000,13870916,11000
121,22/05/2023,11200,11000,11100,11100,13245306,11100
122,23/05/2023,11400,11000,11100,11100,24798552,11100
123,24/05/2023,11400,11100,11100,11100,14577546,11100
124,25/05/2023,11200,10900,11200,11000,22840259,11000
125,26/05/2023,11200,10900,11000,11100,9902686,11100
126,29/05/2023,11800,11100,11100,11800,32213336,11800
127,30/05/2023,11900,11600,11800,11800,32539674,11800
128,31/05/2023,11900,11400,11800,11600,22383835,11600
129,01/06/2023,12000,11500,11700,11800,20962332,11800
130,02/06/2023,12200,11800,11800,12000,22770494,12000
131,05/06/2023,12300,11800,12000,12000,20143460,12000
132,06/06/2023,12700,11800,11900,12700,57531356,12700
133,07/06/2023,12900,12500,12800,12700,17557009,12700
134,08/06/2023,12800,12300,12700,12300,32412496,12300
135,09/06/2023,12700,12200,12300,12700,28676025,12700
136,12/06/2023,13000,12500,12700,13000,45501893,13000
137,13/06/2023,13600,13000,13000,13500,38839235,13500
138,14/06/2023,13600,13300,13600,13300,25288847,13300
139,15/06/2023,13500,13100,13200,13400,16990615,13400
140,16/06/2023,14200,13400,13400,13500,58124472,13500
141,19/06/2023,13800,13300,13500,13500,26609415,13500
142,20/06/2023,13800,13400,13500,13800,20324592,13800
143,21/06/2023,14100,13700,13900,14000,22372809,14000
144,22/06/2023,14100,13800,14000,13900,24384281,13900
145,23/06/2023,14200,13700,14000,13800,27020319,13800
146,26/06/2023,13800,13200,13800,13700,39132032,13700
147,27/06/2023,13900,13500,13700,13700,14281992,13700
148,28/06/2023,13900,13500,13800,13500,22813868,13500
149,29/06/2023,13600,13000,13600,13000,33175627,13000
150,30/06/2023,13400,11700,11700,13200,16399079,13200
151,03/07/2023,13500,13200,13200,13400,12455994,13400
152,04/07/2023,13800,13300,13400,13700,28961602,13700
153,05/07/2023,13900,13600,13800,13600,16905222,13600
154,06/07/2023,13800,13200,13600,13600,26524141,13600
155,07/07/2023,13700,13200,13600,13700,17137810,13700
156,10/07/2023,14400,13700,13700,14300,36671561,14300
157,11/07/2023,14500,14100,14300,14200,20024014,14200
158,12/07/2023,14500,14200,14200,14300,16772920,14300
159,13/07/2023,14500,13600,14300,14500,14623668,14500
160,14/07/2023,14600,14100,14500,14600,24526020,14600
161,17/07/2023,14900,14500,14600,14700,17430145,14700
162,18/07/2023,14800,14400,14700,14500,13019921,14500
163,19/07/2023,14700,14400,14500,14500,16783226,14500
164,20/07/2023,14600,14200,14500,14400,13700410,14400
165,21/07/2023,14700,14300,14500,14700,22432739,14700
166,24/07/2023,15200,14700,14700,15200,23470100,15200
167,25/07/2023,15400,14600,14600,15100,15923799,15100
168,26/07/2023,15300,14900,15100,15200,12527953,15200
169,27/07/2023,15400,15000,15200,15200,28288289,15200
170,28/07/2023,15500,15100,15200,15500,21642085,15500
171,31/07/2023,15700,15200,15500,15600,14887675,15600
172,01/08/2023,15700,15000,15700,15000,17091009,15000
173,02/08/2023,15400,14900,15000,15200,12638729,15200
174,03/08/2023,15500,15100,15200,15300,14969468,15300
175,04/08/2023,15700,15200,15300,15500,17333318,15500
176,07/08/2023,16300,15600,15600,16100,25398063,16100
177,08/08/2023,16400,15900,16300,16100,17369132,16100
178,09/08/2023,16300,15800,16100,15800,18753251,15800
179,10/08/2023,15900,15400,15800,15400,35226402,15400
180,11/08/2023,16000,15200,15400,16000,16875708,16000
181,14/08/2023,17100,15900,16000,16800,32294959,16800
182,15/08/2023,17000,16500,16800,16600,11842364,16600
183,16/08/2023,16700,16300,16500,16700,14862840,16700
184,17/08/2023,17400,16600,16700,16700,25926175,16700
185,18/08/2023,16700,15100,16700,15100,45197426,15100
186,21/08/2023,16000,14900,15100,15600,25522746,15600
187,22/08/2023,16400,15000,15700,16400,33407902,16400
188,23/08/2023,16700,16000,16400,16000,17258252,16000
189,24/08/2023,16900,15900,16000,16900,30991805,16900
190,25/08/2023,17300,16700,17000,16900,22986395,16900
191,28/08/2023,17300,16900,16900,17300,36343191,17300
192,29/08/2023,17800,17200,17300,17700,25068419,17700
193,30/08/2023,18600,17500,17700,18500,22894693,18500
194,31/08/2023,18700,18400,18500,18600,16553147,18600
195,05/09/2023,18800,17800,18800,18400,18169741,18400
196,06/09/2023,19400,18200,18300,19100,25485465,19100
197,07/09/2023,19300,18900,19100,18900,13485522,18900
198,08/09/2023,19100,18800,19000,18800,12004655,18800
199,11/09/2023,19500,18700,19000,18800,22373183,18800
200,12/09/2023,20500,18600,18600,20500,27308078,20500
201,13/09/2023,20700,19800,20500,20300,18944376,20300
202,14/09/2023,20400,19400,20400,19600,26748401,19600
203,15/09/2023,19900,19300,19600,19600,15952881,19600
204,18/09/2023,20000,19100,19600,19500,18967666,19500
205,19/09/2023,19800,18900,19500,19600,20039515,19600
206,20/09/2023,20300,19600,19700,20200,14488129,20200
207,21/09/2023,20400,19100,20200,19200,31980179,19200
208,22/09/2023,19200,17400,19000,17800,53071128,17800
209,25/09/2023,18000,16100,17500,16100,38692472,16100
210,26/09/2023,17500,15500,15500,16400,38979168,16400
211,27/09/2023,17700,16300,16500,17700,31686573,17700
212,28/09/2023,17900,16800,17900,17400,24779275,17400
213,29/09/2023,17900,17100,17500,17200,21818104,17200
214,02/10/2023,17700,17200,17200,17400,16069763,17400
215,03/10/2023,17400,15900,17400,15900,40338674,15900
216,04/10/2023,17300,15100,15700,16900,33973051,16900
217,05/10/2023,17300,16500,17000,16600,18812622,16600
218,06/10/2023,17400,16200,16500,17300,24169014,17300
219,09/10/2023,17800,17100,17300,17600,23395312,17600
220,10/10/2023,18100,17300,17600,17300,24511764,17300
221,11/10/2023,18300,17200,17400,18200,29895972,18200
222,12/10/2023,18500,17600,18200,18100,24638720,18100
223,13/10/2023,18400,17600,18000,18200,22387238,18200
224,16/10/2023,18300,17600,18200,17700,26652115,17700
225,17/10/2023,18000,16200,17700,16200,27620360,16200
226,18/10/2023,17000,15300,16300,16500,38260704,16500
227,19/10/2023,16700,15800,16500,15800,23539679,15800
228,20/10/2023,16700,15100,15800,16700,29067008,16700
229,23/10/2023,16800,16100,16800,16300,17653797,16300
230,24/10/2023,16700,14700,14700,16500,19326762,16500
231,25/10/2023,17000,16100,16500,16200,33160999,16200
232,26/10/2023,16200,14600,16000,14700,63141573,14700
233,27/10/2023,15300,14100,14100,15100,25604285,15100
234,30/10/2023,15100,13800,15100,13800,27534894,13800
235,31/10/2023,14100,12800,14000,12900,34571425,12900
236,01/11/2023,14100,12200,12700,14100,47367812,14100
237,02/11/2023,15500,14000,14300,15400,44539188,15400
238,03/11/2023,15700,14900,15500,15300,29389640,15300
239,06/11/2023,16000,14200,15300,16000,33884165,16000
240,07/11/2023,16500,14400,14400,15900,40579567,15900
241,08/11/2023,17400,14600,14600,17400,43403550,17400
242,09/11/2023,18100,17300,17600,17300,36549787,17300
243,10/11/2023,17900,17000,17300,17400,35874188,17400
244,13/11/2023,17700,17000,17400,17500,33900691,17500
245,14/11/2023,18400,17400,17600,17600,33716750,17600
246,15/11/2023,18700,15900,15900,17700,34184931,17700
247,16/11/2023,18100,17500,17500,18100,32334455,18100
248,17/11/2023,18400,17300,18100,17400,53744066,17400
249,20/11/2023,18300,16300,17200,18000,32135791,18000
