,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16400,14500,14500,16400,600,14700
1,22/11/2022,15100,15100,15100,15100,200,13600
2,23/11/2022,15100,15100,15100,15100,-,13600
3,24/11/2022,15100,15100,15100,15100,7,13600
4,25/11/2022,16500,16500,16500,16500,100,14800
5,28/11/2022,17000,17000,17000,17000,103,15300
6,29/11/2022,17400,17400,17400,17400,100,15600
7,30/11/2022,15700,15700,15700,15700,100,14100
8,01/12/2022,15000,15000,15000,15000,300,13500
9,02/12/2022,15000,15000,15000,15000,32,13500
10,05/12/2022,15500,15000,15500,15000,2000,13500
11,06/12/2022,15000,15000,15000,15000,-,13500
12,07/12/2022,15000,15000,15000,15000,-,13500
13,08/12/2022,15000,15000,15000,15000,-,13500
14,09/12/2022,15000,15000,15000,15000,132,13500
15,12/12/2022,15000,15000,15000,15000,-,13500
16,13/12/2022,15000,15000,15000,15000,-,13500
17,14/12/2022,16000,16000,16000,16000,100,14400
18,15/12/2022,16000,16000,16000,16000,100,14400
19,16/12/2022,16000,16000,16000,16000,-,14400
20,19/12/2022,16000,16000,16000,16000,-,14400
21,20/12/2022,16000,16000,16000,16000,-,14400
22,21/12/2022,16000,16000,16000,16000,-,14400
23,22/12/2022,14800,14800,14800,14800,100,13300
24,23/12/2022,14800,14800,14800,14800,-,13300
25,26/12/2022,15100,13500,13500,15100,500,13600
26,27/12/2022,15100,15100,15100,15100,-,13600
27,28/12/2022,14000,13600,14000,13600,400,12200
28,29/12/2022,14900,14900,14900,14900,100,13400
29,30/12/2022,16300,16300,16300,16300,200,14600
30,03/01/2023,16900,16900,16900,16900,100,15200
31,04/01/2023,17000,16500,17000,16500,500,14800
32,05/01/2023,17000,16300,17000,16300,200,14600
33,06/01/2023,16300,16300,16300,16300,-,14600
34,09/01/2023,15000,15000,15000,15000,700,13500
35,10/01/2023,15000,15000,15000,15000,-,13500
36,11/01/2023,15000,15000,15000,15000,-,13500
37,12/01/2023,15000,15000,15000,15000,-,13500
38,13/01/2023,16400,16300,16300,16400,601,14700
39,16/01/2023,16400,16400,16400,16400,-,14700
40,17/01/2023,16400,16400,16400,16400,2,14700
41,18/01/2023,16400,16400,16400,16400,361,14700
42,19/01/2023,16400,16400,16400,16400,19,14700
43,27/01/2023,16500,16500,16500,16500,100,14800
44,30/01/2023,16500,16500,16500,16500,-,14800
45,31/01/2023,16500,16500,16500,16500,-,14800
46,01/02/2023,16500,16500,16500,16500,-,14800
47,02/02/2023,16500,16500,16500,16500,9,14800
48,03/02/2023,16500,16500,16500,16500,-,14800
49,06/02/2023,16500,16500,16500,16500,-,14800
50,07/02/2023,16500,16500,16500,16500,80,14800
51,08/02/2023,16500,16500,16500,16500,-,14800
52,09/02/2023,16600,15100,15100,16500,833,14800
53,10/02/2023,16500,16500,16500,16500,2,14800
54,13/02/2023,15500,15500,15500,15500,1807,13900
55,14/02/2023,15500,15500,15500,15500,400,13900
56,15/02/2023,15500,15500,15500,15500,-,13900
57,16/02/2023,15500,15500,15500,15500,-,13900
58,17/02/2023,15500,15500,15500,15500,-,13900
59,20/02/2023,14400,14400,14400,14400,109,12900
60,21/02/2023,15500,15400,15400,15500,1900,13900
61,22/02/2023,15500,15500,15500,15500,-,13900
62,23/02/2023,14100,14100,14100,14100,100,12700
63,24/02/2023,14100,14100,14100,14100,-,12700
64,27/02/2023,14100,14100,14100,14100,1,12700
65,28/02/2023,14100,14100,14100,14100,-,12700
66,01/03/2023,15500,15500,15500,15500,100,13900
67,02/03/2023,16900,16900,16900,16900,100,15200
68,03/03/2023,16900,16900,16900,16900,-,15200
69,06/03/2023,16900,16900,16900,16900,-,15200
70,07/03/2023,16900,16900,16900,16900,-,15200
71,08/03/2023,16900,16900,16900,16900,-,15200
72,09/03/2023,16900,16900,16900,16900,-,15200
73,10/03/2023,16900,16900,16900,16900,2,15200
74,13/03/2023,16900,16900,16900,16900,-,15200
75,14/03/2023,16900,16900,16900,16900,-,15200
76,15/03/2023,16900,16900,16900,16900,-,15200
77,16/03/2023,15300,15300,15300,15300,100,13700
78,17/03/2023,15300,15300,15300,15300,-,13700
79,20/03/2023,13900,13900,13900,13900,100,12500
80,21/03/2023,13900,13900,13900,13900,-,12500
81,22/03/2023,15200,15200,15200,15200,100,13700
82,23/03/2023,15200,15200,15200,15200,-,13700
83,24/03/2023,15200,15200,15200,15200,-,13700
84,27/03/2023,15200,15200,15200,15200,-,13700
85,28/03/2023,15200,15200,15200,15200,1850,13700
86,29/03/2023,15200,15200,15200,15200,-,13700
87,30/03/2023,15200,15200,15200,15200,-,13700
88,31/03/2023,15200,15200,15200,15200,-,13700
89,03/04/2023,15200,15200,15200,15200,-,13700
90,04/04/2023,15200,15200,15200,15200,-,13700
91,05/04/2023,15200,15200,15200,15200,-,13700
