,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4800,4800,4800,4800,100,4800
1,22/11/2022,4700,4400,4400,4700,18000,4700
2,23/11/2022,4800,4300,4700,4500,20800,4500
3,24/11/2022,4500,4200,4300,4500,3200,4500
4,25/11/2022,4500,4400,4400,4400,1100,4400
5,28/11/2022,4600,4100,4500,4600,16700,4600
6,29/11/2022,4700,4600,4600,4700,2100,4700
7,30/11/2022,4700,4400,4500,4700,6200,4700
8,01/12/2022,4800,4400,4500,4800,60700,4800
9,02/12/2022,5000,4500,4500,4900,7700,4900
10,05/12/2022,4900,4500,4600,4600,10100,4600
11,06/12/2022,4700,4300,4500,4400,7700,4400
12,07/12/2022,4600,4100,4300,4100,8700,4100
13,08/12/2022,4400,4000,4400,4100,3600,4100
14,09/12/2022,4300,4100,4300,4300,1800,4300
15,12/12/2022,4400,4000,4400,4300,8900,4300
16,13/12/2022,4300,3900,3900,4300,3900,4300
17,14/12/2022,4300,3900,4000,4300,13800,4300
18,15/12/2022,4400,4000,4000,4300,9900,4300
19,16/12/2022,4300,4300,4300,4300,100,4300
20,19/12/2022,4300,4200,4300,4300,500,4300
21,20/12/2022,4200,3900,4000,4200,1800,4200
22,21/12/2022,4300,3900,4300,4100,3300,4100
23,22/12/2022,4100,3700,3800,4100,12200,4100
24,23/12/2022,4100,4100,4100,4100,200,4100
25,26/12/2022,4100,4100,4100,4100,1000000,4100
26,27/12/2022,4100,3800,3900,4100,11700,4100
27,28/12/2022,4100,3800,3800,4100,2005600,4100
28,29/12/2022,4400,4100,4100,4400,7000,4400
29,30/12/2022,4300,4000,4000,4300,700,4300
30,03/01/2023,4500,4300,4300,4500,3200,4500
31,04/01/2023,4400,4100,4200,4400,13300,4400
32,05/01/2023,4300,4000,4000,4300,700,4300
33,06/01/2023,4300,4200,4200,4300,600,4300
34,09/01/2023,4300,4000,4100,4300,5600,4300
35,10/01/2023,4300,4300,4300,4300,-,4300
36,11/01/2023,4300,3900,4000,4300,6000,4300
37,12/01/2023,4300,4000,4000,4300,4500,4300
38,13/01/2023,4200,3900,4000,4200,2600,4200
39,16/01/2023,4200,3800,4100,4100,23800,4100
40,17/01/2023,4100,4000,4000,4100,800,4100
41,18/01/2023,4100,3700,3900,3900,12700,3900
42,19/01/2023,4200,4000,4200,4000,300,4000
43,27/01/2023,4000,3900,4000,4000,1300,4000
44,30/01/2023,4000,3700,3800,3900,500,3900
45,31/01/2023,4000,3600,3900,3800,20100,3800
46,01/02/2023,4000,3700,3800,4000,13800,4000
47,02/02/2023,4000,3800,3800,4000,4200,4000
48,03/02/2023,4000,4000,4000,4000,-,4000
49,06/02/2023,4000,3800,3800,4000,3600,4000
50,07/02/2023,4000,3800,3800,4000,4200,4000
51,08/02/2023,3900,3800,3800,3900,300,3900
52,09/02/2023,3900,3600,3700,3900,4800,3900
53,10/02/2023,3800,3700,3700,3800,1700,3800
54,13/02/2023,4000,3800,3800,4000,1700,4000
55,14/02/2023,4000,4000,4000,4000,2,4000
56,15/02/2023,4000,4000,4000,4000,-,4000
57,16/02/2023,4000,3600,3700,4000,13400,4000
58,17/02/2023,3900,3600,3700,3600,16900,3600
59,20/02/2023,3900,3600,3800,3900,5000,3900
60,21/02/2023,4000,3900,3900,4000,1000,4000
61,22/02/2023,4000,3600,3600,3700,83400,3700
62,23/02/2023,3800,3600,3800,3800,2100,3800
63,24/02/2023,3800,3600,3600,3700,6400,3700
64,27/02/2023,3600,3400,3600,3400,8400,3400
65,28/02/2023,3700,3500,3600,3600,14500,3600
66,01/03/2023,3800,3700,3700,3800,1000,3800
67,02/03/2023,3700,3600,3600,3700,8200,3700
68,03/03/2023,3700,3700,3700,3700,4000,3700
69,06/03/2023,3600,3500,3600,3600,12400,3600
70,07/03/2023,3600,3300,3500,3600,36000,3600
71,08/03/2023,3700,3500,3500,3700,9000,3700
72,09/03/2023,3800,3400,3700,3700,32111,3700
73,10/03/2023,3700,3500,3600,3700,11701,3700
74,13/03/2023,3700,3400,3600,3700,21400,3700
75,14/03/2023,3700,3400,3500,3700,6200,3700
76,15/03/2023,3600,3500,3500,3500,5200,3500
77,16/03/2023,3800,3500,3500,3700,11200,3700
78,17/03/2023,3600,3400,3500,3600,20100,3600
79,20/03/2023,3600,3600,3600,3600,-,3600
80,21/03/2023,3500,3300,3300,3500,46900,3500
81,22/03/2023,3700,3500,3500,3700,7400,3700
82,23/03/2023,3500,3400,3400,3400,21200,3400
83,24/03/2023,3500,3400,3400,3500,2600,3500
84,27/03/2023,3600,3300,3300,3500,14500,3500
85,28/03/2023,3500,3400,3400,3500,4000,3500
86,29/03/2023,3500,3500,3500,3500,2200,3500
87,30/03/2023,3600,3500,3500,3500,6510,3500
88,31/03/2023,3500,3300,3500,3500,5200,3500
89,03/04/2023,3500,3400,3400,3400,3700,3400
90,04/04/2023,3500,3300,3400,3500,16300,3500
91,05/04/2023,3500,3300,3500,3500,6300,3500
92,06/04/2023,3500,3300,3500,3300,12100,3300
93,07/04/2023,3500,3300,3500,3400,3800,3400
94,10/04/2023,3500,3300,3500,3500,12300,3500
95,11/04/2023,3500,3400,3400,3500,3200,3500
96,12/04/2023,3500,3400,3400,3500,4500,3500
97,13/04/2023,3500,3400,3400,3500,1300,3500
98,14/04/2023,3500,3300,3400,3400,5200,3400
99,17/04/2023,3500,3400,3500,3400,6200,3400
100,18/04/2023,3500,3400,3400,3400,5800,3400
101,19/04/2023,3700,3400,3400,3700,25100,3700
102,20/04/2023,3600,3500,3500,3500,970100,3500
103,21/04/2023,3500,3300,3500,3500,32800,3500
104,24/04/2023,3800,3400,3800,3500,1039625,3500
105,25/04/2023,3500,3400,3500,3500,1003400,3500
106,26/04/2023,3500,3300,3300,3500,3300,3500
107,27/04/2023,3500,3400,3400,3500,2001516,3500
108,28/04/2023,3500,3400,3400,3400,12300,3400
109,04/05/2023,3500,3500,3500,3500,600,3500
110,05/05/2023,3500,3500,3500,3500,-,3500
111,08/05/2023,3500,3500,3500,3500,1,3500
112,09/05/2023,3500,3500,3500,3500,-,3500
113,10/05/2023,3500,3500,3500,3500,5,3500
114,11/05/2023,3500,3500,3500,3500,1000,3500
115,12/05/2023,3500,3200,3400,3500,4136,3500
116,15/05/2023,3500,3300,3300,3400,900,3400
117,16/05/2023,3500,3300,3500,3400,17836,3400
118,17/05/2023,3400,3200,3300,3400,5100,3400
119,18/05/2023,3400,3300,3300,3400,16900,3400
120,19/05/2023,3500,3400,3400,3400,5100,3400
121,22/05/2023,3500,3200,3400,3200,21500,3200
122,23/05/2023,3400,3200,3400,3400,3800,3400
123,24/05/2023,3400,3200,3200,3400,1012000,3400
124,25/05/2023,3500,3300,3400,3300,9200,3300
125,26/05/2023,3500,3400,3500,3400,19700,3400
126,29/05/2023,3500,3400,3400,3500,19551,3500
127,30/05/2023,3600,3500,3600,3500,5042700,3500
128,31/05/2023,3700,3600,3600,3700,2071405,3700
129,01/06/2023,4000,3800,3800,3900,28939,3900
130,02/06/2023,4100,3600,4100,3900,36000,3900
131,05/06/2023,4000,3900,3900,4000,15600,4000
132,06/06/2023,4400,4000,4000,4400,88344,4400
133,07/06/2023,4800,4400,4400,4800,102700,4800
134,08/06/2023,5200,4800,4800,5200,67200,5200
135,09/06/2023,5500,4700,5500,5000,39244,5000
136,12/06/2023,5000,4500,5000,4900,60300,4900
137,13/06/2023,5200,4700,4700,5000,10301,5000
138,14/06/2023,4900,4700,4900,4900,25800,4900
139,15/06/2023,4800,4600,4800,4800,300,4800
140,16/06/2023,4700,4500,4600,4700,21500,4700
141,19/06/2023,4700,4300,4500,4600,6600,4600
142,20/06/2023,4500,4300,4500,4500,10600,4500
143,21/06/2023,4500,4300,4400,4300,2800,4300
144,22/06/2023,4500,4300,4300,4500,24600,4500
145,23/06/2023,4500,4100,4300,4500,24600,4500
146,26/06/2023,4400,4100,4300,4200,50800,4200
147,27/06/2023,4300,4100,4300,4300,1100,4300
148,28/06/2023,4300,4000,4200,4200,10200,4200
149,29/06/2023,4300,3900,3900,4300,1800,4300
150,30/06/2023,4200,4200,4200,4200,300,4200
151,03/07/2023,4200,4200,4200,4200,-,4200
152,04/07/2023,4400,3800,3900,4200,14800,4200
153,05/07/2023,4300,4000,4300,4200,3701,4200
154,06/07/2023,4300,4100,4300,4200,6400,4200
155,07/07/2023,4200,3900,4200,4100,19600,4100
156,10/07/2023,4200,4000,4200,4200,5200,4200
157,11/07/2023,4400,3900,4200,4200,10000,4200
158,12/07/2023,4200,4000,4200,4200,6401,4200
159,13/07/2023,4200,4000,4000,4200,13000,4200
160,14/07/2023,4200,4000,4200,4200,550800,4200
161,17/07/2023,4300,3800,4100,4200,720800,4200
