,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6400,5500,6000,6300,1468090,6300
1,22/11/2022,6800,6000,6300,6500,2563935,6500
2,23/11/2022,6600,6100,6100,6400,1080714,6400
3,24/11/2022,6300,5800,5900,6300,1142413,6300
4,25/11/2022,6700,6300,6300,6700,1431704,6700
5,28/11/2022,7300,6700,6700,7300,1209251,7300
6,29/11/2022,7700,6900,7300,7400,1421802,7400
7,30/11/2022,7500,7000,7400,7300,849300,7300
8,01/12/2022,8000,7300,7300,7600,1817092,7600
9,02/12/2022,8000,7300,7600,8000,1149519,8000
10,05/12/2022,8300,7800,8100,8000,1459188,8000
11,06/12/2022,8100,7200,8000,7400,1526848,7400
12,07/12/2022,7500,6800,7400,6800,1417741,6800
13,08/12/2022,7400,6700,6800,7400,1126745,7400
14,09/12/2022,8100,7600,7800,8100,1870080,8100
15,12/12/2022,8900,8400,8400,8900,1783606,8900
16,13/12/2022,9300,8200,9200,9300,1699368,9300
17,14/12/2022,9600,8900,9400,8900,2099420,8900
18,15/12/2022,9000,8600,8900,8900,1346701,8900
19,16/12/2022,9100,8600,8700,9100,1619973,9100
20,19/12/2022,9300,8900,9100,8900,1216847,8900
21,20/12/2022,8800,8100,8700,8200,1713487,8200
22,21/12/2022,9000,8100,8200,8600,1332517,8600
23,22/12/2022,8800,8300,8700,8600,467872,8600
24,23/12/2022,8600,8300,8600,8600,505680,8600
25,26/12/2022,8700,7800,8600,7800,881540,7800
26,27/12/2022,8000,7500,7800,8000,927320,8000
27,28/12/2022,8200,7800,8000,8100,1093864,8100
28,29/12/2022,8100,7600,8100,7600,607975,7600
29,30/12/2022,7900,7500,7900,7700,371464,7700
30,03/01/2023,8400,7600,7700,8400,1083658,8400
31,04/01/2023,8400,7600,8400,8100,559118,8100
32,05/01/2023,8200,7900,8200,8000,367388,8000
33,06/01/2023,8100,7600,8100,8000,580084,8000
34,09/01/2023,8100,7800,8000,8000,325621,8000
35,10/01/2023,8100,7800,7800,8000,392650,8000
36,11/01/2023,8300,8000,8000,8200,1028665,8200
37,12/01/2023,8400,8000,8200,8300,886572,8300
38,13/01/2023,8400,8100,8300,8200,473457,8200
39,16/01/2023,8200,7800,8200,8100,475700,8100
40,17/01/2023,8200,8000,8100,8200,727259,8200
41,18/01/2023,9000,8100,8200,9000,3135271,9000
42,19/01/2023,9300,8800,9000,9300,1295821,9300
43,27/01/2023,9600,8900,9300,8900,1095543,8900
44,30/01/2023,9000,8700,8900,8700,975665,8700
45,31/01/2023,9400,8600,8700,9400,1430882,9400
46,01/02/2023,9800,8900,9500,9000,1580131,9000
47,02/02/2023,9100,8500,9000,8500,1216070,8500
48,03/02/2023,8900,8500,8500,8800,1150964,8800
49,06/02/2023,8900,8600,8700,8800,698816,8800
50,07/02/2023,8900,8200,8800,8200,925929,8200
51,08/02/2023,8600,8000,8200,8500,1111322,8500
52,09/02/2023,8600,8200,8500,8400,555640,8400
53,10/02/2023,8400,8100,8400,8100,419780,8100
54,13/02/2023,8200,7400,8000,8000,1153356,8000
55,14/02/2023,8400,7900,8000,8300,1165542,8300
56,15/02/2023,8500,8200,8300,8400,530554,8400
57,16/02/2023,8500,8100,8400,8400,508953,8400
58,17/02/2023,9000,8300,8400,8900,2174071,8900
59,20/02/2023,9200,8800,9000,9200,1324978,9200
60,21/02/2023,9300,8800,9200,8900,1101582,8900
61,22/02/2023,8800,8400,8800,8400,930846,8400
62,23/02/2023,8500,8000,8300,8400,859299,8400
63,24/02/2023,8400,8100,8400,8400,407327,8400
64,27/02/2023,8300,8000,8300,8200,590949,8200
65,28/02/2023,8400,8100,8200,8300,799995,8300
