,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18400,18400,18400,18400,100,17100
1,22/11/2022,19400,16600,16600,19400,1300,18000
2,23/11/2022,19400,17500,19400,17500,300,16200
3,24/11/2022,19200,19200,19200,19200,118,17800
4,25/11/2022,19200,19200,19200,19200,700,17800
5,28/11/2022,20500,17300,20500,20000,500,18600
6,29/11/2022,20500,18000,20500,18000,5000,16700
7,30/11/2022,19100,16400,18100,19000,2200,17600
8,01/12/2022,19800,19100,19100,19800,1010,18400
9,02/12/2022,19800,19800,19800,19800,-,18400
10,05/12/2022,19000,18900,18900,19000,200,17600
11,06/12/2022,20500,19600,19600,20500,600,19000
12,07/12/2022,20500,20500,20500,20500,1,19000
13,08/12/2022,18500,18500,18500,18500,149,17200
14,09/12/2022,18900,18000,18500,18900,1201,17500
15,12/12/2022,19400,18900,19400,18900,3200,17500
16,13/12/2022,18900,18900,18900,18900,-,17500
17,14/12/2022,18900,17100,17100,18900,743,17500
18,15/12/2022,17100,17100,17100,17100,100,15900
19,16/12/2022,18800,15800,17100,18800,7920,17500
20,19/12/2022,19700,18100,18900,18100,3600,16800
21,20/12/2022,18800,17600,18200,18800,5500,17500
22,21/12/2022,17900,17500,17900,17500,200,16200
23,22/12/2022,17500,17000,17500,17000,600,15800
24,23/12/2022,17000,17000,17000,17000,500,15800
25,26/12/2022,17900,16800,16800,17100,3010,15900
26,27/12/2022,18800,17000,17000,18800,4560,17500
27,28/12/2022,20600,18800,20100,20600,3201,19100
28,29/12/2022,20600,20600,20600,20600,100,19100
29,30/12/2022,22400,20900,20900,22400,300,20800
30,03/01/2023,20800,20200,20300,20800,3000,19300
31,04/01/2023,20800,20800,20800,20800,-,19300
32,05/01/2023,21000,18900,18900,21000,2000,19500
33,06/01/2023,19000,19000,19000,19000,100,17600
34,09/01/2023,19000,19000,19000,19000,-,17600
35,10/01/2023,19800,19000,19000,19800,1480,18400
36,11/01/2023,19800,19800,19800,19800,1,18400
37,12/01/2023,19800,19800,19800,19800,-,18400
38,13/01/2023,21700,18700,18700,21700,9310,20100
39,16/01/2023,23600,19800,23600,19800,20800,18400
40,17/01/2023,21600,21600,21600,21600,210,20100
41,18/01/2023,21600,21500,21500,21500,41900,20000
42,19/01/2023,22000,21000,21500,22000,5100,20400
43,27/01/2023,24200,23000,23000,24200,76300,22500
44,30/01/2023,26500,24300,24400,26000,21200,24100
45,31/01/2023,28600,27300,28600,28300,114570,26300
46,01/02/2023,31000,27000,31000,27300,22900,25300
47,02/02/2023,28000,26600,26600,28000,15700,26000
