,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12800,11000,11000,12400,1686238,10900
1,22/11/2022,13000,11400,11400,12200,2864230,10800
2,23/11/2022,12900,11500,11500,12200,1977873,10800
3,24/11/2022,12600,11500,11900,12500,1671646,11000
4,25/11/2022,13500,11300,11300,13400,2175974,11800
5,28/11/2022,14500,13200,13200,14200,2543240,12500
6,29/11/2022,14500,13500,13900,14000,3099396,12300
7,30/11/2022,14600,12700,12700,14400,2182119,12700
8,01/12/2022,15300,13800,13800,14400,3203797,12700
9,02/12/2022,14900,14100,14400,14700,2586165,13000
10,05/12/2022,15500,14800,14900,15000,2632885,13200
11,06/12/2022,16000,14500,15300,14500,4490817,12800
12,07/12/2022,14800,14000,14000,14400,1369984,12700
13,08/12/2022,15200,13100,13100,14900,1811625,13100
14,09/12/2022,15900,14600,14900,15700,4731867,13800
15,12/12/2022,16400,15000,15800,15000,2892750,13200
16,13/12/2022,15400,14500,14700,15200,2603528,13400
17,14/12/2022,15700,15200,15700,15200,1653643,13400
18,15/12/2022,15400,14800,15200,14900,2188852,13100
19,16/12/2022,15300,13800,14000,15100,1821545,13300
20,19/12/2022,15700,15000,15300,15000,2577936,13200
21,20/12/2022,15200,14200,14700,14300,2444046,12600
22,21/12/2022,14800,13400,14600,13800,1814095,12200
23,22/12/2022,14300,12700,12700,13800,957765,12200
24,23/12/2022,14000,13500,13700,13800,748897,12200
25,26/12/2022,14100,12800,13800,12900,1270061,11400
26,27/12/2022,13600,12100,12100,13600,1710708,12000
27,28/12/2022,13900,13500,13800,13700,512373,12100
28,29/12/2022,13900,13300,13900,13400,541300,11800
29,30/12/2022,13600,13300,13400,13300,581512,11700
30,03/01/2023,14400,13300,13400,14400,932255,12700
31,04/01/2023,14600,13000,13000,14100,1241571,12400
32,05/01/2023,14800,12800,12800,14700,1814491,13000
33,06/01/2023,14900,14300,14800,14400,1316331,12700
34,09/01/2023,14600,12800,13100,14200,884291,12900
35,10/01/2023,14400,13900,14400,14100,617829,12800
36,11/01/2023,14700,14100,14200,14300,995452,13000
37,12/01/2023,14900,14300,14300,14800,1696169,13400
38,13/01/2023,15200,14400,14900,14500,818840,13100
39,16/01/2023,14700,14000,14500,14400,765136,13100
40,17/01/2023,14700,14300,14500,14600,1298949,13200
41,18/01/2023,15400,14700,14800,15200,1610249,13800
42,19/01/2023,16100,15100,15200,15800,3725420,14300
43,27/01/2023,16300,15700,15800,15700,1902941,14200
44,30/01/2023,15900,15500,15700,15500,2519242,14100
45,31/01/2023,15900,15200,15400,15900,1847775,14400
46,01/02/2023,16500,15800,16000,15800,4631774,14300
47,02/02/2023,15900,15000,15800,15300,1777353,13900
48,03/02/2023,15600,14800,15300,15000,1605174,13600
49,06/02/2023,15100,14500,15000,14900,1083099,13500
50,07/02/2023,15300,14800,14900,15000,1445490,13600
51,08/02/2023,15300,14800,15000,15200,1240911,13800
52,09/02/2023,16300,15200,15200,16300,5007755,14800
53,10/02/2023,16500,15700,16400,15800,1752431,14300
54,13/02/2023,16700,15600,15800,16000,3710828,14500
55,14/02/2023,16900,16000,16700,16200,1362084,14700
56,15/02/2023,16700,16100,16200,16500,2285490,15000
57,16/02/2023,18100,16500,16600,18100,4314702,16400
58,17/02/2023,18500,17600,18200,17600,2224966,16000
59,20/02/2023,18900,17600,18000,18600,2858403,16900
60,21/02/2023,19400,18100,18600,18600,3874649,16900
61,22/02/2023,19300,17500,18300,17500,4147917,15900
62,23/02/2023,18800,17200,17500,18800,3841686,17000
63,24/02/2023,19200,18300,18800,18400,1644556,16700
