,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,44200,44200,44200,44200,-,41800
1,22/11/2022,44200,44200,44200,44200,-,41800
2,23/11/2022,44200,44200,44200,44200,-,41800
3,24/11/2022,44200,44200,44200,44200,-,41800
4,25/11/2022,44200,44200,44200,44200,-,41800
5,28/11/2022,44200,44200,44200,44200,-,41800
6,29/11/2022,44200,44200,44200,44200,-,41800
7,30/11/2022,40000,40000,40000,40000,5000,37800
8,01/12/2022,43900,43900,43900,43900,200,41500
9,02/12/2022,40000,40000,40000,40000,2200,37800
10,05/12/2022,40000,40000,40000,40000,-,37800
11,06/12/2022,40000,40000,40000,40000,-,37800
12,07/12/2022,40000,40000,40000,40000,-,37800
13,08/12/2022,40000,40000,40000,40000,-,37800
14,09/12/2022,40000,40000,40000,40000,-,37800
15,12/12/2022,40000,40000,40000,40000,-,37800
16,13/12/2022,40000,40000,40000,40000,-,37800
17,14/12/2022,40000,40000,40000,40000,-,37800
18,15/12/2022,40000,40000,40000,40000,-,37800
19,16/12/2022,40000,40000,40000,40000,-,37800
20,19/12/2022,40000,40000,40000,40000,-,37800
21,20/12/2022,40000,40000,40000,40000,-,37800
22,21/12/2022,40000,40000,40000,40000,-,37800
23,22/12/2022,40000,40000,40000,40000,-,37800
24,23/12/2022,40000,40000,40000,40000,-,37800
25,26/12/2022,40000,40000,40000,40000,-,37800
26,27/12/2022,40000,40000,40000,40000,-,37800
27,28/12/2022,40000,40000,40000,40000,-,37800
28,29/12/2022,40000,40000,40000,40000,-,37800
29,30/12/2022,44000,44000,44000,44000,100,41600
30,03/01/2023,44000,44000,44000,44000,-,41600
31,04/01/2023,44000,44000,44000,44000,-,41600
32,05/01/2023,44000,44000,44000,44000,-,41600
33,06/01/2023,44000,44000,44000,44000,-,41600
34,09/01/2023,44000,44000,44000,44000,-,41600
35,10/01/2023,44000,44000,44000,44000,-,41600
36,11/01/2023,44000,44000,44000,44000,-,41600
37,12/01/2023,44000,44000,44000,44000,-,41600
38,13/01/2023,44000,44000,44000,44000,-,41600
39,16/01/2023,44000,44000,44000,44000,-,41600
40,17/01/2023,44000,44000,44000,44000,-,41600
41,18/01/2023,44000,44000,44000,44000,-,41600
42,19/01/2023,44000,44000,44000,44000,-,41600
43,27/01/2023,44000,44000,44000,44000,200,41600
44,30/01/2023,44000,44000,44000,44000,-,41600
45,31/01/2023,44000,44000,44000,44000,-,41600
46,01/02/2023,44000,44000,44000,44000,-,41600
47,02/02/2023,44000,44000,44000,44000,-,41600
48,03/02/2023,44000,44000,44000,44000,100,41600
