,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11300,10000,11100,10000,201736,10000
1,22/11/2022,9700,9000,9600,9000,624915,9000
2,23/11/2022,8900,8100,8200,8100,420264,8100
3,24/11/2022,7500,7300,7400,7300,443805,7300
4,25/11/2022,8000,6700,6700,8000,211120,8000
5,28/11/2022,8800,8700,8700,8800,140238,8800
6,29/11/2022,9600,8500,9500,9000,642971,9000
7,30/11/2022,9900,8900,9200,9900,867354,9900
8,01/12/2022,10800,9900,10700,10400,579492,10400
9,02/12/2022,10800,9900,10000,10300,611286,10300
10,05/12/2022,11200,10200,10500,10300,396061,10300
11,06/12/2022,10500,9900,10400,9900,673749,9900
12,07/12/2022,9900,9000,9100,9000,360411,9000
13,08/12/2022,9600,8800,8900,8900,269114,8900
14,09/12/2022,9500,8600,8900,9100,241279,9100
15,12/12/2022,10000,9200,9500,9700,408820,9700
16,13/12/2022,10600,9500,9700,10500,548018,10500
17,14/12/2022,11200,10300,11000,10300,1440032,10300
18,15/12/2022,10300,9500,10000,10200,393180,10200
19,16/12/2022,10300,9700,9800,10000,854805,10000
20,19/12/2022,10100,9700,9800,9700,308179,9700
21,20/12/2022,9700,8800,9700,9000,325202,9000
22,21/12/2022,9300,8100,9300,8200,422636,8200
23,22/12/2022,8500,8100,8300,8200,319498,8200
24,23/12/2022,8400,8000,8200,8200,131266,8200
25,26/12/2022,8600,8000,8400,8000,217532,8000
26,27/12/2022,8400,7900,8200,8400,124232,8400
27,28/12/2022,8800,8200,8500,8800,184737,8800
28,29/12/2022,8800,8300,8500,8600,849900,8600
29,30/12/2022,8600,8100,8400,8200,326500,8200
30,03/01/2023,8800,8200,8300,8700,158802,8700
31,04/01/2023,9000,8400,8400,8500,211818,8500
32,05/01/2023,8600,8300,8300,8400,57754,8400
33,06/01/2023,8500,8100,8400,8100,143360,8100
34,09/01/2023,8300,8100,8100,8100,146000,8100
35,10/01/2023,8400,8000,8100,8400,160110,8400
36,11/01/2023,8500,8100,8500,8200,94872,8200
37,12/01/2023,8400,8100,8400,8100,91500,8100
38,13/01/2023,8200,8000,8200,8000,123156,8000
39,16/01/2023,8100,7900,8100,8100,73232,8100
40,17/01/2023,8200,8100,8100,8200,59742,8200
41,18/01/2023,8400,8100,8300,8200,335464,8200
42,19/01/2023,8500,8300,8300,8300,83254,8300
43,27/01/2023,9100,8400,8600,8500,180740,8500
44,30/01/2023,9300,8500,8500,9300,565325,9300
45,31/01/2023,9800,9300,9400,9400,305900,9400
46,01/02/2023,10300,9200,9500,9700,871281,9700
47,02/02/2023,9800,9100,9800,9200,320489,9200
48,03/02/2023,9700,9000,9200,9000,416500,9000
49,06/02/2023,9200,8900,9000,9000,139707,9000
50,07/02/2023,9300,8600,9100,8700,248855,8700
51,08/02/2023,8800,8500,8700,8700,249903,8700
52,09/02/2023,8900,8600,8700,8600,100453,8600
53,10/02/2023,8800,8500,8600,8500,168052,8500
54,13/02/2023,8500,7700,8500,7700,354090,7700
55,14/02/2023,7700,7500,7700,7600,98658,7600
56,15/02/2023,8000,7400,7600,7700,204244,7700
57,16/02/2023,8100,7600,7700,8100,95756,8100
58,17/02/2023,8200,7900,8000,7900,62300,7900
59,20/02/2023,8500,7900,7900,8500,119614,8500
60,21/02/2023,8600,8200,8500,8200,163369,8200
61,22/02/2023,8300,8000,8100,8000,140540,8000
62,23/02/2023,8000,7400,7900,7700,178508,7700
63,24/02/2023,7800,7500,7700,7600,97400,7600
64,27/02/2023,7700,7400,7600,7600,103936,7600
65,28/02/2023,7800,7500,7700,7500,73992,7500
66,01/03/2023,7900,7400,7500,7700,72184,7700
67,02/03/2023,7800,7600,7700,7800,41080,7800
68,03/03/2023,7900,7600,7800,7600,181292,7600
69,06/03/2023,8000,7700,7700,7700,50104,7700
70,07/03/2023,8000,7800,7800,7900,201100,7900
71,08/03/2023,8200,7900,7900,8200,76668,8200
72,09/03/2023,8200,8000,8200,8000,52010,8000
73,10/03/2023,8100,7900,7900,8000,77700,8000
74,13/03/2023,8400,7200,8000,8200,173708,8200
75,14/03/2023,8400,8000,8100,8300,102708,8300
76,15/03/2023,8600,8300,8400,8500,126800,8500
77,16/03/2023,8600,8200,8600,8300,24606,8300
78,17/03/2023,8500,8300,8500,8400,57804,8400
79,20/03/2023,8500,8200,8200,8300,89636,8300
80,21/03/2023,8400,8200,8300,8400,42403,8400
81,22/03/2023,8600,8400,8500,8400,64700,8400
82,23/03/2023,8500,8200,8300,8400,23721,8400
83,24/03/2023,8500,8300,8400,8500,50900,8500
84,27/03/2023,8500,8400,8500,8500,122580,8500
85,28/03/2023,9100,8600,8600,9100,282319,9100
86,29/03/2023,9300,8800,9100,9000,74080,9000
87,30/03/2023,9200,8700,9200,9000,141967,9000
88,31/03/2023,9000,8600,9000,8900,48001,8900
89,03/04/2023,9000,8600,9000,8700,147519,8700
90,04/04/2023,8900,8600,8800,8800,200336,8800
91,05/04/2023,9200,8600,8600,9200,250537,9200
92,06/04/2023,9500,9100,9200,9300,582494,9300
93,07/04/2023,9300,8900,9300,9200,361513,9200
94,10/04/2023,9200,8900,9200,9000,228636,9000
95,11/04/2023,9000,8500,8800,8800,234080,8800
96,12/04/2023,8900,8500,8700,8600,153708,8600
97,13/04/2023,8700,8400,8500,8400,65471,8400
98,14/04/2023,8500,8000,8400,8000,131500,8000
99,17/04/2023,8200,8000,8100,8200,58612,8200
100,18/04/2023,8400,8100,8400,8200,32027,8200
101,19/04/2023,8300,8100,8100,8200,19739,8200
102,20/04/2023,8300,8100,8100,8200,50100,8200
103,21/04/2023,8300,8100,8200,8200,21701,8200
104,24/04/2023,8300,8100,8300,8200,1107654,8200
105,25/04/2023,8300,8000,8100,8000,31100,8000
106,26/04/2023,8600,7900,8000,8600,53536,8600
107,27/04/2023,8600,8300,8600,8300,22711,8300
108,28/04/2023,8400,8200,8200,8200,70001,8200
109,04/05/2023,8400,8100,8100,8200,21815,8200
110,05/05/2023,8400,8200,8200,8300,70600,8300
111,08/05/2023,8800,8300,8400,8800,244955,8800
112,09/05/2023,9200,8800,8900,9100,839674,9100
113,10/05/2023,9200,9000,9100,9200,385222,9200
114,11/05/2023,9300,8900,9200,8900,212680,8900
115,12/05/2023,9700,8800,8900,9500,821147,9500
116,15/05/2023,9800,9400,9500,9500,630498,9500
117,16/05/2023,9700,9200,9500,9300,760736,9300
118,17/05/2023,9400,9200,9200,9200,335963,9200
119,18/05/2023,9800,9100,9300,9100,468162,9100
120,19/05/2023,9200,8700,9100,8900,1415382,8900
121,22/05/2023,9200,8800,8900,9100,466706,9100
122,23/05/2023,9300,9000,9100,9100,288301,9100
123,24/05/2023,9700,9100,9100,9300,828519,9300
124,25/05/2023,9600,9300,9400,9500,583527,9500
125,26/05/2023,10400,9600,9700,10400,838657,10400
126,29/05/2023,11400,10800,11000,11400,1154753,11400
127,30/05/2023,12500,11700,12500,12500,2226404,12500
128,31/05/2023,13700,13000,13200,13700,937982,13700
129,01/06/2023,14900,13100,14500,13200,1250856,13200
130,02/06/2023,14300,12800,13500,13800,1116810,13800
131,05/06/2023,14800,13500,14000,13800,728291,13800
132,06/06/2023,14400,13400,13500,14300,948111,14300
133,07/06/2023,15700,14400,14400,15700,796311,15700
134,08/06/2023,17200,15000,17200,15000,1276129,15000
135,09/06/2023,15600,14700,15000,15500,1043519,15500
136,12/06/2023,16600,15100,15300,15900,604056,15900
137,13/06/2023,15900,15200,15900,15300,830048,15300
138,14/06/2023,15500,13800,15300,14000,1290599,14000
139,15/06/2023,14300,13500,14000,14300,570692,14300
140,16/06/2023,14600,14000,14300,14100,749142,14100
141,19/06/2023,14100,12800,14100,12900,1271532,12900
142,20/06/2023,14100,13000,13000,14100,520961,14100
143,21/06/2023,14400,13700,14200,14200,465593,14200
144,22/06/2023,14700,14000,14400,14000,766512,14000
145,23/06/2023,14700,14000,14000,14400,1164696,14400
146,26/06/2023,14600,13200,14400,14400,735590,14400
