,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,21600,19000,19000,21600,12600,21600
1,22/11/2022,21600,21600,21600,21600,231170,21600
2,23/11/2022,21600,21600,21600,21600,-,21600
3,24/11/2022,19500,19500,19500,19500,18700,19500
4,25/11/2022,21300,17700,17700,21300,600,21300
5,28/11/2022,21300,21300,21300,21300,-,21300
6,29/11/2022,21300,19200,19200,21300,700,21300
7,30/11/2022,21800,21800,21800,21800,100,21800
8,01/12/2022,21600,19700,19700,21600,200,21600
9,02/12/2022,21600,21600,21600,21600,-,21600
10,05/12/2022,21600,21600,21600,21600,-,21600
11,06/12/2022,21600,21600,21600,21600,-,21600
12,07/12/2022,21600,21600,21600,21600,-,21600
13,08/12/2022,21900,19500,19500,21900,300,21900
14,09/12/2022,21900,21900,21900,21900,-,21900
15,12/12/2022,21900,21900,21900,21900,-,21900
16,13/12/2022,21900,21900,21900,21900,-,21900
17,14/12/2022,21900,21900,21900,21900,-,21900
18,15/12/2022,21900,21900,21900,21900,-,21900
19,16/12/2022,21900,21900,21900,21900,-,21900
20,19/12/2022,21900,21900,21900,21900,-,21900
21,20/12/2022,21900,21900,21900,21900,-,21900
22,21/12/2022,21900,21900,21900,21900,-,21900
23,22/12/2022,21900,21900,21900,21900,4,21900
24,23/12/2022,21700,21700,21700,21700,100,21700
25,26/12/2022,21700,21700,21700,21700,-,21700
26,27/12/2022,21700,21700,21700,21700,-,21700
27,28/12/2022,21700,21700,21700,21700,-,21700
28,29/12/2022,21700,21700,21700,21700,-,21700
29,30/12/2022,19600,19600,19600,19600,100,19600
30,03/01/2023,21200,21200,21200,21200,100,21200
31,04/01/2023,21200,21200,21200,21200,-,21200
32,05/01/2023,21200,21200,21200,21200,-,21200
33,06/01/2023,21000,19100,19100,21000,200,21000
34,09/01/2023,21000,21000,21000,21000,-,21000
35,10/01/2023,21000,21000,21000,21000,-,21000
36,11/01/2023,21000,21000,21000,21000,-,21000
37,12/01/2023,21000,21000,21000,21000,-,21000
38,13/01/2023,21000,21000,21000,21000,-,21000
39,16/01/2023,21000,21000,21000,21000,-,21000
40,17/01/2023,21000,21000,21000,21000,-,21000
41,18/01/2023,21000,21000,21000,21000,-,21000
42,19/01/2023,21000,21000,21000,21000,-,21000
43,27/01/2023,21000,21000,21000,21000,-,21000
44,30/01/2023,21000,21000,21000,21000,-,21000
45,31/01/2023,21000,20900,20900,21000,1000,21000
46,01/02/2023,21000,21000,21000,21000,-,21000
47,02/02/2023,21000,21000,21000,21000,-,21000
48,03/02/2023,21000,21000,21000,21000,-,21000
49,06/02/2023,21000,21000,21000,21000,-,21000
50,07/02/2023,21000,21000,21000,21000,-,21000
51,08/02/2023,21000,21000,21000,21000,-,21000
52,09/02/2023,21000,21000,21000,21000,-,21000
53,10/02/2023,21500,21500,21500,21500,1000,21500
54,13/02/2023,21500,21000,21500,21400,1200,21400
55,14/02/2023,21400,21400,21400,21400,-,21400
56,15/02/2023,21400,21400,21400,21400,-,21400
57,16/02/2023,21400,21400,21400,21400,-,21400
58,17/02/2023,21400,21400,21400,21400,-,21400
59,20/02/2023,21400,21400,21400,21400,-,21400
60,21/02/2023,21400,21400,21400,21400,-,21400
61,22/02/2023,21400,21400,21400,21400,-,21400
62,23/02/2023,21400,21400,21400,21400,-,21400
63,24/02/2023,21400,21400,21400,21400,-,21400
64,27/02/2023,21400,21400,21400,21400,-,21400
65,28/02/2023,21400,21400,21400,21400,-,21400
66,01/03/2023,21400,21400,21400,21400,-,21400
67,02/03/2023,21500,19300,19300,21500,200,21500
68,03/03/2023,21500,21500,21500,21500,-,21500
69,06/03/2023,21500,21500,21500,21500,-,21500
70,07/03/2023,21500,21500,21500,21500,-,21500
71,08/03/2023,22000,22000,22000,22000,200,22000
72,09/03/2023,22000,22000,22000,22000,-,22000
73,10/03/2023,22000,22000,22000,22000,-,22000
74,13/03/2023,22000,22000,22000,22000,-,22000
75,14/03/2023,22000,22000,22000,22000,-,22000
76,15/03/2023,22000,22000,22000,22000,-,22000
77,16/03/2023,22000,22000,22000,22000,-,22000
78,17/03/2023,22000,22000,22000,22000,-,22000
