,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15300,13600,13600,14700,900,14700
1,22/11/2022,15100,13700,13700,14700,4200,14700
2,23/11/2022,15300,13900,13900,15300,400,15300
3,24/11/2022,15300,15300,15300,15300,36,15300
4,25/11/2022,15300,14000,14000,14000,300,14000
5,28/11/2022,15400,14200,14200,15400,24200,15400
6,29/11/2022,15100,14200,14200,15100,200,15100
7,30/11/2022,15100,15100,15100,15100,-,15100
8,01/12/2022,15000,14100,14300,15000,3465,15000
9,02/12/2022,15000,15000,15000,15000,100,15000
10,05/12/2022,15500,14300,14300,15100,10200,15100
11,06/12/2022,15100,14500,14500,15100,200,15100
12,07/12/2022,16600,16600,16600,16600,100,16600
13,08/12/2022,16200,15100,16000,16200,2800,16200
14,09/12/2022,16200,16200,16200,16200,40,16200
15,12/12/2022,16200,16200,16200,16200,-,16200
16,13/12/2022,17800,14700,14700,17800,13800,17800
17,14/12/2022,19500,16100,19500,16100,200,16100
18,15/12/2022,16200,16000,16100,16200,7507,16200
19,16/12/2022,17800,17800,17800,17800,4000,17800
20,19/12/2022,19500,19500,19500,19500,300,19500
21,20/12/2022,21000,17600,17600,21000,4708,21000
22,21/12/2022,21000,21000,21000,21000,-,21000
23,22/12/2022,21000,21000,21000,21000,-,21000
24,23/12/2022,23100,19900,19900,23100,23100,23100
25,26/12/2022,25000,25000,25000,25000,1245100,25000
26,27/12/2022,25000,22500,25000,22500,500,22500
27,28/12/2022,22500,22500,22500,22500,-,22500
28,29/12/2022,22000,20300,20300,22000,400,22000
29,30/12/2022,22500,22500,22500,22500,2000,22500
30,03/01/2023,21900,20300,20300,21900,5100,21900
31,04/01/2023,20700,20700,20700,20700,300,20700
32,05/01/2023,20700,20700,20700,20700,6,20700
33,06/01/2023,20700,20700,20700,20700,-,20700
34,09/01/2023,20700,20700,20700,20700,-,20700
35,10/01/2023,20700,20700,20700,20700,-,20700
36,11/01/2023,19900,18800,18800,19900,1615,19900
37,12/01/2023,21800,18700,18700,21800,300,21800
38,13/01/2023,23900,23900,23900,23900,100,23900
39,16/01/2023,23000,23000,23000,23000,100,23000
40,17/01/2023,23000,23000,23000,23000,-,23000
41,18/01/2023,23000,23000,23000,23000,-,23000
42,19/01/2023,25000,25000,25000,25000,500,25000
43,27/01/2023,25000,25000,25000,25000,-,25000
44,30/01/2023,22500,22500,22500,22500,600,22500
45,31/01/2023,22500,22500,22500,22500,-,22500
46,01/02/2023,22500,22500,22500,22500,-,22500
47,02/02/2023,22500,22500,22500,22500,-,22500
48,03/02/2023,22500,22500,22500,22500,-,22500
49,06/02/2023,22500,22500,22500,22500,-,22500
50,07/02/2023,22500,22500,22500,22500,-,22500
51,08/02/2023,22500,22500,22500,22500,100,22500
52,09/02/2023,24700,24700,24700,24700,115,24700
53,10/02/2023,24000,24000,24000,24000,300,24000
54,13/02/2023,24000,24000,24000,24000,-,24000
55,14/02/2023,24000,24000,24000,24000,-,24000
56,15/02/2023,24000,24000,24000,24000,-,24000
57,16/02/2023,24000,24000,24000,24000,-,24000
58,17/02/2023,24000,24000,24000,24000,-,24000
59,20/02/2023,24000,23000,23000,24000,400,24000
60,21/02/2023,24000,24000,24000,24000,-,24000
61,22/02/2023,24000,24000,24000,24000,-,24000
62,23/02/2023,24000,24000,24000,24000,6,24000
63,24/02/2023,24000,24000,24000,24000,-,24000
64,27/02/2023,24000,24000,24000,24000,-,24000
65,28/02/2023,24000,24000,24000,24000,-,24000
66,01/03/2023,24000,24000,24000,24000,-,24000
67,02/03/2023,24000,24000,24000,24000,-,24000
68,03/03/2023,24000,24000,24000,24000,-,24000
69,06/03/2023,24000,24000,24000,24000,-,24000
70,07/03/2023,24000,24000,24000,24000,-,24000
71,08/03/2023,24000,24000,24000,24000,-,24000
72,09/03/2023,24000,24000,24000,24000,-,24000
73,10/03/2023,24000,24000,24000,24000,-,24000
74,13/03/2023,24000,24000,24000,24000,-,24000
75,14/03/2023,24000,24000,24000,24000,-,24000
76,15/03/2023,24000,24000,24000,24000,-,24000
77,16/03/2023,24000,24000,24000,24000,-,24000
78,17/03/2023,24000,24000,24000,24000,-,24000
79,20/03/2023,24000,24000,24000,24000,-,24000
80,21/03/2023,24000,24000,24000,24000,-,24000
81,22/03/2023,24000,24000,24000,24000,-,24000
82,23/03/2023,24000,24000,24000,24000,-,24000
83,24/03/2023,24000,24000,24000,24000,-,24000
84,27/03/2023,24000,24000,24000,24000,-,24000
85,28/03/2023,24000,24000,24000,24000,-,24000
86,29/03/2023,23000,22000,23000,23000,500,23000
87,30/03/2023,22900,20700,21500,22000,2900,22000
88,31/03/2023,23500,19800,19800,23500,38800,23500
89,03/04/2023,23500,23500,23500,23500,-,23500
90,04/04/2023,23500,23500,23500,23500,-,23500
91,05/04/2023,23000,21200,21200,23000,2200,23000
92,06/04/2023,23000,23000,23000,23000,-,23000
93,07/04/2023,23000,23000,23000,23000,-,23000
94,10/04/2023,23000,23000,23000,23000,-,23000
95,11/04/2023,23000,23000,23000,23000,-,23000
96,12/04/2023,23000,21000,21000,23000,3600,23000
97,13/04/2023,21000,20700,21000,20700,300,20700
98,14/04/2023,21800,21800,21800,21800,1000,21800
99,17/04/2023,21000,19700,19700,21000,1300,21000
100,18/04/2023,22000,22000,22000,22000,500,22000
101,19/04/2023,22000,22000,22000,22000,-,22000
102,20/04/2023,22000,22000,22000,22000,-,22000
103,21/04/2023,22000,22000,22000,22000,-,22000
104,24/04/2023,22000,22000,22000,22000,-,22000
105,25/04/2023,22000,22000,22000,22000,-,22000
106,26/04/2023,21000,19900,20000,21000,5100,21000
107,27/04/2023,21500,18900,19000,20000,585984,20000
108,28/04/2023,20900,20000,20000,20900,1145,20900
109,04/05/2023,20900,20900,20900,20900,-,20900
110,05/05/2023,19000,18900,19000,18900,1000,18900
111,08/05/2023,20700,18900,20400,20700,6200,20700
112,09/05/2023,19900,19000,19000,19900,1203600,19900
113,10/05/2023,19900,19900,19900,19900,100,19900
114,11/05/2023,20000,20000,20000,20000,100,20000
115,12/05/2023,20200,18100,18200,20200,7100,20200
116,15/05/2023,20300,18400,18400,20300,848,20300
117,16/05/2023,20300,19000,19000,20300,4600,20300
118,17/05/2023,20300,19000,19000,20300,1300,20300
119,18/05/2023,20300,20300,20300,20300,-,20300
120,19/05/2023,20100,18500,19000,20100,8500,20100
121,22/05/2023,20100,20100,20100,20100,1,20100
122,23/05/2023,20000,18900,20000,18900,2700,18900
123,24/05/2023,19400,19400,19400,19400,1000,19400
124,25/05/2023,18800,18800,18800,18800,100,18800
125,26/05/2023,18500,18000,18500,18000,2500,18000
126,29/05/2023,18000,18000,18000,18000,-,18000
127,30/05/2023,18900,18900,18900,18900,113,18900
128,31/05/2023,19800,17200,19800,17800,2399,17800
129,01/06/2023,19300,19300,19300,19300,100,19300
130,02/06/2023,21100,17400,21100,17400,1317,17400
