,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11500,9700,11500,10000,2200,9300
1,22/11/2022,11000,9100,10000,11000,12500,10300
2,23/11/2022,11500,10000,11500,10000,4400,9300
3,24/11/2022,10700,10700,10700,10700,165,10000
4,25/11/2022,10300,9700,10200,9700,5000,9000
5,28/11/2022,10500,9700,10400,10400,4200,9700
6,29/11/2022,11200,10500,11200,10900,800,10200
7,30/11/2022,11800,10900,11800,11300,301,10500
8,01/12/2022,12200,10200,12200,11300,1321,10500
9,02/12/2022,11000,10400,11000,10500,2200,9800
10,05/12/2022,11300,10500,11300,11000,1764,10300
11,06/12/2022,11800,10800,10900,11500,1209,10700
12,07/12/2022,11100,11000,11000,11100,2500,10300
13,08/12/2022,11000,10500,11000,10500,1500,9800
14,09/12/2022,11000,10300,10500,11000,9106,10300
15,12/12/2022,11000,10400,11000,10400,2400,9700
16,13/12/2022,10800,10400,10800,10500,400,9800
17,14/12/2022,10800,9900,10800,10500,32100,9800
18,15/12/2022,10500,9800,10000,9800,20900,9100
19,16/12/2022,10300,9400,10300,10100,6603,9400
20,19/12/2022,10200,9300,9500,9300,72600,8700
21,20/12/2022,9800,9300,9700,9700,3504,9000
22,21/12/2022,9800,9000,9800,9000,11200,8400
23,22/12/2022,9800,9200,9200,9200,10414,8600
24,23/12/2022,9300,8900,9300,9300,10501,8700
25,26/12/2022,9300,9300,9300,9300,1,8700
26,27/12/2022,9300,9200,9200,9300,1360,8700
27,28/12/2022,9400,9200,9200,9400,3600,8800
28,29/12/2022,9300,9100,9300,9300,23560,8700
29,30/12/2022,9300,9300,9300,9300,-,8700
30,03/01/2023,9500,9300,9300,9400,2517,8800
31,04/01/2023,9800,9400,9400,9500,14006,8900
32,05/01/2023,9500,9500,9500,9500,-,8900
33,06/01/2023,9500,9200,9500,9200,4300,8600
34,09/01/2023,10000,9000,10000,9500,8720,8900
35,10/01/2023,9600,9100,9200,9500,3200,8900
36,11/01/2023,9500,9400,9500,9500,5800,8900
37,12/01/2023,10200,9500,10200,9700,3160,9000
38,13/01/2023,10500,9500,10500,9800,3780,9100
39,16/01/2023,10300,9500,10300,9900,400,9200
40,17/01/2023,9600,9600,9600,9600,1000,8900
41,18/01/2023,9800,9600,9800,9600,1300,8900
42,19/01/2023,10300,9600,9600,9600,2400,8900
43,27/01/2023,9800,9600,9600,9800,850,9100
44,30/01/2023,9800,9500,9600,9700,9697,9000
45,31/01/2023,10000,9700,9700,9900,21712,9200
46,01/02/2023,10100,9500,10100,9800,19054,9100
47,02/02/2023,9600,9600,9600,9600,301,8900
48,03/02/2023,9600,8900,9600,9000,47239,8400
49,06/02/2023,9000,9000,9000,9000,41100,8400
50,07/02/2023,9000,9000,9000,9000,7200,8400
51,08/02/2023,9000,8900,8900,9000,34900,8400
52,09/02/2023,9000,8900,9000,9000,5711,8400
53,10/02/2023,9000,8700,9000,8700,7500,8100
54,13/02/2023,8800,8500,8600,8800,3100,8200
55,14/02/2023,9000,8600,8800,8600,3300,8000
56,15/02/2023,9000,8900,8900,9000,800,8400
57,16/02/2023,9100,9000,9000,9000,2900,8400
58,17/02/2023,9000,9000,9000,9000,6101,8400
59,20/02/2023,9000,8900,9000,9000,5903,8400
60,21/02/2023,9000,9000,9000,9000,5303,8400
61,22/02/2023,9000,9000,9000,9000,1800,8400
62,23/02/2023,9000,9000,9000,9000,105,8400
63,24/02/2023,9000,8800,8900,8900,1900,8300
64,27/02/2023,9000,8600,8600,9000,6000,8400
65,28/02/2023,9000,8900,8900,9000,2425,8400
66,01/03/2023,9000,8800,8800,9000,12500,8400
67,02/03/2023,9100,8800,9100,9000,4606,8400
68,03/03/2023,9100,9000,9100,9000,12200,8400
69,06/03/2023,8800,8800,8800,8800,500,8200
70,07/03/2023,9000,8800,8800,9000,5400,8400
71,08/03/2023,9000,8700,8900,9000,10900,8400
72,09/03/2023,9000,8800,9000,9000,2500,8400
73,10/03/2023,9000,9000,9000,9000,11,8400
74,13/03/2023,8800,8800,8800,8800,4900,8200
75,14/03/2023,8900,8300,8700,8900,10117,8300
76,15/03/2023,8900,8800,8800,8900,2000,8300
77,16/03/2023,9000,8900,9000,8900,1200,8300
78,17/03/2023,8900,8800,8900,8800,1100,8200
79,20/03/2023,8900,8700,8900,8700,1500,8100
80,21/03/2023,8800,8600,8600,8800,4800,8200
81,22/03/2023,8800,8800,8800,8800,100,8200
82,23/03/2023,8800,8800,8800,8800,100,8200
83,24/03/2023,8800,8800,8800,8800,200,8200
84,27/03/2023,8900,8600,8600,8900,1200,8300
85,28/03/2023,8800,8700,8800,8700,4000,8100
86,29/03/2023,9000,8900,9000,8900,700,8300
87,30/03/2023,9000,8900,8900,8900,1324,8300
88,31/03/2023,8900,8800,8900,8800,400,8200
89,03/04/2023,9000,8600,9000,8800,12200,8200
90,04/04/2023,9000,8900,8900,9000,200,8400
91,05/04/2023,9000,9000,9000,9000,10,8400
92,06/04/2023,9400,8800,9000,9000,61840,8400
93,07/04/2023,9000,8800,8800,9000,661,8400
94,10/04/2023,9000,8900,9000,8900,5012,8300
95,11/04/2023,9000,8800,8800,9000,5200,8400
96,12/04/2023,9000,9000,9000,9000,40,8400
97,13/04/2023,8800,8800,8800,8800,100,8200
98,14/04/2023,9000,8800,9000,8800,3800,8200
99,17/04/2023,9000,8700,8800,9000,19300,8400
100,18/04/2023,9200,8900,9000,8900,38500,8300
101,19/04/2023,9000,8800,9000,9000,12989,8400
102,20/04/2023,9100,9100,9100,9100,100,8500
103,21/04/2023,9100,9100,9100,9100,3500,8500
104,24/04/2023,9000,8900,9000,8900,2900,8300
105,25/04/2023,9000,8800,9000,8800,10501,8200
106,26/04/2023,9000,9000,9000,9000,200,8400
107,27/04/2023,9000,8800,8900,9000,1600,8400
108,28/04/2023,9000,8900,8900,9000,4500,8400
109,04/05/2023,8900,8900,8900,8900,5500,8300
110,05/05/2023,9000,8600,8900,9000,22103,8400
111,08/05/2023,9000,8900,8900,8900,2200,8300
112,09/05/2023,8900,8900,8900,8900,3,8300
113,10/05/2023,9000,8900,8900,8900,6800,8300
114,11/05/2023,9000,8900,8900,9000,2187,8400
115,12/05/2023,9000,8800,9000,8900,45200,8300
116,15/05/2023,9000,8800,8900,9000,55300,8400
117,16/05/2023,9200,8900,9000,8900,23820,8300
118,17/05/2023,9100,9000,9100,9000,3046,8400
119,18/05/2023,9100,9000,9000,9100,37338,8500
120,19/05/2023,9200,9000,9100,9200,4907,8600
121,22/05/2023,9200,9000,9100,9200,9301,8600
122,23/05/2023,9200,9000,9200,9000,6900,8400
123,24/05/2023,9200,9000,9100,9100,41401,8500
124,25/05/2023,9200,9100,9200,9100,8922,8500
125,26/05/2023,9200,9100,9100,9100,11100,8500
126,29/05/2023,9200,9100,9100,9200,25047,8600
127,30/05/2023,9200,9100,9200,9200,3800,8600
128,31/05/2023,10000,9200,9200,9500,15632,8900
129,01/06/2023,9700,9200,9600,9200,10127,8600
130,02/06/2023,9600,9300,9300,9400,7400,8800
131,05/06/2023,9600,9500,9500,9600,3003,8900
132,06/06/2023,9600,9600,9600,9600,4951,8900
133,07/06/2023,9600,9500,9600,9600,5857,8900
134,08/06/2023,9600,9500,9500,9500,4946,8900
135,09/06/2023,9400,9100,9400,9100,17102,8500
136,12/06/2023,9300,9100,9200,9300,4200,8700
137,13/06/2023,9400,9300,9400,9400,1500,8800
138,14/06/2023,9800,9400,9400,9800,18500,9100
139,15/06/2023,9800,9500,9500,9800,1111,9100
140,16/06/2023,9800,9500,9800,9500,8600,8900
141,19/06/2023,9500,9400,9500,9400,5700,8800
142,20/06/2023,9700,9200,9700,9200,8200,8600
143,21/06/2023,9500,9200,9300,9500,4800,8900
144,22/06/2023,9500,9500,9500,9500,13618,8900
145,23/06/2023,9400,9400,9400,9400,100,8800
146,26/06/2023,9500,9300,9400,9400,8601,8800
147,27/06/2023,9500,9300,9300,9400,4201,8800
148,28/06/2023,9500,9300,9300,9400,14000,8800
149,29/06/2023,9600,9500,9500,9500,15702,8900
150,30/06/2023,9500,9400,9500,9500,3200,8900
151,03/07/2023,9500,9400,9400,9500,1411,8900
152,04/07/2023,9700,9500,9700,9500,5700,8900
153,05/07/2023,9500,9400,9500,9500,17100,8900
154,06/07/2023,9700,9500,9500,9500,7011,8900
155,07/07/2023,10000,9600,9600,10000,12700,9300
156,10/07/2023,9900,9800,9900,9800,2500,9100
157,11/07/2023,9800,9500,9600,9800,6600,9100
158,12/07/2023,9800,9700,9700,9800,7700,9100
159,13/07/2023,9900,9700,9900,9800,9210,9100
160,14/07/2023,10100,9700,9800,9700,29820,9000
161,17/07/2023,10100,10000,10000,10000,2870,9300
162,18/07/2023,10200,10000,10100,10200,11201,9500
163,19/07/2023,10300,10000,10000,10300,11850,9600
164,20/07/2023,10300,10200,10200,10300,25720,9600
165,21/07/2023,10400,10200,10300,10300,10801,9600
166,24/07/2023,10300,10200,10300,10300,7139,9600
167,25/07/2023,10300,10200,10200,10200,14452,9500
168,26/07/2023,10300,10200,10300,10300,25100,9600
169,27/07/2023,9600,9100,9100,9600,1000,9600
170,28/07/2023,9600,9300,9500,9600,9500,9600
171,31/07/2023,9300,9200,9300,9300,5400,9300
172,01/08/2023,9700,9300,9400,9500,18100,9500
173,02/08/2023,9700,9500,9600,9500,4600,9500
174,03/08/2023,9600,9500,9500,9600,3100,9600
175,04/08/2023,9600,9500,9500,9500,3903,9500
176,07/08/2023,9600,9200,9500,9500,7801,9500
177,08/08/2023,9400,9400,9400,9400,5600,9400
178,09/08/2023,9500,9300,9400,9400,20300,9400
179,10/08/2023,9400,9400,9400,9400,4600,9400
180,11/08/2023,9600,9300,9400,9600,4500,9600
181,14/08/2023,9700,9400,9700,9400,12005,9400
182,15/08/2023,9500,9200,9400,9400,40520,9400
183,16/08/2023,9400,9400,9400,9400,6400,9400
184,17/08/2023,9400,9300,9400,9400,4848,9400
185,18/08/2023,9500,9000,9400,9000,21400,9000
186,21/08/2023,9100,9000,9000,9100,15300,9100
187,22/08/2023,9200,9000,9100,9000,14000,9000
188,23/08/2023,9200,9200,9200,9200,300,9200
189,24/08/2023,9200,9200,9200,9200,24,9200
190,25/08/2023,9300,9300,9300,9300,10600,9300
191,28/08/2023,9400,9300,9300,9400,412,9400
192,29/08/2023,9500,9300,9400,9400,28500,9400
193,30/08/2023,9400,9300,9400,9300,9702,9300
194,31/08/2023,9400,9300,9300,9300,20700,9300
195,05/09/2023,9300,9200,9300,9200,1100,9200
196,06/09/2023,9200,9200,9200,9200,3000,9200
197,07/09/2023,9400,9200,9300,9300,6623,9300
198,08/09/2023,9400,9300,9400,9300,5772,9300
199,11/09/2023,9300,9200,9200,9300,2200,9300
200,12/09/2023,9300,9300,9300,9300,-,9300
201,13/09/2023,9300,9300,9300,9300,8113,9300
202,14/09/2023,9200,9200,9200,9200,1200,9200
203,15/09/2023,9300,9100,9300,9200,6405,9200
204,18/09/2023,9200,9100,9200,9200,700,9200
205,19/09/2023,9300,9100,9200,9300,7800,9300
206,20/09/2023,9300,9100,9100,9300,1805,9300
207,21/09/2023,9400,9300,9300,9300,14401,9300
208,22/09/2023,9400,9100,9300,9300,5271,9300
209,25/09/2023,9400,9200,9300,9400,9101,9400
210,26/09/2023,9300,9200,9200,9300,3501,9300
211,27/09/2023,9300,9200,9200,9300,24700,9300
212,28/09/2023,9300,9200,9300,9300,2100,9300
213,29/09/2023,9400,9000,9300,9400,7500,9400
214,02/10/2023,9400,9300,9300,9400,6800,9400
215,03/10/2023,9400,9200,9400,9300,5210,9300
216,04/10/2023,9300,9100,9300,9300,1900,9300
217,05/10/2023,9300,9000,9300,9300,2001,9300
218,06/10/2023,9000,9000,9000,9000,11400,9000
219,09/10/2023,9100,9000,9000,9100,9601,9100
220,10/10/2023,9200,9100,9100,9200,6810,9200
221,11/10/2023,9200,9200,9200,9200,20,9200
222,12/10/2023,9300,9200,9300,9200,200,9200
223,13/10/2023,9200,9200,9200,9200,-,9200
224,16/10/2023,9200,9200,9200,9200,300,9200
225,17/10/2023,9300,8400,9100,9300,400,9300
