,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,18000,18000,18000,18000,4000,16400
1,22/11/2022,19500,19500,19500,19500,128,17800
2,23/11/2022,19500,19500,19500,19500,-,17800
3,24/11/2022,19500,19500,19500,19500,5,17800
4,25/11/2022,18000,18000,18000,18000,2001,16400
5,28/11/2022,18000,18000,18000,18000,4000,16400
6,29/11/2022,19600,19500,19500,19600,200,17900
7,30/11/2022,19900,19700,19700,19900,239,18200
8,01/12/2022,21700,19900,19900,21700,600,19800
9,02/12/2022,20600,20600,20600,20600,400,18800
10,05/12/2022,21000,18700,20500,21000,1500,19200
11,06/12/2022,21000,21000,21000,21000,-,19200
12,07/12/2022,20000,20000,20000,20000,100,18300
13,08/12/2022,20000,20000,20000,20000,-,18300
14,09/12/2022,18900,18900,18900,18900,100,17300
15,12/12/2022,18800,18800,18800,18800,200,17200
16,13/12/2022,18800,18800,18800,18800,5,17200
17,14/12/2022,18800,18800,18800,18800,-,17200
18,15/12/2022,18800,18800,18800,18800,20,17200
19,16/12/2022,18800,18800,18800,18800,-,17200
20,19/12/2022,20200,20200,20200,20200,100,18500
21,20/12/2022,20200,20200,20200,20200,-,18500
22,21/12/2022,20200,20200,20200,20200,-,18500
23,22/12/2022,20200,20200,20200,20200,-,18500
24,23/12/2022,20200,20200,20200,20200,6,18500
25,26/12/2022,20200,20200,20200,20200,-,18500
26,27/12/2022,20200,20200,20200,20200,30,18500
27,28/12/2022,18700,18700,18700,18700,100,17100
28,29/12/2022,18700,18700,18700,18700,-,17100
29,30/12/2022,19500,19500,19500,19500,1400,17800
30,03/01/2023,20000,19800,19800,20000,900,18300
31,04/01/2023,20200,20200,20200,20200,100,18500
32,05/01/2023,20200,20200,20200,20200,5001,18500
33,06/01/2023,20200,20200,20200,20200,-,18500
34,09/01/2023,20200,20200,20200,20200,-,18500
35,10/01/2023,20200,20200,20200,20200,-,18500
36,11/01/2023,20500,18300,20200,18300,300,16700
37,12/01/2023,18500,18500,18500,18500,3001,16900
38,13/01/2023,18600,18600,18600,18600,100,17000
39,16/01/2023,19500,18600,19500,19300,900,17600
40,17/01/2023,19300,19300,19300,19300,-,17600
41,18/01/2023,19400,19300,19300,19400,1100,17700
42,19/01/2023,20300,19400,19400,20000,1700,18300
43,27/01/2023,20000,19300,20000,19300,801,17600
44,30/01/2023,19300,19300,19300,19300,500,17600
