,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4600,4200,4300,4200,58210,3900
1,22/11/2022,4400,3900,4200,4300,58630,4000
2,23/11/2022,4400,4200,4300,4400,17900,4100
3,24/11/2022,4300,4200,4300,4300,7600,4000
4,25/11/2022,4300,4100,4200,4300,18120,4000
5,28/11/2022,4700,4300,4300,4700,114477,4400
6,29/11/2022,5000,4800,4900,4900,98500,4600
7,30/11/2022,5100,4800,4900,5000,71010,4700
8,01/12/2022,5500,4900,5100,5400,185901,5100
9,02/12/2022,5900,4900,5300,5800,250800,5500
10,05/12/2022,6200,5500,6000,5700,83838,5400
11,06/12/2022,5700,5200,5700,5200,174000,4900
12,07/12/2022,5200,4900,5100,5100,68000,4800
13,08/12/2022,5400,5000,5100,5100,141700,4800
14,09/12/2022,5100,4900,5100,5100,19600,4800
15,12/12/2022,5100,5000,5100,5000,28000,4700
16,13/12/2022,5000,4800,5000,4800,26900,4500
17,14/12/2022,5100,4900,5000,4900,22200,4600
18,15/12/2022,4900,4900,4900,4900,11900,4600
19,16/12/2022,5000,4800,5000,4900,6800,4600
20,19/12/2022,5100,5000,5000,5000,78200,4700
21,20/12/2022,5000,4800,5000,4800,47000,4500
22,21/12/2022,4800,4400,4800,4400,126588,4100
23,22/12/2022,4500,4200,4500,4400,81900,4100
24,23/12/2022,4600,4300,4300,4400,49000,4100
25,26/12/2022,4400,4100,4400,4300,30000,4000
26,27/12/2022,4500,4300,4300,4400,15700,4100
27,28/12/2022,4500,4300,4300,4500,5000,4200
28,29/12/2022,4500,4400,4500,4500,4100,4200
29,30/12/2022,4400,4400,4400,4400,2900,4100
30,03/01/2023,4600,4400,4400,4600,24700,4300
31,04/01/2023,4700,4600,4600,4700,52301,4400
32,05/01/2023,4700,4600,4600,4600,6500,4300
33,06/01/2023,4600,4500,4600,4500,16000,4200
34,09/01/2023,4700,4400,4700,4500,6900,4200
35,10/01/2023,4800,4600,4600,4600,61500,4300
36,11/01/2023,4800,4600,4700,4600,12200,4300
37,12/01/2023,4600,4500,4500,4500,56500,4200
38,13/01/2023,4600,4500,4600,4500,22500,4200
39,16/01/2023,4600,4500,4600,4500,27600,4200
40,17/01/2023,4600,4500,4600,4600,2163,4300
41,18/01/2023,4700,4500,4600,4700,14800,4400
42,19/01/2023,4700,4600,4700,4700,11100,4400
43,27/01/2023,5100,4700,4700,5100,193835,4800
44,30/01/2023,5200,5000,5100,5200,75900,4900
45,31/01/2023,5200,4800,5200,4900,95119,4600
46,01/02/2023,5100,4900,4900,4900,75115,4600
47,02/02/2023,5000,4800,5000,4900,45000,4600
48,03/02/2023,5000,4900,4900,5000,23300,4700
49,06/02/2023,5000,4900,4900,4900,8000,4600
50,07/02/2023,5000,4800,5000,4800,25100,4500
51,08/02/2023,4800,4700,4700,4800,7400,4500
52,09/02/2023,4800,4700,4800,4800,13500,4500
53,10/02/2023,4800,4700,4800,4800,4500,4500
54,13/02/2023,4700,4600,4700,4700,11300,4400
55,14/02/2023,4700,4700,4700,4700,5400,4400
56,15/02/2023,4700,4700,4700,4700,8400,4400
57,16/02/2023,4800,4700,4800,4800,6800,4500
58,17/02/2023,4900,4700,4700,4800,8800,4500
59,20/02/2023,4900,4700,4800,4800,44500,4500
60,21/02/2023,5000,4700,4800,4900,61900,4600
61,22/02/2023,4900,4700,4800,4900,33200,4600
62,23/02/2023,4900,4800,4900,4800,17000,4500
63,24/02/2023,4900,4800,4900,4800,5400,4500
64,27/02/2023,4900,4700,4900,4700,6400,4400
65,28/02/2023,4800,4700,4800,4700,3400,4400
66,01/03/2023,4900,4800,4800,4900,3000,4600
67,02/03/2023,5000,4800,4900,4900,11300,4600
68,03/03/2023,4800,4700,4800,4800,11531,4500
69,06/03/2023,5000,4700,4800,4900,20415,4600
70,07/03/2023,5000,4800,4900,5000,36100,4700
71,08/03/2023,5000,4800,4900,5000,15500,4700
72,09/03/2023,5000,4900,4900,4900,22400,4600
73,10/03/2023,4900,4900,4900,4900,7200,4600
74,13/03/2023,4900,4800,4800,4900,16200,4600
75,14/03/2023,4900,4800,4800,4900,7300,4600
76,15/03/2023,5000,4900,4900,4900,11521,4600
77,16/03/2023,4900,4700,4800,4800,10900,4500
78,17/03/2023,4900,4700,4800,4900,12800,4600
79,20/03/2023,4800,4600,4800,4800,34400,4500
80,21/03/2023,4800,4600,4800,4800,16111,4500
81,22/03/2023,4800,4700,4700,4800,11835,4500
82,23/03/2023,4800,4700,4700,4800,5300,4500
83,24/03/2023,4900,4700,4700,4900,4200,4600
84,27/03/2023,4900,4700,4700,4900,3000,4600
85,28/03/2023,4900,4700,4800,4800,13400,4500
86,29/03/2023,4800,4700,4700,4800,5300,4500
87,30/03/2023,4800,4700,4700,4800,4082,4500
88,31/03/2023,4800,4600,4700,4600,7800,4300
89,03/04/2023,4800,4700,4700,4800,4800,4500
90,04/04/2023,4900,4700,4900,4800,2000,4500
91,05/04/2023,4900,4700,4900,4900,10200,4600
92,06/04/2023,4900,4900,4900,4900,23300,4600
93,07/04/2023,4900,4700,4800,4900,11400,4600
94,10/04/2023,4900,4700,4900,4700,4000,4400
95,11/04/2023,4800,4700,4800,4800,1200,4500
96,12/04/2023,4900,4800,4900,4900,5500,4600
97,13/04/2023,4900,4700,4800,4700,5773,4400
98,14/04/2023,4800,4700,4700,4700,14800,4400
99,17/04/2023,4800,4600,4700,4700,21721,4400
100,18/04/2023,4800,4600,4800,4600,42773,4300
101,19/04/2023,4700,4400,4600,4700,51500,4400
102,20/04/2023,4600,4500,4500,4500,26933,4200
103,21/04/2023,4700,4400,4500,4500,15700,4200
104,24/04/2023,4600,4400,4500,4500,34300,4200
105,25/04/2023,4600,4500,4600,4500,5200,4200
106,26/04/2023,4600,4500,4500,4500,10500,4200
107,27/04/2023,4600,4500,4500,4500,4500,4200
108,28/04/2023,4500,4500,4500,4500,13800,4200
109,04/05/2023,4600,4400,4600,4500,14000,4200
110,05/05/2023,4500,4400,4500,4400,1900,4100
111,08/05/2023,4500,4400,4400,4400,14600,4100
112,09/05/2023,4500,4400,4400,4500,21600,4200
113,10/05/2023,4600,4500,4500,4600,32827,4300
114,11/05/2023,4800,4600,4600,4700,45130,4400
115,12/05/2023,4700,4600,4700,4700,4531,4400
116,15/05/2023,4800,4600,4800,4800,17500,4500
117,16/05/2023,4800,4600,4800,4700,13600,4400
118,17/05/2023,4700,4500,4700,4600,22600,4300
119,18/05/2023,4700,4600,4600,4700,9800,4400
120,19/05/2023,4700,4600,4600,4700,13300,4400
121,22/05/2023,4600,4500,4600,4500,19300,4200
122,23/05/2023,4800,4600,4600,4800,63600,4500
123,24/05/2023,4800,4600,4800,4700,8200,4400
124,25/05/2023,4700,4500,4600,4600,37600,4300
125,26/05/2023,4600,4500,4500,4600,17100,4300
126,29/05/2023,4800,4700,4700,4800,36500,4500
127,30/05/2023,4900,4700,4800,4700,109800,4400
128,31/05/2023,5000,4700,4800,4900,106600,4600
129,01/06/2023,5200,4900,4900,5100,142900,4800
130,02/06/2023,5100,5000,5100,5000,84600,4700
131,05/06/2023,5100,4800,5000,4800,93600,4500
132,06/06/2023,5000,4800,4900,4900,51300,4600
133,07/06/2023,5100,5000,5000,5000,41900,4700
134,08/06/2023,5500,5000,5000,5500,352600,5200
135,09/06/2023,5400,5300,5400,5400,82100,5100
136,12/06/2023,5500,5100,5400,5300,80000,5000
137,13/06/2023,5500,5200,5300,5300,103800,5000
138,14/06/2023,5500,5200,5300,5300,127100,5000
139,15/06/2023,5400,5100,5400,5300,69300,5000
140,16/06/2023,5400,5100,5300,5100,191300,4800
141,19/06/2023,5100,4900,5100,4900,114100,4600
142,20/06/2023,5100,4900,5000,5100,31200,4800
143,21/06/2023,5200,5000,5100,5200,49700,4900
144,22/06/2023,5400,5200,5300,5200,81000,4900
145,23/06/2023,5200,5000,5200,5200,63400,4900
146,26/06/2023,5300,5100,5200,5100,31200,4800
147,27/06/2023,5200,5000,5200,5100,76700,4800
148,28/06/2023,5100,5000,5000,5100,75700,4800
149,29/06/2023,5200,5000,5100,5000,55600,4700
150,30/06/2023,5100,5000,5100,5000,15200,4700
151,03/07/2023,5000,5000,5000,5000,33200,4700
152,04/07/2023,5100,4900,5000,5100,19500,4800
153,05/07/2023,5200,5100,5100,5100,72700,4800
154,06/07/2023,5100,5000,5100,5000,16400,4700
155,07/07/2023,5100,4900,5000,5100,78300,4800
156,10/07/2023,5100,5000,5000,5100,26900,4800
157,11/07/2023,5100,5000,5100,5000,105800,4700
158,12/07/2023,5100,4900,5000,5000,115600,4700
159,13/07/2023,5500,5100,5100,5400,180600,5100
160,14/07/2023,5500,5200,5400,5200,128400,4900
161,17/07/2023,5500,5200,5400,5400,46500,5100
162,18/07/2023,5500,5200,5300,5300,96900,5000
163,19/07/2023,5400,5300,5400,5400,38600,5100
164,20/07/2023,5400,5200,5300,5400,51600,5100
165,21/07/2023,5400,5200,5300,5300,91000,5000
166,24/07/2023,5300,5100,5200,5200,90300,4900
167,25/07/2023,5400,5200,5200,5300,122700,5000
168,26/07/2023,5300,5200,5300,5200,22300,4900
169,27/07/2023,5200,5100,5200,5200,88300,4900
170,28/07/2023,5300,5200,5200,5300,56100,5000
171,31/07/2023,5400,5200,5300,5200,68800,4900
172,01/08/2023,5300,5100,5200,5100,55600,4800
173,02/08/2023,5200,5100,5200,5100,11500,4800
174,03/08/2023,5200,5100,5100,5200,45900,4900
175,04/08/2023,5200,5100,5100,5200,63500,4900
176,07/08/2023,5400,5200,5200,5300,110900,5000
177,08/08/2023,5400,5200,5300,5300,145400,5000
178,09/08/2023,5500,5300,5300,5400,135101,5100
179,10/08/2023,5600,5200,5400,5300,250300,5000
180,11/08/2023,5300,5100,5300,5200,234200,4900
181,14/08/2023,5200,5100,5200,5200,65203,4900
182,15/08/2023,5200,5100,5100,5200,64300,4900
183,16/08/2023,5200,5000,5200,5200,98193,4900
184,17/08/2023,5200,5100,5100,5100,51100,4800
185,18/08/2023,5200,4900,5100,4900,121121,4600
186,21/08/2023,5000,4800,5000,4900,38200,4600
187,22/08/2023,5000,4800,4900,5000,39300,4700
188,23/08/2023,4900,4900,4900,4900,18100,4600
189,24/08/2023,5000,4900,4900,5000,17600,4700
190,25/08/2023,5000,4900,5000,4900,28200,4600
191,28/08/2023,5000,4900,5000,5000,32100,4700
192,29/08/2023,5000,4900,5000,5000,60500,4700
193,30/08/2023,5000,4900,4900,5000,93000,4700
194,31/08/2023,5000,4900,4900,5000,38200,4700
195,05/09/2023,5100,4900,5000,5000,73900,4700
196,06/09/2023,5000,4900,5000,5000,26200,4700
197,07/09/2023,5100,5000,5000,5100,79539,4800
198,08/09/2023,5100,5000,5100,5000,66600,4700
199,11/09/2023,5200,5000,5000,5100,215600,4800
200,12/09/2023,5200,5000,5100,5200,61900,4900
201,13/09/2023,5200,5100,5200,5100,41300,4800
202,14/09/2023,5100,5000,5100,5000,63400,4700
203,15/09/2023,5100,5000,5100,5000,29900,4700
204,18/09/2023,5100,5000,5100,5100,22000,4800
205,19/09/2023,5100,4900,5100,5000,33900,4700
206,20/09/2023,5100,5000,5100,5100,13905,4800
207,21/09/2023,5100,5000,5000,5000,47701,4700
208,22/09/2023,4900,4700,4900,4700,186700,4700
209,25/09/2023,4900,4600,4800,4700,90126,4700
210,26/09/2023,4700,4500,4600,4500,44700,4500
211,27/09/2023,4500,4200,4500,4400,67004,4400
212,28/09/2023,4400,4300,4400,4400,36600,4400
213,29/09/2023,4500,4300,4400,4500,43700,4500
214,02/10/2023,4500,4300,4500,4400,45400,4400
215,03/10/2023,4500,4200,4400,4400,40400,4400
216,04/10/2023,4400,4300,4400,4400,27500,4400
217,05/10/2023,4400,4400,4400,4400,10400,4400
218,06/10/2023,4500,4400,4400,4500,9300,4500
219,09/10/2023,4500,4400,4500,4500,5700,4500
220,10/10/2023,4500,4400,4400,4500,20300,4500
221,11/10/2023,4500,4400,4400,4500,26300,4500
222,12/10/2023,4500,4400,4500,4500,8900,4500
223,13/10/2023,4400,4400,4400,4400,6700,4400
224,16/10/2023,4400,4400,4400,4400,10900,4400
225,17/10/2023,4400,4400,4400,4400,28100,4400
226,18/10/2023,4300,4300,4300,4300,23800,4300
227,19/10/2023,4300,4100,4300,4300,27900,4300
228,20/10/2023,4300,4200,4300,4200,12900,4200
229,23/10/2023,4300,4100,4300,4200,30900,4200
230,24/10/2023,4200,4200,4200,4200,30320,4200
231,25/10/2023,4200,4100,4200,4200,11500,4200
232,26/10/2023,4300,3900,4200,3900,62000,3900
233,27/10/2023,4100,4000,4000,4100,11300,4100
234,30/10/2023,4100,3900,4100,4000,22400,4000
235,31/10/2023,4100,4000,4100,4100,11500,4100
236,01/11/2023,3900,3900,3900,3900,10000,3900
237,02/11/2023,4100,4100,4100,4100,3800,4100
238,03/11/2023,4100,4000,4100,4000,16000,4000
239,06/11/2023,4100,4000,4000,4100,23400,4100
240,07/11/2023,4000,3900,4000,4000,97400,4000
241,08/11/2023,4000,4000,4000,4000,105901,4000
242,09/11/2023,4100,4000,4100,4100,28200,4100
243,10/11/2023,4100,4000,4100,4100,40400,4100
244,13/11/2023,4100,4000,4100,4000,11800,4000
245,14/11/2023,4100,4000,4000,4100,11700,4100
246,15/11/2023,4100,4000,4100,4100,15900,4100
247,16/11/2023,4100,4000,4100,4000,1300,4000
