,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,9000,8100,8100,9000,3700,9000
1,22/11/2022,9000,9000,9000,9000,-,9000
2,23/11/2022,8900,8100,8900,8100,730,8100
3,24/11/2022,8900,8500,8900,8800,806,8800
4,25/11/2022,8900,8000,8000,8900,800,8900
5,28/11/2022,8700,8200,8200,8600,3300,8600
6,29/11/2022,8700,7900,7900,8700,1390,8700
7,30/11/2022,8600,8000,8000,8600,700,8600
8,01/12/2022,8600,8600,8600,8600,-,8600
9,02/12/2022,7900,7900,7900,7900,1100,7900
10,05/12/2022,8500,7200,8500,8200,9470,8200
11,06/12/2022,7400,7400,7400,7400,9305,7400
12,07/12/2022,7400,6800,7400,6800,500,6800
13,08/12/2022,7400,6900,7100,7400,6615,7400
14,09/12/2022,7400,7400,7400,7400,25,7400
15,12/12/2022,7800,7400,7400,7800,700,7800
16,13/12/2022,7600,7400,7400,7600,810,7600
17,14/12/2022,7600,7600,7600,7600,-,7600
18,15/12/2022,7600,7600,7600,7600,-,7600
19,16/12/2022,7600,7600,7600,7600,1905,7600
20,19/12/2022,7900,7000,7300,7900,1616,7900
21,20/12/2022,7900,7900,7900,7900,-,7900
22,21/12/2022,7900,7900,7900,7900,-,7900
23,22/12/2022,7700,7300,7300,7700,500,7700
24,23/12/2022,7700,7700,7700,7700,-,7700
25,26/12/2022,7900,7800,7900,7900,900,7900
26,27/12/2022,8000,7800,7800,8000,800,8000
27,28/12/2022,8300,8000,8000,8300,1100,8300
28,29/12/2022,8300,8300,8300,8300,1800,8300
29,30/12/2022,8300,8300,8300,8300,50,8300
30,03/01/2023,7500,7500,7500,7500,1500,7500
31,04/01/2023,7000,7000,7000,7000,1710,7000
32,05/01/2023,7700,7700,7700,7700,100,7700
33,06/01/2023,7800,7000,7100,7800,2500,7800
34,09/01/2023,7700,7100,7100,7700,600,7700
35,10/01/2023,7700,7700,7700,7700,10,7700
36,11/01/2023,7600,7000,7400,7000,4600,7000
37,12/01/2023,7600,7600,7600,7600,200,7600
38,13/01/2023,7700,7500,7700,7500,1100,7500
39,16/01/2023,7300,7000,7200,7000,4600,7000
40,17/01/2023,7700,7000,7400,7600,4724,7600
41,18/01/2023,7000,7000,7000,7000,1100,7000
42,19/01/2023,7700,7500,7500,7700,11300,7700
43,27/01/2023,8300,8200,8300,8300,2100,8300
44,30/01/2023,8800,7800,8800,8000,13626,8000
45,31/01/2023,8600,8600,8600,8600,100,8600
46,01/02/2023,8900,8500,8500,8900,1000,8900
47,02/02/2023,8900,8100,8900,8100,900,8100
48,03/02/2023,8900,7300,7300,8900,5300,8900
49,06/02/2023,8100,8100,8100,8100,3100,8100
50,07/02/2023,7800,7800,7800,7800,100,7800
51,08/02/2023,8200,7800,7800,8200,1600,8200
52,09/02/2023,8900,8600,8600,8900,800,8900
53,10/02/2023,8900,8500,8900,8900,6500,8900
54,13/02/2023,8600,8200,8200,8600,600,8600
55,14/02/2023,8700,8600,8700,8600,1700,8600
56,15/02/2023,8600,8600,8600,8600,-,8600
57,16/02/2023,8600,8600,8600,8600,-,8600
58,17/02/2023,8600,8600,8600,8600,-,8600
59,20/02/2023,8600,8600,8600,8600,3000,8600
60,21/02/2023,8700,7800,8600,8700,1246,8700
61,22/02/2023,8700,7900,7900,7900,3200,7900
62,23/02/2023,7900,7500,7900,7900,6500,7900
63,24/02/2023,7700,7500,7700,7700,5700,7700
64,27/02/2023,7500,7500,7500,7500,3500,7500
65,28/02/2023,7700,7400,7500,7500,12501,7500
66,01/03/2023,7300,7100,7100,7100,3200,7100
67,02/03/2023,7300,7200,7200,7300,9000,7300
68,03/03/2023,8000,7400,7400,8000,2575,8000
69,06/03/2023,7600,7500,7500,7500,4000,7500
70,07/03/2023,7500,7500,7500,7500,100,7500
71,08/03/2023,8000,8000,8000,8000,200,8000
72,09/03/2023,8800,7500,7500,8800,8315,8800
73,10/03/2023,8800,8100,8100,8800,5400,8800
74,13/03/2023,8600,8600,8600,8600,510,8600
75,14/03/2023,8700,8500,8600,8600,12300,8600
76,15/03/2023,9300,8600,8900,9000,3300,9000
77,16/03/2023,9000,8300,8500,8300,15310,8300
78,17/03/2023,8500,8300,8300,8400,6200,8400
79,20/03/2023,8400,8000,8300,8400,10900,8400
80,21/03/2023,8400,8000,8400,8300,7000,8300
81,22/03/2023,9000,8200,8300,8500,28205,8500
82,23/03/2023,8700,8200,8500,8500,20100,8500
83,24/03/2023,8500,8100,8500,8100,14200,8100
84,27/03/2023,8300,8100,8100,8100,12620,8100
85,28/03/2023,8100,8000,8000,8100,10300,8100
86,29/03/2023,8100,7500,8100,7500,12500,7500
87,30/03/2023,7700,7600,7600,7700,7300,7700
88,31/03/2023,8000,7500,7500,8000,14817,8000
89,03/04/2023,8700,8000,8000,8300,30700,8300
90,04/04/2023,8900,8300,8300,8400,33150,8400
91,05/04/2023,9200,8600,8800,9200,82735,9200
92,06/04/2023,9200,9000,9200,9000,14160,9000
93,07/04/2023,8900,8500,8900,8600,20600,8600
94,10/04/2023,9000,8200,8600,9000,28111,9000
95,11/04/2023,8900,8400,8700,8700,29900,8700
96,12/04/2023,8800,8400,8700,8700,26500,8700
97,13/04/2023,8700,8300,8700,8500,15900,8500
98,14/04/2023,8500,8500,8500,8500,9101,8500
99,17/04/2023,8600,8500,8500,8600,19110,8600
100,18/04/2023,8600,8400,8600,8600,22200,8600
101,19/04/2023,8600,8300,8600,8500,21100,8500
102,20/04/2023,8500,8300,8500,8400,20005,8400
103,21/04/2023,8400,8300,8400,8400,15300,8400
104,24/04/2023,8400,8200,8300,8300,21200,8300
105,25/04/2023,8700,8300,8300,8700,17820,8700
106,26/04/2023,9000,8600,8700,8900,22000,8900
107,27/04/2023,9400,8900,8900,9400,32850,9400
108,28/04/2023,9700,9300,9500,9500,16534,9500
109,04/05/2023,10000,8900,9500,9100,19100,9100
110,05/05/2023,8900,8700,8900,8900,23320,8900
111,08/05/2023,9000,8700,8800,9000,12900,9000
112,09/05/2023,9200,8400,8900,9200,35167,9200
113,10/05/2023,9500,9000,9200,9500,14610,9500
114,11/05/2023,9500,8900,9400,9500,22533,9500
115,12/05/2023,9500,8600,9500,8800,52600,8800
116,15/05/2023,9400,8800,9000,9200,19900,9200
117,16/05/2023,9400,9000,9200,9000,27411,9000
118,17/05/2023,9300,8800,8900,9300,20130,9300
119,18/05/2023,9800,9200,9300,9300,33501,9300
120,19/05/2023,9400,9100,9300,9400,21200,9400
121,22/05/2023,9400,9000,9400,9100,50750,9100
122,23/05/2023,9100,8600,9100,8600,37201,8600
123,24/05/2023,9000,8600,8800,8600,28500,8600
124,25/05/2023,8600,8500,8600,8600,52900,8600
125,26/05/2023,9000,8600,8800,9000,25500,9000
126,29/05/2023,9200,9000,9000,9200,37140,9200
127,30/05/2023,9100,9000,9000,9100,31100,9100
128,31/05/2023,9100,8800,9100,9000,36610,9000
129,01/06/2023,9100,9000,9000,9100,40900,9100
130,02/06/2023,9100,8900,9000,9100,57400,9100
131,05/06/2023,9000,8800,9000,9000,40300,9000
132,06/06/2023,9200,8900,9200,9100,43075,9100
133,07/06/2023,9100,8800,9000,9100,59830,9100
134,08/06/2023,9000,8800,8800,9000,32500,9000
135,09/06/2023,9100,8700,9000,9000,36200,9000
136,12/06/2023,9000,8800,8800,8900,52456,8900
137,13/06/2023,9000,8800,8800,9000,33800,9000
138,14/06/2023,9000,8800,9000,8800,48209,8800
139,15/06/2023,8900,8800,8800,8800,28320,8800
140,16/06/2023,8800,8800,8800,8800,25815,8800
141,19/06/2023,8800,8800,8800,8800,15300,8800
142,20/06/2023,9000,8800,8800,9000,23100,9000
143,21/06/2023,9000,8400,9000,8700,52306,8700
144,22/06/2023,8800,8700,8700,8800,26209,8800
145,23/06/2023,8800,8700,8800,8700,27501,8700
146,26/06/2023,8800,8500,8700,8800,24405,8800
147,27/06/2023,8900,8700,8800,8800,30400,8800
148,28/06/2023,8800,8500,8800,8500,18400,8500
149,29/06/2023,8600,8300,8500,8500,18005,8500
150,30/06/2023,8500,8200,8500,8200,28900,8200
151,03/07/2023,8400,8200,8200,8200,22700,8200
152,04/07/2023,8300,8000,8200,8200,2677160,8200
153,05/07/2023,8300,8000,8200,8300,627470,8300
154,06/07/2023,8300,8000,8200,8300,27000,8300
155,07/07/2023,8300,8100,8100,8300,33700,8300
156,10/07/2023,8500,8200,8300,8400,3980933,8400
157,11/07/2023,9100,8400,8500,9100,91400,9100
158,12/07/2023,9300,8800,9100,9200,60300,9200
159,13/07/2023,9300,8800,9100,8800,72400,8800
160,14/07/2023,9100,8800,8800,9000,59900,9000
161,17/07/2023,9100,8900,9000,9000,45130,9000
162,18/07/2023,9200,8800,9000,8900,65760,8900
163,19/07/2023,9000,8500,8900,8500,85615,8500
164,20/07/2023,8800,8400,8500,8500,53215,8500
165,21/07/2023,8800,8400,8600,8400,65000,8400
166,24/07/2023,8500,8300,8400,8400,32820,8400
167,25/07/2023,8500,8300,8400,8500,30940,8500
168,26/07/2023,8600,8300,8500,8500,28840,8500
169,27/07/2023,8600,8400,8500,8500,25200,8500
170,28/07/2023,8500,8400,8500,8500,47400,8500
171,31/07/2023,8800,8500,8500,8700,56800,8700
172,01/08/2023,8700,8400,8700,8400,46600,8400
173,02/08/2023,8500,8400,8400,8500,60350,8500
174,03/08/2023,8500,8400,8400,8500,64700,8500
175,04/08/2023,8500,8400,8400,8500,62700,8500
176,07/08/2023,8700,8500,8500,8700,58401,8700
177,08/08/2023,9000,8500,8700,9000,163400,9000
178,09/08/2023,9000,8500,9000,8700,92740,8700
179,10/08/2023,8800,8400,8700,8700,181300,8700
180,11/08/2023,8700,8400,8600,8500,4077815,8500
181,14/08/2023,8800,8400,8400,8700,163900,8700
182,15/08/2023,8700,8500,8700,8600,109600,8600
183,16/08/2023,8600,8400,8500,8500,134438,8500
184,17/08/2023,8500,8300,8500,8400,181800,8400
185,18/08/2023,8500,8100,8400,8300,188900,8300
186,21/08/2023,8300,7700,8200,8300,243900,8300
187,22/08/2023,8300,7900,8300,8100,155849,8100
188,23/08/2023,8300,8100,8100,8200,115720,8200
189,24/08/2023,8200,8000,8200,8100,169222,8100
190,25/08/2023,8700,7900,8100,8500,293725,8500
191,28/08/2023,8600,8500,8500,8500,33601,8500
192,29/08/2023,8600,7900,8600,8500,12700,8500
193,30/08/2023,8400,7900,8400,8300,47437,8300
194,31/08/2023,8300,7900,8300,7900,3900,7900
195,05/09/2023,8200,8000,8000,8200,433600,8200
196,06/09/2023,8400,8000,8100,8400,1652149,8400
197,07/09/2023,8500,8200,8400,8500,9100,8500
198,08/09/2023,8600,8400,8400,8600,25700,8600
199,11/09/2023,8500,8100,8500,8300,210152,8300
200,12/09/2023,8400,8200,8200,8300,207100,8300
201,13/09/2023,8300,8000,8300,8100,36080,8100
202,14/09/2023,8200,7900,8000,8000,24300,8000
203,15/09/2023,8200,7900,8200,7900,1805,7900
204,18/09/2023,8000,7700,7900,8000,10202,8000
205,19/09/2023,8100,7800,7900,7900,432061,7900
206,20/09/2023,8100,7800,7800,8100,1468700,8100
207,21/09/2023,8600,8000,8600,8200,959480,8200
208,22/09/2023,8200,8000,8200,8000,1250800,8000
209,25/09/2023,8100,7700,8000,8100,5700,8100
210,26/09/2023,8000,7800,7800,8000,481800,8000
211,27/09/2023,8000,7800,7900,8000,11615,8000
212,28/09/2023,8200,7800,7800,8200,8900,8200
213,29/09/2023,8000,7800,8000,8000,761600,8000
214,02/10/2023,8300,8100,8100,8300,2000,8300
215,03/10/2023,8100,7700,7900,7700,21304,7700
216,04/10/2023,7700,7700,7700,7700,2100,7700
217,05/10/2023,8200,7800,8100,7900,5500,7900
218,06/10/2023,8000,8000,8000,8000,100,8000
219,09/10/2023,8100,7700,8100,7700,600,7700
220,10/10/2023,8000,7600,8000,7600,34550,7600
221,11/10/2023,7600,7600,7600,7600,100,7600
222,12/10/2023,7900,7600,7600,7900,11437,7900
223,13/10/2023,7900,7600,7900,7900,26500,7900
224,16/10/2023,7900,7900,7900,7900,-,7900
225,17/10/2023,7800,7600,7600,7700,7200,7700
226,18/10/2023,7800,7600,7600,7800,9500,7800
227,19/10/2023,7900,7700,7900,7700,5730,7700
228,20/10/2023,7900,7700,7700,7900,100100,7900
229,23/10/2023,8000,7900,7900,8000,600,8000
230,24/10/2023,7900,7800,7900,7900,2600,7900
231,25/10/2023,8000,7900,7900,8000,567,8000
232,26/10/2023,7900,7500,7600,7900,33950,7900
233,27/10/2023,8000,7900,8000,7900,1100,7900
234,30/10/2023,7900,7800,7900,7900,103600,7900
235,31/10/2023,7900,7800,7800,7800,152990,7800
236,01/11/2023,7900,7800,7900,7800,221130,7800
237,02/11/2023,8100,7700,7900,7900,129000,7900
238,03/11/2023,8100,7900,8000,7900,90500,7900
239,06/11/2023,8100,7900,8000,8000,76700,8000
240,07/11/2023,8200,7900,8000,8200,94904,8200
241,08/11/2023,8400,8000,8000,8300,97400,8300
242,09/11/2023,8300,8100,8100,8300,98600,8300
