,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,153000,153000,153000,153000,-,151200
1,22/11/2022,153000,153000,153000,153000,4,151200
2,23/11/2022,153000,153000,153000,153000,-,151200
3,24/11/2022,153000,153000,153000,153000,-,151200
4,25/11/2022,153000,153000,153000,153000,-,151200
5,28/11/2022,160000,160000,160000,160000,100,158100
6,29/11/2022,161000,161000,161000,161000,600,159100
7,30/11/2022,161000,161000,161000,161000,-,159100
8,01/12/2022,161000,161000,161000,161000,-,159100
9,02/12/2022,161000,161000,161000,161000,-,159100
10,05/12/2022,170000,168000,168000,170000,800,168000
11,06/12/2022,162000,160100,160100,160300,302,158400
12,07/12/2022,161000,161000,161000,161000,100,159100
13,08/12/2022,161000,161000,161000,161000,-,159100
14,09/12/2022,161000,160000,160000,161000,500,159100
15,12/12/2022,161100,161100,161100,161100,100,159200
16,13/12/2022,162000,162000,162000,162000,100,160100
17,14/12/2022,162000,162000,162000,162000,100,160100
18,15/12/2022,165000,155000,155000,165000,200,163000
19,16/12/2022,168000,163000,163000,163000,600,161000
20,19/12/2022,163000,163000,163000,163000,-,161000
21,20/12/2022,162000,162000,162000,162000,110,160100
22,21/12/2022,162000,162000,162000,162000,20,160100
23,22/12/2022,162000,162000,162000,162000,-,160100
24,23/12/2022,163000,163000,163000,163000,100,161000
25,26/12/2022,163000,163000,163000,163000,-,161000
26,27/12/2022,168000,168000,168000,168000,200,166000
27,28/12/2022,168000,168000,168000,168000,-,166000
28,29/12/2022,168000,168000,168000,168000,1,166000
29,30/12/2022,168000,168000,168000,168000,-,166000
30,03/01/2023,163000,163000,163000,163000,100,161000
31,04/01/2023,163000,163000,163000,163000,200,161000
32,05/01/2023,163000,163000,163000,163000,-,161000
33,06/01/2023,163000,163000,163000,163000,-,161000
34,09/01/2023,163000,163000,163000,163000,-,161000
35,10/01/2023,163000,163000,163000,163000,-,161000
36,11/01/2023,163000,163000,163000,163000,-,161000
37,12/01/2023,163000,163000,163000,163000,-,161000
38,13/01/2023,163000,163000,163000,163000,-,161000
39,16/01/2023,163000,163000,163000,163000,-,161000
40,17/01/2023,163100,163100,163100,163100,200,161100
41,18/01/2023,163300,163300,163300,163300,100,161300
42,19/01/2023,160000,160000,160000,160000,100,158100
43,27/01/2023,160000,160000,160000,160000,-,158100
44,30/01/2023,170300,169000,170300,169000,200,167000
45,31/01/2023,163300,163300,163300,163300,100,161300
46,01/02/2023,163300,163300,163300,163300,-,161300
47,02/02/2023,163300,163300,163300,163300,-,161300
48,03/02/2023,163300,163300,163300,163300,400,161300
49,06/02/2023,163300,163300,163300,163300,-,161300
50,07/02/2023,163300,163300,163300,163300,-,161300
51,08/02/2023,170000,169500,170000,169600,700,167600
52,09/02/2023,169900,163300,163300,169900,200,167900
53,10/02/2023,169900,169900,169900,169900,10,167900
54,13/02/2023,163300,163300,163300,163300,100,161300
55,14/02/2023,169700,148500,148500,169000,510,167000
56,15/02/2023,160100,160100,160100,160100,100,158200
57,16/02/2023,160100,160100,160100,160100,-,158200
58,17/02/2023,165000,165000,165000,165000,101,163000
59,20/02/2023,163400,163400,163400,163400,100,161400
60,21/02/2023,163400,163400,163400,163400,-,161400
61,22/02/2023,163300,163300,163300,163300,110,161300
62,23/02/2023,165000,165000,165000,165000,400,163000
63,24/02/2023,163000,157900,157900,163000,200,161000
64,27/02/2023,161000,161000,161000,161000,200,159100
65,28/02/2023,164000,161000,161000,164000,300,162000
66,01/03/2023,160000,160000,160000,160000,200,158100
67,02/03/2023,160000,160000,160000,160000,-,158100
68,03/03/2023,160000,160000,160000,160000,200,158100
69,06/03/2023,160000,160000,160000,160000,-,158100
70,07/03/2023,160000,160000,160000,160000,-,158100
71,08/03/2023,159000,159000,159000,159000,100,157100
72,09/03/2023,164500,164400,164500,164400,500,162400
73,10/03/2023,165000,165000,165000,165000,200,163000
74,13/03/2023,165000,165000,165000,165000,-,163000
75,14/03/2023,165000,165000,165000,165000,-,163000
76,15/03/2023,165000,165000,165000,165000,-,163000
77,16/03/2023,165000,165000,165000,165000,200,163000
78,17/03/2023,165000,165000,165000,165000,1,163000
79,20/03/2023,157300,157300,157300,157300,100,155400
80,21/03/2023,157300,157300,157300,157300,200,155400
81,22/03/2023,157300,157300,157300,157300,-,155400
82,23/03/2023,157300,157300,157300,157300,1,155400
83,24/03/2023,157300,157300,157300,157300,-,155400
84,27/03/2023,157000,157000,157000,157000,300,155100
85,28/03/2023,157000,157000,157000,157000,-,155100
86,29/03/2023,157000,157000,157000,157000,200,155100
87,30/03/2023,157000,157000,157000,157000,106,155100
88,31/03/2023,157000,157000,157000,157000,101,155100
89,03/04/2023,157000,157000,157000,157000,-,155100
90,04/04/2023,151000,151000,151000,151000,200,149200
91,05/04/2023,158000,154000,154000,156000,400,154100
92,06/04/2023,157000,157000,157000,157000,201,155100
93,07/04/2023,157000,157000,157000,157000,-,155100
94,10/04/2023,149300,149300,149300,149300,100,147500
95,11/04/2023,149300,149300,149300,149300,-,147500
96,12/04/2023,160300,160300,160300,160300,100,158400
97,13/04/2023,154500,154100,154100,154100,700,152300
98,14/04/2023,154100,154100,154100,154100,-,152300
99,17/04/2023,154100,154100,154100,154100,13,152300
100,18/04/2023,159300,158000,158000,158200,501,156300
101,19/04/2023,158200,158200,158200,158200,5,156300
102,20/04/2023,165300,155300,165300,155300,533,153400
103,21/04/2023,155300,155300,155300,155300,-,153400
104,24/04/2023,155300,155300,155300,155300,-,153400
105,25/04/2023,160000,160000,160000,160000,700,158100
106,26/04/2023,160000,160000,160000,160000,1,158100
107,27/04/2023,160000,160000,160000,160000,-,158100
108,28/04/2023,160000,160000,160000,160000,500,158100
109,04/05/2023,160000,160000,160000,160000,100,158100
110,05/05/2023,160000,160000,160000,160000,300,158100
111,08/05/2023,160100,155500,160100,158300,1411,156400
112,09/05/2023,159000,158400,159000,158400,1101,156500
113,10/05/2023,158400,158400,158400,158400,7,156500
114,11/05/2023,158400,158400,158400,158400,8,156500
115,12/05/2023,158400,158400,158400,158400,-,156500
116,15/05/2023,158800,158800,158800,158800,104,156900
117,16/05/2023,158800,158800,158800,158800,40,156900
118,17/05/2023,171000,160000,160000,171000,1516,169000
119,18/05/2023,171000,171000,171000,171000,300,169000
120,19/05/2023,171000,171000,171000,171000,1,169000
121,22/05/2023,165000,165000,165000,165000,302,163000
122,23/05/2023,165000,165000,165000,165000,-,163000
123,24/05/2023,165000,165000,165000,165000,1104,163000
124,25/05/2023,165000,165000,165000,165000,-,163000
125,26/05/2023,165500,165200,165200,165500,400,163500
126,29/05/2023,167000,165500,165500,167000,700,165000
127,30/05/2023,167000,167000,167000,167000,-,165000
128,31/05/2023,165000,165000,165000,165000,-,165000
129,01/06/2023,165700,165700,165700,165700,102,165700
130,02/06/2023,166000,165800,165800,165900,800,165900
131,05/06/2023,168000,166100,166100,167700,1105,167700
132,06/06/2023,167800,167800,167800,167800,500,167800
133,07/06/2023,167800,167800,167800,167800,3,167800
134,08/06/2023,167800,167700,167800,167700,701,167700
135,09/06/2023,167700,167700,167700,167700,-,167700
136,12/06/2023,167700,167700,167700,167700,-,167700
137,13/06/2023,167700,167700,167700,167700,1,167700
138,14/06/2023,167700,167700,167700,167700,-,167700
139,15/06/2023,167800,167700,167800,167700,2401,167700
140,16/06/2023,168100,168100,168100,168100,4700,168100
141,19/06/2023,165500,163100,165500,163100,2300,163100
142,20/06/2023,163100,163100,163100,163100,10,163100
143,21/06/2023,163100,163100,163100,163100,-,163100
144,22/06/2023,163100,163100,163100,163100,8,163100
145,23/06/2023,163100,163100,163100,163100,-,163100
146,26/06/2023,169300,169300,169300,169300,145,169300
147,27/06/2023,175000,169500,169500,172900,1021,172900
148,28/06/2023,172900,172900,172900,172900,-,172900
149,29/06/2023,172900,172900,172900,172900,-,172900
150,30/06/2023,190100,165300,165300,190100,1700,190100
151,03/07/2023,171500,171500,171500,171500,300,171500
152,04/07/2023,171500,171500,171500,171500,-,171500
