,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,4200,4100,4200,4100,4200,4100
1,22/11/2022,4500,4100,4100,4200,27919,4200
2,23/11/2022,4600,4200,4400,4600,33900,4600
3,24/11/2022,4700,4400,4700,4600,14300,4600
4,25/11/2022,4800,4500,4700,4800,4400,4800
5,28/11/2022,5200,4800,4900,5100,24710,5100
6,29/11/2022,5500,5200,5500,5500,9700,5500
7,30/11/2022,5900,5500,5700,5800,14600,5800
8,01/12/2022,5900,5600,5800,5900,20800,5900
9,02/12/2022,5900,5600,5900,5900,13100,5900
10,05/12/2022,6300,6000,6000,6200,22500,6200
11,06/12/2022,6400,5600,6200,5800,51900,5800
12,07/12/2022,6000,5300,5300,5800,15900,5800
13,08/12/2022,6000,5500,6000,6000,22750,6000
14,09/12/2022,6200,5400,6000,5800,35200,5800
15,12/12/2022,5900,5300,5900,5300,149601,5300
16,13/12/2022,5800,4800,5600,5700,23403,5700
17,14/12/2022,6000,5200,5800,5900,24600,5900
18,15/12/2022,5800,5400,5800,5800,47000,5800
19,16/12/2022,5700,5300,5400,5600,10600,5600
20,19/12/2022,5700,5100,5500,5700,44600,5700
21,20/12/2022,5700,5200,5700,5500,28000,5500
22,21/12/2022,5500,5000,5400,5400,20414,5400
23,22/12/2022,5600,5300,5300,5600,11800,5600
24,23/12/2022,5500,5100,5200,5200,8000,5200
25,26/12/2022,5500,5500,5500,5500,100,5500
26,27/12/2022,5500,5000,5400,5300,2900,5300
27,28/12/2022,5400,5100,5400,5300,52400,5300
28,29/12/2022,5300,5200,5300,5300,11000,5300
29,30/12/2022,5400,5200,5200,5400,21000,5400
30,03/01/2023,5700,5300,5300,5600,50100,5600
31,04/01/2023,5600,5300,5600,5300,16200,5300
32,05/01/2023,5400,5100,5300,5400,4600,5400
33,06/01/2023,5400,5100,5100,5100,4910,5100
34,09/01/2023,5300,5000,5300,5000,2600,5000
35,10/01/2023,5200,5100,5100,5200,800,5200
36,11/01/2023,5300,5200,5200,5200,9404,5200
37,12/01/2023,5200,4900,5000,5200,10800,5200
38,13/01/2023,5600,4800,4900,5200,33600,5200
39,16/01/2023,5200,5100,5100,5200,1100,5200
40,17/01/2023,5300,5100,5200,5300,4900,5300
41,18/01/2023,5300,5000,5300,5300,17900,5300
42,19/01/2023,5300,5000,5100,5300,28000,5300
43,27/01/2023,5800,5300,5600,5300,8601,5300
44,30/01/2023,5400,5200,5300,5200,10701,5200
45,31/01/2023,5400,5200,5200,5400,6114,5400
46,01/02/2023,5400,5200,5400,5200,7700,5200
47,02/02/2023,5400,5000,5000,5400,1100,5400
48,03/02/2023,5400,5400,5400,5400,-,5400
49,06/02/2023,5300,5000,5000,5300,4600,5300
50,07/02/2023,5300,5000,5000,5300,3100,5300
51,08/02/2023,5200,4900,4900,5200,300,5200
52,09/02/2023,5200,5200,5200,5200,-,5200
53,10/02/2023,5100,4700,4800,5000,7100,5000
54,13/02/2023,5000,4500,5000,4500,8500,4500
55,14/02/2023,4800,4500,4500,4700,2302,4700
56,15/02/2023,4800,4700,4700,4700,4601,4700
57,16/02/2023,5000,4600,4600,4700,500,4700
58,17/02/2023,4800,4700,4800,4800,12600,4800
59,20/02/2023,5100,4800,4800,5100,7700,5100
60,21/02/2023,5200,5000,5100,5000,3900,5000
61,22/02/2023,5000,4900,5000,4900,48601,4900
62,23/02/2023,4900,4800,4900,4800,5400,4800
63,24/02/2023,5000,4800,4800,4900,5000,4900
64,27/02/2023,4900,4500,4500,4900,5500,4900
65,28/02/2023,4900,4500,4500,4600,13500,4600
66,01/03/2023,4800,4700,4800,4700,200,4700
67,02/03/2023,4700,4700,4700,4700,1100,4700
68,03/03/2023,4800,4700,4800,4700,800,4700
69,06/03/2023,4900,4500,4500,4800,7100,4800
70,07/03/2023,4800,4800,4800,4800,1000,4800
71,08/03/2023,4800,4800,4800,4800,900,4800
72,09/03/2023,4800,4700,4800,4800,1200,4800
73,10/03/2023,4800,4600,4600,4600,12400,4600
74,13/03/2023,4600,4600,4600,4600,300,4600
75,14/03/2023,4700,4500,4700,4600,4600,4600
76,15/03/2023,5000,4600,4600,4900,21100,4900
77,16/03/2023,4900,4700,4700,4900,2800,4900
78,17/03/2023,4900,4900,4900,4900,-,4900
79,20/03/2023,4800,4600,4800,4700,4300,4700
80,21/03/2023,4800,4700,4700,4800,1100,4800
81,22/03/2023,4800,4800,4800,4800,-,4800
82,23/03/2023,4800,4700,4700,4800,3700,4800
83,24/03/2023,4900,4700,4700,4900,1800,4900
84,27/03/2023,5000,4900,4900,5000,129500,5000
85,28/03/2023,5100,5000,5000,5000,53600,5000
86,29/03/2023,4900,4800,4800,4900,9800,4900
87,30/03/2023,5000,4800,5000,4800,8200,4800
88,31/03/2023,5000,4800,4800,5000,3500,5000
89,03/04/2023,5100,5000,5100,5100,4700,5100
90,04/04/2023,5500,5100,5100,5500,191100,5500
91,05/04/2023,5800,5500,5600,5700,86500,5700
92,06/04/2023,5800,5500,5700,5500,26609,5500
93,07/04/2023,5700,5500,5500,5600,90100,5600
94,10/04/2023,5800,5400,5800,5700,120000,5700
95,11/04/2023,5800,5400,5700,5600,44500,5600
96,12/04/2023,5700,5500,5700,5500,26200,5500
97,13/04/2023,5500,5500,5500,5500,4300,5500
98,14/04/2023,5500,5100,5500,5500,41509,5500
99,17/04/2023,5600,5400,5600,5500,35100,5500
100,18/04/2023,5700,5300,5300,5600,51900,5600
101,19/04/2023,5400,5200,5400,5200,9031,5200
102,20/04/2023,5400,5400,5400,5400,101,5400
103,21/04/2023,5700,5400,5400,5500,82600,5500
104,24/04/2023,5500,5200,5500,5400,3466,5400
105,25/04/2023,5400,5100,5400,5200,10000,5200
106,26/04/2023,5300,5000,5200,5300,3500,5300
107,27/04/2023,5300,5000,5000,5300,20204,5300
108,28/04/2023,5300,5100,5200,5100,16700,5100
109,04/05/2023,5200,5000,5100,5200,7336,5200
110,05/05/2023,5500,5200,5200,5400,116530,5400
111,08/05/2023,5800,5400,5500,5700,139104,5700
112,09/05/2023,5900,5600,5700,5700,18010,5700
113,10/05/2023,6000,5800,5800,6000,113902,6000
114,11/05/2023,6100,5900,6100,6000,49301,6000
115,12/05/2023,6300,5900,6000,6100,29202,6100
116,15/05/2023,6300,6100,6100,6200,40822,6200
117,16/05/2023,6100,5700,6000,6100,28726,6100
118,17/05/2023,6100,5800,5900,6000,59501,6000
119,18/05/2023,6000,5900,6000,6000,21101,6000
120,19/05/2023,6100,6000,6000,6000,24037,6000
121,22/05/2023,6000,5800,5800,5800,25103,5800
122,23/05/2023,6000,5800,5800,5800,53038,5800
123,24/05/2023,6000,5800,5900,6000,21200,6000
124,25/05/2023,6000,5800,6000,5900,29104,5900
125,26/05/2023,6000,5900,6000,6000,74800,6000
126,29/05/2023,6500,6000,6100,6500,165550,6500
127,30/05/2023,6600,6300,6600,6500,52400,6500
128,31/05/2023,6500,6200,6500,6300,81300,6300
129,01/06/2023,6600,6300,6500,6600,235283,6600
130,02/06/2023,6700,6600,6600,6700,60400,6700
131,05/06/2023,6800,6500,6800,6500,197918,6500
132,06/06/2023,6800,6300,6500,6800,86600,6800
133,07/06/2023,7000,6700,6800,7000,89715,7000
134,08/06/2023,7100,6700,7000,6900,44200,6900
135,09/06/2023,7500,6700,6900,7500,213100,7500
136,12/06/2023,8000,7500,7500,7900,157001,7900
137,13/06/2023,8500,7500,8300,7700,179269,7700
138,14/06/2023,8000,7600,7700,7600,78503,7600
139,15/06/2023,7700,7100,7500,7300,118611,7300
140,16/06/2023,8000,7300,7400,7500,233838,7500
141,19/06/2023,7700,7100,7500,7100,92900,7100
142,20/06/2023,7500,7100,7300,7400,32000,7400
143,21/06/2023,7700,7400,7500,7600,157300,7600
144,22/06/2023,7800,7500,7700,7700,59100,7700
145,23/06/2023,7900,7600,7600,7800,122100,7800
146,26/06/2023,7900,7500,7800,7800,163700,7800
147,27/06/2023,7800,7500,7800,7500,25900,7500
148,28/06/2023,7700,7200,7700,7400,68300,7400
149,29/06/2023,7400,7100,7300,7400,73404,7400
150,30/06/2023,7200,7000,7100,7100,21800,7100
151,03/07/2023,7300,7000,7300,7000,19000,7000
152,04/07/2023,7400,7000,7000,7400,70035,7400
153,05/07/2023,7400,7200,7400,7200,59300,7200
154,06/07/2023,7300,7100,7200,7100,53600,7100
155,07/07/2023,7300,7100,7200,7300,25226,7300
156,10/07/2023,7400,7200,7300,7200,57500,7200
157,11/07/2023,7300,7200,7300,7200,40978,7200
158,12/07/2023,7900,7300,7300,7600,190237,7600
159,13/07/2023,7700,7400,7700,7600,45107,7600
160,14/07/2023,7700,7400,7600,7700,78900,7700
161,17/07/2023,7900,7600,7700,7700,160817,7700
162,18/07/2023,8200,7800,7800,7800,165212,7800
163,19/07/2023,8000,7800,7800,7900,88529,7900
164,20/07/2023,8000,7600,8000,7700,116006,7700
165,21/07/2023,7900,7500,7700,7700,101608,7700
166,24/07/2023,7900,7700,7800,7900,94611,7900
167,25/07/2023,8000,7800,7900,7800,106819,7800
168,26/07/2023,7900,7600,7900,7700,64205,7700
169,27/07/2023,7800,7600,7700,7700,39501,7700
170,28/07/2023,7900,7600,7700,7900,103145,7900
171,31/07/2023,8100,7800,8000,7900,136403,7900
172,01/08/2023,8000,7700,7900,7700,107703,7700
173,02/08/2023,7800,7700,7700,7800,37904,7800
174,03/08/2023,7900,7700,7900,7800,59502,7800
175,04/08/2023,7900,7600,7900,7700,47504,7700
176,07/08/2023,8400,7700,7700,8300,254601,8300
177,08/08/2023,8500,8100,8500,8100,99203,8100
178,09/08/2023,8100,7900,8100,8000,118808,8000
179,10/08/2023,8200,8000,8000,8200,113603,8200
180,11/08/2023,8300,7800,8200,8100,74100,8100
181,14/08/2023,8400,7900,8100,8200,256779,8200
182,15/08/2023,8400,8100,8400,8200,84000,8200
183,16/08/2023,8200,8000,8000,8200,68440,8200
184,17/08/2023,8400,8000,8200,8300,276538,8300
185,18/08/2023,8200,7500,8000,7500,154000,7500
186,21/08/2023,7600,7100,7500,7400,79300,7400
187,22/08/2023,7500,6900,7500,7500,90900,7500
188,23/08/2023,7600,7300,7600,7300,74900,7300
189,24/08/2023,7600,7300,7400,7600,43500,7600
190,25/08/2023,7600,7400,7600,7500,47000,7500
191,28/08/2023,7600,7300,7400,7500,27600,7500
192,29/08/2023,7700,7400,7400,7600,70100,7600
193,30/08/2023,8100,7500,7600,8000,90300,8000
194,31/08/2023,8400,7900,8400,7900,57741,7900
195,05/09/2023,8000,7800,7900,8000,74000,8000
196,06/09/2023,8400,7800,8000,8200,150600,8200
197,07/09/2023,9000,8200,8300,8800,351418,8800
198,08/09/2023,9000,8700,8900,8800,194500,8800
199,11/09/2023,8900,8500,8900,8600,165313,8600
200,12/09/2023,9400,8600,8600,9400,327406,9400
201,13/09/2023,9600,9200,9400,9200,136575,9200
202,14/09/2023,9100,8700,9000,8700,302054,8700
203,15/09/2023,8800,8300,8700,8300,121256,8300
204,18/09/2023,8300,7800,8300,8200,187414,8200
205,19/09/2023,8300,7700,8200,8000,133314,8000
206,20/09/2023,8300,7900,8000,8300,157405,8300
207,21/09/2023,8500,7900,8400,7900,156639,7900
208,22/09/2023,7900,7200,7900,7700,193104,7700
209,25/09/2023,7600,7000,7500,7000,104500,7000
210,26/09/2023,7200,6700,7000,7000,138301,7000
211,27/09/2023,7100,6500,6800,7100,170710,7100
212,28/09/2023,7000,6800,7000,7000,69501,7000
213,29/09/2023,7100,6900,7000,6900,31820,6900
214,02/10/2023,7000,6800,6900,6900,43604,6900
215,03/10/2023,6800,6300,6800,6400,157811,6400
216,04/10/2023,6900,6100,6400,6700,108014,6700
217,05/10/2023,6700,6400,6700,6500,30001,6500
218,06/10/2023,6700,6300,6400,6500,54344,6500
219,09/10/2023,6600,6400,6600,6400,30974,6400
220,10/10/2023,6700,6400,6600,6600,49144,6600
221,11/10/2023,6800,6500,6500,6800,49200,6800
222,12/10/2023,7100,6800,6800,7000,152400,7000
223,13/10/2023,7000,6700,7000,6800,54000,6800
224,16/10/2023,7200,6600,7000,6800,20646,6800
225,17/10/2023,6900,6600,6900,6600,27618,6600
226,18/10/2023,6700,6300,6600,6400,37903,6400
227,19/10/2023,6600,6100,6400,6200,36402,6200
228,20/10/2023,6500,6100,6200,6400,49600,6400
229,23/10/2023,6500,6200,6500,6500,46055,6500
230,24/10/2023,6500,6300,6400,6500,18400,6500
231,25/10/2023,6700,6300,6600,6400,18203,6400
232,26/10/2023,6300,5800,6300,5900,106248,5900
233,27/10/2023,6000,5800,6000,6000,10200,6000
234,30/10/2023,6000,5800,5800,5900,12601,5900
235,31/10/2023,5900,5500,5800,5700,19800,5700
236,01/11/2023,5900,5400,5400,5700,10204,5700
237,02/11/2023,6200,5800,5900,6200,42729,6200
238,03/11/2023,6200,6000,6200,6200,40103,6200
239,06/11/2023,6200,6100,6100,6200,19204,6200
240,07/11/2023,6200,6000,6200,6100,11900,6100
241,08/11/2023,6400,5900,6100,6400,60911,6400
242,09/11/2023,6700,6400,6500,6500,57512,6500
243,10/11/2023,6500,6300,6400,6500,54306,6500
244,13/11/2023,6600,6300,6500,6400,31900,6400
245,14/11/2023,6700,6400,6700,6500,25500,6500
246,15/11/2023,7100,6500,7100,6600,30012,6600
