,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12850,12050,12500,12850,4830700,12600
1,22/11/2022,13700,12600,12950,12800,9443600,12500
2,23/11/2022,13000,11950,12600,11950,3999000,11700
3,24/11/2022,12200,11400,11500,11950,2992600,11700
4,25/11/2022,12750,12100,12300,12750,4376400,12500
5,28/11/2022,13600,13150,13150,13600,7652400,13300
6,29/11/2022,14350,13100,14000,14200,7267900,13900
7,30/11/2022,14650,13800,14550,14350,5581100,14000
8,01/12/2022,15350,14500,14650,14500,12307900,14200
9,02/12/2022,15500,13800,14300,15500,7818800,15200
10,05/12/2022,16000,15100,16000,15250,10099000,14900
11,06/12/2022,15200,14200,14950,14200,9148300,13900
12,07/12/2022,14150,13250,13800,13250,8342400,13000
13,08/12/2022,14150,13500,13550,13900,5209200,13600
14,09/12/2022,14700,13550,14000,14300,5667200,14000
15,12/12/2022,15000,13500,14500,13800,8601900,13500
16,13/12/2022,14400,13650,13800,14400,4476100,14100
17,14/12/2022,14900,14400,14800,14450,5408000,14100
18,15/12/2022,14800,14400,14650,14600,3818300,14300
19,16/12/2022,15400,14250,14250,15000,7377600,14700
20,19/12/2022,15500,14400,15000,14400,9196800,14100
21,20/12/2022,14500,13400,14400,13400,10165700,13100
22,21/12/2022,13800,12500,13800,12800,5817200,12500
23,22/12/2022,13300,12600,13300,13300,3301600,13000
24,23/12/2022,13400,12950,13300,13000,2876400,12700
25,26/12/2022,13250,12200,13100,12200,4208500,11900
26,27/12/2022,12900,12250,12550,12850,3156600,12600
27,28/12/2022,13300,12700,13100,13000,2234000,12700
28,29/12/2022,13300,12800,12850,13000,2330300,12700
29,30/12/2022,13100,12900,13050,12900,1486900,12600
30,03/01/2023,13800,12950,12950,13800,4711700,13500
31,04/01/2023,14350,13750,14150,13850,3853800,13600
32,05/01/2023,14000,13550,13900,13900,2689300,13600
33,06/01/2023,14100,13450,13900,13450,4854800,13200
34,09/01/2023,13950,13550,13600,13650,2215300,13400
35,10/01/2023,14250,13350,13850,14000,3668600,13700
36,11/01/2023,14350,13900,14200,14000,3309400,13700
37,12/01/2023,14100,13700,14100,13800,1964900,13500
38,13/01/2023,14200,13700,14000,13700,3054900,13400
39,16/01/2023,13950,13600,13800,13900,1779500,13600
40,17/01/2023,14800,13900,13900,14600,5623900,14300
41,18/01/2023,15000,14550,14800,14800,3991400,14500
42,19/01/2023,14850,14500,14650,14650,3412800,14300
43,27/01/2023,15200,14600,14850,14800,4322700,14500
44,30/01/2023,15650,14650,14900,15250,6584500,14900
45,31/01/2023,15350,14850,15250,15350,3902500,15000
46,01/02/2023,15500,14300,15400,14300,7425300,14000
47,02/02/2023,14500,13400,14300,13850,5407700,13600
48,03/02/2023,14400,13850,14100,13950,2461400,13700
49,06/02/2023,14200,13750,13950,13900,1408000,13600
50,07/02/2023,14100,13450,14050,13500,2434000,13200
51,08/02/2023,13950,13350,13750,13850,2758900,13600
52,09/02/2023,13900,13650,13850,13750,1175000,13500
53,10/02/2023,13750,13400,13700,13400,1749000,13100
54,13/02/2023,13200,12550,13200,12600,4377800,12300
55,14/02/2023,12950,12600,12850,12650,1754900,12400
56,15/02/2023,13350,12650,12650,13100,1936000,12800
57,16/02/2023,13400,13150,13400,13400,1471100,13100
58,17/02/2023,13750,13350,13400,13500,2255000,13200
59,20/02/2023,14300,13550,13550,14300,3525600,14000
60,21/02/2023,14550,14150,14500,14200,3805300,13900
61,22/02/2023,14150,13500,13950,13500,3662300,13200
62,23/02/2023,13650,13000,13500,13500,2814100,13200
63,24/02/2023,13650,13150,13650,13150,1366400,12900
64,27/02/2023,13450,12850,13000,12950,1975400,12700
65,28/02/2023,13400,12900,13400,12950,1292800,12700
66,01/03/2023,13400,12700,12900,13400,2296800,13100
67,02/03/2023,13650,13200,13400,13250,1178600,13000
68,03/03/2023,13450,13000,13300,13000,2348900,12700
69,06/03/2023,13600,13200,13400,13250,1961500,13000
70,07/03/2023,13450,13200,13350,13300,1419200,13000
71,08/03/2023,13550,13100,13250,13500,1997400,13200
72,09/03/2023,13900,13550,13650,13800,3698000,13500
73,10/03/2023,13800,13500,13550,13500,2017500,13200
74,13/03/2023,14100,13400,13450,13850,4319700,13600
75,14/03/2023,13900,13450,13850,13650,2354700,13400
76,15/03/2023,14550,13950,14000,14400,6309500,14100
77,16/03/2023,14300,13950,14200,14000,2937200,13700
78,17/03/2023,14350,14050,14300,14100,2947900,13800
79,20/03/2023,14900,14150,14150,14300,9678500,14000
80,21/03/2023,14550,14200,14500,14350,3297200,14000
81,22/03/2023,14750,14100,14550,14200,4891100,13900
82,23/03/2023,14450,14100,14150,14450,2521900,14100
83,24/03/2023,14700,14450,14550,14500,3106500,14200
84,27/03/2023,14750,14450,14550,14700,3559200,14400
85,28/03/2023,14950,14600,14750,14650,6431000,14300
86,29/03/2023,15350,14500,14600,15000,7799900,14700
87,30/03/2023,15200,14800,15100,14800,5996800,14500
88,31/03/2023,14900,14500,14800,14600,4061500,14300
89,03/04/2023,15300,14800,14950,15150,5746200,14800
90,04/04/2023,15750,15350,15450,15500,6651100,15200
91,05/04/2023,15750,15300,15500,15700,5473200,15400
92,06/04/2023,16200,15250,15800,15250,7970900,14900
93,07/04/2023,15400,15000,15300,15350,5063500,15000
94,10/04/2023,15650,15000,15500,15050,8504800,14700
95,11/04/2023,15200,14750,14950,15200,5284200,14900
96,12/04/2023,15350,15000,15300,15000,5605900,14700
97,13/04/2023,15700,15000,15100,15400,11107100,15100
98,14/04/2023,15700,14900,15700,14900,5968600,14600
99,17/04/2023,15000,14500,14900,14700,5048100,14400
100,18/04/2023,15100,14550,14750,14900,3416500,14600
101,19/04/2023,15050,14550,14950,14550,2901700,14200
102,20/04/2023,14700,14500,14550,14500,2135900,14200
103,21/04/2023,14650,14300,14500,14300,4761700,14000
104,24/04/2023,14500,14200,14350,14300,2790200,14000
105,25/04/2023,14550,14200,14350,14200,2536900,13900
106,26/04/2023,14350,13800,14200,14150,4922800,13800
107,27/04/2023,14450,14200,14250,14200,3622000,13900
108,28/04/2023,14600,14300,14300,14450,5583800,14100
109,04/05/2023,14700,14350,14400,14550,3796100,14200
110,05/05/2023,14600,14250,14550,14300,3822200,14000
111,08/05/2023,14600,14300,14450,14600,4234300,14300
112,09/05/2023,14800,14500,14600,14650,2862700,14300
113,10/05/2023,15150,14650,14650,15100,6638800,14800
114,11/05/2023,15400,15050,15150,15150,6465300,14800
115,12/05/2023,15250,15000,15150,15100,4719100,14800
116,15/05/2023,15650,15000,15150,15150,6234100,14800
117,16/05/2023,15300,14950,15300,15000,4318000,14700
118,17/05/2023,15300,14750,15000,14750,5409900,14400
119,18/05/2023,14950,14700,14850,14750,3200600,14400
120,19/05/2023,15300,14750,14850,15050,4493900,14700
121,22/05/2023,16100,15100,15250,16100,21487500,15800
122,23/05/2023,16450,15900,16350,16250,9529100,15900
123,24/05/2023,17250,16050,16400,16650,15178200,16300
124,25/05/2023,17200,16600,16700,16750,11311000,16400
125,26/05/2023,17700,16750,16750,17300,12991600,16900
126,29/05/2023,17650,17200,17450,17550,9287400,17200
127,30/05/2023,17700,17000,17700,17550,11685900,17200
128,31/05/2023,18150,17500,17600,17600,7617800,17200
129,01/06/2023,17650,17200,17650,17500,8442200,17100
130,02/06/2023,18300,17400,17650,18200,11071600,17800
