,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,31600,27550,27550,31600,300,30100
1,22/11/2022,29550,29550,29550,29550,100,28200
2,23/11/2022,27800,27600,27600,27800,700,26500
3,24/11/2022,29700,26050,26050,28050,300,26800
4,25/11/2022,28050,28050,28050,28050,-,26800
5,28/11/2022,28050,28050,28050,28050,-,26800
6,29/11/2022,30000,28500,28500,28550,600,27200
7,30/11/2022,28550,28550,28550,28550,-,27200
8,01/12/2022,28550,28550,28550,28550,-,27200
9,02/12/2022,30500,28050,30500,28050,200,26800
10,05/12/2022,30000,29950,29950,30000,1200,28600
11,06/12/2022,30000,28400,30000,28400,200,27100
12,07/12/2022,30350,26550,26550,28050,600,26800
13,08/12/2022,30000,29500,30000,29500,200,28100
14,09/12/2022,29500,28550,29500,28550,500,27200
15,12/12/2022,27900,27900,27900,27900,100,26600
16,13/12/2022,29850,28250,28250,29850,400,28500
17,14/12/2022,27900,27900,27900,27900,100,26600
18,15/12/2022,29850,27900,27900,29850,1600,28500
19,16/12/2022,29050,29050,29050,29050,100,27700
20,19/12/2022,31000,27100,27100,28050,400,26800
21,20/12/2022,28050,26200,28050,26200,200,25000
22,21/12/2022,28000,28000,28000,28000,100,26700
23,22/12/2022,26250,26250,26250,26250,100,25000
24,23/12/2022,26250,26250,26250,26250,-,25000
25,26/12/2022,26900,26900,26900,26900,900,25700
26,27/12/2022,26900,26900,26900,26900,-,25700
27,28/12/2022,28750,26750,27200,26950,1400,25700
28,29/12/2022,26650,26650,26650,26650,100,25400
29,30/12/2022,28500,28500,28500,28500,100,27200
30,03/01/2023,29100,26900,26900,29100,300,27800
31,04/01/2023,28050,28050,28050,28050,100,26800
32,05/01/2023,30000,30000,30000,30000,100,28600
33,06/01/2023,28050,28050,28050,28050,100,26800
34,09/01/2023,28050,28050,28050,28050,-,26800
35,10/01/2023,28050,28050,28050,28050,-,26800
36,11/01/2023,30000,29950,30000,29950,300,28600
37,12/01/2023,29950,29950,29950,29950,-,28600
38,13/01/2023,31850,29150,29150,31850,300,30400
39,16/01/2023,33950,29650,29700,33950,300,32400
40,17/01/2023,31750,31700,31700,31750,500,30300
41,18/01/2023,31100,31100,31100,31100,200,29700
42,19/01/2023,32000,32000,32000,32000,400,30500
43,27/01/2023,31000,31000,31000,31000,100,29600
44,30/01/2023,31000,31000,31000,31000,-,29600
45,31/01/2023,31000,31000,31000,31000,-,29600
46,01/02/2023,31000,31000,31000,31000,-,29600
47,02/02/2023,33150,33000,33000,33150,1000,31600
48,03/02/2023,33150,33150,33150,33150,-,31600
49,06/02/2023,35000,35000,35000,35000,100,33400
50,07/02/2023,35000,35000,35000,35000,-,33400
51,08/02/2023,35000,35000,35000,35000,-,33400
52,09/02/2023,35000,35000,35000,35000,-,33400
53,10/02/2023,35000,35000,35000,35000,-,33400
54,13/02/2023,35000,35000,35000,35000,-,33400
55,14/02/2023,35000,35000,35000,35000,-,33400
56,15/02/2023,35000,35000,35000,35000,-,33400
57,16/02/2023,35000,35000,35000,35000,-,33400
58,17/02/2023,35000,35000,35000,35000,-,33400
59,20/02/2023,35000,35000,35000,35000,-,33400
60,21/02/2023,35000,35000,35000,35000,-,33400
61,22/02/2023,35000,35000,35000,35000,-,33400
62,23/02/2023,35000,35000,35000,35000,-,33400
63,24/02/2023,35000,35000,35000,35000,-,33400
64,27/02/2023,37450,34000,34000,37450,900,35700
65,28/02/2023,37450,37450,37450,37450,-,35700
66,01/03/2023,34850,34850,34850,34850,100,33200
67,02/03/2023,32450,32450,32450,32450,500,31000
68,03/03/2023,34000,34000,34000,34000,100,32400
69,06/03/2023,34000,34000,34000,34000,-,32400
70,07/03/2023,34000,34000,34000,34000,-,32400
71,08/03/2023,34000,34000,34000,34000,-,32400
72,09/03/2023,34000,34000,34000,34000,100,32400
73,10/03/2023,33800,33800,33800,33800,100,32200
74,13/03/2023,33800,33800,33800,33800,-,32200
75,14/03/2023,31450,31450,31450,31450,100,30000
76,15/03/2023,29450,29450,29450,29450,100,28100
77,16/03/2023,29450,29400,29450,29400,300,28000
78,17/03/2023,28850,28850,28850,28850,100,27500
79,20/03/2023,30300,30300,30300,30300,400,28900
80,21/03/2023,32000,30050,30050,32000,200,30500
81,22/03/2023,30100,30100,30100,30100,100,28700
82,23/03/2023,28600,28600,28600,28600,100,27300
83,24/03/2023,28050,28050,28050,28050,100,26800
84,27/03/2023,28050,28050,28050,28050,-,26800
