,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5430,5010,5010,5200,23200,5200
1,22/11/2022,5490,5050,5200,5230,50900,5200
2,23/11/2022,5230,5000,5100,5000,30300,5000
3,24/11/2022,5340,5090,5100,5120,55200,5100
4,25/11/2022,5290,5060,5060,5200,54700,5200
5,28/11/2022,5400,5200,5200,5310,70200,5300
6,29/11/2022,5450,5220,5450,5310,44800,5300
7,30/11/2022,5490,5300,5410,5470,50400,5500
8,01/12/2022,5800,5500,5520,5550,191400,5600
9,02/12/2022,5750,5560,5670,5640,82300,5600
10,05/12/2022,5890,5610,5890,5620,75500,5600
11,06/12/2022,5680,5360,5620,5420,103200,5400
12,07/12/2022,5450,5200,5200,5330,82400,5300
13,08/12/2022,5490,5300,5480,5440,32700,5400
14,09/12/2022,5680,5290,5680,5300,10300,5300
15,12/12/2022,5400,5250,5250,5300,50300,5300
16,13/12/2022,5400,5210,5300,5300,36800,5300
17,14/12/2022,5580,5300,5310,5440,41100,5400
18,15/12/2022,5500,5350,5450,5500,32700,5500
19,16/12/2022,5500,5400,5500,5490,26100,5500
20,19/12/2022,5600,5250,5370,5450,137300,5500
21,20/12/2022,5450,5200,5440,5300,74000,5300
22,21/12/2022,5400,5300,5300,5300,71500,5300
23,22/12/2022,5350,5300,5310,5340,38400,5300
24,23/12/2022,5390,5300,5310,5340,22500,5300
25,26/12/2022,5390,5290,5300,5340,89600,5300
26,27/12/2022,5710,5220,5300,5410,47200,5400
27,28/12/2022,5600,5400,5590,5500,79400,5500
28,29/12/2022,5600,5500,5590,5600,44200,5600
29,30/12/2022,5990,5590,5590,5990,143900,6000
30,03/01/2023,6390,6100,6390,6100,69900,6100
31,04/01/2023,6190,5800,6110,6000,58700,6000
32,05/01/2023,6100,5610,6100,6100,75500,6100
33,06/01/2023,6370,5800,5900,5990,15600,6000
34,09/01/2023,5980,5700,5800,5950,24000,6000
35,10/01/2023,6100,5710,5800,5710,5100,5700
36,11/01/2023,5840,5670,5680,5840,10500,5800
37,12/01/2023,5880,5720,5860,5880,18600,5900
38,13/01/2023,5750,5710,5710,5720,24500,5700
39,16/01/2023,5720,5350,5720,5690,11500,5700
40,17/01/2023,5670,5500,5600,5520,11400,5500
41,18/01/2023,5750,5500,5510,5750,9300,5800
42,19/01/2023,5750,5600,5740,5750,8300,5800
43,27/01/2023,5820,5610,5750,5750,12200,5800
