,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,15500,15400,15400,15400,7100,15100
1,22/11/2022,15250,14500,14500,15250,1200,14900
2,23/11/2022,14800,14200,14700,14500,10000,14200
3,24/11/2022,14400,13600,14050,13700,24600,13400
4,25/11/2022,14500,13550,13550,14500,35600,14200
5,28/11/2022,14750,14200,14750,14650,7300,14300
6,29/11/2022,14700,14250,14250,14700,800,14400
7,30/11/2022,14700,13700,14650,14700,4000,14400
8,01/12/2022,15000,14800,14800,14900,54400,14600
9,02/12/2022,15500,14000,14000,14500,32600,14200
10,05/12/2022,14950,14000,14450,14950,10600,14600
11,06/12/2022,14950,14100,14450,14950,25200,14600
12,07/12/2022,14950,14900,14950,14950,500,14600
13,08/12/2022,14900,14200,14850,14200,16300,13900
14,09/12/2022,14800,13800,14050,13850,4700,13500
15,12/12/2022,14700,13950,13950,14700,10500,14400
16,13/12/2022,14700,14200,14250,14700,2500,14400
17,14/12/2022,14700,14400,14400,14700,2400,14400
18,15/12/2022,14700,14300,14300,14700,2100,14400
19,16/12/2022,14700,14500,14700,14700,5900,14400
20,19/12/2022,15000,14700,14700,14800,72000,14500
21,20/12/2022,14900,14100,14400,14900,7200,14600
22,21/12/2022,15000,14300,14300,15000,3400,14700
23,22/12/2022,15000,14600,14600,15000,4600,14700
24,23/12/2022,15000,13950,14600,13950,21600,13600
25,26/12/2022,14750,14000,14750,14650,1900,14300
26,27/12/2022,14650,13700,14650,13700,1900,13400
27,28/12/2022,14450,14100,14200,14450,3400,14100
28,29/12/2022,14300,14300,14300,14300,100,14000
29,30/12/2022,14400,14350,14350,14400,900,14100
30,03/01/2023,14700,13900,14400,14200,13800,13900
31,04/01/2023,14200,14200,14200,14200,200,13900
32,05/01/2023,14200,14150,14200,14150,1500,13800
33,06/01/2023,14150,14100,14150,14100,900,13800
34,09/01/2023,13850,13850,13850,13850,8100,13500
35,10/01/2023,14300,13850,13850,14300,4300,14000
36,11/01/2023,14400,14250,14250,14400,2800,14100
37,12/01/2023,14400,14400,14400,14400,400,14100
38,13/01/2023,14400,14000,14400,14300,1700,14000
39,16/01/2023,14500,13450,14500,14400,17900,14100
40,17/01/2023,14500,14400,14400,14400,6000,14100
41,18/01/2023,14500,14000,14350,14500,12900,14200
42,19/01/2023,14500,14000,14000,14500,200,14200
43,27/01/2023,14600,14150,14150,14500,8900,14200
44,30/01/2023,14450,14000,14450,14200,11100,13900
45,31/01/2023,14350,14350,14350,14350,100,14000
46,01/02/2023,14450,14300,14350,14450,1700,14100
47,02/02/2023,14350,14000,14100,14300,5100,14000
48,03/02/2023,14300,13900,13900,14300,8800,14000
49,06/02/2023,14400,14300,14300,14300,23200,14000
50,07/02/2023,14300,14000,14300,14250,2300,13900
51,08/02/2023,14250,14200,14200,14200,12600,13900
52,09/02/2023,14200,14100,14200,14100,5200,13800
53,10/02/2023,14200,14000,14100,14200,7700,13900
54,13/02/2023,14500,13950,14000,14500,11500,14200
55,14/02/2023,14400,14000,14000,14400,600,14100
56,15/02/2023,14400,14400,14400,14400,-,14100
57,16/02/2023,14350,13800,14000,13900,44800,13600
58,17/02/2023,14050,14050,14050,14050,200,13700
59,20/02/2023,14150,13900,14000,14000,10200,13700
60,21/02/2023,14300,14100,14100,14250,10400,13900
61,22/02/2023,14300,14200,14300,14300,1300,14000
62,23/02/2023,14300,14300,14300,14300,-,14000
63,24/02/2023,14300,13850,14250,14200,5100,13900
64,27/02/2023,14300,13900,13900,14200,7600,13900
65,28/02/2023,14300,14100,14250,14100,8300,13800
66,01/03/2023,14150,13900,13900,14150,8600,13800
67,02/03/2023,14100,14100,14100,14100,100,13800
68,03/03/2023,14100,14100,14100,14100,-,13800
69,06/03/2023,14200,14050,14050,14200,700,13900
70,07/03/2023,14300,13850,13850,14300,600,14000
71,08/03/2023,14200,13950,14150,14200,20100,13900
72,09/03/2023,14100,13800,14000,14000,15300,13700
73,10/03/2023,14200,13850,13900,13950,5500,13600
74,13/03/2023,14000,13950,13950,14000,700,13700
75,14/03/2023,14500,13800,14200,13800,9900,13500
76,15/03/2023,14200,13650,13650,14200,1800,13900
77,16/03/2023,14250,14200,14250,14200,400,13900
78,17/03/2023,13900,13900,13900,13900,100,13600
79,20/03/2023,14200,14100,14200,14100,5300,13800
80,21/03/2023,14150,14100,14100,14100,5200,13800
81,22/03/2023,14100,14100,14100,14100,-,13800
82,23/03/2023,14200,14000,14200,14200,900,13900
83,24/03/2023,14700,13900,14100,14500,15600,14200
84,27/03/2023,14500,14200,14500,14250,1700,13900
85,28/03/2023,14400,13900,14000,14000,9900,13700
86,29/03/2023,14500,14300,14300,14300,3900,14000
87,30/03/2023,14500,14300,14500,14300,6500,14000
88,31/03/2023,14000,13350,14000,13350,100000,13000
89,03/04/2023,14250,13800,13800,14250,12600,13900
90,04/04/2023,14250,13900,14250,14100,23700,13800
91,05/04/2023,14100,13900,13900,14100,5000,13800
92,06/04/2023,14200,14050,14050,14200,11100,13900
93,07/04/2023,14100,14050,14050,14100,10100,13800
94,10/04/2023,14100,13950,14100,14100,21600,13800
95,11/04/2023,14150,13950,13950,14150,11700,13800
96,12/04/2023,14200,13900,14200,14100,2100,13800
97,13/04/2023,14100,14100,14100,14100,4500,13800
98,14/04/2023,13900,13900,13900,13900,4200,13600
99,17/04/2023,14000,13800,13800,14000,3900,13700
100,18/04/2023,14200,13900,14000,14100,11500,13800
101,19/04/2023,14100,13800,13800,14100,5200,13800
102,20/04/2023,14100,14100,14100,14100,-,13800
103,21/04/2023,14000,13700,13800,13700,4300,13400
104,24/04/2023,14150,13800,13800,13800,5700,13500
105,25/04/2023,14700,13300,13300,14700,14300,14400
106,26/04/2023,14350,14300,14350,14300,2200,14000
107,27/04/2023,13900,13900,13900,13900,100,13600
108,28/04/2023,13950,13950,13950,13950,1300,13600
109,04/05/2023,14050,13800,13800,14000,4900,13700
110,05/05/2023,14000,13800,13800,13800,12600,13500
111,08/05/2023,14100,13800,14100,13800,4300,13500
112,09/05/2023,14100,13700,13800,14100,1600,13800
113,10/05/2023,14200,13750,13750,14150,6300,13800
114,11/05/2023,14150,13800,14150,14150,4400,13800
115,12/05/2023,14150,13700,14150,13900,8000,13600
116,15/05/2023,14000,13900,13950,14000,800,13700
117,16/05/2023,14000,13800,14000,13850,6700,13500
118,17/05/2023,14100,13900,13900,14000,10300,13700
119,18/05/2023,14100,14100,14100,14100,100,13800
120,19/05/2023,14050,13800,13800,14050,2600,13700
121,22/05/2023,14100,13800,13800,13850,18900,13500
122,23/05/2023,14000,13700,13850,13800,54400,13500
123,24/05/2023,13850,13750,13750,13800,15900,13500
124,25/05/2023,14000,13650,13700,13850,45000,13500
125,26/05/2023,13950,13750,13850,13750,34400,13400
126,29/05/2023,13950,13850,13950,13850,600,13500
127,30/05/2023,13900,13700,13850,13700,3700,13400
128,31/05/2023,13900,13700,13900,13900,7700,13600
129,01/06/2023,13900,13550,13900,13850,4000,13500
130,02/06/2023,13950,13750,13750,13950,8800,13600
131,05/06/2023,13950,13650,13650,13900,3600,13600
132,06/06/2023,13800,13550,13800,13550,6900,13200
133,07/06/2023,13900,13800,13900,13800,17600,13500
134,08/06/2023,13950,13800,13800,13800,10500,13500
135,09/06/2023,13800,13600,13800,13600,4300,13300
136,12/06/2023,13950,13600,13600,13950,900,13600
137,13/06/2023,14000,13600,13850,14000,20600,13700
138,14/06/2023,14000,13800,13950,13900,6100,13600
139,15/06/2023,14000,13600,13600,14000,2800,13700
140,16/06/2023,14000,13650,13650,14000,18500,13700
141,19/06/2023,14000,14000,14000,14000,-,13700
142,20/06/2023,14000,13600,13800,14000,4200,13700
143,21/06/2023,14000,13900,13900,13950,1900,13600
144,22/06/2023,13950,13900,13900,13950,3700,13600
145,23/06/2023,13950,13800,13950,13800,4000,13500
146,26/06/2023,13950,13800,13950,13800,11900,13500
147,27/06/2023,14200,13800,13800,14100,9500,13800
148,28/06/2023,14100,13800,14100,14100,15400,13800
149,29/06/2023,14000,14000,14000,14000,100,13700
150,30/06/2023,14000,13800,14000,14000,8500,13700
151,03/07/2023,14000,14000,14000,14000,30700,13700
152,04/07/2023,14000,13750,13850,14000,11000,13700
153,05/07/2023,14100,14000,14000,14050,12800,13700
154,06/07/2023,14050,13800,13900,13850,6200,13500
155,07/07/2023,14000,13850,13900,14000,4000,13700
156,10/07/2023,14100,13950,14000,14050,15200,13700
157,11/07/2023,14100,13950,14000,14050,12500,13700
158,12/07/2023,14050,13950,14050,14000,7700,13700
159,13/07/2023,14000,13900,13950,14000,12800,13700
160,14/07/2023,14050,13900,14000,14000,3500,13700
161,17/07/2023,14050,14000,14000,14050,14800,13700
162,18/07/2023,14050,14050,14050,14050,2100,13700
163,19/07/2023,14050,13850,14050,13850,6400,13500
164,20/07/2023,13850,13850,13850,13850,5300,13500
165,21/07/2023,14100,14000,14000,14000,11600,13700
166,24/07/2023,14100,14000,14000,14050,5500,13700
167,25/07/2023,14050,14000,14000,14000,17800,13700
168,26/07/2023,14100,13950,14100,13950,7500,13600
169,27/07/2023,14000,13950,14000,13950,13800,13600
170,28/07/2023,14000,13950,13950,14000,18800,13700
171,31/07/2023,14200,13900,14200,13900,13400,13600
172,01/08/2023,14000,13850,13900,13900,37300,13600
173,02/08/2023,14000,13900,13900,13950,4900,13600
174,03/08/2023,14200,13950,13950,14100,9100,13800
175,04/08/2023,14300,14000,14050,14200,42700,13900
176,07/08/2023,14400,14200,14300,14300,4700,14000
177,08/08/2023,14500,14000,14050,14400,88100,14100
178,09/08/2023,14500,14000,14000,14500,448800,14200
179,10/08/2023,14600,14300,14500,14450,258200,14100
180,11/08/2023,14500,14000,14500,14200,51300,13900
181,14/08/2023,14000,13900,14000,14000,89300,13700
182,15/08/2023,13950,13700,13950,13950,84700,13600
183,16/08/2023,14000,13700,13900,14000,62900,13700
184,17/08/2023,13900,13650,13900,13700,88100,13400
185,18/08/2023,13650,13300,13650,13650,55200,13300
186,21/08/2023,13800,13400,13550,13500,6700,13200
187,22/08/2023,13700,13300,13400,13700,8600,13400
188,23/08/2023,13550,13400,13500,13400,17300,13100
189,24/08/2023,13550,13350,13450,13550,4100,13200
190,25/08/2023,13650,13400,13500,13650,3300,13300
191,28/08/2023,13650,13350,13550,13350,19600,13000
192,29/08/2023,13600,13250,13250,13600,49100,13300
193,30/08/2023,13600,13300,13600,13600,5500,13300
194,31/08/2023,13600,13300,13500,13350,13400,13000
195,05/09/2023,13450,13250,13300,13400,27400,13100
196,06/09/2023,13600,12750,13600,13450,57600,13100
197,07/09/2023,13600,13450,13600,13450,7500,13100
198,08/09/2023,13450,13350,13450,13400,9700,13100
199,11/09/2023,13500,13400,13400,13400,33700,13100
200,12/09/2023,13650,13400,13400,13500,12000,13200
201,13/09/2023,13500,13150,13500,13350,76300,13000
202,14/09/2023,13350,13000,13350,13350,29000,13000
203,15/09/2023,13350,13200,13350,13300,12000,13000
204,18/09/2023,13250,12900,13250,12900,13900,12900
205,19/09/2023,12950,12800,12950,12900,11200,12900
206,20/09/2023,13000,12800,12950,12950,23500,13000
207,21/09/2023,12950,12050,12950,12950,17500,13000
208,22/09/2023,13100,12600,12950,12950,11300,13000
209,25/09/2023,12950,12500,12950,12750,43700,12800
210,26/09/2023,12750,12450,12750,12750,5200,12800
211,27/09/2023,12750,12100,12750,12450,12300,12500
212,28/09/2023,12400,12200,12400,12400,8700,12400
213,29/09/2023,12600,12400,12400,12600,23500,12600
214,02/10/2023,12700,12400,12600,12700,19800,12700
215,03/10/2023,12700,12400,12600,12700,13600,12700
216,04/10/2023,12700,12450,12700,12700,3800,12700
217,05/10/2023,12850,12300,12850,12750,7800,12800
218,06/10/2023,12800,12500,12500,12800,3900,12800
219,09/10/2023,12800,12600,12800,12750,3900,12800
220,10/10/2023,12700,12550,12550,12700,5400,12700
221,11/10/2023,12700,12550,12700,12700,3100,12700
222,12/10/2023,12900,12700,12750,12900,4000,12900
223,13/10/2023,12800,12450,12500,12800,9100,12800
224,16/10/2023,13000,12800,13000,12800,3500,12800
225,17/10/2023,12750,12750,12750,12750,100,12800
226,18/10/2023,12750,12400,12500,12750,7200,12800
227,19/10/2023,12700,12100,12500,12150,26000,12200
228,20/10/2023,12400,12150,12150,12400,2100,12400
229,23/10/2023,12600,12400,12500,12600,22300,12600
230,24/10/2023,12700,12200,12200,12650,900,12700
231,25/10/2023,12650,12400,12650,12450,16800,12500
232,26/10/2023,12300,12000,12300,12250,5900,12300
233,27/10/2023,12250,12000,12200,12000,15600,12000
234,30/10/2023,12150,11950,12150,11950,1200,12000
235,31/10/2023,12350,12000,12300,12100,2400,12100
236,01/11/2023,12200,11850,11900,12100,4100,12100
237,02/11/2023,12200,11900,11900,12100,8100,12100
238,03/11/2023,12200,12050,12200,12050,400,12100
239,06/11/2023,12200,12050,12050,12200,10100,12200
240,07/11/2023,12200,12200,12200,12200,7200,12200
241,08/11/2023,12300,12050,12050,12300,3900,12300
242,09/11/2023,12350,12050,12300,12150,13400,12200
243,10/11/2023,12250,12050,12150,12050,7700,12100
244,13/11/2023,12050,12000,12050,12050,3200,12100
245,14/11/2023,12050,11900,12050,12050,2500,12100
246,15/11/2023,12050,11950,12050,12000,3300,12000
247,16/11/2023,12050,11950,12000,12050,8700,12100
248,17/11/2023,12050,11900,12050,11900,16500,11900
249,20/11/2023,11900,11700,11700,11750,4000,11800
