,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,28800,27500,28500,27900,522000,25200
1,22/11/2022,29100,27600,27600,28700,604400,25900
2,23/11/2022,29500,28400,29300,28400,363600,25600
3,24/11/2022,28450,27500,28250,27800,368500,25100
4,25/11/2022,28900,27750,28500,28600,332300,25800
5,28/11/2022,30600,28900,29300,30600,446100,27600
6,29/11/2022,32700,30000,31400,32700,578300,29500
7,30/11/2022,33300,32250,33300,32600,347900,29400
8,01/12/2022,33500,32500,33200,32600,702400,29400
9,02/12/2022,33300,31500,33000,33100,367500,29900
10,05/12/2022,34000,32800,33500,32900,349200,29700
11,06/12/2022,35200,32150,32700,33850,763500,30500
12,07/12/2022,34000,32500,33700,33550,248000,30300
13,08/12/2022,34500,33200,33950,33800,305300,30500
14,09/12/2022,33800,32500,33800,33000,196400,29800
15,12/12/2022,34200,33000,33200,33400,290200,30100
16,13/12/2022,34300,33100,33200,34000,210100,30700
17,14/12/2022,35500,34100,35000,34400,337300,31000
18,15/12/2022,34700,33950,34500,34400,133100,31000
19,16/12/2022,34450,33500,34050,34250,282200,30900
20,19/12/2022,35000,33800,34250,33800,237200,30500
21,20/12/2022,33800,31700,33800,32100,530300,29000
22,21/12/2022,32500,29900,32250,30300,465200,27300
23,22/12/2022,31000,29800,30650,30500,220500,27500
24,23/12/2022,31150,30300,30500,30800,173500,27800
25,26/12/2022,30900,29000,30900,29700,301800,26800
26,27/12/2022,30500,29000,29000,30400,101500,27400
27,28/12/2022,30850,30200,30850,30450,104600,27500
28,29/12/2022,30650,30250,30450,30450,76900,27500
29,30/12/2022,30500,29900,30500,30300,121800,27300
30,03/01/2023,31500,30450,30450,31500,195700,28400
31,04/01/2023,32200,31500,31900,31500,139800,28400
32,05/01/2023,31900,31450,31500,31600,139500,28500
33,06/01/2023,31900,31000,31650,31300,123900,28200
34,09/01/2023,31700,30800,31300,31100,233500,28100
35,10/01/2023,31100,30650,30700,30800,111200,27800
36,11/01/2023,31200,30900,31100,31000,116800,28000
37,12/01/2023,31800,31000,31550,31600,164300,28500
38,13/01/2023,32200,31600,31600,31800,327700,28700
39,16/01/2023,32000,31650,31800,32000,121900,28900
40,17/01/2023,32300,31750,31950,32200,218100,29000
41,18/01/2023,32150,31200,32100,31700,518900,28600
42,19/01/2023,32900,31600,31600,32800,336800,29600
43,27/01/2023,33500,32700,33300,32800,253700,29600
44,30/01/2023,33500,32800,32950,33100,697600,29900
45,31/01/2023,32800,32000,32500,32600,220400,30300
46,01/02/2023,33650,32050,32800,32050,508300,29800
47,02/02/2023,32050,30900,32050,30900,397700,28700
48,03/02/2023,31200,30150,31000,30900,215200,28700
49,06/02/2023,30900,30000,30900,30300,183900,28200
50,07/02/2023,30650,29700,30400,29750,250500,27700
51,08/02/2023,30300,29200,29800,29800,207200,27700
52,09/02/2023,30000,29300,29800,29400,155000,27300
53,10/02/2023,29500,29050,29400,29050,126400,27000
54,13/02/2023,29100,27700,29100,28100,251000,26100
55,14/02/2023,29700,28300,28300,29500,200600,27400
56,15/02/2023,29900,29000,29500,29450,87100,27400
57,16/02/2023,29700,29000,29500,29700,156200,27600
58,17/02/2023,29900,29350,29700,29600,84500,27500
59,20/02/2023,30100,29600,29650,30100,157500,28000
60,21/02/2023,30400,29200,30200,29750,292000,27700
61,22/02/2023,29600,29250,29500,29250,148800,27200
62,23/02/2023,29300,28150,29200,28850,470500,26800
63,24/02/2023,29100,28350,28950,28400,76000,26400
64,27/02/2023,28200,27500,28200,27500,196600,25600
65,28/02/2023,28200,26500,27600,27050,373000,25200
66,01/03/2023,27750,26900,27000,27600,92200,25700
67,02/03/2023,28000,27200,27600,27550,150800,25600
68,03/03/2023,27800,27400,27700,27400,31700,25500
69,06/03/2023,27950,27150,27700,27150,121400,25300
70,07/03/2023,27400,26350,27300,27200,205300,25300
71,08/03/2023,27250,26950,27000,27200,118400,25300
72,09/03/2023,28000,27300,27300,27900,285900,25900
73,10/03/2023,28000,27500,27500,27650,134700,25700
74,13/03/2023,27500,27150,27450,27300,104500,25400
75,14/03/2023,27300,26500,27200,26850,274900,25000
76,15/03/2023,27550,27000,27050,27550,110900,25600
77,16/03/2023,27500,26900,27300,27000,195000,25100
78,17/03/2023,27350,26900,27100,27200,104300,25300
79,20/03/2023,27400,26850,27300,26850,157200,25000
80,21/03/2023,27050,26650,27050,27000,111200,25100
81,22/03/2023,27500,27000,27000,27200,107000,25300
82,23/03/2023,27350,27050,27150,27350,78300,25400
83,24/03/2023,27700,27350,27650,27600,117000,25700
84,27/03/2023,27850,27400,27850,27700,157500,25800
85,28/03/2023,28050,27350,27700,27600,262700,25700
86,29/03/2023,27700,27450,27700,27450,75100,25500
87,30/03/2023,27600,27400,27550,27400,127500,25500
88,31/03/2023,27600,27300,27600,27400,75600,25500
89,03/04/2023,28050,27450,27700,28000,222000,26000
90,04/04/2023,28850,28000,28100,28550,331200,26600
91,05/04/2023,29500,28600,28650,29250,285300,27200
92,06/04/2023,29600,28750,29250,29000,310900,27000
93,07/04/2023,29300,28700,29250,28700,171900,26700
94,10/04/2023,29300,28450,29300,28650,346000,26600
95,11/04/2023,29250,28650,28650,29100,245900,27100
96,12/04/2023,29600,29100,29350,29200,231000,27200
97,13/04/2023,31200,29200,29200,31200,854700,29000
98,14/04/2023,32150,30750,31100,30950,515600,28800
99,17/04/2023,31050,29900,31050,30600,537200,28500
100,18/04/2023,30950,30000,30500,30250,320400,28100
101,19/04/2023,31250,30200,30500,30700,545500,28600
102,20/04/2023,31000,30300,30950,30950,449400,28800
103,21/04/2023,31500,30450,31000,30800,437400,28600
104,24/04/2023,30900,30400,30900,30750,252000,28600
