,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,42750,41000,41000,42100,327500,41500
1,22/11/2022,43500,41150,42000,42650,341900,42100
2,23/11/2022,44150,42100,42100,44100,438700,43500
3,24/11/2022,44050,42500,43900,43600,351600,43000
4,25/11/2022,45000,43650,43650,45000,225000,44400
5,28/11/2022,48150,45700,45700,48150,339600,47500
6,29/11/2022,49900,48000,49100,49600,1996910,48900
7,30/11/2022,52800,49100,50000,52500,621600,51800
8,01/12/2022,53800,49200,53100,49400,701600,48700
9,02/12/2022,52200,48000,49100,51900,331700,51200
10,05/12/2022,53600,51800,52100,52000,375600,51300
11,06/12/2022,53100,49600,51500,50300,562000,49600
12,07/12/2022,51000,47900,49750,47900,489900,47200
13,08/12/2022,51200,48750,48800,50400,514900,49700
14,09/12/2022,51700,50300,50500,51200,233300,50500
15,12/12/2022,53400,51200,51200,52500,363400,51800
16,13/12/2022,53000,51200,52600,53000,272700,52300
17,14/12/2022,54700,53000,54000,54300,337500,53600
18,15/12/2022,55800,54000,54000,55300,289200,54500
19,16/12/2022,57000,54200,54900,56900,364900,56100
20,19/12/2022,57200,54900,56900,54900,212300,54100
21,20/12/2022,54800,52300,53400,53000,444000,52300
22,21/12/2022,53900,49600,53100,51600,222900,50900
23,22/12/2022,53100,51500,52800,52000,252200,51300
24,23/12/2022,52800,51300,51500,52500,132200,51800
25,26/12/2022,52000,50000,51700,50000,273900,49300
26,27/12/2022,51000,49200,49550,51000,192500,50300
27,28/12/2022,51100,50300,50500,51000,114400,50300
28,29/12/2022,51000,50600,51000,50600,156700,49900
29,30/12/2022,51000,50000,50500,50400,60600,49700
30,03/01/2023,53000,50400,50400,53000,169400,52300
31,04/01/2023,53600,52800,53000,52900,100100,52200
32,05/01/2023,53500,52300,52900,53200,143900,52500
33,06/01/2023,53200,52500,53000,52500,139700,51800
34,09/01/2023,52900,52400,52600,52800,80500,52100
35,10/01/2023,53400,52100,52400,52500,94400,51800
36,11/01/2023,53900,52500,53000,53600,143000,52900
37,12/01/2023,54200,53500,53600,53700,59200,53000
38,13/01/2023,54700,53600,53900,53700,251700,53000
39,16/01/2023,54600,52800,54600,53700,166900,53000
40,17/01/2023,56600,53700,53900,56200,235000,55400
41,18/01/2023,60100,55500,56700,59800,483700,59000
42,19/01/2023,60900,58400,59800,58800,186800,58000
43,27/01/2023,62800,58900,59800,60700,322500,59900
44,30/01/2023,61900,60600,60700,60900,275700,60100
45,31/01/2023,62000,59600,60900,62000,197600,61100
46,01/02/2023,64000,60200,62000,61000,344500,60200
47,02/02/2023,61700,59800,60900,61200,207200,60400
