,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,20850,19750,19750,20200,14100,18500
1,22/11/2022,20950,19550,20050,20200,48100,18500
2,23/11/2022,20500,19900,20250,20000,71400,18300
3,24/11/2022,20000,19000,19700,19600,19100,17900
4,25/11/2022,20600,19600,19600,20600,80500,18800
5,28/11/2022,22000,20600,20600,22000,69300,20100
6,29/11/2022,23500,22150,22150,23000,57900,21000
7,30/11/2022,23900,23500,23900,23800,47100,21700
8,01/12/2022,25450,24500,24550,25450,132800,23300
9,02/12/2022,25450,24500,25400,25450,26200,23300
10,05/12/2022,26200,25200,26200,25300,31100,23100
11,06/12/2022,25300,23800,25300,24000,33500,21900
12,07/12/2022,24000,22750,24000,22800,22500,20800
13,08/12/2022,24300,22650,24300,23650,40400,21600
14,09/12/2022,24000,23000,24000,23500,24400,21500
15,12/12/2022,25000,23600,23700,24500,56900,22400
16,13/12/2022,24950,23800,24550,24150,24900,22100
17,14/12/2022,24950,24000,24100,24500,10100,22400
18,15/12/2022,24700,24200,24500,24200,12500,22100
19,16/12/2022,25000,24200,24400,24800,22000,22700
20,19/12/2022,25300,24500,24500,24750,18300,22600
21,20/12/2022,24850,23500,24850,23800,27900,21700
22,21/12/2022,24350,22800,23300,23000,45800,21000
23,22/12/2022,23900,22200,22200,23000,34500,21000
24,23/12/2022,23000,22400,23000,22750,26500,20800
25,26/12/2022,22750,22500,22750,22750,27600,20800
26,27/12/2022,22900,22500,22750,22800,18600,20800
27,28/12/2022,22800,22600,22800,22600,12300,20700
28,29/12/2022,22900,22650,22700,22700,11300,20700
29,30/12/2022,22750,22500,22700,22750,23600,20800
30,03/01/2023,23400,22800,23000,23350,23600,21300
31,04/01/2023,23800,23100,23800,23250,13900,21200
32,05/01/2023,23250,22500,23250,23100,7500,21100
33,06/01/2023,23100,22700,23100,22800,14100,20800
34,09/01/2023,22800,22400,22800,22400,10700,20500
35,10/01/2023,22550,22300,22350,22550,7900,20600
36,11/01/2023,22800,22500,22600,22550,18100,20600
37,12/01/2023,22600,21800,22600,22000,56900,20100
38,13/01/2023,22000,21700,21700,22000,15500,20100
39,16/01/2023,21800,21250,21700,21600,39200,19700
40,17/01/2023,22250,21550,22000,21950,21600,20100
41,18/01/2023,22500,21950,22250,22500,25600,20600
42,19/01/2023,23000,22500,22500,23000,16100,21000
43,27/01/2023,23500,23100,23500,23200,16100,21200
44,30/01/2023,23400,22900,22900,23250,28000,21200
45,31/01/2023,23300,22900,23300,23300,30800,21300
46,01/02/2023,24500,23000,23400,23800,202300,21700
47,02/02/2023,24500,23300,24500,23900,45800,21800
48,03/02/2023,24300,23200,24300,23500,60000,21500
49,06/02/2023,23500,23000,23450,23400,33800,21400
50,07/02/2023,23050,22250,23050,22300,61800,20400
51,08/02/2023,22900,22000,22300,22650,21200,20700
52,09/02/2023,22900,22400,22650,22900,18800,20900
53,10/02/2023,22900,22500,22900,22800,4800,20800
54,13/02/2023,22400,21800,22400,22200,77900,20300
55,14/02/2023,22300,22100,22200,22250,16800,20300
56,15/02/2023,22400,21850,22200,22300,6300,20400
57,16/02/2023,22900,22350,22900,22650,5500,20700
58,17/02/2023,22550,22200,22200,22550,13700,20600
59,20/02/2023,22900,22300,22500,22500,36200,20600
60,21/02/2023,22900,22200,22750,22700,63400,20700
61,22/02/2023,22700,22300,22700,22500,26000,20600
62,23/02/2023,22700,21950,22700,22200,14200,20300
63,24/02/2023,22500,22000,22500,22000,19900,20100
64,27/02/2023,21950,21500,21900,21500,51400,19600
65,28/02/2023,22000,21500,21500,22000,4300,20100
66,01/03/2023,22000,21500,22000,22000,7700,20100
67,02/03/2023,22100,21600,22000,22050,37900,20100
68,03/03/2023,22500,22050,22500,22300,6400,20400
69,06/03/2023,22450,22150,22300,22300,37500,20400
70,07/03/2023,22500,22200,22200,22500,18000,20600
71,08/03/2023,22600,22350,22500,22600,29400,20700
72,09/03/2023,22700,22500,22600,22700,20400,20700
73,10/03/2023,22800,22700,22800,22750,7600,20800
74,13/03/2023,22950,22500,22500,22950,30700,21000
75,14/03/2023,24550,24500,24500,24550,206500,22400
76,15/03/2023,26000,24000,25900,24800,87900,22700
77,16/03/2023,25000,23200,25000,23500,96600,21500
78,17/03/2023,24000,23100,23550,23500,56200,21500
79,20/03/2023,24000,22500,24000,23000,157200,21000
80,21/03/2023,23000,22700,23000,23000,38800,21000
81,22/03/2023,23100,22900,22900,23000,32200,21000
82,23/03/2023,23050,22800,22850,23050,35100,21100
83,24/03/2023,24000,23000,24000,23100,36000,21100
84,27/03/2023,23400,23100,23200,23200,42800,21200
85,28/03/2023,23450,23200,23300,23450,40300,21400
86,29/03/2023,23300,23000,23250,23100,59700,21100
87,30/03/2023,24400,23000,23000,23700,84900,21700
88,31/03/2023,24300,23700,23700,24150,73900,22100
89,03/04/2023,25000,24250,24500,24700,92300,22600
90,04/04/2023,24950,24600,24700,24700,126300,22600
91,05/04/2023,25000,24600,24700,24950,59400,22800
