,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3420,3230,3240,3420,256800,3400
1,22/11/2022,3650,3500,3650,3650,276400,3700
2,23/11/2022,3790,3620,3650,3620,226700,3600
3,24/11/2022,3700,3410,3550,3700,108900,3700
4,25/11/2022,3900,3740,3740,3890,223100,3900
5,28/11/2022,4160,3920,3920,4160,266500,4200
6,29/11/2022,4410,3900,4170,4290,458900,4300
7,30/11/2022,4340,4060,4300,4310,244300,4300
8,01/12/2022,4600,4300,4410,4300,516700,4300
9,02/12/2022,4500,4040,4300,4400,349700,4400
10,05/12/2022,4600,4380,4510,4500,471900,4500
11,06/12/2022,4580,4200,4580,4200,366700,4200
12,07/12/2022,4230,3910,4200,4000,276800,4000
13,08/12/2022,4280,4140,4150,4210,221500,4200
14,09/12/2022,4380,4190,4380,4320,52400,4300
15,12/12/2022,4600,4330,4370,4400,314900,4400
16,13/12/2022,4400,4300,4400,4400,142300,4400
17,14/12/2022,4630,4390,4630,4410,179300,4400
18,15/12/2022,4570,4310,4430,4500,398300,4500
19,16/12/2022,4570,4470,4490,4530,119300,4500
20,19/12/2022,4580,4440,4550,4440,154300,4400
21,20/12/2022,4430,4170,4430,4380,238100,4400
22,21/12/2022,4400,4150,4380,4320,111000,4300
23,22/12/2022,4410,4230,4390,4240,90800,4200
24,23/12/2022,4300,4150,4200,4280,52400,4300
25,26/12/2022,4440,4000,4440,4100,114500,4100
26,27/12/2022,4200,3900,3900,4200,87300,4200
27,28/12/2022,4390,4210,4210,4380,118400,4400
28,29/12/2022,4550,4380,4470,4380,178200,4400
29,30/12/2022,4500,4360,4410,4390,77400,4400
30,03/01/2023,4690,4390,4390,4690,405900,4700
31,04/01/2023,5000,4700,4950,4750,3213200,4800
32,05/01/2023,4800,4670,4750,4770,198700,4800
33,06/01/2023,4910,4510,4800,4760,204000,4800
34,09/01/2023,5090,4800,4800,4890,359700,4900
35,10/01/2023,4990,4830,4990,4900,128500,4900
36,11/01/2023,5100,4880,5100,4900,238400,4900
37,12/01/2023,4950,4760,4900,4790,91600,4800
38,13/01/2023,4950,4700,4790,4700,166700,4700
39,16/01/2023,4900,4630,4700,4790,90200,4800
40,17/01/2023,4850,4700,4700,4800,283100,4800
41,18/01/2023,4860,4790,4800,4850,1172600,4900
42,19/01/2023,5000,4850,4850,4900,240600,4900
43,27/01/2023,5100,4950,4950,5090,287900,5100
44,30/01/2023,5430,5090,5090,5290,359000,5300
45,31/01/2023,5410,5100,5410,5250,214500,5300
46,01/02/2023,5400,4900,5220,4920,359200,4900
47,02/02/2023,5000,4600,5000,4850,170100,4900
48,03/02/2023,4900,4760,4850,4800,93900,4800
49,06/02/2023,4860,4730,4750,4850,109300,4900
50,07/02/2023,4940,4630,4850,4630,91100,4600
51,08/02/2023,4850,4660,4750,4800,157900,4800
52,09/02/2023,4900,4750,4900,4790,87100,4800
53,10/02/2023,4820,4650,4820,4770,80500,4800
54,13/02/2023,4700,4440,4650,4440,248700,4400
55,14/02/2023,4640,4150,4490,4430,50100,4400
56,15/02/2023,4590,4430,4430,4500,63300,4500
57,16/02/2023,4560,4400,4510,4500,81500,4500
58,17/02/2023,4500,4420,4500,4480,55200,4500
59,20/02/2023,4680,4450,4450,4680,128700,4700
60,21/02/2023,4750,4600,4700,4680,147000,4700
61,22/02/2023,4610,4420,4520,4510,180700,4500
62,23/02/2023,4510,4260,4510,4380,143800,4400
63,24/02/2023,4400,4300,4400,4300,113600,4300
64,27/02/2023,4300,4200,4270,4200,1067800,4200
65,28/02/2023,4350,4200,4220,4240,90900,4200
66,01/03/2023,4350,4200,4210,4330,95400,4300
67,02/03/2023,4380,4270,4270,4270,94700,4300
68,03/03/2023,4300,4160,4300,4170,66300,4200
69,06/03/2023,4300,4150,4200,4150,83400,4200
70,07/03/2023,4220,4170,4200,4180,57500,4200
71,08/03/2023,4230,4110,4230,4220,48400,4200
72,09/03/2023,4510,4510,4510,4510,1178700,4500
73,10/03/2023,4820,4820,4820,4820,217600,4800
74,13/03/2023,5050,4820,4850,4870,676400,4900
75,14/03/2023,5150,4870,4950,4980,484900,5000
76,15/03/2023,5180,4840,5180,4960,403300,5000
77,16/03/2023,4930,4800,4900,4850,191500,4900
78,17/03/2023,4960,4710,4850,4730,1171000,4700
79,20/03/2023,4790,4400,4750,4400,667300,4400
80,21/03/2023,4590,4190,4440,4190,938000,4200
81,22/03/2023,4480,4290,4320,4480,856600,4500
82,23/03/2023,4490,4280,4490,4350,652200,4400
83,24/03/2023,4480,4130,4350,4260,2328200,4300
84,27/03/2023,4360,4150,4230,4220,2414400,4200
85,28/03/2023,4330,4190,4300,4210,792200,4200
86,29/03/2023,4320,4210,4230,4280,695700,4300
87,30/03/2023,4360,4200,4320,4270,1548700,4300
88,31/03/2023,4270,4180,4250,4230,981000,4200
89,03/04/2023,4290,4230,4250,4290,734500,4300
90,04/04/2023,4380,4160,4340,4250,3405500,4300
91,05/04/2023,4370,4230,4290,4360,1776200,4400
92,06/04/2023,4660,4410,4500,4560,2893400,4600
93,07/04/2023,4560,4380,4510,4400,1539700,4400
94,10/04/2023,4560,4370,4460,4380,1045000,4400
95,11/04/2023,4420,4180,4370,4330,4627800,4300
96,12/04/2023,4460,4340,4350,4410,1420700,4400
97,13/04/2023,4450,4180,4430,4200,4838800,4200
98,14/04/2023,4280,4170,4280,4170,2099400,4200
99,17/04/2023,4230,3950,4200,3950,3952700,4000
100,18/04/2023,4040,3880,4040,4010,2716200,4000
101,19/04/2023,4070,3940,4040,3960,1507100,4000
102,20/04/2023,4190,3950,3990,4020,2403100,4000
103,21/04/2023,4040,3940,4020,3970,1345900,4000
104,24/04/2023,3970,3750,3970,3850,2407800,3900
105,25/04/2023,4000,3830,3890,3880,1499900,3900
106,26/04/2023,3950,3880,3890,3950,878000,4000
107,27/04/2023,4000,3910,4000,3950,840200,4000
108,28/04/2023,3970,3870,3970,3890,1440900,3900
109,04/05/2023,3920,3870,3900,3900,991700,3900
110,05/05/2023,3940,3860,3910,3930,1659800,3900
111,08/05/2023,4040,3930,3930,4000,1959600,4000
112,09/05/2023,4080,3990,4080,4020,815700,4000
113,10/05/2023,4180,4030,4050,4130,2264400,4100
114,11/05/2023,4190,4100,4190,4110,1455600,4100
115,12/05/2023,4120,4050,4100,4100,2394200,4100
116,15/05/2023,4170,4110,4130,4110,1716100,4100
117,16/05/2023,4130,4060,4130,4100,1223500,4100
118,17/05/2023,4290,4070,4100,4170,2870900,4200
119,18/05/2023,4200,4140,4200,4150,883200,4200
120,19/05/2023,4200,4050,4200,4080,1504500,4100
121,22/05/2023,4160,4090,4120,4140,771400,4100
122,23/05/2023,4160,4050,4140,4110,1299500,4100
123,24/05/2023,4150,4090,4120,4100,1119800,4100
124,25/05/2023,4140,4080,4110,4120,782600,4100
125,26/05/2023,4310,4120,4140,4270,3656400,4300
126,29/05/2023,4560,4400,4560,4500,4151100,4500
127,30/05/2023,4550,4320,4550,4430,3289000,4400
128,31/05/2023,4740,4450,4500,4740,6458900,4700
129,01/06/2023,5060,4820,5000,4920,5372500,4900
130,02/06/2023,5040,4660,4950,4720,4632000,4700
131,05/06/2023,4850,4570,4750,4570,2819800,4600
132,06/06/2023,4830,4520,4520,4700,2659800,4700
133,07/06/2023,4880,4720,4800,4770,2495500,4800
134,08/06/2023,4970,4780,4780,4820,4414600,4800
135,09/06/2023,4900,4700,4900,4800,2563500,4800
136,12/06/2023,4980,4770,4850,4950,2352600,5000
137,13/06/2023,5200,5000,5000,5060,3089500,5100
138,14/06/2023,5180,4850,5100,4900,4305400,4900
139,15/06/2023,4900,4700,4850,4820,2181500,4800
140,16/06/2023,4860,4700,4840,4700,1823800,4700
141,19/06/2023,4790,4540,4790,4540,2161300,4500
142,20/06/2023,4700,4510,4510,4700,1050400,4700
143,21/06/2023,4790,4700,4790,4710,904900,4700
144,22/06/2023,4830,4700,4720,4790,1347900,4800
145,23/06/2023,4820,4680,4800,4750,3203800,4800
146,26/06/2023,4900,4710,4800,4880,2623700,4900
147,27/06/2023,4930,4810,4900,4840,988900,4800
148,28/06/2023,4890,4710,4840,4750,1215000,4800
149,29/06/2023,4770,4640,4770,4640,1785200,4600
150,30/06/2023,4680,4590,4630,4620,1027200,4600
151,03/07/2023,4710,4650,4650,4660,384900,4700
152,04/07/2023,4700,4660,4700,4700,578600,4700
153,05/07/2023,4740,4680,4730,4700,798700,4700
154,06/07/2023,4730,4610,4700,4630,961100,4600
155,07/07/2023,4700,4620,4640,4670,849800,4700
156,10/07/2023,4780,4680,4680,4780,1315100,4800
157,11/07/2023,4860,4750,4860,4760,1191400,4800
158,12/07/2023,4780,4690,4750,4710,964000,4700
159,13/07/2023,4800,4710,4720,4740,1264700,4700
