,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12600,12000,12400,12450,2485400,12500
1,22/11/2022,13300,12100,12100,12350,4207680,12400
2,23/11/2022,12500,11500,12350,11500,2818800,11500
3,24/11/2022,12100,11050,11100,12000,1999700,12000
4,25/11/2022,12600,11800,12300,12600,3278500,12600
5,28/11/2022,13450,12950,13400,13450,4281200,13500
6,29/11/2022,14350,13650,13850,14350,8237000,14400
7,30/11/2022,14800,14050,14800,14600,4589300,14600
8,01/12/2022,15400,14500,14800,14500,5020500,14500
9,02/12/2022,15250,14150,14300,15250,3746300,15300
10,05/12/2022,15800,15100,15800,15350,4145500,15400
11,06/12/2022,16400,14650,15000,16000,13003000,16000
12,07/12/2022,16800,15000,16200,15100,5149600,15100
13,08/12/2022,16000,15100,15200,15100,5513500,15100
14,09/12/2022,15700,15000,15050,15700,3193500,15700
15,12/12/2022,16750,15800,16100,16200,8812200,16200
16,13/12/2022,16550,15600,16200,16400,3800000,16400
17,14/12/2022,17000,16000,17000,16000,3623500,16000
18,15/12/2022,16200,15600,15800,15700,2890400,15700
19,16/12/2022,16150,15200,15500,16000,2395600,16000
20,19/12/2022,16800,15800,16200,16150,5815800,16200
21,20/12/2022,16250,15100,16150,15400,4247100,15400
22,21/12/2022,15650,14350,15400,14900,6151700,14900
23,22/12/2022,15300,14000,15000,14200,3305500,14200
24,23/12/2022,14650,14000,14200,14150,2024300,14200
25,26/12/2022,14400,13200,14400,13200,3422000,13200
26,27/12/2022,14100,12800,12800,14100,3464000,14100
27,28/12/2022,15000,14150,14350,14700,4065300,14700
28,29/12/2022,14900,14300,14600,14400,1934700,14400
29,30/12/2022,14600,14100,14500,14100,2021300,14100
30,03/01/2023,15050,14200,14200,15050,3177200,15100
31,04/01/2023,15700,15050,15400,15150,3498000,15200
32,05/01/2023,15900,15050,15100,15900,5381800,15900
33,06/01/2023,16150,15500,16050,15800,4020700,15800
34,09/01/2023,16450,15100,16100,15100,5277800,15100
35,10/01/2023,15900,15100,15300,15900,4775600,15900
36,11/01/2023,16200,15750,16000,15800,3627800,15800
37,12/01/2023,16300,15400,15950,16000,4308100,16000
38,13/01/2023,16300,15550,16300,15550,4333200,15600
39,16/01/2023,15800,15300,15600,15500,3435200,15500
40,17/01/2023,15800,15450,15500,15700,2878400,15700
41,18/01/2023,16750,15800,15900,16750,9765500,16800
42,19/01/2023,17250,16750,16950,16850,5946400,16900
43,27/01/2023,17350,16900,17100,17100,6006100,17100
44,30/01/2023,17300,16550,17100,16700,10651700,16700
45,31/01/2023,16800,16200,16600,16800,6195500,16800
46,01/02/2023,17050,15650,16800,15650,9546400,15700
47,02/02/2023,15650,14750,15650,14800,5324000,14800
48,03/02/2023,15200,14750,14800,14900,3233100,14900
49,06/02/2023,15100,14550,14800,14900,2412300,14900
50,07/02/2023,15100,13900,15000,14000,3346200,14000
51,08/02/2023,14500,13650,14150,14350,2300300,14400
52,09/02/2023,14850,14300,14500,14350,1784400,14400
53,10/02/2023,14450,14000,14200,14000,1880800,14000
54,13/02/2023,14050,13300,14000,13600,2619600,13600
55,14/02/2023,13950,13550,13900,13650,1146300,13700
56,15/02/2023,14100,13500,13500,14100,1751800,14100
57,16/02/2023,14600,14100,14400,14450,1071700,14500
58,17/02/2023,14700,14150,14350,14300,1388500,14300
59,20/02/2023,15050,14300,14300,14950,4060400,15000
60,21/02/2023,15100,14650,15050,14650,2822000,14700
61,22/02/2023,14700,14000,14450,14000,2321100,14000
62,23/02/2023,14000,13400,13850,13950,2980700,14000
63,24/02/2023,14050,13550,14050,13600,935000,13600
64,27/02/2023,13600,13100,13400,13200,1474200,13200
65,28/02/2023,13500,13050,13500,13100,1628900,13100
66,01/03/2023,13650,13050,13100,13650,1101700,13700
67,02/03/2023,13800,13350,13650,13500,753800,13500
68,03/03/2023,13600,13350,13600,13350,905000,13400
69,06/03/2023,13700,13350,13550,13350,814500,13400
70,07/03/2023,13500,12950,13400,13300,1091200,13300
71,08/03/2023,13500,13050,13200,13500,800100,13500
72,09/03/2023,14400,13600,13650,14250,5840000,14300
73,10/03/2023,14400,14000,14150,14150,2131200,14200
74,13/03/2023,14100,13700,13850,13700,1852400,13700
75,14/03/2023,13850,13150,13700,13300,2647600,13300
76,15/03/2023,13850,13600,13700,13850,1650800,13900
77,16/03/2023,13750,13350,13600,13400,1231900,13400
78,17/03/2023,13650,13300,13500,13350,818100,13400
79,20/03/2023,13850,13300,13600,13300,2568700,13300
80,21/03/2023,13700,13350,13650,13650,1083500,13700
81,22/03/2023,13800,13450,13800,13600,1099000,13600
82,23/03/2023,13650,13400,13400,13600,802200,13600
83,24/03/2023,13950,13600,13700,13700,1991800,13700
84,27/03/2023,13850,13550,13700,13800,2392700,13800
85,28/03/2023,14150,13800,13900,13800,4125500,13800
86,29/03/2023,14000,13700,14000,13900,1276600,13900
87,30/03/2023,14100,13700,14050,13900,3832400,13900
88,31/03/2023,13950,13750,13900,13800,2118200,13800
89,03/04/2023,13900,13650,13800,13900,6306100,13900
90,04/04/2023,14550,14050,14050,14500,6590500,14500
91,05/04/2023,14800,14400,14700,14600,4460300,14600
92,06/04/2023,14800,14250,14750,14250,5235300,14300
93,07/04/2023,14400,14150,14200,14250,2997100,14300
94,10/04/2023,15200,14300,14500,14900,9983000,14900
95,11/04/2023,15250,14800,15000,15050,4560200,15100
96,12/04/2023,15400,15050,15100,15200,5185000,15200
97,13/04/2023,15450,14900,15250,14900,4437200,14900
98,14/04/2023,15400,14700,15200,14700,4357700,14700
99,17/04/2023,15700,14800,14850,15700,8613500,15700
100,18/04/2023,16100,15500,15950,15600,3540900,15600
101,19/04/2023,16150,15600,15800,15700,6580300,15700
102,20/04/2023,16350,15850,16000,15850,5976900,15900
103,21/04/2023,16150,15300,16100,15750,5517200,15800
104,24/04/2023,15800,15000,15800,15000,6659000,15000
105,25/04/2023,15500,14950,15050,15300,4830600,15300
106,26/04/2023,15650,14950,15300,15500,3021600,15500
107,27/04/2023,15700,15200,15500,15450,3340800,15500
108,28/04/2023,15600,14500,15600,14650,12470000,14700
109,04/05/2023,14900,14300,14400,14800,3144700,14800
110,05/05/2023,15200,14650,14800,14800,3139300,14800
111,08/05/2023,15200,14650,15000,15100,4412700,15100
112,09/05/2023,15400,15050,15200,15200,2753200,15200
113,10/05/2023,15500,15250,15400,15300,3104200,15300
114,11/05/2023,15750,15400,15500,15500,3781615,15500
115,12/05/2023,16100,15600,15650,16050,6769500,16100
116,15/05/2023,16400,15700,16400,15700,5803100,15700
117,16/05/2023,16750,15750,15800,16750,8348200,16800
118,17/05/2023,17700,16850,17200,17050,12174000,17100
119,18/05/2023,17800,17150,17250,17250,7293600,17300
120,19/05/2023,18100,17200,17500,18100,8023600,18100
121,22/05/2023,18650,18050,18650,18250,7322400,18300
122,23/05/2023,19200,18500,18600,19200,9215100,19200
123,24/05/2023,19500,18750,19300,19200,6530300,19200
124,25/05/2023,19350,18850,19200,18850,5228200,18900
125,26/05/2023,19300,18600,18850,19300,4554000,19300
126,29/05/2023,19550,18950,19550,19100,4085400,19100
127,30/05/2023,19300,18400,19300,19000,6138100,19000
128,31/05/2023,20000,18900,19100,20000,7623300,20000
129,01/06/2023,20200,19550,20100,19600,4293700,19600
130,02/06/2023,20250,19500,19700,19800,9046400,19800
131,05/06/2023,20000,19100,20000,19150,6579400,19200
132,06/06/2023,19600,19150,19400,19450,3897500,19500
133,07/06/2023,20050,19400,19450,19650,5156500,19700
134,08/06/2023,20400,19600,19700,19650,8991700,19700
135,09/06/2023,20000,18800,20000,19300,6597800,19300
136,12/06/2023,19650,18450,19650,19000,7267200,19000
137,13/06/2023,19550,19150,19300,19150,3609700,19200
138,14/06/2023,19450,19000,19300,19000,3938000,19000
139,15/06/2023,20300,19150,19200,20300,12301800,20300
140,16/06/2023,20850,20000,20850,20250,6323800,20300
141,19/06/2023,20950,20300,20300,20850,7099900,20900
142,20/06/2023,21250,20550,21200,21250,6954400,21300
143,21/06/2023,21850,21050,21450,21100,10251900,21100
144,22/06/2023,21500,21100,21200,21250,5511900,21300
145,23/06/2023,21650,20950,21500,21050,6697900,21100
146,26/06/2023,21700,20000,21300,21700,9213000,21700
147,27/06/2023,22200,21450,22100,21500,6921000,21500
148,28/06/2023,21900,21200,21800,21900,6000900,21900
149,29/06/2023,22000,21000,22000,21000,5471700,21000
150,30/06/2023,21450,21050,21100,21300,3909300,21300
151,03/07/2023,21750,21200,21500,21350,4087300,21400
152,04/07/2023,22800,21500,21700,22800,13559600,22800
153,05/07/2023,23450,22850,23250,23250,7821100,23300
154,06/07/2023,24000,22750,23550,24000,10973700,24000
155,07/07/2023,24650,23650,24100,24450,7701900,24500
156,10/07/2023,24600,24100,24600,24300,7448600,24300
157,11/07/2023,26000,24200,24350,25700,8129900,25700
158,12/07/2023,26000,25400,25900,25400,4735700,25400
159,13/07/2023,26300,25350,25500,26150,6550400,26200
160,14/07/2023,26450,25500,26450,26000,7468600,26000
161,17/07/2023,26200,25100,26000,25300,5317700,25300
162,18/07/2023,25700,24950,25400,24950,9146900,25000
163,19/07/2023,25450,24700,25000,25100,6843100,25100
164,20/07/2023,25300,24800,25200,24850,6939100,24900
165,21/07/2023,26250,24900,25000,26050,11199000,26100
166,24/07/2023,26250,25350,26100,25400,8011100,25400
167,25/07/2023,25700,24950,25600,25150,8326600,25200
168,26/07/2023,26000,25100,25150,26000,7552400,26000
169,27/07/2023,26250,25200,26200,25400,7967800,25400
170,28/07/2023,25550,25100,25550,25100,7185400,25100
171,31/07/2023,25350,24800,25250,24850,6837100,24900
172,01/08/2023,25550,24850,24950,24850,9102600,24900
173,02/08/2023,25500,24950,25000,25500,6064300,25500
174,03/08/2023,26800,25800,25850,26100,15005400,26100
175,04/08/2023,26400,26000,26400,26000,6491800,26000
176,07/08/2023,26700,26100,26500,26150,6794600,26200
177,08/08/2023,27950,26300,26450,27950,14812500,28000
178,09/08/2023,28350,27250,28350,27300,8190100,27300
179,10/08/2023,27750,25800,27500,25850,15072700,25900
180,11/08/2023,26250,25650,26000,26250,7875500,26300
181,14/08/2023,26400,25900,26400,26100,8260500,26100
182,15/08/2023,26700,26050,26200,26200,6255100,26200
183,16/08/2023,26400,25850,26050,26150,6585900,26200
184,17/08/2023,26450,25500,26200,25500,6482600,25500
185,18/08/2023,25800,23750,25500,23750,10369500,23800
186,21/08/2023,24000,22100,23750,22300,7644700,22300
187,22/08/2023,23500,20950,22400,23500,9571100,23500
188,23/08/2023,23800,22800,23800,22800,4299000,22800
189,24/08/2023,23400,22450,22800,23100,4910200,23100
190,25/08/2023,23750,23050,23100,23250,3818400,23300
191,28/08/2023,23900,23350,23600,23750,3476000,23800
192,29/08/2023,24200,23700,23800,23800,5017800,23800
193,30/08/2023,23900,23500,23750,23500,4546700,23500
194,31/08/2023,24900,23550,23800,24800,7606800,24800
195,05/09/2023,25600,24900,25100,25600,7137400,25600
196,06/09/2023,26400,25200,25800,25900,8606600,25900
197,07/09/2023,26300,25600,26000,25900,7244600,25900
198,08/09/2023,26450,25800,26100,26000,10682900,26000
199,11/09/2023,26350,25000,26300,25000,10196800,25000
200,12/09/2023,25700,24650,25100,25700,5259900,25700
201,13/09/2023,25800,24750,25800,24900,7033600,24900
202,14/09/2023,25400,24400,24900,24400,7459300,24400
203,15/09/2023,24850,24250,24500,24750,4106700,24800
204,18/09/2023,24850,23800,24750,24200,3732400,24200
205,19/09/2023,24700,23850,24700,24300,3660600,24300
206,20/09/2023,25500,24300,24350,25400,5667300,25400
207,21/09/2023,25550,25000,25350,25100,4116300,25100
208,22/09/2023,24800,23400,24700,23800,5310600,23800
209,25/09/2023,24100,22150,23300,22150,5667800,22200
210,26/09/2023,22650,21100,21600,21100,4569700,21100
211,27/09/2023,22300,20650,21000,22300,3293100,22300
212,28/09/2023,22300,21850,22250,22050,2206500,22100
213,29/09/2023,22350,21900,22050,21900,1889100,21900
214,02/10/2023,22650,21850,22100,22450,3878400,22500
215,03/10/2023,22450,21200,22200,21300,4162700,21300
216,04/10/2023,22000,20650,20650,21700,2873700,21700
217,05/10/2023,22400,21700,22000,21900,4159400,21900
218,06/10/2023,22350,21700,22000,22300,3168600,22300
219,09/10/2023,22700,22150,22500,22350,3496800,22400
220,10/10/2023,22900,22300,22500,22300,3295500,22300
221,11/10/2023,22450,22100,22350,22400,2749000,22400
222,12/10/2023,23300,22500,22550,22800,4939100,22800
223,13/10/2023,23100,22250,22350,23100,4120600,23100
224,16/10/2023,23350,22350,23250,22450,2443500,22500
225,17/10/2023,22750,21000,22650,21000,2814210,21000
226,18/10/2023,21300,19550,21150,20200,5311400,20200
227,19/10/2023,20500,19800,20500,19800,2967300,19800
228,20/10/2023,21000,19750,19800,21000,2328700,21000
229,23/10/2023,21150,20400,21100,20700,2217900,20700
230,24/10/2023,21450,20800,21000,21450,2813300,21500
231,25/10/2023,22200,21500,21600,21800,5335500,21800
232,26/10/2023,21000,20300,20900,20300,5340900,20300
233,27/10/2023,21650,19300,20400,20600,5244100,20600
234,30/10/2023,20350,19400,19900,19400,2350200,19400
235,31/10/2023,19600,18050,19400,18050,3435800,18100
236,01/11/2023,18600,17150,18050,18600,3252000,18600
237,02/11/2023,19900,18700,18800,19800,3569100,19800
238,03/11/2023,20000,19200,20000,19500,3175900,19500
239,06/11/2023,19800,19250,19600,19600,2618500,19600
240,07/11/2023,20300,19250,19400,19900,4543200,19900
241,08/11/2023,21250,19750,20000,21250,6776900,21300
242,09/11/2023,22100,21150,21500,21700,7518200,21700
243,10/11/2023,22400,21200,21400,21850,6641700,21900
244,13/11/2023,23350,21900,21900,23000,11395700,23000
245,14/11/2023,23400,22600,23400,23100,6255500,23100
246,15/11/2023,23600,22650,23500,22900,7266800,22900
247,16/11/2023,23800,22600,22900,23800,9399000,23800
248,17/11/2023,24350,23500,24000,24000,12916700,24000
249,20/11/2023,24200,23450,23600,23950,6597500,24000
