,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,6800,6400,6400,6800,76500,6800
1,22/11/2022,7160,6500,7160,6580,17100,6600
2,23/11/2022,6700,6190,6190,6490,68000,6500
3,24/11/2022,6550,6460,6460,6550,50200,6600
4,25/11/2022,6940,6560,6880,6940,65100,6900
5,28/11/2022,7400,6990,6990,7400,82300,7400
6,29/11/2022,7850,7370,7550,7700,91200,7700
7,30/11/2022,7700,7500,7600,7650,77300,7700
8,01/12/2022,7760,7120,7650,7590,66600,7600
9,02/12/2022,7500,7110,7120,7490,42000,7500
10,05/12/2022,7890,6970,7500,7400,38700,7400
11,06/12/2022,7500,7100,7500,7100,43600,7100
12,07/12/2022,7070,6620,6620,6760,42700,6800
13,08/12/2022,7100,6770,6990,6980,44900,7000
14,09/12/2022,7230,6980,6980,7050,37700,7100
15,12/12/2022,7300,6830,6830,7000,77000,7000
16,13/12/2022,7030,6900,7010,7000,25900,7000
17,14/12/2022,7350,7000,7000,7100,5800,7100
18,15/12/2022,7250,7120,7170,7120,47500,7100
19,16/12/2022,7130,6900,6900,7130,22200,7100
20,19/12/2022,7620,7000,7000,7200,42800,7200
21,20/12/2022,7200,6890,7200,7190,53200,7200
22,21/12/2022,7120,6900,6900,6960,32000,7000
23,22/12/2022,7100,6700,6710,7000,35000,7000
24,23/12/2022,7200,6700,7190,6800,2600,6800
25,26/12/2022,7200,6610,7100,6610,12200,6600
26,27/12/2022,6810,6500,6810,6800,6700,6800
27,28/12/2022,7000,6630,6640,7000,20100,7000
28,29/12/2022,6990,6600,6600,6720,13400,6700
29,30/12/2022,7180,6700,6720,6740,14200,6700
30,03/01/2023,7210,6500,6740,7210,84100,7200
31,04/01/2023,7490,7000,7490,7450,36100,7500
32,05/01/2023,7300,7000,7210,7300,44900,7300
33,06/01/2023,7500,7010,7490,7200,20000,7200
34,09/01/2023,7380,7100,7180,7250,5300,7300
35,10/01/2023,7300,6770,6780,6890,8300,6900
36,11/01/2023,7200,6950,7150,7200,12400,7200
37,12/01/2023,7300,6900,7300,7200,2000,7200
38,13/01/2023,7180,6830,6830,7180,6700,7200
39,16/01/2023,7680,6880,7230,7290,26900,7300
40,17/01/2023,7200,6940,6940,7200,21400,7200
41,18/01/2023,7200,6870,7200,7190,5400,7200
42,19/01/2023,7300,7000,7020,7180,12000,7200
43,27/01/2023,7490,7010,7120,7050,10600,7100
44,30/01/2023,7120,6860,7010,7100,20500,7100
45,31/01/2023,7530,6880,6880,7010,19500,7000
46,01/02/2023,7400,6990,7010,7070,32700,7100
47,02/02/2023,7380,6920,7380,6920,17500,6900
48,03/02/2023,7240,6800,7240,6920,6900,6900
49,06/02/2023,7000,6700,6760,6940,38300,6900
50,07/02/2023,7090,6760,6760,6760,12800,6800
51,08/02/2023,6990,6480,6480,6780,21700,6800
52,09/02/2023,7180,6780,7180,6790,1600,6800
53,10/02/2023,6960,6360,6790,6790,11900,6800
54,13/02/2023,7250,6470,6790,6650,62000,6700
55,14/02/2023,6910,6410,6410,6650,11000,6700
56,15/02/2023,6990,6540,6820,6700,6100,6700
57,16/02/2023,6870,6550,6700,6800,17200,6800
58,17/02/2023,6960,6690,6690,6810,22500,6800
59,20/02/2023,7080,6410,6980,7000,46800,7000
60,21/02/2023,7190,6930,7000,7080,49100,7100
61,22/02/2023,7000,6870,6870,7000,10500,7000
62,23/02/2023,7300,6660,7300,7000,15400,7000
63,24/02/2023,7100,6670,6670,7100,1700,7100
64,27/02/2023,7070,6720,6720,6850,12500,6900
65,28/02/2023,6960,6740,6760,6940,1500,6900
66,01/03/2023,6890,6660,6890,6660,25600,6700
67,02/03/2023,6970,6500,6970,6520,32000,6500
68,03/03/2023,6670,6400,6520,6670,24300,6700
69,06/03/2023,6720,6610,6680,6720,24100,6700
70,07/03/2023,6700,6610,6700,6610,3000,6600
71,08/03/2023,6680,6540,6540,6680,3400,6700
72,09/03/2023,6680,6600,6600,6680,8800,6700
73,10/03/2023,6750,6600,6600,6750,3800,6800
74,13/03/2023,6720,6530,6530,6690,2400,6700
75,14/03/2023,6650,6500,6510,6650,5500,6700
76,15/03/2023,6730,6360,6360,6550,5600,6600
77,16/03/2023,6550,6420,6550,6420,35600,6400
78,17/03/2023,6660,6500,6650,6590,12600,6600
79,20/03/2023,6590,6490,6550,6580,45500,6600
80,21/03/2023,6600,6450,6500,6580,17700,6600
81,22/03/2023,6600,6500,6600,6500,1200,6500
82,23/03/2023,6500,6500,6500,6500,1700,6500
83,24/03/2023,6680,6480,6590,6490,48400,6500
84,27/03/2023,6650,6490,6500,6650,24800,6700
85,28/03/2023,6870,6650,6790,6670,20200,6700
86,29/03/2023,6670,6450,6670,6650,8400,6700
87,30/03/2023,6800,6500,6500,6600,21500,6600
88,31/03/2023,6790,6500,6530,6790,10900,6800
