,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,43950,40000,43000,40000,1297600,39300
1,22/11/2022,40900,37200,37300,37700,1962800,37100
2,23/11/2022,39100,37200,38800,37700,564400,37100
3,24/11/2022,37900,35100,37400,35100,1194600,34500
4,25/11/2022,36300,34500,35350,36200,1550000,35600
5,28/11/2022,38700,36900,36900,38700,2116800,38100
6,29/11/2022,41400,39000,40000,41400,1694500,40700
7,30/11/2022,44250,42500,43500,44250,1191200,43500
8,01/12/2022,47300,44100,47300,45550,1884900,44800
9,02/12/2022,47000,43500,44500,47000,1830500,46200
10,05/12/2022,47900,46500,47600,47300,1381700,46500
11,06/12/2022,47500,44000,45100,44000,1961800,43300
12,07/12/2022,44500,41000,43200,41000,1270000,40300
13,08/12/2022,43850,42600,42600,43850,1184400,43100
14,09/12/2022,45200,42800,45200,43500,685500,42800
15,12/12/2022,45400,41500,43500,41800,1291800,41100
16,13/12/2022,44000,40500,41900,44000,1176500,43300
17,14/12/2022,44700,43500,44700,43500,783100,42800
18,15/12/2022,44650,42800,42800,44200,936300,43500
19,16/12/2022,45750,43500,43700,44900,1245500,44200
20,19/12/2022,47200,42900,45000,42900,1357800,42200
21,20/12/2022,43600,40350,43600,41000,1623300,40300
22,21/12/2022,42500,38500,41550,39600,1013000,38900
23,22/12/2022,40900,38950,40500,39900,651300,39200
24,23/12/2022,40000,38500,39900,39400,488000,38800
25,26/12/2022,39450,36750,39400,36750,643800,36100
26,27/12/2022,38600,36750,36800,38600,759800,38000
27,28/12/2022,38600,37400,38600,38450,364100,37800
28,29/12/2022,39300,38000,38800,38000,358700,37400
29,30/12/2022,38500,37650,38000,37750,217200,37100
30,03/01/2023,40000,38000,38000,40000,736600,39300
31,04/01/2023,40800,39900,40500,40100,515500,39400
32,05/01/2023,40800,39450,40800,39550,389200,38900
33,06/01/2023,39800,38000,39600,38400,695200,37800
34,09/01/2023,39050,38000,39000,38600,401000,38000
35,10/01/2023,39850,37850,39000,39750,596100,39100
36,11/01/2023,40300,39500,39500,39600,471900,38900
37,12/01/2023,39950,39000,39700,39600,450100,38900
38,13/01/2023,40000,39100,39600,39600,508600,38900
39,16/01/2023,40300,38800,40050,38800,494500,38200
40,17/01/2023,39900,38900,39200,39800,631400,39100
41,18/01/2023,42550,39850,40000,42550,1375400,41800
42,19/01/2023,43200,42000,42900,43200,998200,42500
43,27/01/2023,44600,43400,43800,43600,1011600,42900
44,30/01/2023,43550,42250,43550,42800,1089200,42100
45,31/01/2023,44000,41800,42850,44000,871200,43300
46,01/02/2023,44900,41050,44900,41300,1237400,40600
47,02/02/2023,42000,40100,42000,40500,603000,39800
48,03/02/2023,41500,40500,40900,41300,438300,40600
49,06/02/2023,41300,40450,41200,41050,435700,40400
50,07/02/2023,42950,40800,41050,41000,1100200,40300
51,08/02/2023,42050,41000,41800,41700,681400,41000
52,09/02/2023,42900,40800,41900,40850,561900,40200
53,10/02/2023,41000,39000,41000,39700,742500,39000
54,13/02/2023,39950,37700,39700,39000,950600,38400
55,14/02/2023,39600,38700,39400,39200,428000,38600
56,15/02/2023,39900,39000,39500,39750,553400,39100
57,16/02/2023,41000,39800,40200,40650,545700,40000
58,17/02/2023,41000,39500,40000,39900,476100,39200
59,20/02/2023,40900,39750,40300,40800,732800,40100
60,21/02/2023,42350,41300,41800,41800,1501200,41100
61,22/02/2023,43200,40950,41500,41500,1234600,40800
62,23/02/2023,42000,39400,41400,40900,1052500,40200
63,24/02/2023,41000,39550,41000,39850,509900,39200
64,27/02/2023,39300,37500,38600,37500,1034700,36900
65,28/02/2023,38300,36200,37600,36500,1069900,35900
66,01/03/2023,38000,35500,37000,37750,582100,37100
67,02/03/2023,38350,36550,37800,37200,442300,36600
68,03/03/2023,37650,36750,37200,36800,819100,36200
69,06/03/2023,37700,36000,37600,36000,672000,35400
70,07/03/2023,36750,34500,36500,35100,1032800,34500
71,08/03/2023,35250,34550,35000,34850,1724400,34300
72,09/03/2023,37250,35000,35450,37250,1480700,36600
73,10/03/2023,37300,36550,37000,37000,953600,36400
74,13/03/2023,37000,36050,36500,36100,789700,35500
75,14/03/2023,36450,34500,36000,34650,1331500,34100
76,15/03/2023,36150,35000,35600,35600,1070700,35000
77,16/03/2023,35600,34700,35400,34700,658700,34100
78,17/03/2023,35500,34700,35200,34950,527300,34400
79,20/03/2023,35200,34000,34950,34000,833100,33400
80,21/03/2023,34500,32550,34500,34000,1275700,33400
81,22/03/2023,34450,32700,34450,32700,1674300,32200
82,23/03/2023,33650,32150,32250,33300,798300,32800
83,24/03/2023,33650,32800,33450,33100,883000,32600
84,27/03/2023,33450,32500,33200,32700,1031800,32200
85,28/03/2023,33250,32300,32950,32500,1762200,32000
86,29/03/2023,32600,31250,32600,31450,2459700,30900
87,30/03/2023,31900,29250,31300,29250,5296500,28800
88,31/03/2023,30000,27500,29250,28700,2428200,28200
89,03/04/2023,30500,29100,29200,29900,1909200,29400
90,04/04/2023,31900,29750,30200,31900,3676800,31400
91,05/04/2023,32850,31650,32000,32700,2714000,32200
92,06/04/2023,33000,31450,32750,31600,2297700,31100
93,07/04/2023,31800,30850,31500,31300,1452100,30800
94,10/04/2023,33450,31700,32000,33450,3664800,32900
95,11/04/2023,34500,33300,33950,34200,2777500,33600
96,12/04/2023,34500,33800,34500,33800,1877700,33200
97,13/04/2023,34450,33400,33800,34050,2125200,33500
98,14/04/2023,34400,32800,34400,32800,1800000,32300
99,17/04/2023,33200,32400,32600,32650,1287800,32100
100,18/04/2023,34400,33250,33300,34050,2442500,33500
101,19/04/2023,36400,33900,34050,35700,4684600,35100
102,20/04/2023,35750,34600,35650,34900,1488500,34300
103,21/04/2023,35650,34000,35400,34450,2040400,33900
104,24/04/2023,34600,32800,34500,33900,2587300,33300
105,25/04/2023,34450,32800,34450,32900,1700000,32400
106,26/04/2023,33600,32600,32650,33600,1078700,33000
107,27/04/2023,33800,33100,33600,33350,791900,32800
108,28/04/2023,34400,33550,33550,34300,1741700,33700
109,04/05/2023,34350,33500,34100,33550,1120100,33000
110,05/05/2023,34000,33300,33950,33550,813300,33000
111,08/05/2023,34000,32600,33900,32900,1860400,32400
112,09/05/2023,33450,32600,33000,33350,928500,32800
113,10/05/2023,34550,33350,33400,34500,1582400,33900
114,11/05/2023,35000,34000,34900,34300,1752800,33700
115,12/05/2023,34400,33750,34400,34050,1904000,33500
116,15/05/2023,34700,33500,34700,33500,1698500,32900
117,16/05/2023,33650,32700,33600,32900,1928400,32400
118,17/05/2023,33400,32800,33150,32900,1128100,32400
119,18/05/2023,33200,32900,33000,33000,702300,32500
120,19/05/2023,33450,32800,33050,33050,699500,32500
121,22/05/2023,34300,33050,33050,34150,1767500,33600
122,23/05/2023,34300,33550,34300,33800,1145100,33200
123,24/05/2023,33950,33300,33950,33300,1148000,32800
124,25/05/2023,33150,32800,33150,32850,1512000,32300
125,26/05/2023,33400,32950,33000,33100,418900,32600
126,29/05/2023,34200,33200,33300,34100,1776400,33500
127,30/05/2023,35800,34250,34300,35650,3654200,35100
128,31/05/2023,35800,35200,35650,35400,1522100,34800
129,01/06/2023,36400,35300,35550,36200,2288200,35600
130,02/06/2023,37500,35750,36500,37350,2582400,36700
131,05/06/2023,38150,37050,38100,37450,2155100,36800
132,06/06/2023,38000,37100,37100,37300,2116400,36700
133,07/06/2023,38300,37150,37300,38000,2271300,37400
134,08/06/2023,38400,37000,38300,37100,1795100,36500
135,09/06/2023,38350,36950,37100,38350,2107000,37700
136,12/06/2023,41000,38750,39000,41000,3973500,40300
137,13/06/2023,41750,40650,41400,40700,2563100,40000
138,14/06/2023,41100,39900,40800,39900,2549800,39200
139,15/06/2023,40100,39000,39900,39500,2205500,38800
140,16/06/2023,40950,38850,40000,39000,2035300,38400
141,19/06/2023,40500,38750,39250,40200,2304800,39500
142,20/06/2023,41000,40200,40200,41000,1455600,40300
143,21/06/2023,41350,40550,41000,41000,2449500,40300
144,22/06/2023,42200,40850,41000,41700,2124800,41000
145,23/06/2023,41900,40900,41900,41000,1929000,40300
146,26/06/2023,42800,40350,41700,42800,3513800,42100
147,27/06/2023,43150,42200,42800,42500,1869200,41800
148,28/06/2023,42800,42000,42600,42200,1344700,41500
149,29/06/2023,42400,40400,42300,40400,2157700,39700
150,30/06/2023,42500,40350,40450,41600,2370400,40900
151,03/07/2023,42200,41600,41800,41800,1012000,41100
152,04/07/2023,42900,41550,41800,42300,1691200,41600
153,05/07/2023,44300,42450,42450,43250,3560800,42500
154,06/07/2023,43700,42200,43250,43000,2285300,42300
155,07/07/2023,46000,42400,42700,46000,3865300,45200
156,10/07/2023,48600,46550,46950,47850,3227700,47100
157,11/07/2023,48800,47000,47800,48400,3337500,47600
158,12/07/2023,49500,48100,48400,49000,2859500,48200
159,13/07/2023,51000,49000,49700,50400,1931800,49600
160,14/07/2023,50900,49000,50900,50000,1899100,49200
161,17/07/2023,50900,49300,50000,49350,1844400,48500
162,18/07/2023,49400,48000,49350,49000,3187800,48200
163,19/07/2023,49800,48600,49100,49350,1778600,48500
164,20/07/2023,51400,49050,49400,51400,3983600,50600
165,21/07/2023,54900,51000,51500,54900,3043500,54000
166,24/07/2023,55100,53500,55100,54500,2300200,53600
167,25/07/2023,54800,52700,53900,53500,2887400,52600
168,26/07/2023,54400,52200,53500,52400,2610000,51500
169,27/07/2023,54300,52400,52900,54100,2307900,53200
170,28/07/2023,54400,52700,54000,53500,2462300,52600
171,31/07/2023,54800,52500,53200,54100,2387700,53200
172,01/08/2023,54800,53100,54800,53100,1455200,52200
173,02/08/2023,54200,52900,53100,54000,1785000,53100
174,03/08/2023,56800,53800,54100,56000,4464700,55100
175,04/08/2023,56400,55500,56100,56000,1199400,55100
176,07/08/2023,58000,55600,56700,56200,2056200,55300
177,08/08/2023,56900,55000,56200,55100,1818500,54200
178,09/08/2023,56000,54400,54600,55800,1616300,54900
179,10/08/2023,56000,54200,56000,54500,1245400,53600
180,11/08/2023,54800,51900,54600,53600,3406500,52700
181,14/08/2023,55400,52600,53900,54500,2248200,53600
182,15/08/2023,55500,54000,55500,54000,1696700,53100
183,16/08/2023,54400,52700,54000,53000,1517500,52100
184,17/08/2023,54200,52300,53000,53700,2326800,52800
185,18/08/2023,53300,49950,53000,49950,3750700,49100
186,21/08/2023,50200,48150,48300,48550,1914200,47800
187,22/08/2023,51900,48000,49500,51900,3425100,51000
188,23/08/2023,52800,51200,52800,51400,1292200,50600
189,24/08/2023,54300,51400,51800,53800,3059900,52900
190,25/08/2023,55600,53600,53800,55000,2671500,54100
191,28/08/2023,57500,55000,55800,56900,3184400,56000
192,29/08/2023,57900,55600,56900,57300,2547400,56400
193,30/08/2023,59200,57300,57400,58200,2173200,57200
194,31/08/2023,58600,57800,58500,57900,1923300,56900
195,05/09/2023,59800,57000,57900,59000,1966000,58000
196,06/09/2023,60600,58500,59000,59900,1688900,58900
197,07/09/2023,60500,58700,60500,58800,2041500,57800
198,08/09/2023,60500,58500,58600,59900,1813800,58900
199,11/09/2023,62300,60000,61000,60000,2679100,59000
200,12/09/2023,62000,59600,60800,62000,1949100,61000
201,13/09/2023,63900,61000,62900,61400,2858700,60400
202,14/09/2023,61400,59300,61400,59500,3154900,58500
203,15/09/2023,60100,57500,59900,58900,1871000,57900
204,18/09/2023,59900,58100,58500,58500,1757400,57500
205,19/09/2023,60300,57700,59400,60300,2383700,59300
206,20/09/2023,62800,60400,60600,62600,2528300,61600
207,21/09/2023,62600,61000,62000,61000,2119400,60000
208,22/09/2023,60300,56900,59000,58000,3821000,57000
209,25/09/2023,59000,54000,58000,54000,2818300,53100
