,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12700,12450,12700,12700,29409600,12700
1,22/11/2022,13550,12200,13350,13000,36518100,13000
2,23/11/2022,13100,12100,12700,12100,18978100,12100
3,24/11/2022,12450,11300,11400,12150,28696900,12200
4,25/11/2022,13000,12300,12600,13000,20627600,13000
5,28/11/2022,13900,13800,13900,13900,6090400,13900
6,29/11/2022,14850,13600,14850,14800,45771000,14800
7,30/11/2022,15800,14300,14800,15800,21464600,15800
8,01/12/2022,16900,15300,16900,16900,30680400,16900
9,02/12/2022,18050,16350,18000,18050,37004600,18100
10,05/12/2022,19300,18350,19150,19300,18050600,19300
11,06/12/2022,20400,17950,19300,17950,44242600,18000
12,07/12/2022,17900,16700,17000,16700,26931500,16700
13,08/12/2022,17850,17150,17200,17850,17111000,17900
14,09/12/2022,19050,17600,18700,19050,22983000,19100
15,12/12/2022,19800,17750,19200,17750,20850800,17800
16,13/12/2022,18450,16550,17250,18450,28579700,18500
17,14/12/2022,19000,17800,19000,17800,13755300,17800
18,15/12/2022,18450,17050,17450,18200,13989900,18200
19,16/12/2022,19000,17550,17750,19000,22899500,19000
20,19/12/2022,19700,18000,19300,18000,19117600,18000
21,20/12/2022,17950,16750,17800,16750,27131000,16800
22,21/12/2022,17200,15600,17200,15600,18035800,15600
23,22/12/2022,16300,15150,16150,16100,12998900,16100
24,23/12/2022,16500,15700,16000,15850,6582800,15900
25,26/12/2022,15950,14750,15950,14750,9201800,14800
26,27/12/2022,15750,13900,14000,15750,13955600,15800
27,28/12/2022,16300,15500,16150,15700,9508200,15700
28,29/12/2022,16100,14800,15700,14800,8422300,14800
29,30/12/2022,15100,14300,15000,14300,6044400,14300
30,03/01/2023,15300,14400,14400,15300,6305000,15300
31,04/01/2023,16150,15600,15700,15700,11586000,15700
32,05/01/2023,16100,15250,15750,15850,8350100,15900
33,06/01/2023,16150,15100,15800,15100,9497200,15100
34,09/01/2023,15500,14800,15400,14800,6428600,14800
35,10/01/2023,15300,14450,14900,15100,5990500,15100
36,11/01/2023,16000,15250,15300,15500,7319300,15500
37,12/01/2023,15700,15200,15700,15200,4787500,15200
38,13/01/2023,15600,15150,15350,15250,6248300,15300
39,16/01/2023,15300,14900,15250,14900,5251200,14900
40,17/01/2023,15500,14900,14900,15500,7823300,15500
41,18/01/2023,16550,15600,15800,16550,13970400,16600
42,19/01/2023,16900,16300,16600,16500,9266900,16500
43,27/01/2023,16950,16150,16800,16150,9192900,16200
44,30/01/2023,17250,15900,16100,17000,18169700,17000
45,31/01/2023,17500,16850,17100,17500,13722400,17500
46,01/02/2023,17900,16300,17750,16300,20068500,16300
47,02/02/2023,16500,15300,16350,15600,13078700,15600
48,03/02/2023,16050,15300,15900,15650,9380200,15700
49,06/02/2023,16000,15250,15500,15900,5357800,15900
50,07/02/2023,16000,15000,15850,15000,9213900,15000
51,08/02/2023,15300,14300,15100,14950,8538700,15000
52,09/02/2023,15300,14800,14950,14800,4938500,14800
53,10/02/2023,14850,14100,14850,14200,7574400,14200
54,13/02/2023,14000,13250,14000,13250,15213900,13300
55,14/02/2023,13500,13100,13250,13250,4773100,13300
56,15/02/2023,14150,13200,13250,14000,6964400,14000
57,16/02/2023,14350,13900,14250,14200,4815300,14200
58,17/02/2023,14850,14200,14300,14200,7814700,14200
59,20/02/2023,15150,14400,14400,15150,12463900,15200
60,21/02/2023,15800,15300,15500,15300,10776500,15300
61,22/02/2023,15200,14300,14950,14300,11554000,14300
62,23/02/2023,14500,13400,14300,14250,10228700,14300
63,24/02/2023,14450,13750,14300,13800,4404800,13800
64,27/02/2023,13750,13200,13750,13200,7054000,13200
65,28/02/2023,13650,13300,13400,13500,4492300,13500
66,01/03/2023,13000,12600,12600,12600,34561000,12600
67,02/03/2023,13100,12500,12600,12600,6189000,12600
68,03/03/2023,12700,11750,12400,11750,22838300,11800
69,06/03/2023,12550,12100,12200,12550,12765400,12600
70,07/03/2023,12650,11850,12650,11950,10806300,12000
71,08/03/2023,12400,11700,11700,12200,8567400,12200
72,09/03/2023,12500,12050,12400,12100,6709300,12100
73,10/03/2023,12050,11750,11900,11800,9150400,11800
74,13/03/2023,11950,11500,11500,11600,6801800,11600
75,14/03/2023,11700,10850,11600,11000,11710100,11000
76,15/03/2023,11750,11300,11500,11750,9494000,11800
77,16/03/2023,12200,11500,11700,12000,12886200,12000
78,17/03/2023,12600,12100,12350,12450,17506700,12500
79,20/03/2023,12500,11700,12300,11700,10261400,11700
80,21/03/2023,12150,11600,11900,12050,11849400,12100
81,22/03/2023,12600,12200,12400,12250,10979200,12300
82,23/03/2023,12500,12050,12100,12500,9956100,12500
83,24/03/2023,13000,12400,12600,12750,19065100,12800
84,27/03/2023,13300,12800,12900,13250,16592800,13300
85,28/03/2023,13550,12900,13500,12900,15145500,12900
86,29/03/2023,13200,12750,13000,13150,8402200,13200
87,30/03/2023,13500,12900,13500,12900,11277600,12900
88,31/03/2023,13600,12800,12950,13500,14812900,13500
89,03/04/2023,14400,13950,14100,14400,20426500,14400
90,04/04/2023,15150,14600,14600,14900,17006200,14900
91,05/04/2023,15500,14650,14750,15500,19498100,15500
92,06/04/2023,16550,15600,15800,15900,31893200,15900
93,07/04/2023,17000,15950,16200,17000,27903700,17000
94,10/04/2023,17800,17050,17600,17400,26975500,17400
95,11/04/2023,17500,16200,17050,17500,41249300,17500
96,12/04/2023,17850,16850,17550,17200,20607700,17200
97,13/04/2023,17950,17050,17500,17400,24484400,17400
98,14/04/2023,17600,16200,17500,16200,40777800,16200
99,17/04/2023,16350,15800,16200,16300,14373900,16300
100,18/04/2023,17400,15900,16300,17400,33347500,17400
101,19/04/2023,17950,17000,17750,17000,26458500,17000
