,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,46000,44400,44950,44550,70500,21300
1,22/11/2022,45550,44000,44200,45000,195000,21600
2,23/11/2022,45300,44500,45000,44550,85400,21300
3,24/11/2022,44600,43150,44000,44200,84300,21200
4,25/11/2022,45900,44200,44600,45900,147200,22000
5,28/11/2022,48500,46500,46500,48000,173800,23000
6,29/11/2022,51300,48200,51300,49500,209500,23700
7,30/11/2022,52100,48500,50300,51000,240500,24400
8,01/12/2022,52800,51100,52800,52700,126600,25300
9,02/12/2022,53900,52000,53000,53900,226900,25800
10,05/12/2022,56000,53900,56000,54000,132900,25900
11,06/12/2022,54200,51100,54000,52900,304430,25300
12,07/12/2022,52900,51600,52800,52900,80500,25300
13,08/12/2022,54500,52900,52900,53300,142500,25500
14,09/12/2022,53300,52100,53300,52800,89500,25300
15,12/12/2022,53600,52500,52500,53500,230100,25600
16,13/12/2022,55400,52300,53500,55300,135100,26500
17,14/12/2022,56600,55500,55800,56300,58800,27000
18,15/12/2022,57000,56300,56300,56600,56200,27100
19,16/12/2022,57300,55600,55800,57300,118800,27500
20,19/12/2022,57500,56700,57300,56700,49400,27200
21,20/12/2022,56500,53800,56000,55400,62500,26500
22,21/12/2022,55800,53900,55800,55200,79800,26500
23,22/12/2022,55500,54000,55400,54800,6100,26300
24,23/12/2022,55000,54000,54900,54000,13800,25900
25,26/12/2022,55000,51500,54900,51500,90300,24700
26,27/12/2022,53000,50700,50700,52800,23300,25300
27,28/12/2022,53400,52500,52800,53400,31000,25600
28,29/12/2022,53600,51900,51900,53200,14100,25500
29,30/12/2022,53200,52500,53000,52800,34700,25300
30,03/01/2023,54200,52400,52400,54000,80800,25900
31,04/01/2023,54900,53800,54200,54300,98300,26000
32,05/01/2023,54900,53500,54800,54000,57600,25900
33,06/01/2023,54900,54000,54400,54700,162800,26200
34,09/01/2023,54900,53400,54900,53800,20900,25800
35,10/01/2023,54000,53000,53900,53900,51600,25800
36,11/01/2023,54800,54000,54000,54100,99800,25900
37,12/01/2023,55000,54100,54100,54500,103300,26100
38,13/01/2023,54900,54000,54500,54900,227500,26300
39,16/01/2023,57000,54800,55000,57000,164800,27300
40,17/01/2023,58600,57000,57000,58000,71500,27800
41,18/01/2023,58300,56500,58200,57500,60700,27600
42,19/01/2023,57000,56000,56200,56900,87600,27300
43,27/01/2023,58600,57000,57300,57800,54500,27700
44,30/01/2023,58000,55900,58000,56200,134600,26900
45,31/01/2023,56500,55800,55900,56300,62500,27000
46,01/02/2023,58500,56200,56800,56700,166800,27200
47,02/02/2023,56700,55800,56400,56000,42900,26800
48,03/02/2023,56800,55700,56000,56000,82000,26800
49,06/02/2023,56000,55500,56000,55600,49700,26600
50,07/02/2023,56200,54500,55700,54500,66100,26100
51,08/02/2023,55400,53900,54500,54800,36800,26300
52,09/02/2023,55000,54100,54900,54800,59600,26300
53,10/02/2023,55400,53500,54900,53500,50300,25600
54,13/02/2023,53500,51600,53500,52900,93800,25300
55,14/02/2023,53200,52700,52900,52900,19100,25300
56,15/02/2023,53500,52800,53400,53300,32400,25500
57,16/02/2023,54900,53500,53600,54900,41200,26300
58,17/02/2023,55000,53800,54900,54900,13900,26300
59,20/02/2023,55400,54400,54900,55400,24800,26500
60,21/02/2023,56000,54000,56000,54000,54200,25900
61,22/02/2023,54200,53300,53800,53800,115900,25800
62,23/02/2023,53800,52500,53800,53100,136500,25400
63,24/02/2023,53700,52500,53700,52600,12000,25200
64,27/02/2023,52500,51500,52500,51900,141100,24900
65,28/02/2023,52000,50400,52000,51000,56900,24400
66,01/03/2023,51900,51000,51100,51900,118700,24900
67,02/03/2023,52200,51000,52200,51500,21000,24700
68,03/03/2023,52200,51100,51100,52000,126800,24900
69,06/03/2023,52600,51100,52000,52000,10400,24900
70,07/03/2023,52400,50900,52400,51100,76500,24500
71,08/03/2023,51700,51100,51100,51500,5800,24700
72,09/03/2023,51900,51100,51900,51800,17800,24800
73,10/03/2023,51900,51100,51900,51300,20800,24600
74,13/03/2023,51700,47850,51300,51000,27700,24400
75,14/03/2023,51200,49700,51000,51200,74100,24500
76,15/03/2023,51900,50600,51200,51900,48900,24900
77,16/03/2023,51500,50600,51400,51100,78200,24500
78,17/03/2023,51300,51100,51100,51300,25000,24600
79,20/03/2023,51300,49500,51300,49800,42600,23900
80,21/03/2023,50500,49500,50400,50500,11200,24200
81,22/03/2023,50500,50100,50200,50100,16200,24000
82,23/03/2023,50500,50000,50100,50000,19300,24000
83,24/03/2023,50600,50500,50500,50500,9300,24200
84,27/03/2023,51200,50300,51200,50700,9000,24300
85,28/03/2023,51200,50600,51200,50800,13800,24300
86,29/03/2023,51000,50600,50800,50900,6500,24400
