,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,42650,42000,42000,42500,5000,38200
1,22/11/2022,42650,42500,42650,42500,5700,38200
2,23/11/2022,44350,42800,44350,43600,1000,39200
3,24/11/2022,42300,42000,42000,42300,19500,38000
4,25/11/2022,43500,42500,43500,43500,8100,39100
5,28/11/2022,46500,43500,43600,44000,13800,39600
6,29/11/2022,46900,44200,46500,46600,10300,41900
7,30/11/2022,49700,45600,46500,49700,17400,44700
8,01/12/2022,48000,47050,47050,47600,20800,42800
9,02/12/2022,48000,46100,48000,46850,9100,42100
10,05/12/2022,46850,46100,46850,46700,5100,42000
11,06/12/2022,47950,46050,46050,46850,3200,42100
12,07/12/2022,46200,45300,46200,45800,6300,41200
13,08/12/2022,46000,45450,45800,45950,10100,41300
14,09/12/2022,45900,45000,45200,45900,8500,41300
15,12/12/2022,48000,45000,48000,45900,27400,41300
16,13/12/2022,47800,45150,45150,46000,17100,41400
17,14/12/2022,46000,45000,46000,45000,13200,41400
18,15/12/2022,46000,44150,44150,45050,2400,41400
19,16/12/2022,45950,44150,45050,45250,2000,41600
20,19/12/2022,46000,45000,45250,45300,20800,41600
21,20/12/2022,45800,45000,45400,45400,18500,41700
22,21/12/2022,45050,45000,45050,45000,2800,41400
23,22/12/2022,45500,43650,45000,45500,3700,41800
24,23/12/2022,45950,45750,45950,45750,1200,42100
25,26/12/2022,45750,44050,45750,45700,2000,42000
26,27/12/2022,46800,44100,44100,46000,41600,42300
27,28/12/2022,46000,44100,46000,46000,2600,42300
28,29/12/2022,46400,45800,46000,46300,28900,42600
29,30/12/2022,46300,45800,46300,45900,9000,42200
30,03/01/2023,46600,45200,45900,46000,11900,42300
31,04/01/2023,46050,46000,46000,46000,12000,42300
32,05/01/2023,46500,46000,46000,46100,7000,42400
33,06/01/2023,46500,46300,46300,46500,13500,42700
34,09/01/2023,46650,46450,46500,46550,22000,42800
35,10/01/2023,46700,46400,46700,46500,16000,42700
36,11/01/2023,46800,46000,46000,46500,24500,42700
37,12/01/2023,46500,46400,46500,46450,5200,42700
38,13/01/2023,46500,46000,46450,46450,15200,42700
39,16/01/2023,47000,46400,47000,46600,25300,42800
40,17/01/2023,47000,46400,46600,46900,11300,43100
41,18/01/2023,47450,46900,47000,46900,8900,43100
42,19/01/2023,48000,46600,47000,48000,38700,44100
43,27/01/2023,49900,46900,48100,48000,41000,44100
44,30/01/2023,48500,47000,48000,48500,28200,44600
45,31/01/2023,49850,47900,48500,47900,33100,44000
46,01/02/2023,51200,47500,47500,48000,45700,44100
47,02/02/2023,48000,47000,48000,47900,28600,44000
48,03/02/2023,47900,47000,47800,47500,8800,43700
49,06/02/2023,48000,47600,48000,47600,1800,43800
50,07/02/2023,48000,47550,48000,47900,6200,44000
51,08/02/2023,47900,47000,47900,47800,37400,43900
52,09/02/2023,47900,47000,47800,47900,23100,44000
53,10/02/2023,48400,47800,47900,47950,3800,44100
54,13/02/2023,48150,46400,47700,47400,34200,43600
55,14/02/2023,47400,47300,47400,47400,5300,43600
56,15/02/2023,48000,47100,47400,47900,5600,44000
57,16/02/2023,48000,47200,48000,47900,1100,44000
58,17/02/2023,48500,47900,47900,48500,66700,44600
59,20/02/2023,48500,48000,48500,48400,14700,44500
60,21/02/2023,48400,47300,48400,48000,36200,44100
61,22/02/2023,48000,47200,47350,47950,7900,44100
62,23/02/2023,47950,46350,47950,47600,29700,43800
63,24/02/2023,47900,47350,47900,47800,2100,43900
64,27/02/2023,47600,47200,47600,47350,5100,43500
