,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,16700,16170,16700,16290,1325400,16300
1,22/11/2022,16800,16020,16290,16120,5549700,16100
2,23/11/2022,16200,15900,16120,16060,4533900,16100
3,24/11/2022,16100,15780,16100,16020,3075900,16000
4,25/11/2022,16410,16200,16200,16410,547000,16400
5,28/11/2022,17180,16510,16510,16850,3374400,16900
6,29/11/2022,17340,16950,17150,17340,7116800,17300
7,30/11/2022,17800,17300,17350,17800,6505200,17800
8,01/12/2022,18260,17600,18160,18100,7569100,18100
9,02/12/2022,18500,17510,18000,18500,4123500,18500
10,05/12/2022,19100,18560,18560,18890,2404700,18900
11,06/12/2022,18900,18100,18900,18100,5355400,18100
12,07/12/2022,18110,17700,18100,18000,2940100,18000
13,08/12/2022,18620,18040,18040,18100,7201900,18100
14,09/12/2022,18320,17880,18160,18180,2739500,18200
15,12/12/2022,18320,17700,18200,17800,92700,17800
16,13/12/2022,17900,17470,17800,17900,2763300,17900
17,14/12/2022,18280,17950,18000,17960,468200,18000
18,15/12/2022,18300,18000,18190,18300,450400,18300
19,16/12/2022,18350,18010,18200,18180,94700,18200
20,19/12/2022,18370,17990,18070,17990,4560600,18000
21,20/12/2022,17940,17270,17940,17590,1457600,17600
22,21/12/2022,17900,17270,17620,17430,3039000,17400
23,22/12/2022,17860,17460,17460,17700,1144000,17700
24,23/12/2022,17730,17410,17700,17700,3074100,17700
25,26/12/2022,17720,17000,17530,17160,2660900,17200
26,27/12/2022,17600,16870,17000,17500,1259000,17500
27,28/12/2022,17500,17030,17500,17400,787300,17400
28,29/12/2022,17500,17230,17400,17230,69800,17200
29,30/12/2022,17490,17110,17490,17330,968700,17300
30,03/01/2023,17700,17240,17370,17700,682900,17700
31,04/01/2023,17950,17770,17770,17900,88400,17900
32,05/01/2023,18130,17900,17900,18070,120900,18100
33,06/01/2023,18240,17980,18080,17980,547300,18000
34,09/01/2023,18360,18040,18300,18050,5487100,18100
35,10/01/2023,18560,18000,18500,18070,5747900,18100
36,11/01/2023,18300,18080,18120,18080,594700,18100
37,12/01/2023,18490,18050,18200,18130,2097700,18100
38,13/01/2023,18360,18160,18160,18360,6286000,18400
39,16/01/2023,18380,18110,18360,18250,2620300,18300
40,17/01/2023,18800,18350,18350,18780,2269500,18800
41,18/01/2023,19000,18800,18800,19000,2099800,19000
42,19/01/2023,19400,18950,19000,19400,590400,19400
43,27/01/2023,19440,19210,19400,19210,1285700,19200
44,30/01/2023,19270,19000,19250,19000,5703200,19000
45,31/01/2023,19200,18720,19000,19200,142300,19200
46,01/02/2023,19300,18510,19300,18520,2553500,18500
47,02/02/2023,18720,18470,18720,18550,176600,18600
48,03/02/2023,18700,18440,18690,18490,632700,18500
49,06/02/2023,18630,18280,18400,18560,808000,18600
50,07/02/2023,18730,18300,18580,18490,4257200,18500
51,08/02/2023,18750,18210,18750,18380,382200,18400
52,09/02/2023,18370,18120,18340,18120,873700,18100
53,10/02/2023,18140,17880,18120,18120,558300,18100
54,13/02/2023,18120,17480,18120,17790,347300,17800
55,14/02/2023,18200,17590,18200,17650,1106100,17700
56,15/02/2023,17930,17600,17730,17740,2401300,17700
57,16/02/2023,17970,17750,17970,17920,892400,17900
58,17/02/2023,18000,17850,18000,17860,1729700,17900
59,20/02/2023,18420,17900,17910,18320,205200,18300
60,21/02/2023,18660,18370,18450,18400,962000,18400
61,22/02/2023,18340,18010,18340,18010,616100,18000
62,23/02/2023,18020,17500,17940,17980,2313100,18000
63,24/02/2023,17970,17480,17970,17720,2141500,17700
64,27/02/2023,17660,17050,17660,17220,1673900,17200
65,28/02/2023,17420,17170,17420,17300,1330700,17300
66,01/03/2023,17700,17060,17200,17540,543000,17500
67,02/03/2023,17730,17440,17540,17650,3517500,17700
68,03/03/2023,17800,17270,17800,17270,78500,17300
69,06/03/2023,17890,17300,17510,17300,2150600,17300
70,07/03/2023,17690,17390,17590,17450,1079000,17500
71,08/03/2023,17700,17340,17400,17700,1446400,17700
72,09/03/2023,17970,17700,17700,17930,2284000,17900
73,10/03/2023,17850,17670,17840,17850,2443000,17900
74,13/03/2023,17920,17700,17700,17870,1217800,17900
75,14/03/2023,17890,17590,17870,17640,1845900,17600
76,15/03/2023,18800,17840,17840,18120,6068500,18100
77,16/03/2023,18120,17770,18120,17770,686100,17800
78,17/03/2023,18060,17790,17830,17800,259900,17800
79,20/03/2023,17770,17400,17710,17400,1076500,17400
80,21/03/2023,17650,17370,17530,17600,329800,17600
81,22/03/2023,17840,17680,17680,17840,4222100,17800
82,23/03/2023,17830,17610,17640,17770,312800,17800
83,24/03/2023,18030,17850,17850,17970,377800,18000
84,27/03/2023,18200,17850,18010,17980,3157000,18000
85,28/03/2023,18180,18000,18100,18180,2042700,18200
86,29/03/2023,18180,17980,18180,18030,969000,18000
87,30/03/2023,18290,18180,18200,18220,518900,18200
88,31/03/2023,18400,18250,18340,18400,515600,18400
89,03/04/2023,19580,18470,18500,18570,2714600,18600
90,04/04/2023,18620,18520,18600,18620,3199800,18600
91,05/04/2023,18600,18480,18500,18600,854000,18600
92,06/04/2023,18670,18500,18670,18500,4376400,18500
93,07/04/2023,18500,18290,18500,18380,536500,18400
94,10/04/2023,18540,18350,18400,18380,889100,18400
95,11/04/2023,18550,18130,18410,18550,295400,18600
96,12/04/2023,18570,18400,18550,18490,901700,18500
97,13/04/2023,18500,18330,18500,18340,230100,18300
98,14/04/2023,18590,18230,18590,18300,492400,18300
99,17/04/2023,18290,18100,18250,18200,542200,18200
100,18/04/2023,18230,18130,18220,18170,394700,18200
101,19/04/2023,18270,18020,18180,18070,520700,18100
102,20/04/2023,18090,17970,18070,18060,241500,18100
103,21/04/2023,18170,17870,18170,17890,322800,17900
104,24/04/2023,18030,17780,18000,17900,5374900,17900
105,25/04/2023,17960,17700,17890,17700,389900,17700
106,26/04/2023,18080,17600,17700,17920,195000,17900
107,27/04/2023,17960,17750,17960,17780,63700,17800
108,28/04/2023,18200,17800,17940,18200,4277200,18200
109,04/05/2023,18050,17700,18050,17930,252800,17900
110,05/05/2023,18000,17680,17930,18000,230900,18000
111,08/05/2023,18000,17750,17970,18000,1241300,18000
112,09/05/2023,18110,17860,18100,18000,1884300,18000
113,10/05/2023,18020,17890,18000,18020,254800,18000
114,11/05/2023,18080,17960,18020,17990,296000,18000
115,12/05/2023,18160,17900,17990,18160,3727300,18200
116,15/05/2023,18420,18170,18180,18240,2042800,18200
117,16/05/2023,18390,18170,18380,18230,597800,18200
118,17/05/2023,18320,18030,18230,18030,1007000,18000
119,18/05/2023,18300,18040,18040,18300,557900,18300
120,19/05/2023,18300,18040,18150,18200,4335800,18200
121,22/05/2023,18300,18190,18200,18280,2230700,18300
122,23/05/2023,18400,18010,18290,18010,587100,18000
123,24/05/2023,18250,18120,18240,18120,1692300,18100
124,25/05/2023,18120,17980,18100,18090,1240300,18100
125,26/05/2023,18120,18040,18110,18050,440400,18100
126,29/05/2023,18230,18060,18060,18200,886400,18200
127,30/05/2023,18380,18200,18300,18250,383600,18300
128,31/05/2023,18410,18200,18300,18410,149000,18400
129,01/06/2023,18450,18200,18410,18200,356400,18200
130,02/06/2023,18630,18330,18340,18630,1284500,18600
131,05/06/2023,18880,18500,18600,18500,301600,18500
132,06/06/2023,18770,18640,18650,18640,755500,18600
133,07/06/2023,18900,18810,18820,18820,1008800,18800
134,08/06/2023,19000,18760,18850,18760,79200,18800
135,09/06/2023,18800,18640,18760,18740,1172600,18700
136,12/06/2023,18880,18710,18800,18880,1304700,18900
137,13/06/2023,19050,18890,18890,19030,840700,19000
138,14/06/2023,19240,19050,19050,19100,1267400,19100
139,15/06/2023,19120,19000,19100,19000,1967200,19000
140,16/06/2023,19250,19000,19000,19000,665600,19000
141,19/06/2023,19070,18790,19000,18890,1069900,18900
142,20/06/2023,18900,18810,18900,18880,41200,18900
143,21/06/2023,19000,18900,18990,18950,986500,19000
