,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,13600,13600,13600,13600,-,13600
1,22/11/2022,13600,13600,13600,13600,-,13600
2,23/11/2022,13600,13600,13600,13600,-,13600
3,24/11/2022,13600,13600,13600,13600,-,13600
4,25/11/2022,13600,13600,13600,13600,-,13600
5,28/11/2022,13600,13600,13600,13600,-,13600
6,29/11/2022,13600,13600,13600,13600,-,13600
7,30/11/2022,13600,13600,13600,13600,-,13600
8,01/12/2022,13600,13600,13600,13600,-,13600
9,02/12/2022,13600,13600,13600,13600,-,13600
10,05/12/2022,13600,13600,13600,13600,-,13600
11,06/12/2022,13600,13600,13600,13600,-,13600
12,07/12/2022,13600,13600,13600,13600,-,13600
13,08/12/2022,13600,13600,13600,13600,-,13600
14,09/12/2022,13600,13600,13600,13600,-,13600
15,12/12/2022,14000,14000,14000,14000,100,14000
16,13/12/2022,14000,14000,14000,14000,-,14000
17,14/12/2022,14000,14000,14000,14000,-,14000
18,15/12/2022,14000,14000,14000,14000,100,14000
19,16/12/2022,14000,14000,14000,14000,-,14000
20,19/12/2022,14000,14000,14000,14000,100,14000
21,20/12/2022,14000,14000,14000,14000,-,14000
22,21/12/2022,14000,14000,14000,14000,-,14000
23,22/12/2022,14000,14000,14000,14000,100,14000
24,23/12/2022,14000,14000,14000,14000,-,14000
25,26/12/2022,14000,14000,14000,14000,-,14000
26,27/12/2022,14800,14000,14000,14800,300,14800
27,28/12/2022,15400,15400,15400,15400,100,15400
28,29/12/2022,16000,16000,16000,16000,100,16000
29,30/12/2022,16800,16800,16800,16800,100,16800
30,03/01/2023,16800,16800,16800,16800,-,16800
31,04/01/2023,16800,16800,16800,16800,-,16800
32,05/01/2023,16800,16800,16800,16800,-,16800
33,06/01/2023,16800,16800,16800,16800,-,16800
34,09/01/2023,16800,16800,16800,16800,-,16800
35,10/01/2023,16800,16800,16800,16800,-,16800
36,11/01/2023,16800,16800,16800,16800,-,16800
37,12/01/2023,16800,16800,16800,16800,-,16800
38,13/01/2023,16800,16800,16800,16800,-,16800
39,16/01/2023,16800,16800,16800,16800,-,16800
40,17/01/2023,16800,16800,16800,16800,-,16800
41,18/01/2023,16800,16800,16800,16800,-,16800
42,19/01/2023,16800,16800,16800,16800,-,16800
43,27/01/2023,16800,16800,16800,16800,-,16800
44,30/01/2023,16800,16800,16800,16800,-,16800
45,31/01/2023,16800,16800,16800,16800,-,16800
46,01/02/2023,16800,16800,16800,16800,-,16800
47,02/02/2023,16800,16800,16800,16800,-,16800
48,03/02/2023,16800,16800,16800,16800,-,16800
49,06/02/2023,16800,16800,16800,16800,-,16800
50,07/02/2023,16800,16800,16800,16800,-,16800
51,08/02/2023,16800,16800,16800,16800,-,16800
52,09/02/2023,16800,16800,16800,16800,-,16800
53,10/02/2023,16800,16800,16800,16800,-,16800
54,13/02/2023,16800,16800,16800,16800,-,16800
55,14/02/2023,16800,16800,16800,16800,-,16800
