,Date,High,Low,Open,Close,Volume,Adj Close
0,25/05/2023,11690,9860,9990,11690,5600,11700
1,26/05/2023,12500,12500,12500,12500,900,12500
2,29/05/2023,13370,13370,13370,13370,1200,13400
3,30/05/2023,14300,14300,14300,14300,1800,14300
4,31/05/2023,15300,15300,15300,15300,4500,15300
5,01/06/2023,16370,16370,16370,16370,14300,16400
6,02/06/2023,17510,16370,17510,16500,4100,16500
7,05/06/2023,16500,15600,16500,15600,1700,15600
8,06/06/2023,15600,15110,15500,15600,900,15600
9,07/06/2023,15600,14510,14510,15600,1100,15600
10,08/06/2023,15450,14510,15450,14510,600,14500
11,09/06/2023,14510,13500,14510,14000,2100,14000
12,12/06/2023,14000,14000,14000,14000,100,14000
13,13/06/2023,14000,14000,14000,14000,400,14000
14,14/06/2023,14000,14000,14000,14000,-,14000
15,15/06/2023,14000,14000,14000,14000,-,14000
16,16/06/2023,14000,14000,14000,14000,300,14000
17,19/06/2023,14000,14000,14000,14000,-,14000
18,20/06/2023,13900,13090,13090,13900,300,13900
19,21/06/2023,13900,13900,13900,13900,200,13900
20,22/06/2023,13900,13900,13900,13900,-,13900
21,23/06/2023,14000,14000,14000,14000,100,14000
22,26/06/2023,14000,14000,14000,14000,-,14000
23,27/06/2023,14000,14000,14000,14000,-,14000
24,28/06/2023,14000,14000,14000,14000,-,14000
25,29/06/2023,14000,14000,14000,14000,600,14000
26,30/06/2023,14000,14000,14000,14000,-,14000
27,03/07/2023,14000,14000,14000,14000,100,14000
28,04/07/2023,14000,14000,14000,14000,-,14000
29,05/07/2023,14000,14000,14000,14000,-,14000
30,06/07/2023,14000,14000,14000,14000,-,14000
31,07/07/2023,14000,14000,14000,14000,100,14000
32,10/07/2023,14000,14000,14000,14000,300,14000
33,11/07/2023,14000,14000,14000,14000,-,14000
34,12/07/2023,14000,14000,14000,14000,-,14000
35,13/07/2023,14000,14000,14000,14000,-,14000
36,14/07/2023,14000,14000,14000,14000,-,14000
37,17/07/2023,13500,13450,13500,13450,300,13500
38,18/07/2023,13390,13390,13390,13390,100,13400
39,19/07/2023,13380,12500,13380,12500,1200,12500
40,20/07/2023,12000,11630,12000,11630,1500,11600
41,21/07/2023,10820,10820,10820,10820,2900,10800
42,24/07/2023,11000,10500,11000,11000,400,11000
43,25/07/2023,11770,11600,11600,11760,1800,11800
44,26/07/2023,12400,11760,12000,11850,1100,11900
45,27/07/2023,12670,12670,12670,12670,131,12700
46,28/07/2023,12670,12670,12670,12670,34,12700
47,31/07/2023,13500,11790,11900,13500,2228,13500
48,01/08/2023,13990,13990,13990,13990,534,14000
49,02/08/2023,13990,13990,13990,13990,42,14000
50,03/08/2023,13990,13990,13990,13990,33,14000
51,04/08/2023,14000,13990,14000,13990,222,14000
52,07/08/2023,14960,13900,13900,14960,1031,15000
53,08/08/2023,14960,14960,14960,14960,34,15000
54,09/08/2023,16000,14500,15950,14500,3148,14500
55,10/08/2023,15510,15510,15510,15510,439,15500
56,11/08/2023,14900,14500,14900,14500,444,14500
57,14/08/2023,15510,15510,15510,15510,108,15500
58,15/08/2023,16590,16480,16480,16590,1106,16600
59,16/08/2023,16590,16590,16590,16590,13,16600
