,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,7550,7500,7550,7550,50400,7600
1,22/11/2022,7350,7350,7350,7350,25000,7400
2,23/11/2022,7430,7360,7430,7360,74100,7400
3,24/11/2022,7390,7330,7390,7330,50800,7300
4,25/11/2022,7530,7510,7510,7510,62300,7500
5,28/11/2022,7900,7830,7830,7900,57800,7900
6,29/11/2022,8450,7940,8450,7940,52400,7900
7,30/11/2022,8230,8070,8090,8230,52500,8200
8,01/12/2022,8410,8260,8380,8260,51200,8300
9,02/12/2022,8730,8210,8210,8730,53400,8700
10,05/12/2022,9020,8810,8830,8820,53200,8800
11,06/12/2022,8850,8590,8840,8590,54400,8600
12,07/12/2022,8480,8300,8300,8340,52000,8300
13,08/12/2022,8650,8450,8560,8450,52700,8500
14,09/12/2022,8660,8520,8520,8600,53300,8600
15,12/12/2022,8700,8490,8590,8490,56800,8500
16,13/12/2022,8520,8420,8440,8420,51700,8400
17,14/12/2022,8730,8720,8730,8720,50600,8700
18,15/12/2022,8810,8810,8810,8810,50000,8800
19,16/12/2022,8820,8800,8820,8800,50900,8800
20,19/12/2022,8970,8810,8970,8810,50300,8800
21,20/12/2022,8650,8490,8490,8650,52000,8700
22,21/12/2022,8650,8480,8650,8480,50400,8500
23,22/12/2022,8770,8650,8770,8650,51300,8700
24,23/12/2022,8610,8580,8580,8610,53200,8600
25,26/12/2022,8550,8480,8550,8480,50200,8500
26,27/12/2022,8460,8410,8410,8460,50100,8500
27,28/12/2022,8520,8520,8520,8520,100,8500
28,29/12/2022,8480,8450,8450,8480,52100,8500
29,30/12/2022,8500,8420,8480,8420,50500,8400
30,03/01/2023,8600,8570,8600,8570,50600,8600
31,04/01/2023,8810,8770,8800,8770,50900,8800
32,05/01/2023,8810,8790,8800,8810,50900,8800
33,06/01/2023,8980,8900,8900,8970,51200,9000
34,09/01/2023,9000,9000,9000,9000,50000,9000
35,10/01/2023,8920,8920,8920,8920,50000,8900
36,11/01/2023,9060,9040,9040,9060,51000,9100
37,12/01/2023,8990,8990,8990,8990,50000,9000
38,13/01/2023,9010,9010,9010,9010,50000,9000
39,16/01/2023,9040,9040,9040,9040,50000,9000
40,17/01/2023,9340,9140,9140,9340,51200,9300
41,18/01/2023,9470,9410,9420,9460,52100,9500
42,19/01/2023,9520,9520,9520,9520,50000,9500
43,27/01/2023,9650,9530,9610,9530,56400,9500
44,30/01/2023,9460,9460,9460,9460,50000,9500
45,31/01/2023,9350,9270,9350,9270,51100,9300
46,01/02/2023,9520,9270,9520,9270,52700,9300
47,02/02/2023,9270,9100,9270,9130,57500,9100
48,03/02/2023,9180,9120,9180,9120,50100,9100
49,06/02/2023,9130,9030,9030,9130,50100,9100
50,07/02/2023,9120,9000,9120,9000,51400,9000
51,08/02/2023,9080,9000,9000,9080,52400,9100
52,09/02/2023,9050,8980,9000,8980,52100,9000
53,10/02/2023,8980,8900,8980,8900,51000,8900
54,13/02/2023,8820,8740,8810,8740,54200,8700
55,14/02/2023,8810,8810,8810,8810,50000,8800
56,15/02/2023,8860,8820,8860,8820,53100,8800
57,16/02/2023,8880,8820,8820,8820,51800,8800
58,17/02/2023,8900,8840,8900,8840,53000,8800
59,20/02/2023,9070,9070,9070,9070,50700,9100
60,21/02/2023,9170,9140,9140,9170,50300,9200
61,22/02/2023,9010,8980,9010,8980,50400,9000
62,23/02/2023,8800,8790,8790,8800,50100,8800
63,24/02/2023,8790,8720,8790,8720,50600,8700
64,27/02/2023,8580,8580,8580,8580,50100,8600
65,28/02/2023,8680,8670,8680,8670,53600,8700
66,01/03/2023,8790,8510,8510,8790,54800,8800
67,02/03/2023,8770,8710,8770,8710,50400,8700
68,03/03/2023,8760,8650,8760,8650,50500,8700
69,06/03/2023,8820,8820,8820,8820,50200,8800
70,07/03/2023,8760,8750,8750,8760,52900,8800
71,08/03/2023,8720,8700,8720,8700,51900,8700
72,09/03/2023,9090,8970,8970,9090,51100,9100
73,10/03/2023,9020,8930,9020,8950,53300,9000
74,13/03/2023,9040,9000,9000,9040,54200,9000
75,14/03/2023,8930,8930,8930,8930,50000,8900
76,15/03/2023,9120,9120,9120,9120,50000,9100
77,16/03/2023,9060,9060,9060,9060,50000,9100
78,17/03/2023,9010,9010,9010,9010,50000,9000
79,20/03/2023,8950,8830,8950,8830,51000,8800
80,21/03/2023,8820,8710,8710,8820,50500,8800
81,22/03/2023,8850,8850,8850,8850,50000,8900
82,23/03/2023,8900,8900,8900,8900,50000,8900
83,24/03/2023,9060,9060,9060,9060,100,9100
84,27/03/2023,9130,9080,9130,9090,51000,9100
85,28/03/2023,9220,9210,9220,9210,52000,9200
86,29/03/2023,9170,9170,9170,9170,50000,9200
87,30/03/2023,9300,9300,9300,9300,50000,9300
88,31/03/2023,9350,9300,9300,9350,52000,9400
89,03/04/2023,9410,9370,9370,9410,50100,9400
90,04/04/2023,9440,9390,9410,9440,51200,9400
91,05/04/2023,9480,9400,9400,9480,50800,9500
92,06/04/2023,9500,9440,9500,9450,51100,9500
93,07/04/2023,9360,9360,9360,9360,50000,9400
94,10/04/2023,9450,9450,9450,9450,50100,9500
95,11/04/2023,9370,9370,9370,9370,50000,9400
96,12/04/2023,9470,9390,9420,9470,51800,9500
97,13/04/2023,9430,9430,9430,9430,50000,9400
98,14/04/2023,9400,9350,9400,9350,51100,9400
99,17/04/2023,9400,9400,9400,9400,50800,9400
100,18/04/2023,9300,9300,9300,9300,50000,9300
101,19/04/2023,9290,9280,9280,9290,50900,9300
102,20/04/2023,9200,9180,9180,9200,50100,9200
103,21/04/2023,9180,9140,9180,9140,51000,9100
104,24/04/2023,9190,9140,9180,9140,52100,9100
105,25/04/2023,9100,9100,9100,9100,50000,9100
106,26/04/2023,9040,9000,9040,9000,50400,9000
107,27/04/2023,9060,9050,9050,9060,50100,9100
108,28/04/2023,9270,9130,9130,9270,51000,9300
109,04/05/2023,9130,9130,9130,9130,50000,9100
110,05/05/2023,9090,9090,9090,9090,50000,9100
111,08/05/2023,9160,9160,9160,9160,50000,9200
112,09/05/2023,9220,9220,9220,9220,50000,9200
113,10/05/2023,9250,9250,9250,9250,50000,9300
114,11/05/2023,9300,9300,9300,9300,50000,9300
115,12/05/2023,9300,9300,9300,9300,50000,9300
116,15/05/2023,9400,9400,9400,9400,50000,9400
117,16/05/2023,9390,9390,9390,9390,50000,9400
118,17/05/2023,9400,9390,9390,9400,51200,9400
119,18/05/2023,9440,9440,9440,9440,50000,9400
120,19/05/2023,9300,9300,9300,9300,50000,9300
121,22/05/2023,9350,9350,9350,9350,50000,9400
122,23/05/2023,9370,9300,9370,9300,50400,9300
123,24/05/2023,9420,9330,9330,9330,169000,9300
124,25/05/2023,9400,9330,9400,9340,148300,9300
125,26/05/2023,9370,9300,9340,9340,228300,9300
126,29/05/2023,9440,9400,9400,9440,49000,9400
127,30/05/2023,9460,9420,9420,9460,49300,9500
128,31/05/2023,9430,9410,9410,9430,48200,9400
