,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,12250,11780,12250,11880,93900,11900
1,22/11/2022,12200,11050,11890,11930,112200,11900
2,23/11/2022,11910,11500,11910,11740,105400,11700
3,24/11/2022,11730,11550,11730,11690,35200,11700
4,25/11/2022,12030,11690,11690,12030,62200,12000
5,28/11/2022,12600,12040,12040,12500,63800,12500
6,29/11/2022,13230,12400,12500,13230,77200,13200
7,30/11/2022,13250,12780,13230,13250,52600,13300
8,01/12/2022,13500,13070,13500,13080,69700,13100
9,02/12/2022,13750,12940,13010,13510,87400,13500
10,05/12/2022,14050,13720,13750,13720,102500,13700
11,06/12/2022,13800,13350,13800,13350,57300,13400
12,07/12/2022,13350,13080,13100,13090,306400,13100
13,08/12/2022,13780,13300,13480,13510,52400,13500
14,09/12/2022,13530,13210,13390,13490,54600,13500
15,12/12/2022,13700,13200,13700,13290,73300,13300
16,13/12/2022,13370,13020,13300,13370,73400,13400
17,14/12/2022,13500,13270,13500,13400,53400,13400
18,15/12/2022,13580,13400,13570,13480,203600,13500
19,16/12/2022,13590,13390,13490,13580,45800,13600
20,19/12/2022,13650,13400,13550,13450,70600,13500
21,20/12/2022,13450,12910,13450,13110,77100,13100
22,21/12/2022,13200,13000,13130,13150,63700,13200
23,22/12/2022,13310,13100,13150,13280,51400,13300
24,23/12/2022,13700,13030,13240,13590,135900,13600
25,26/12/2022,13500,12740,13500,12820,82800,12800
26,27/12/2022,12810,12640,12800,12810,76000,12800
27,28/12/2022,13190,12700,13190,12900,34000,12900
28,29/12/2022,13070,12840,13070,12910,46000,12900
29,30/12/2022,12990,12850,12910,12950,48500,13000
30,03/01/2023,13390,12930,12950,13390,72100,13400
31,04/01/2023,13530,13380,13380,13420,89600,13400
32,05/01/2023,13640,13420,13420,13640,92600,13600
33,06/01/2023,13770,13460,13590,13570,109800,13600
34,09/01/2023,13660,13500,13570,13620,75000,13600
35,10/01/2023,13750,13410,13750,13500,86900,13500
36,11/01/2023,13840,13530,13840,13720,92200,13700
37,12/01/2023,13760,13510,13720,13510,67900,13500
38,13/01/2023,13700,13600,13650,13660,46600,13700
39,16/01/2023,13910,13630,13740,13910,82700,13900
40,17/01/2023,14010,13800,14000,14010,99700,14000
41,18/01/2023,14600,14030,14250,14300,122700,14300
42,19/01/2023,14340,14200,14260,14320,89800,14300
43,27/01/2023,14880,14430,14880,14580,143000,14600
44,30/01/2023,14800,14400,14780,14590,163700,14600
45,31/01/2023,14790,14200,14790,14520,99400,14500
46,01/02/2023,14720,14050,14450,14170,204600,14200
47,02/02/2023,14170,13820,14170,14040,81300,14000
48,03/02/2023,14340,13850,14050,13910,65300,13900
49,06/02/2023,14110,13720,14110,13920,98600,13900
50,07/02/2023,14130,13550,14130,13830,100500,13800
51,08/02/2023,13800,13600,13610,13750,73900,13800
52,09/02/2023,13750,13550,13750,13590,92300,13600
53,10/02/2023,13590,13290,13590,13440,115900,13400
54,13/02/2023,13450,13000,13450,13200,118300,13200
55,14/02/2023,13700,13100,13700,13220,81700,13200
56,15/02/2023,13380,13110,13200,13200,73200,13200
57,16/02/2023,13370,13200,13320,13370,107700,13400
58,17/02/2023,13500,13210,13490,13390,58600,13400
59,20/02/2023,13970,13400,13430,13970,95100,14000
60,21/02/2023,13970,13700,13970,13720,99300,13700
61,22/02/2023,13680,13420,13680,13480,155900,13500
62,23/02/2023,14010,13050,13480,13840,124400,13800
63,24/02/2023,13740,13020,13740,13080,129900,13100
64,27/02/2023,13100,12780,13060,12840,113300,12800
65,28/02/2023,13030,12840,13000,12880,87600,12900
66,01/03/2023,13780,12740,12880,13150,69600,13200
67,02/03/2023,13200,13020,13160,13090,81200,13100
68,03/03/2023,13130,12820,13050,12890,92500,12900
69,06/03/2023,13160,12880,13000,12900,92500,12900
70,07/03/2023,13200,12980,13190,13010,50100,13000
71,08/03/2023,13200,12890,13190,13200,94100,13200
72,09/03/2023,13300,13150,13250,13300,61900,13300
73,10/03/2023,13270,13150,13260,13220,69200,13200
74,13/03/2023,13350,13180,13220,13330,72500,13300
75,14/03/2023,13290,13030,13290,13200,96800,13200
76,15/03/2023,13420,13220,13220,13360,60500,13400
77,16/03/2023,13360,13180,13360,13180,118600,13200
78,17/03/2023,13320,13170,13240,13300,52200,13300
79,20/03/2023,13110,12900,13110,12990,139100,13000
80,21/03/2023,13110,12870,13010,13010,52400,13000
81,22/03/2023,13170,12990,13030,13130,2140200,13100
82,23/03/2023,13140,12930,13130,13140,53900,13100
83,24/03/2023,13500,13140,13210,13200,47700,13200
84,27/03/2023,13280,13180,13190,13180,98900,13200
85,28/03/2023,13400,13210,13210,13350,78900,13400
86,29/03/2023,13600,13210,13570,13420,74800,13400
87,30/03/2023,13540,13400,13420,13450,63300,13500
88,31/03/2023,13640,13410,13640,13510,53900,13500
89,03/04/2023,13700,13510,13610,13700,87400,13700
