,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,11450,11000,11000,11400,3700,11400
1,22/11/2022,11800,11400,11500,11400,2800,11400
2,23/11/2022,11850,11750,11750,11850,700,11900
3,24/11/2022,12000,11850,11900,11850,3600,11900
4,25/11/2022,12000,11050,12000,11050,35000,11100
5,28/11/2022,11800,11350,11800,11400,4800,11400
6,29/11/2022,12150,11500,12000,12100,2300,12100
7,30/11/2022,12650,12200,12200,12650,5800,12700
8,01/12/2022,13500,12800,13500,12800,3900,12800
9,02/12/2022,12900,11950,12000,12050,17500,12100
10,05/12/2022,12800,12050,12800,12050,1100,12100
11,06/12/2022,12000,11700,11700,12000,1900,12000
12,07/12/2022,12050,11200,12000,11200,22100,11200
13,08/12/2022,11800,10600,11800,11000,6800,11000
14,09/12/2022,11400,10300,11000,11400,18500,11400
15,12/12/2022,11400,11300,11400,11300,2000,11300
16,13/12/2022,11400,10800,11400,10800,4100,10800
17,14/12/2022,11550,10050,10800,11550,36900,11600
18,15/12/2022,12000,10900,11900,12000,31800,12000
19,16/12/2022,11900,11500,11900,11900,2300,11900
20,19/12/2022,11700,11200,11450,11700,18000,11700
21,20/12/2022,12000,10900,11000,10900,21800,10900
22,21/12/2022,11250,10300,11250,10500,5500,10500
23,22/12/2022,10500,9820,10500,9820,7200,9800
24,23/12/2022,10500,9950,10000,10500,19200,10500
25,26/12/2022,10500,10000,10500,10000,5600,10000
26,27/12/2022,9800,9350,9800,9600,119200,9600
27,28/12/2022,10250,9280,9700,10250,112300,10300
28,29/12/2022,10600,10000,10000,10600,5000,10600
29,30/12/2022,10400,9860,10400,9900,50500,9900
30,03/01/2023,10350,9760,10350,9900,12500,9900
31,04/01/2023,10000,9700,9900,9900,41600,9900
32,05/01/2023,10000,9890,10000,9890,9300,9900
33,06/01/2023,10200,9800,10200,9800,3900,9800
34,09/01/2023,9800,9400,9800,9400,7900,9400
35,10/01/2023,9800,9300,9600,9800,7500,9800
36,11/01/2023,10000,9800,9800,9900,4700,9900
37,12/01/2023,10000,9900,9900,10000,2800,10000
38,13/01/2023,10100,10000,10100,10000,13200,10000
39,16/01/2023,9800,9700,9800,9700,8200,9700
40,17/01/2023,10250,9800,10050,9800,5200,9800
41,18/01/2023,10350,9750,9750,10000,11600,10000
42,19/01/2023,10100,9900,10000,10100,7400,10100
43,27/01/2023,10800,10300,10450,10300,11400,10300
