,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,8100,7840,8100,7850,17900,7200
1,22/11/2022,8390,8010,8100,8300,58000,7600
2,23/11/2022,8400,8010,8300,8360,9600,7700
3,24/11/2022,8290,8050,8050,8190,25100,7500
4,25/11/2022,8200,8160,8180,8160,29000,7500
5,28/11/2022,8730,8200,8200,8730,52200,8000
6,29/11/2022,9250,8700,9000,9200,58500,8500
7,30/11/2022,9210,9000,9000,9180,35100,8400
8,01/12/2022,9350,9000,9200,9200,73900,8500
9,02/12/2022,9200,8800,9100,9200,87200,8500
10,05/12/2022,9300,9100,9210,9100,122500,8400
11,06/12/2022,9200,8980,9000,8980,78500,8300
12,07/12/2022,9000,8700,8700,8800,19200,8100
13,08/12/2022,9150,8800,9150,8990,20600,8300
14,09/12/2022,9000,8820,9000,8990,12600,8300
15,12/12/2022,9000,8800,9000,8990,35900,8300
16,13/12/2022,9000,8850,8990,8990,10600,8300
17,14/12/2022,9290,9000,9000,9290,143800,8500
18,15/12/2022,9590,9280,9290,9400,62200,8600
19,16/12/2022,9650,9170,9480,9300,22000,8500
20,19/12/2022,9300,9000,9300,9000,55300,8300
21,20/12/2022,9000,8740,8800,9000,45400,8300
22,21/12/2022,9100,8740,9100,9000,23700,8300
23,22/12/2022,9040,8800,8800,9040,13400,8300
24,23/12/2022,9080,8900,9080,9000,20200,8300
25,26/12/2022,9000,8700,9000,8700,54400,8000
26,27/12/2022,8700,8650,8650,8700,32000,8000
27,28/12/2022,9290,8700,8700,9240,149200,8500
28,29/12/2022,9490,9110,9490,9230,33700,8500
29,30/12/2022,9260,9120,9190,9190,24300,8400
30,03/01/2023,9550,9250,9300,9520,151400,8700
31,04/01/2023,9960,9630,9680,9760,273300,9000
32,05/01/2023,9830,9650,9760,9800,167700,9000
33,06/01/2023,9900,9680,9680,9680,180500,8900
34,09/01/2023,9900,9500,9800,9510,73500,8700
35,10/01/2023,9640,9410,9510,9640,14800,8900
36,11/01/2023,9820,9500,9820,9600,31500,8800
37,12/01/2023,9660,9460,9660,9590,32700,8800
38,13/01/2023,9700,9500,9520,9500,39600,8700
39,16/01/2023,9650,9270,9650,9480,24100,8700
40,17/01/2023,9790,9330,9580,9740,90000,9000
41,18/01/2023,9840,9700,9820,9820,47500,9000
42,19/01/2023,10250,9810,9840,10250,102800,9400
43,27/01/2023,10450,10200,10350,10250,156200,9400
44,30/01/2023,10650,10250,10350,10600,425900,9700
45,31/01/2023,10650,10400,10650,10550,226800,9700
46,01/02/2023,10650,10050,10600,10200,254500,9400
47,02/02/2023,10200,9930,10100,10000,173200,9200
48,03/02/2023,10250,9980,10000,10250,44000,9400
49,06/02/2023,10250,9990,10000,10250,18200,9400
50,07/02/2023,10350,9900,10250,9990,56600,9200
51,08/02/2023,10150,9960,10150,10050,33400,9200
52,09/02/2023,10200,9900,10200,10050,68800,9200
53,10/02/2023,10150,9940,10150,9940,4800,9100
54,13/02/2023,9980,9700,9950,9700,65600,8900
55,14/02/2023,9900,9600,9700,9890,10900,9100
56,15/02/2023,10550,9850,9900,10550,203200,9700
57,16/02/2023,11050,10700,11050,10800,275300,9900
58,17/02/2023,11350,10600,10900,11200,487700,10300
59,20/02/2023,11300,11000,11150,11300,162400,10400
60,21/02/2023,11400,10700,11400,10700,205600,9800
61,22/02/2023,11000,10500,10700,10500,299800,9600
62,23/02/2023,10700,10250,10700,10550,93700,9700
