,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,3300,3120,3120,3270,308000,3300
1,22/11/2022,3490,3270,3270,3450,525400,3500
2,23/11/2022,3490,3300,3450,3300,283400,3300
3,24/11/2022,3430,3190,3350,3300,282200,3300
4,25/11/2022,3530,3350,3400,3530,318300,3500
5,28/11/2022,3770,3700,3760,3770,412600,3800
6,29/11/2022,4030,3770,3950,4000,625000,4000
7,30/11/2022,4200,3800,4200,4100,385300,4100
8,01/12/2022,4300,4000,4200,4130,626900,4100
9,02/12/2022,4170,3950,4170,4120,554900,4100
10,05/12/2022,4250,4120,4250,4140,357300,4100
11,06/12/2022,4140,3860,4140,3860,845900,3900
12,07/12/2022,3850,3650,3650,3680,394600,3700
13,08/12/2022,3930,3770,3910,3890,312500,3900
14,09/12/2022,3960,3760,3900,3890,309400,3900
15,12/12/2022,3980,3840,3890,3900,277500,3900
16,13/12/2022,3960,3710,3900,3900,132300,3900
17,14/12/2022,4050,3930,3960,3980,268000,4000
18,15/12/2022,4000,3930,3990,3930,95600,3900
19,16/12/2022,3980,3850,3930,3870,121700,3900
20,19/12/2022,3920,3800,3870,3880,162900,3900
21,20/12/2022,3890,3610,3890,3610,347900,3600
22,21/12/2022,3720,3390,3640,3510,261200,3500
23,22/12/2022,3600,3410,3550,3500,102800,3500
24,23/12/2022,3540,3420,3500,3500,29000,3500
25,26/12/2022,3510,3260,3510,3260,237900,3300
26,27/12/2022,3350,3150,3150,3350,93800,3400
27,28/12/2022,3460,3280,3350,3440,63600,3400
28,29/12/2022,3550,3250,3250,3450,119500,3500
29,30/12/2022,3520,3360,3440,3500,131600,3500
30,03/01/2023,3660,3500,3530,3660,171000,3700
31,04/01/2023,3750,3660,3720,3740,215800,3700
32,05/01/2023,3800,3700,3780,3800,236400,3800
33,06/01/2023,3810,3750,3800,3750,161500,3800
34,09/01/2023,3790,3730,3740,3750,127300,3800
35,10/01/2023,3890,3730,3740,3860,178300,3900
36,11/01/2023,3900,3820,3870,3840,71200,3800
37,12/01/2023,3890,3800,3810,3820,75500,3800
38,13/01/2023,3860,3700,3860,3800,149800,3800
39,16/01/2023,3850,3800,3840,3820,116000,3800
40,17/01/2023,3880,3720,3850,3870,159200,3900
41,18/01/2023,4000,3880,3880,3990,174600,4000
42,19/01/2023,4000,3970,4000,4000,69700,4000
43,27/01/2023,4050,3740,4050,4000,80200,4000
44,30/01/2023,4160,3880,3910,4160,358300,4200
45,31/01/2023,4180,3960,4180,4170,156100,4200
46,01/02/2023,4200,4000,4200,4000,209400,4000
47,02/02/2023,3990,3800,3920,3980,215500,4000
48,03/02/2023,3980,3930,3980,3970,88300,4000
49,06/02/2023,3980,3900,3900,3970,171400,4000
50,07/02/2023,3970,3900,3970,3900,151000,3900
