,Date,High,Low,Open,Close,Volume,Adj Close
0,21/11/2022,5700,5400,5610,5500,235900,4500
1,22/11/2022,5850,5300,5300,5500,381400,4500
2,23/11/2022,5550,5300,5500,5450,269000,4400
3,24/11/2022,5500,5200,5450,5380,299500,4400
4,25/11/2022,5550,5380,5470,5530,155900,4500
5,28/11/2022,5900,5700,5700,5880,421200,4800
6,29/11/2022,6190,5880,6100,6000,314700,4900
7,30/11/2022,6150,5900,6000,6090,279000,4900
8,01/12/2022,6490,6080,6300,6230,342700,5100
9,02/12/2022,6400,6100,6220,6330,249700,5100
10,05/12/2022,6700,6330,6560,6450,262600,5200
11,06/12/2022,6450,6000,6450,6200,145900,5000
12,07/12/2022,6300,5900,6200,6170,166300,5000
13,08/12/2022,6300,6080,6290,6250,200000,5100
14,09/12/2022,6280,6000,6250,6200,116000,5000
15,12/12/2022,6300,6100,6300,6200,131800,5000
16,13/12/2022,6190,5800,6130,6150,205500,5000
17,14/12/2022,6190,6100,6190,6150,159500,5000
18,15/12/2022,6180,6000,6100,6080,162100,4900
19,16/12/2022,6080,5900,5900,6080,105500,4900
20,19/12/2022,6150,6000,6100,6100,142400,4900
21,20/12/2022,6140,5800,6100,6030,95400,4900
22,21/12/2022,6100,5680,6030,5900,145500,4800
23,22/12/2022,6050,5720,6050,5920,77300,4800
24,23/12/2022,5910,5700,5910,5800,25900,4700
25,26/12/2022,5790,5400,5790,5400,60900,4400
26,27/12/2022,5520,5100,5520,5400,121200,4400
27,28/12/2022,5450,5300,5450,5410,66800,4400
28,29/12/2022,5410,5240,5390,5410,38600,4400
29,30/12/2022,5450,5300,5450,5300,39200,4300
30,03/01/2023,5490,5200,5400,5480,117600,4400
31,04/01/2023,5700,5500,5600,5700,182500,4600
32,05/01/2023,5860,5710,5800,5860,127400,4800
33,06/01/2023,6050,5860,5860,5960,146200,4800
34,09/01/2023,6370,6030,6030,6200,300600,5000
35,10/01/2023,6340,6150,6250,6250,189500,5100
36,11/01/2023,6400,6150,6340,6290,333500,5100
37,12/01/2023,6390,6100,6390,6190,116800,5000
38,13/01/2023,6300,6100,6210,6190,140800,5000
39,16/01/2023,6250,6010,6110,6190,116700,5000
40,17/01/2023,6590,6180,6190,6500,254000,5300
41,18/01/2023,6900,6400,6500,6860,244100,5600
42,19/01/2023,7190,6700,6900,7080,193700,5700
43,27/01/2023,7450,7100,7110,7220,192800,5900
44,30/01/2023,7400,7060,7220,7400,318800,6000
45,31/01/2023,7540,7110,7400,7530,213300,6100
46,01/02/2023,7550,7200,7530,7300,285800,5900
47,02/02/2023,7400,7000,7250,7370,275200,6000
48,03/02/2023,7440,7120,7440,7250,182100,5900
49,06/02/2023,7380,7100,7250,7360,294800,6000
50,07/02/2023,7500,7230,7500,7310,165100,5900
51,08/02/2023,7400,7110,7400,7390,216900,6000
52,09/02/2023,7490,7200,7300,7450,190500,6000
53,10/02/2023,7550,7280,7450,7440,158200,6000
54,13/02/2023,7440,7050,7440,7300,106100,5900
55,14/02/2023,7300,7070,7300,7300,205200,5900
56,15/02/2023,7500,7130,7200,7460,272900,6000
57,16/02/2023,7600,7350,7500,7590,174700,6200
58,17/02/2023,7640,7400,7600,7580,148700,6100
59,20/02/2023,7960,7500,7600,7960,256500,6500
60,21/02/2023,8050,7810,7980,7980,149000,6500
61,22/02/2023,7900,7600,7800,7810,187900,6300
62,23/02/2023,7810,7310,7700,7700,118400,6200
63,24/02/2023,7800,7500,7600,7750,52400,6300
64,27/02/2023,7650,7400,7500,7650,121100,6200
65,28/02/2023,7700,7450,7650,7640,74600,6200
66,01/03/2023,7650,7500,7600,7650,166600,6200
67,02/03/2023,7680,7540,7650,7650,90600,6200
68,03/03/2023,7700,7500,7650,7600,150700,6200
69,06/03/2023,7650,7450,7650,7500,87900,6100
70,07/03/2023,7500,7100,7200,7200,226800,5800
71,08/03/2023,7150,6900,7150,6970,107300,5700
72,09/03/2023,7000,6950,7000,7000,145500,5700
73,10/03/2023,7000,6900,7000,6950,137000,5600
74,13/03/2023,7000,6720,6950,6940,70200,5600
75,14/03/2023,7000,6620,6940,6800,125000,5500
76,15/03/2023,6950,6800,6950,6890,115900,5600
77,16/03/2023,6880,6490,6880,6610,189600,5400
78,17/03/2023,6650,6500,6650,6600,70800,5400
79,20/03/2023,6600,6450,6600,6470,57800,5200
80,21/03/2023,6600,6410,6550,6500,86100,5300
81,22/03/2023,6560,6450,6560,6560,68500,5300
82,23/03/2023,6550,6400,6550,6510,82400,5300
83,24/03/2023,6540,6420,6530,6500,114700,5300
84,27/03/2023,6550,6480,6510,6520,91600,5300
85,28/03/2023,6550,6350,6550,6490,165600,5300
86,29/03/2023,6490,6300,6490,6400,168700,5200
87,30/03/2023,6500,6300,6430,6400,172300,5200
